4:12 P.M.  天气/晴
[name="나이 든 장인"]  음악을 그렇게 크게 틀어놓는데 어떻게 들어!

[name="老骑士"]  那是谁把塞壬的新碟放进去的？
[name="老騎士"]  はて、MSRのCDを入れたのは誰じゃろうのう？
[name="Old Knight"]  Well, who put Monster Siren's new disc in?
[name="나이 든 기사"]  이이이… 이게 다 자네가 MSR의 새 CD를 들고 와서 그런 거 아닌가!

[name="老工匠"]  ......别嚷嚷，让丫头专心检查！
[name="老職人"]  忌々しいジジイだ……嬢ちゃんの点検の邪魔になるから黙ってろ！
[name="Old Craftsman"]  ...Just shut up and let the lass focus.
[name="나이 든 장인"]  조용히 좀 해 쫌! 마리아가 점검하는 데 정신 사납게 거……

[name="玛莉娅"]  唔啊......这撞得也太彻底了吧......
[name="マリア"]  うわぁ……また派手にぶつかっちゃったね……
[name="Maria"]  Wow... This car is totally wrecked...
[name="마리아"]  으아아…… 너무 심하게 박았는데……

[name="老工匠"]  都怪老弗。
[name="老職人"]  フォーのせいだ。
[name="Old Craftsman"]  It's all V's fault.
[name="나이 든 장인"]  다 포 탓이야.

[name="老骑士"]  我......你......玛莉娅，少听他胡扯，这事儿真不能赖我。
[name="老騎士"]  わしは……！　ちっ、お主ときたらまったく……マリア、こやつの話はデタラメじゃ、これは本当にわしのせいではないぞ。
[name="Old Knight"]  I... You... Maria, don't listen to his bullshit. This is absolutely not my fault!
[name="나이 든 기사"]  내가…… 너…… 마리아, 저저 저 자식이 헛소리하는 거 믿지 마라. 정말로 내 탓이 아니라고.

[name="玛莉娅"]  行啦行啦，等我再检查一下，嘿咻——！
[name="マリア"]  はいはい、とにかくもう少し見させてね。よいしょ――！
[name="Maria"]  Alright, alright! Just let me work, sheesh——!
[name="마리아"]  아아~ 알았어요, 좀 더 점검해 볼게요, 으쌰……!

[name="老工匠"]  听见没？吵着丫头了，少说几句吧。
[name="老職人"]  聞いたか？　作業の邪魔だってよ、少し黙ってな。
[name="Old Craftsman"]  Hear that? You're disturbing the young lass, just keep quiet.
[name="나이 든 장인"]  들었지? 마리아가 시끄럽다잖아, 조용히 좀 있으라고.

[name="老骑士"]  你！！
[name="老騎士"]  なっ！？　お主こそ！！
[name="Old Knight"]  You!
[name="나이 든 기사"]  아니 이게 진짜!!!

[name="玛莉娅"]  线路，OK，但发动机还没是有反应，唔，这是上上代的产品了吧，是这样驱动的吗......
[name="マリア"]  配線はOK。でもエンジン部分にまだ反応がない。うーん、これってニ世代前のモデルだよね？　これで動くかな……？
[name="Maria"]  Circuit's OK, but the engine is unresponsive. Hmm, this design is something from two generations ago? Do you start it like this...?
[name="마리아"]  회로는 OK, 그런데 모터 반응이 없네…… 음, 이건 지지난 시리즈의 제품이지? 이렇게 시동 거는 건가……

[name="玛莉娅"]  引擎没有反应，那干脆手动法术点火试试......
[name="マリア"]  やっぱり反応がないなぁ。いっそアーツで点火してみようか……
[name="Maria"]  Still no response from the engine. What if I use some Arts to start it...?
[name="마리아"]  엔진도 반응이 없고, 차라리 아츠를 써서 수동으로 점화해서 해 볼까……

[name="玛莉娅"]  ......是这样吧？
[name="マリア"]  ……これでどうかな？
[name="Maria"]  ...Like so?
[name="마리아"]  ……이렇게 하면 되겠지?

[name="老工匠"]  啧啧，每次看丫头捏着光的样子，都会让人想起她爷爷。
[name="老職人"]  おぉ、嬢ちゃんが光を操るのを見るたび、あの子の爺さんを思い出すなぁ。
[name="Old Craftsman"]  Mhmm, seeing the young lass use Arts like this always reminds me of her grandfather.
[name="나이 든 장인"]  쯧쯧… 마리아가 빛을 쥐고 있는 모습을 보면, 지 할애비랑 어찌 저렇게 꼭 닮았는지……

[name="老骑士"]  就是！瞅瞅人家玛莉娅！你怎么就屁点源石技艺不懂呢。
[name="老騎士"]  本当じゃな……それに比べてお主ときたら、どうして簡単なアーツすら使えんのじゃ？　ちっとはマリアを見習うが良いわ！
[name="Old Knight"]  That's right! Just look at Maria! Why don't you know even a lick of Originium Arts?
[name="나이 든 기사"]  그러게… 마리아 좀 봐라! 자넨 어떻게 그 나이 먹고 오리지늄 아츠도 몰라 그래?

[name="老工匠"]  谁说我不会修源石装置的！？
[name="老職人"]  誰が役立たずだって！？
[name="Old Craftsman"]  Who says I don't know how to repair Originium devices?!
[name="나이 든 장인"]  누가 그래!? 내가 오리지늄 장치 하나 못 고친다고?!

[name="老骑士"]  我说的是——
[name="老騎士"]  いやいや、そうは言っておらんじゃろう――
[name="Old Knight"]  I'm talking about——
[name="나이 든 기사"]  언제 그랬어…… 내 말은……

[name="老工匠"]  玛莉娅！让让！今天我要让这个老家伙开开眼！
[name="老職人"]  マリア！　どけ！　この老いぼれに俺の凄さを見せつけてやる！
[name="Old Craftsman"]  Maria! Move aside! I'm going to make this old geezer eat his words!
[name="나이 든 장인"]  마리아! 비켜봐! 오늘 이 녀석한테 똑똑히 보여줘야겠어! 그래야 다신 입을 안 털지!

[name="玛莉娅"]  啊哈哈......二老就别闹了......
[name="マリア"]  あははは……二人ともケンカしないで――
[name="Maria"]  Ahaha...please don't argue, you two...
[name="마리아"]  아하하하…… 둘 다 그만해요 그만……

[name="玛莉娅"]  啊！有反应了！
[name="マリア"]  あっ！　動いた！
[name="Maria"]  Oh! There's a reaction!
[name="마리아"]  앗! 작동된다!

[name="玛莉娅"]  这样......再这样......
[name="マリア"]  こうして……そしてこうすれば……
[name="Maria"]  Like this... and that...
[name="마리아"]  이렇게 한 다음…… 다시 이렇게……

[name="老骑士"]  哦哦！引擎声！我亲爱的引擎声！
[name="老騎士"]  おお！　エンジン音！　わしの愛しのエキゾーストノートじゃ！
[name="Old Knight"]  Oho! The engine's alive? This blessed sound of a rumbling engine!
[name="나이 든 기사"]  오오! 엔진 소리다! 내가 좋아하는 엔진 소리야!

[name="老骑士"]  玛莉娅是真的一天比一天厉害了，依我看，某个老头差不多也该正式退休了吧？
[name="老騎士"]  マリアは日に日にすごくなっていくのう。わしが思うに、どこかのジジイはそろそろ引退時なのかもしれんのう……
[name="Old Knight"]  Little Maria's really getting better day by day. I suppose it's just about time for a certain old fogey to retire too, eh?
[name="나이 든 기사"]  마리아는 정말 하루가 다르게 실력이 늘고 있구먼. 어딘가의 늙은이는 이제 은퇴해도 되겠어.

[name="玛莉娅"]  嘿嘿，没有的事啦，还不是科瓦尔师傅教得好嘛。
[name="マリア"]  へへっ、大したことじゃないよ。強いて言うならコーヴァル師匠の教え方が上手だからかな。
[name="Maria"]  Hehe, it's nothing like that. It's all thanks to Master Kowal's teachings.
[name="마리아"]  헤헷, 아니에요. 다 코발 스승님이 잘 가르쳐주신 덕분이죠.

[name="老工匠"]  听见没！听见没！听——见——没！
[name="老職人"]  聞いたか！　聞いたかおい！　今のを聞いたかーーーー！？
[name="Old Craftsman"]  Hear that? Hear that? Did——you——hear——that?!
[name="나이 든 장인"]  들었지! 들었지~! 들! 었! 냐! 고!

[name="老骑士"]  嘁，别啰嗦，上车。
[name="老騎士"]  チッ、うるさいやつじゃ……はよう乗れ！
[name="Old Knight"]  Tch. Stop blathering and get in the car.
[name="나이 든 기사"]  쳇, 빨리 타기나 해!

[name="老工匠"]  丫头，你接下来去哪儿？要不捎你一程？
[name="老職人"]  嬢ちゃん、この後はどうする？　お前も飲みに行くか？
[name="Old Craftsman"]  Lass, where are you headed to? Want us to give you a ride?
[name="나이 든 장인"]  마리아, 이제 어디로 갈 거니? 가는 길에 데려다줄까?

[name="玛莉娅"]  我？
[name="マリア"]  私？
[name="Maria"]  Me?
[name="마리아"]  저요?

[name="玛莉娅"]  我......我接下来有别的事情啦。
[name="マリア"]  わ……私はこれからちょっとやることがあって……
[name="Maria"]  I... I have other business.
[name="마리아"]  전…… 이따 따로 볼 일이 좀 있어서……

[name="老骑士"]  那好吧。抓稳了，科瓦尔，今夜的第一杯酒必须得进我肚子！
[name="老騎士"]  残念じゃのう……なら途中まで送ってやるわい。コーヴァルよ、今日のパーティーで一杯目の酒にありつくのはわしら以外にはありえん！　行くぞ、しっかり掴まっておれ！
[name="Old Knight"]  Alright then. Hold on tight, Kowal. I must have the first pick of the wine tonight!
[name="나이 든 기사"]  알겠어. 꽉 잡아, 코발. 오늘 밤 첫 잔의 술은 반드시 내 뱃속에 들어가야 하니까!

[name="老工匠"]  那还用说——慢着，引擎的声音是不是有点——
[name="老職人"]  そんなの言うまでもねぇ……待て、エンジン音がなんだか――
[name="Old Craftsman"]  Of course——Wait, doesn't the engine sound weird——
[name="나이 든 장인"]  두말하면 입 아프지! 잠깐만, 엔진 소리가 좀……

[name="老骑士"]  出发！
[name="老騎士"]  発進じゃ！
[name="Old Knight"]  Off we go!
[name="나이 든 기사"]  출발!

[name="老工匠"]  你干嘛还开那么快！？
[name="老職人"]  なんでこんなにスピード上げるんだ！
[name="Old Craftsman"]  Why are you driving so fast?!
[name="나이 든 장인"]  왜 그렇게 빨리 몰아!?

[name="老骑士"]  我年轻时候的冲刺可比这还快！而且其实我没踩油门！
[name="老騎士"]  何をいう！　わしの若い頃はこれよりもっと飛ばしておったぞ！　……じゃがのう、実はわし、今アクセルを踏んでおらんのじゃよ。
[name="Old Knight"]  I'd've gone even faster in my youth, you know! Also, I haven't hit the accelerator yet!
[name="나이 든 기사"]  젊었을 때는 이것보다 더 밟았어! 게다가 지금은 엑셀을 밟고 있지도 않다고!

[name="老工匠"]  呃？等等，七十迈了，慢——慢点啊，喂，八十迈了！超速了！超速了！
[name="老職人"]  は？　待て、70マイルだぞ。スピード落とせ――落とせって！　おい！　80マイルになってるぞ！　完全に速度オーバーだ！
[name="Old Craftsman"]  Huh? Wait, we're at 70mph now, slow——slow down! Hey, it's 80mph now! We're over the speed limit! We're over it!
[name="나이 든 장인"]  어어? 잠깐, 70마일이야. 처…… 천천히 몰아 이 친구야! 이봐, 80마일이잖아! 속도위반이라고! 속도위반!

[name="老骑士"]  慢不下来！我说了我没踩油门！
[name="老騎士"]  落とせないんじゃ！　アクセルを踏んでおらんと言うたじゃろ！
[name="Old Knight"]  Can't slow down! Told you, I'm not accelerating!
[name="나이 든 기사"]  천천히 몰 수가 없다니깐?! 나 엑셀 안 밟고 있다고!

[name="老工匠"]  那就——！刹车，刹车啊！
[name="老職人"]  だったらブレーキ！　ブレーキだよ！
[name="Old Craftsman"]  Then——! Slam the damned brakes!
[name="나이 든 장인"]  그럼……! 브레이크, 브레이크 밟아!

[name="玛莉娅"]  哎呀......啊哈哈......这次是源石引擎过载了嘛......
[name="マリア"]  あちゃー、今度は源石エンジン側に負荷をかけ過ぎたんだね……
[name="Maria"]  Ah... Ahaha... Looks like the Originium engine got overloaded...
[name="마리아"]  이런…… 아하하…… 이번에는 오리지늄 엔진에 과부하가 걸린 거 같네……

[name="玛莉娅"]  好像又搞错了，诶嘿。
[name="マリア"]  あははっ……私、またやっちゃったみたい。
[name="Maria"]  I messed up again, ehe.
[name="마리아"]  또 잘못한 것 같네요, 에헷.

[name="大嘴莫布"]  欢迎各位来到卡西米尔——在这里，你可以享受到独特的美食和迷人的风景，充分感受卡西米尔独特的风土人情——
[name="ビッグマウスモーブ"]  カジミエーシュへようこそ！　ここカジミエーシュでは、ユニークなグルメや魅力的な景観をはじめとして、この地域独特の雰囲気を存分に味わうことができます――
[name="Greatmouth Mob"]  Welcome, one and all!——Here in Kazimierz, you can enjoy unique dishes and enchanting sceneries, giving you a taste of the distinctive local culture——
[name="빅마우스 모브"]  카시미어에 오신 걸 환영합니다~! 독특하고 맛있는 음식! 그리고 매력적인 풍경! 카시미어에서 밖에 볼 수 없는 이 분위기……

[name="大嘴莫布"]  但谁在乎这些啊！此时此刻，唯一占据各位内心的，只会是骑士竞技！
[name="ビッグマウスモーブ"]  し・か・し、そんなものはどうでもいいことです！　今この瞬間、皆様の心を占めるのはただ一つ、それは――騎士競技！
[name="Greatmouth Mob"]  But who cares about all that! Here and now, the only thing anyone cares about is the Kazimierz Major!
[name="빅마우스 모브"]  하지~만! 지금 그게 중요한 게 아니죠! 지금 이 순간, 중요한 건 바로 뭐다? 바로 기사 스포츠!

[name="大嘴莫布"]  我是莫布，大嘴莫布！荣幸地为大家带来今天的比赛解说！
[name="ビッグマウスモーブ"]  私はモーブ、ビッグマウスモーブと申します。本日の試合のメインMCを務めさせていただきます！
[name="Greatmouth Mob"]  I am Mob, Greatmouth Mob! And I'm honored to be commentating on today's match!
[name="빅마우스 모브"]  다시 한 번 인사드립니다. 저는 이번 시즌의 MC를 맡게된 모브, 빅마우스 모브입니다!

[name="大嘴莫布"]  卡瓦莱利亚基中央赛区，呼啸竞技场，今天也将为各位带来骑士们的风采！
[name="ビッグマウスモーブ"]  さて、それでは、カヴァレリエルキの中央ブロック、ロアー競技場から、皆様に騎士たちの勇姿をお届けいたしましょう！
[name="Greatmouth Mob"]  Within this Roar Arena in the Kawalerielki Central Division, the knights' glory will be put upon display once more!
[name="빅마우스 모브"]  이곳은 카봐렐리에키 중앙 경기 구역에 있는 로어 아레나! 다들 기사들의 멋진 모습을 볼 준비는 되셨나요?!

[name="大嘴莫布"]  本日赛事依旧由呼啸守卫公司全权赞助，单日积分前十的选手，都将获得呼啸守卫公司提供的限量版刀具商品“暴乱者”一把！
[name="ビッグマウスモーブ"]  本日の試合はロアーガード全面サポートのもとお送りいたします！　一日の獲得ポイントトップ10の騎士たちには、ロアーガードが提供する限定モデルのナイフ「フーリガン」をプレゼント！
[name="Greatmouth Mob"]  Today's match is fully sponsored by the Roar Guards Company, as usual. The top ten competitors in the daily points rankings will each receive one limited edition weapon 'Rioter' provided by the Roar Guards!
[name="빅마우스 모브"]  오늘 경기도 로어 가드 컴퍼니의 협찬으로 보내드립니다. 일일 점수 톱 10 안에 드는 모든 선수에겐 로어 가드 컴퍼니에서 제공하는 한정판 칼, '훌리건'이 한 자루씩 증정됩니다!

[name="塑料骑士"]  那花里胡哨的玩意卖不出去了......唉，卖得出去就有鬼了。
[name="合成樹脂騎士"]  ふん、あのナイフはただの売れ残りだろ……あんな見てくれだけのおもちゃ、買うやつなんて……
[name="Plastic Knight"]  That fancy toy will be impossible to sell... *sigh*, I'll be damned if I can find a buyer.
[name="플라스틱의 기사"]  하도 안 팔리니까 저렇게 재고 처리를 하는 건가…… 그 알록달록한 장난감이 팔릴 리가 없지……

[name="塑料骑士"]  算了，反正是老东家的......唔？
[name="合成樹脂騎士"]  まあいい。スポンサーにケチつけたところで……ん？
[name="Plastic Knight"]  Nevermind, it's from my paymaster after all... hmm?
[name="플라스틱의 기사"]  됐다, 어차피 스폰서가…… 음?

[name="大嘴莫布"]  来自卡西米尔——不，泰拉各地的竞赛骑士们！卡西米尔商业联合会的各大公司代表都将注目着今天的独立骑士竞赛！
[name="ビッグマウスモーブ"]  カジミエーシュの――いえ、テラ各地から集った競技騎士の皆様！　カジミエーシュ商業連合会の各大企業の代表者たちが、本日の独立騎士競技に注目していますよ！
[name="Greatmouth Mob"]  Competition knights hailing from Kazimierz——no, from all over Terra! The corporations from the Kazimierz General Chamber of Commerce will all be paying close attention to today's independent knight competitions!
[name="빅마우스 모브"]  카시미어에서 온…… 아니죠, 테라 각지에서 온 스포츠 기사 여러분! 카시미어 상업연합회의 각 기업 대표들이 오늘의 프리랜서 기사 경기를 주목하고 있습니다.

[name="大嘴莫布"]  是在竞速赛中一马当先，还是在射技赛中拔得头筹？无论参与何种赛事，都有着获得董事代表青睐的机会！
[name="ビッグマウスモーブ"]  レースで独走するも良し、射撃でオールヒットを狙うも良し。どの試合でも、重役たちの目に留まるチャンスです！
[name="Greatmouth Mob"]  Will you take the lead in the sprint races, or hit the bullseye in the shooting competition? No matter what you compete in, you will all have a chance to gain the favor of the directors!
[name="빅마우스 모브"]  경기에서 선두를 달려야 할까요? 아니면 사격 경기에서 우승을 해야 할까요? 어떤 경기에 참여하든 모두 경영진들의 주목을 받을 기회가 있습니다!

[name="大嘴莫布"]  当然！！还有万众瞩目的一对一综合竞技！最高的积分，最高的曝光率！任何一场比赛都可能让你被骑士团相中，从此一步登天！
[name="ビッグマウスモーブ"]  もちろん！！　誰もが注目する一対一の総合競技もございます！　活躍して画面を独占すれば、名だたる騎士団からのスカウトだってあるかも！？　一躍スターの座も夢ではありません！
[name="Greatmouth Mob"]  Of course! There's also the highly anticipated one on one mixed sports! The one with the highest points, the greatest exposure! Any match in this category could get the attention of a Knightclub and catapult you to success!
[name="빅마우스 모브"]  물론!! 모두가 주목하는 1 대 1 종합 경기도 있죠! 가장 높은 점수를 받는 선수가 가장 각광받게 될 것입니다! 어떤 경기에서라도 기사단의 눈에만 들면, 그야말로 인생역전!

[name="大嘴莫布"]  想要参与卡西米尔骑士特别锦标赛吗？想要屹立于众多骑士的顶峰吗？现在，门票就在各位参赛骑士的手上！
[name="ビッグマウスモーブ"]  カジミエーシュ騎士競技に参加したい？　全ての競技騎士たちの頂点に立ちたい？　今なら、チャンスはどの騎士にもあります！
[name="Greatmouth Mob"]  Want to join the Kazimierz Major? Want to stand atop the glorious knights? Right now, the tickets are in the hands of the participating knights!
[name="빅마우스 모브"]  카시미어 기사 특별 토너먼트에 참가하고 싶으신가요? 기사들 사이에서 정상에 서고 싶나요? 지금, 그 꿈의 티켓은 바로! 경기에 참여하는 기사분들 손에 쥐여 있습니다!

[name="大嘴莫布"]  战胜对手，赢得荣耀，欢呼吧！！
[name="ビッグマウスモーブ"]  相手を圧倒し、栄光を掴み、勝どきの声を上げましょう！！
[name="Greatmouth Mob"]  Defeat your opponents, earn endless glory and rejoice!
[name="빅마우스 모브"]  이겨서, 명예를 손에 얻으십시오! 다 함께 소리 질러~!!!!!

[name="？？？"]  呼......
[name="？？？"]  ふぅ……
[name="??? "]  Phew...
[name="???"]  후……

[name="？？？"]  深呼吸......深呼吸......
[name="？？？"]  深呼吸……深呼吸……
[name="??? "]  Deep breaths, deep breaths...
[name="???"]  심호흡하자…… 후우우……

[name="大嘴莫布"]  那么事不宜迟，立刻开始本日的第一场——
[name="ビッグマウスモーブ"]  では早速、本日の第一試合に参りましょう――
[name="Greatmouth Mob"]  Without further ado, let's begin the first match of the day——
[name="빅마우스 모브"]  그럼 더 끌지 말고, 오늘의 첫 경기를 바로 시작하죠……

[name="大嘴莫布"]  等等——等等！这个参赛选手......似乎大有来头！
[name="ビッグマウスモーブ"]  お、お待ちください――この選手は……なんてこった！　いきなりものすごい大物がやってまいりました！
[name="Greatmouth Mob"]  Wait... wait! This participant... She's not just any old farmgirl!
[name="빅마우스 모브"]  잠깐…… 잠깐만요! 이 선수는…… 와우~ 이거 첫 경기부터 대물이 하나 들어왔군요!

[name="大嘴莫布"]  没错！我是说，今天的头场比赛就将成为未来几天内卡西米尔竞赛频道的热点新闻！
[name="ビッグマウスモーブ"]  これは本日の第一試合が、これから数日間は各種スポーツメディアでホットニュースになること間違いなし！
[name="Greatmouth Mob"]  That's right! I'm saying that the first match today will be the hottest news on the Kazimierz sports pages for weeks to come!
[name="빅마우스 모브"]  네! 오늘의 첫 경기는 카시미어 스포츠 채널의 핫뉴스가 될 것입니다!

[name="大嘴莫布"]  原因无他，只因这位头次参赛的选手，有着一个响亮的“名号”！可爱的年轻女孩，却来自一个声名显赫的家族！
[name="ビッグマウスモーブ"]  なぜなら、今回初出場のこの選手は、高らかに響き渡る「家名」を有しているのです！　この若く愛嬌のある女の子は、名高き一族の出身なのであります！
[name="Greatmouth Mob"]  The reason? This competitor joining us for the first time has a very special 'name'! She may look like a cute girl, but she comes from a very famous family!
[name="빅마우스 모브"]  왜냐면 바로, 이번에 첫 출전하는 바로 이 선수 때문이죠! 아주 대단한 '이름'을 갖고 있습니다! 귀여운 어린 소녀이지만 명성이 자자한 바로 '그 가문' 출신!

[name="大嘴莫布"]  如果关注骑士竞技——不，但凡是卡西米尔的忠实客户，一定不会对这个名字陌生！
[name="ビッグマウスモーブ"]  騎士競技に関心がある方なら――いや、カジミエーシュをごひいきにしてくれている方なら誰でも、この名前に覚えがあるはずです！
[name="Greatmouth Mob"]  If you know your competition knights——No, just about any loyal customer of Kazimierz would know this name!
[name="빅마우스 모브"]  기사 스포츠 좀 보시는 분이라면…… 아니, 카시미어의 충성 고객이라면 이 이름이 절대 낯설지 않을 겁니다!

[name="游客"]  少废话两句行不行！快让新人出场啊！
[name="観光客"]  ごたくはいいんだよ！　早くその新人を出しやがれ！
[name="Tourist"]  Can you get to the point! Show us the new girl already!
[name="관광객"]  그만 좀 질질 끌어! 빨리 등장시키라고!

[name="游客"]  没错！
[name="観光客"]  そうだそうだ！
[name="Tourist"]  That's right!
[name="관광객"]  그래!

[name="塑料骑士"]  喂，把今天比赛的安排给我拿过来。
[name="合成樹脂騎士"]  おい、今日の試合のスケジュールを見せてくれ。
[name="Plastic Knight"]  Hey, let me see the match card for the day.
[name="플라스틱의 기사"]  어이, 오늘 경기 일정 좀 가져와 봐.

[name="企业员工"]  好的，瑟奇亚克阁下。
[name="企業職員"]  かしこまりました、シェブチック様。
[name="Corporate Employee"]  Yes, Sir Szewczyk.
[name="기업 직원"]  네, 셰브치크 님.

[name="塑料骑士"]  都是些熟面孔啊，唔......等等，是最下面这个？
[name="合成樹脂騎士"]  よく見る顔ぶれだな。ん……待て、一番下のは？
[name="Plastic Knight"]  These are all familiar faces, hmm... Wait, this last one at the bottom?
[name="플라스틱의 기사"]  다 아는 얼굴이군, 음…… 잠깐, 맨 끝에 이 사람은?

[name="企业员工"]  是的......选拔已经开始半个月了，现在才开始积累积分的独立骑士并不常见，所以我们......
[name="企業職員"]  ええ……予選が始まってもう半月が経っています。今ごろになってようやくポイントを稼ぎ出す独立騎士など滅多にいませんが――
[name="Corporate Employee"]  Yes... The preliminaries have been going on for half a month, but it's unusual to see independent knights who've just begun accumulating points, so we...
[name="기업 직원"]  네…… 예선이 시작된 지 벌써 2주가 지났는데, 이제야 점수를 쌓기 시작하는 프리랜서 기사는 드물죠, 그래서 저희가……

[name="塑料骑士"]  这个姓氏——是耀骑士的——？
[name="合成樹脂騎士"]  この名字は――耀騎士の身内か？
[name="Plastic Knight"]  This surname——It's the Radiant Knight's——?
[name="플라스틱의 기사"]  이 성씨는…… 빛의 기사잖아……?

[name="大嘴莫布"]  事不宜迟，让我们以最热烈的呼声迎接本日赛场内的第一位参赛骑士——
[name="ビッグマウスモーブ"]  それでは、熱烈な歓声をもって本日最初の騎士をお迎えください！
[name="Greatmouth Mob"]  Without further ado, let us welcome the first participant of today's matches——
[name="빅마우스 모브"]  그럼~! 오늘 경기장의 첫 번째 출전 기사! 뜨거운 환호로 맞아 주십시오……

[name="大嘴莫布"]  ——玛莉娅·临光！！
[name="ビッグマウスモーブ"]  ――マリア・ニアール！！
[name="Greatmouth Mob"]  ——Maria Nearl!
[name="빅마우스 모브"]  마리~아~!! 니~어!!!!

