ID:
	char_2015_dusk
	그림을 보고 싶다고? 좋아, 당신이라면 한 장 정도 줘도 괜찮아. 하지만 이 그림이 좋다고 하면 주지 않겠어. 싫다고? 그럼 더더욱 안 줄 거야. 나는 이런 녀석이니까 단념하라고.

	我被困在这艘船上了。要是有人问起来你就和他们这么说，这屋子也别让他们进来。占用公共空间？拒绝履行干员义务？你好，我是被困在这个房间里的大画家，夕。
	この船に閉じ込められてしまったわ。誰かに聞かれたらこう言ってちょうだい。この部屋にも入らせないで。公共の場を占領しているって？オペレーターの義務を拒否しているって？ドーモ、ゴキゲンヨウ、この部屋に閉じ込められている巨匠のシーです。
	I'm trapped on this ship. If anyone asks, you tell them so, and you do not let them into my room. I'm taking up space? I'm refusing to perform my operator duties? Hello, I am Dusk, the great painter trapped in this room.
	이 배에 갇혀버리고 말았네. 누가 물어보면 이렇게 말해 줄래? 이 방엔 들어오게 하지 말라고. 공공장소를 점령하고 있다고? 오퍼레이터의 의무를 거부하고 있다고? 안녕하세요, 이 방에 갇혀있는 거장, '시'라고 합니다.

	不出去。别喊我出去了，弗想出去。外面的世界，我不在乎了。不喜欢？我当然喜欢。山川风月，花羽林渊，贩夫走卒，老少男女，画不尽，也看不完，越不过，也走不出。我兴致尽了。
	だから外は行かないってば。呼ばなくていいわよ、絶対外に行かない。外の世界はもうどうでもいいのよ。嫌いかって？好きに決まってるじゃない。花鳥風月、山川草木、梓匠輪輿、老若男女、描ききれないし見切れもしないわ。そして乗り越えられなくて、そこから抜け出せないのよ。私はもう十分味わったわ。
	I'm not going out. Don't try to make me go out, I don't want to go out. I no longer care for the world outside. Do I dislike it? I like it fine. The mountains and rivers, the flowers and feathers, the pools and forests, the common folk, the elderly, I could paint forever, I could watch forever, and yet, I will not go. It does not hold my interest forever.
	그러니까 밖에는 안 나간다니까. 안 불러도 된다고, 절대 밖에 안 갈 거니까. 바깥세상은 이제 아무래도 상관없다고. 싫어하냐고? 당연히 좋아하지. 화조풍월, 산천초목, 재장윤여, 남녀노소, 다 그릴 수도 없고 다 볼 수도 없어. 그리고 뛰어넘을 수 없어서 거기서 빠져나오지 못하는 거야. 나는 이미 질릴 만큼 질렸다고.

	我讨厌品味这词。开口就把人堵在门外，谁给他们的自信让他们觉得就自己配得上好物什？那样子是最凹糟的。只要尽兴，就是得意。而想要进取，就不准有门户之见。你见过天上双月自私自利吗？
	「品」って言葉は嫌いよ。端っから人を門外漢扱いで拒絶して。自分たちが一流のものに相応しいだなんてどこからそんな自信が湧いてくるのでしょうね。そういうのが一番気色悪いのよ。快く楽しめることができれば、もう十分極意を得たと言えるもの。精進したければ、身分への偏見なんて捨てるべきだわ。天に浮かぶ双月が手前勝手に振舞うところなんて、見たことないでしょう？
	I loathe the word 'taste'. What gives these people the confidence to demand something good just as they open their mouths to lock the gates to others? It is unbecoming. If you are satisfied, you are satisfied. Should you enter, you must not bar the gate. Do you see the twin moons thinking only of themselves?
	'품위'라는 말은 싫어해. 처음부터 사람을 문외한 취급해서 거절하고, 자신들이 일류에 걸맞다니, 어디서 그런 자신감이 솟아나는 걸까? 그런 게 가장 기분 나빠. 기분 좋게 즐길 수 있다면 이미 충분히 경지에 올랐다고 할 수 있지. 정진하고 싶다면 신분에 대한 편견을 버려야 해. 하늘에 떠 있는 두 개의 달이 제멋대로 구는 거, 본 적 없잖아?

	看我认真作画的机会，就算这大地上万中挑一的人，一生也最多一次。“时来天地皆同力”，气、骨、形、色、法，无一不从无一不至，倾泻如浩荡江河，细密如山间竹影，手中这笔，我都停不下它。
	私が本気を出して絵を描くところを見られる機会って、この世界で一万人に一人もいない優れた者でも、一生に一度あるかないかよ。「時来たれば天地皆力を同じくす」、気・骨・形・色・法、従わぬものなければ至らぬものもなし。傾瀉すること浩蕩なる江河の如く、細密なること山間の竹影の如し。私自身でさえ、手にした絵筆を止められないほどのものよ。
	An opportunity to watch me paint in earnest comes but once in a lifetime to one in ten thousand individuals. 'When the time comes, the strength of heaven and earth are one.' Ch'i, bone, shape, color, method, pouring out as a vast river, fine like the shadow of mountain bamboo, such is my brush, and I cannot stop it.
	내가 진심으로 그림을 그리는 걸 볼 수 있는 기회는, 이 세상에서 만 명에 한 명꼴로 나오는 뛰어난 사람이라도 일생에 한 번 있을까 말까 해. 때가 오면 하늘과 땅이 힘을 합칠지니… 기, 골, 형, 색, 법… 따르지 않는 자가 없으면 이르지 못하는 자도 없는 법… 흘러내리는 게 장대한 강과 같고, 세밀하기는 산의 대나무 그림자와도 같구나. 나라고 해도 손에 쥔 붓을 멈추지 못할 정도야.

	这段时日我也找了些现在的作品来看。电影还不错，和画很像，好的那些风骨各异，形在，意也不差。好啊，诗和画都算是有传承了。能顺手帮我把年那一屋的垃圾烧了吗？她真的在侮辱电影，拜托。
	最近、私もイマドキの作品に目を通してみたの。映画は悪くないわ、絵と同じで、いいものはそれぞれの精神が宿る。形式も整っていて、含んだ趣意も悪くない。ええ、詩も絵も受け継がれていて大変結構だわ。ついでにニェンの部屋のあのゴミ溜まりを全部燃やしてくれるかしら？あいつのアレは映画への侮辱よ。頼んだわ。
	I took the time to partake of some contemporary works. Films are not bad, they are like paintings. The good ones all have a unique strength of character, with form, and with decent meaning. Right, poetry and painting have a legacy. Do you have time to help me burn Nian's mountain of garbage? She is denigrating the very concept of cinema. Please.
	최근에, 나도 요즘 작품을 훑어봤어. 영화는 나쁘지 않아, 그림과 마찬가지로 좋은 건 각자의 정신이 깃들어 있지. 형식도 갖춰져 있고 내포한 취지도 나쁘지 않아. 응, 시도 그림도 계승되고 있어서 꽤 괜찮아. 말 나온 김에 니엔의 방에 있는 쓰레기더미 좀 전부 태워줄 수 있을까? 그 녀석의 그건 영화에 대한 모욕이야. 부탁할게.

	饭菜到了？喔，谢谢。嗯~是哪一国的酒？不错呀。蛮好，还是缺了些什么的味道才更真切。好奇我平常吃什么？你，来，闭上眼。啊~是不是没感觉？没错，只要你没看过，我画里的饭菜就不存在。
	ごはんの準備ができた？あら、ありがとう。ふーん、どこの国のお酒かしら？悪くないわ。うん、どこか足りないような味が逆にいいのよ。私が普段何を食べてるのかって？貴方、ちょっとこっち来なさいな。目を閉じて。はい、あーん。なんにも感じないでしょ？そういうことよ。一度もその目で認識したことがなければ、私が描いた料理は存在しないも同然なの。
	Food? Oh, thank you. Hm, where does this drink come from? It's good. Quite good. But I feel like it's missing something. You want to know what I usually eat? Then close your eyes. Ah~ You feel nothing, yes? That's because if you don't look, the food in my paintings does not exist.
	밥 준비 다 됐다고? 어머, 고마워. 흐음~ 어느 나라 술이지? 나쁘지 않은데. 흠, 어딘가 부족한 듯한 맛이 되레 좋은 거라고. 내가 평소에 뭘 먹고 있느냐고? 너, 잠깐 이쪽으로 와 봐, 눈 감고. 자, 아~앙~ 아무것도 안 느껴지지? 그런 거야. 한 번도 그 눈으로 인식한 적이 없다면, 내가 그린 요리는 존재하지 않는 것과 마찬가지야.

	看年那一副满不在乎的样子，其实你也知道吧，她对我们的生死在意的不得了，而我，我虽然跟那个在留白上涂涂写写的家伙合不太来，但我们两个的确不在意。人死了，画还在。我死了，笔意还在。
	ニェンはああやって気にしない体を取ってるけど、貴方もわかるでしょう？あいつ、私たちの生死をめちゃくちゃ気にかけてるのよ。私はあの余白に落書きするやつとは気が合わないけど、生死を気にしないのは割と意見が合うのよ。人が死んでも、絵は残る。私が死んでも、筆に乗せた意思は残り続けるもの。
	Take a look at Nian's carefree expression. You know the truth, don't you? She cares quite a bit about our lives, and our deaths. As for me? I may not get along with the wretched scribbler, but neither of us care much. When people die, the paintings remain. When I die, my work remains.
	니엔은 저렇게 신경 쓰지 않는 척을 하고 있지만, 너도 알지? 저 녀석, 우리의 생사를 엄청 신경 쓰고 있다고. 나는 저 여백에 낙서하는 녀석과는 마음이 맞지 않지만, 생사를 신경 쓰지 않는 것에는 꽤 마음이 맞아. 사람은 죽어도 그림은 남는 법. 내가 죽어도, 붓에 담은 의지는 계속될 거야.

	梦如人生，梦入长卷。人这一睡，会睡过几个千年呢？
	夢は人生の如くして、絵巻に描きつくるものなり。ひとたび眠れば、幾星霜過ぎ去ってしまうんでしょうね。
	Dreams are like unto life, like into the scroll. One sleeps this sleep, will one sleep for millennia?
	꿈은 인생과도 같고, 두루마리에 그리는 것과도 같다. 한숨 자고 나면, 얼마나 긴 세월이 흐르게 될까.

	啊？{@nickname}？又是合同？好了好了，签了以后你可别再来烦我。拿去......事先讲好，夕我，从不送画，谁都不送。也不接单！
	あら？ドクター？また契約書？はいはい、サインしてあげるからこれ以上私を煩わせないこと。これでいいでしょ……先に言っておくけど、このシーが描いた絵はあげられないわよ。誰にもあげないの。リクエストも受けないから！
	Oh? {@nickname}? Another contract? Very well, please don't bother me again after I sign this one. Here... I should tell you here and now: I, Dusk, do not give out my paintings. Not to anyone. And I don't take commissions!
	어머? 박사? 또 계약서? 알았어, 사인해 줄 테니까 더는 날 성가시게 하지 마. 이제 됐지? …미리 말해두는데, 이 '시'가 그린 그림은 줄 수 없어. 누구에게도 주지 않아. 리퀘스트도 안 받을 테니까!

	嗯？操戈杀伐，血流成河，难道说......你想让我画这些？
	ふーん？武器を手に取って殺し合い、血が河川のように流れる様、もしかして……こういうのを描いて欲しいの？
	Hm? A swing of an axe becomes rivers of blood. Do you mean... you want me to paint this?
	흐음? 무기를 들고 서로 죽이고 피가 강처럼 흐르는 모습, 혹시… 이런 걸 그려줬으면 하는 거야?

	我为什么用剑？那可有讲究，“以砚为鞘，可以研春秋；以笔为剑，可以涂鬼神”。真的假的？自然是我随便说的。
	なんで私が剣を使うのかって？それはそれは奥深いものよ。曰く、「硯を以て鞘と為せば、以て春秋を研ぐべし。筆を以て剣と為せば、以て鬼神を訂すべし」なんてね。本当かどうかって？適当に言っただけに決まってるじゃない。
	Why use a sword? There is a reason. 'With an inkstone sheath, one may learn the annals. With a brush sword, one may paint the celestial.' Is it true? Naturally, I speak off the cuff.
	내가 왜 검을 쓰냐고? 그건 정말 정말 심오한 건데… "벼루를 칼집으로 삼으면 춘추를 갈아야 하고, 붓을 검으로 삼으면 그것으로 귀신을 정정해야 하느니"라는 말이 있지. 정말이냐고? 당연히 아무렇게나 말한 거지.

	嚯，能跟我走到这步......我就给你画一幅吧。当心！可别陷进去，另片天地可比这里迷人太多了。从古至今看得破、离得开、忘得掉的，又有几人呢？
	へぇ、よく私にここまでついてこれたわね……一枚描いてあげましょうか。飲み込まれないように注意しなさいね、あちら側の世界はこちら側よりよっぽど魅力的だもの。昔から今に至るまで、虚像に囚われずにそこから離れて全てを忘れ去ることができた人間って、何人いたかしら……
	Ahh, to make it this far with me... I should paint you a scroll. But be careful! Do not get caught up within it. The world I paint is much more fascinating than this one. How many have been lost, since ancient times, how many have escaped?
	헤에~ 잘도 나를 여기까지 데리고 왔구나… 한 장 그려줄까? 삼켜지지 않도록 조심해, 저쪽 세상은 이쪽보다 훨씬 매력적인걸. 예전부터 지금까지 허상에 사로잡히지 않고 거기서 떨어져 모든 것을 잊어버릴 수 있었던 인간은 몇 명이나 있었을까……

	可别耽误我太长时间。
	あんまり時間を取らせないでちょうだい。
	Don't keep me too long.
	시간을 너무 많이 뺏지 말아줘.

	队长？那是干什么的？
	隊長？なにそれ。
	Captain? What does a captain do?
	팀장? 뭐야, 그게.

	那就赶紧了结了吧。
	さっさと片付けるわよ。
	Let's get this over with.
	얼른 정리하자.

	今天我心情不错，就送你们一幅《沙场白骨图》吧。
	今日はなんだか気分がいいわ。『戦場白骨の図』でも描いてあげましょうか。
	I'm in a good mood today. I'll give you my 'Bones on the Sand' then.
	오늘은 왠지 기분이 좋네. '전장백골도'라도 그려 줄까?

	可别太过分。
	いい加減にしなさいよ。
	Don't go too far.
	적당히 하라고.

	细笔还是留在家里画吧。
	描き込むのは帰ってからね。
	Better leave the fine brush at home.
	그려 넣는 건 돌아가서 할게.

	你们有人想做我的颜料吗？
	私の顔料になりたいのはどいつかしら？
	Would any of you like to be my paint?
	내 물감이 되고 싶은 건 어떤 녀석일까?

	这片战场，适合泼墨法。
	この戦場を描くには、潑墨が似合うわね。
	This battlefield would do well with a splash of ink.
	이 전장을 그리기엔 발묵법이 어울리겠네.

	讲话太难懂了，我画出来给你看看。
	言葉では伝わりにくいのよ。描いてあげる。
	Too difficult to explain, let me paint it for you.
	말로는 전하기 어려워. 그려줄게.

	落锋长日坠，起笔叠嶂起！
	鋒落とせば長日墜ち、筆起こせば疊嶂起こる！
	With the setting of the sun, the brush draws up the peaks!
	창끝을 떨어뜨리면 긴 해가 떨어지고, 붓을 일으키면 첩첩한 산봉우리가 일어난다!

	以有形摹无垠，以无形应天下！
	有形を以て無垠を摹し、無形を以て天下を応ず！
	Copy the infinite with the tangible, bring the intangible to life!
	유형으로 무한을 모방하고, 무형으로 천하를 맞으라!

	我对你们还算是有感情的。大多数时候。
	貴方たちに対してだって多少の情はあるのよ。ほとんどの時はね。
	I am rather attached to you. Most of the time.
	너희들한테도 조금은 정을 두고 있다고. 대부분의 경우는 말이야.

	丹青与干戈，本来是离得很远的。但劲力到了，战争也是艺术。
	丹青と干戈、本来はかけ離れたもののはずなのに。意気が至れば、戦争も芸術になり得るのね。
	Once, painting and war were quite different. But with this power, battle is art.
	그림과 무기, 본래는 멀리 떨어져 있는 것일 터인데… 의기가 들어가면, 전쟁도 예술이 될 수 있구나.

	还不错。
	悪くないわ。
	Not bad.
	나쁘지 않네.

	嗯......没画好的画就该撕掉。会让自己丢脸的。
	はぁ……出来損ないの絵は破り捨てるべきだわ。恥をかくだけよ。
	Hm... a failed painting must be destroyed. It will bring shame.
	하아… 잘못 그린 그림은 찢어 버려야 해. 부끄러워지기만 할 테니까.

	笔锋散了吧？重画吧。
	筆がぶれたわね？描き直しよ。
	Slipped on a stroke? Start over.
	붓이 흔들렸네, 다시 그리자.

	房间装修就不用帮我准备了。我会自己准备的。
	部屋の飾り付けは結構よ、自分でやるから。
	Do not bother preparing the room for me. I will handle it myself.
	방을 꾸미는 건 됐어, 내가 할 테니까.

	墨汁要洒了！
	ちょ、墨がこぼれる！
	You'll spill my ink!
	잠깐, 먹물이 넘치잖아!

	喂，可别沾得一身都是颜料。
	もう、体中顔料だらけになるのは勘弁してよね。
	Hey, don't get paint everywhere.
	정말이지, 온몸을 물감 범벅으로 만드는 건 그만두라고.

	明日方舟。
	アークナイツ。
	Arknights.
	아크나이츠.

	你的名字是啥来着，哦，{@nickname}？
	貴方、名前はなんだったかしら。……ああ。
	What was your name again? Oh, {@nickname}?
	너, 이름이 뭐였더라? 아아… {@nickname}?
