ID:
	char_391_rosmon
	Everyone at Rhodes Island is my friend. The elite operators and my squad mates are my family. Ms. Kal'tsit doesn't want me to treat them as family. I didn't get it at first, but I do now. They're like flowers in a vase. If you don't pay attention to them, they'll wither. But they're all I have.
	로도스 아일랜드의 모두는 내 친구, 정예 오퍼레이터와 팀원들은 내 가족이야. 전에 켈시 선생님이 모두를 가족이라고 생각하면 안 된다고 했는데, 처음에는 잘 몰랐지만 이젠 알겠어. 다들 꽃병의 꽃처럼 쉽게 시들어 버려. 그래도 내겐 이제 그 사람들밖에 없어.

	我现在在读什么？啊，这是前两天的记事。可露希尔早上打翻了咖啡，弄脏了书库里的好几册卷轴，所以她被诅咒了呢，好像是，说满五句话就一定会有唾沫飞到别人脸上的那种诅咒。很可怕？
	何を読んでる、って？えっと、これはこの間のメモ。あの日の朝は、クロージャがコーヒーをこぼして、書庫の巻物を何本も汚しちゃったの。それで、クロージャは呪われちゃった。確か、五回しゃべるとツバが相手の顔に飛ぶって呪いだよ。怖い？
	What am I reading? Oh, it's an entry from two days ago. Closure spilled her coffee that morning and stained a couple scrolls in the library. And she got cursed, I think. For every five words she says, she ends up spitting on someone's face. Scary, isn't it?
	뭘 읽고 있냐고? 어, 이건 얼마 전의 메모야. 그날 아침은 클로저가 커피를 쏟아서 서고에 있는 두루마리를 몇 개나 더럽혔어. 그래서 클로저는 저주를 받았어. 아마 다섯 번 말하면 침이 상대방 얼굴에 튄다는 저주였을 거야. 무서워?

	痛的事情，伤心的事情，可怕的事情，一不小心就会消失。但我不能忘，我要记住，因为那些情感还留在我的身体里。我不想哭的时候不知道是为了什么在哭。记忆是负担，我只有自己去背。
	痛いこと、悲しいこと、怖いこと、ふとした拍子に全部消えちゃう。でも、忘れちゃダメなの、覚えてたい。だって、その時の気持ちは全部身体に残ってるから。理由もわからないまま、涙を流すのは嫌だよ。記憶は負担になるけど、それでも自分で背負わなきゃ。
	Painful things, sad things, and scary things all go away when you least expect them to. But it's not okay to forget them. I need to remember them, because those emotions are still there inside me. I don't want to end up crying without knowing why. Memories are a burden, and I have to carry my own burden.
	아픈 일도, 슬픈 일도, 무서운 일도, 어느 순간 모두 사라져버려. 그래도 잊어버리면 안 돼, 기억하고 싶어. 왜냐하면, 그때의 감정은 전부 몸에 남아있으니까. 이유도 모르는 채로 눈물 흘리는 건 싫어. 기억은 부담이 되지만, 그래도 스스로 짊어져야지.

	我不会用盾，不会射箭，不能让铳发光，没法把铁条轻松地做成兵器。更重要的是，其他精英干员比我温暖得多，这种温暖让他们愿意为别人投入自己的一切，只因为有些事是对的。我会加油的。
	私は盾も、弓も使えない。銃を光らせることも、鉄の固まりを簡単に兵器に変えたりもできない。それに、他のエリートオペレーターのみんなは、私よりもずっと暖かいの。その暖かさがあるから、人のために、そして自分の正しいと思うことに、全てをかけられるんだ。私も頑張るよ。
	I can't use a shield, I can't use a bow, I can't make guns glow, and I can't turn those iron rods into weapons very well. More importantly, the other elite operators are much warmer than me. This warmth is what helps them fight for everyone else and for what's right. I will do my best.
	나는 방패도, 활도 쓸 수 없어. 총을 번쩍이게 하는 것도, 쇳덩어리를 쉽게 무기로 바꿀 수도 없어. 게다가 다른 정예 오퍼레이터들은 모두 나보다 훨씬 따뜻한걸. 그 따뜻함이 있으니까 남을 위해, 그리고 자신이 옳다고 생각하는 일에 모든 것을 걸 수 있는 거야. 나도 열심히 할게.

	凯尔希也失去了很多家人吧？她的眼神就是那样的。她为什么能忍住，为什么还能活着？只要想想大家会一个接一个地消失，我的胸口就痛得像要爆炸了一样。是因为她长大了吗？那我也想早些长大。
	ケルシー先生も、たくさん家族を失ったんでしょ？だって、そんな目をしてるから。でも先生はどうして我慢して、生きられてるの？私はみんながどんどんいなくなっちゃうことを考えただけで、胸が張り裂けそうになるのに。先生は大人だから？じゃあ私も早く大人になりたい。
	Ms. Kal'tsit has lost lots of family, right? I see it in her eyes. How does she keep it to herself and manage to live with it? Just thinking about how everyone will disappear eventually one after another is enough to make my heart ache. Like it's going to explode. Is it because she's a grown-up? Then I want to grow up soon.
	켈시 선생님도 가족을 많이 떠나보냈지? 왜냐하면, 그런 눈을 하고 있는걸. 하지만 선생님은 어째서 그걸 참고 살아가고 있는 거야? 나는 모두가 점점 사라지는 것을 생각하는 것만으로 가슴이 찢어질 것 같은데…… 선생님은 어른이라서? 그럼 나도, 빨리 어른이 되고 싶어.

	博士，可以教我这个词吗？看了这个词煌就一直傻呵呵地笑，阿米娅刚才还追着煌打她。吻？Kiss，是吗？那我知道的呀。博士，弯下腰好吗？亲在脸上，可以吧？谢谢你一直照顾我们。喵。
	ドクター、この言葉、教えて？ブレイズに聞いたら、何故かゲラゲラ笑われて、アーミヤに叩き回されてたよ。口づけ？つまり、キス？そっか。それなら私にもわかるよ。ドクター、ちょっとかがんで？頬に「チュー」していい？いつも良くしてくれてありがとう。（チュッ）……ニャ。
	Doctor, could you tell me what this word means? I asked Blaze about it, and she just kept giggling, and Amiya just kept hitting her. Oh, it means kissing? I know what that is, then. Doctor, bend down a little, okay? Can I kiss you on the cheek? Thanks for always taking care of us. Meow.
	박사, 이 말, 알려줘. 블레이즈에게 물어봤더니 왜인지 깔깔거리면서 웃고, 아미야한테 엄청 맞더라고. 입맞춤? 그러니까, 키스? 그렇구나. 그거라면 나도 알아. 박사, 잠깐 숙여봐. 볼에 '뽀뽀'해도 돼? 항상 잘 대해줘서 고마워. (쪽)…… 냐앙.

	我不会忘掉那些人。那些造出了我和其他怪物的人。那些用我们去做坏事的人。在这片大地变得不会伤害别人之前......我还是要让这些人受到惩罚。那要很疼，很疼，让他们也忘不掉才行。
	あの人たちのことは忘れない。私や他の化け物を作り出した人たち。私たちを使って悪いことをしてた人たち。この大地が人を傷つけることを止めるまで、あの人たちに罰を受けさせないといけないの。とっても、とっても痛くして、忘れられないようにしてあげなきゃ。
	I won't forget about those people. They created me and those monsters. They wanted to use us to do bad things. Before the world finally stops hurting us all... I'll punish these people. I will make it really, really hurt, so they never, ever forget.
	그 사람들을 잊진 않을 거야. 나나 다른 괴물을 만들어낸 사람들. 우리를 이용해서 나쁜 짓을 한 사람들. 이 대지가 사람에게 상처 주는 일을 그만둘 때까지, 그 사람들이 벌을 받게 해야 해. 엄청, 엄청 아프게 해서, 잊지 못하도록 해줘야 해.

	啊......你是博士，对吧？我昨天才复习了一下终端上的记事，嗯，我想起来了，博士。你现在可以指挥我了，我们去出任务吧？要记得用好我的能力哦。
	あっ……あなたはドクター、だよね？昨日端末のメモで復習したばっかりだから。うん、思い出した、ドクター。もう私に命令していいよ、任務に行くでしょ？私の能力（ちから）、うまく使ってね。
	Oh... You're the Doctor, right? I went over the records on the terminal just yesterday. Yep, I remember now, Doctor. You can give me orders. Let's go on a mission? Make sure to use my powers well.
	아…… 너는 박사지? 어제 단말기의 메모를 보고 복습한 참이거든. 응, 생각났어. 박사. 이제 나한테 명령해도 돼, 임무 나갈 거지? 내 힘, 잘 써줘.

	嗯......博士是太累了吧，打瞌睡的时候也很不踏实的样子。抱抱博士，应该能让博士感觉好一点吧。轻轻地，安稳地睡吧。我懂的......就算在梦里也在挣扎的样子。我明白的。
	うん……ドクター、きっと疲れが溜まってるんだね。居眠りしてるのにすっごく不安そう。ギューってしてあげたら、少しは安心できるかな。ゆっくり、穏やかに眠れたらいいな。私もわかるから……夢の中でも苦しいんだね。わかるよ。
	Hmm... the Doctor is taking a nap. Looks restless, too. Must be tired. If I give the Doctor a hug, it should feel a little better, right? Just relax and sleep well. I know how it feels... It hurts even in your dreams, right? I can tell.
	음…… 박사, 분명 피로가 쌓여 있는 거겠지. 졸고 있는데도 굉장히 불안해 보여. 꼬옥 안아주면 조금은 안심할 수 있으려나? 느긋하게, 마음 편히 잤으면 좋겠네. 나도 아니까…… 꿈속에서도 괴로운 거지? 이해해.

	你好博士，精英干员迷迭香来报道了。凯尔希批准了，你现在可以指挥我和我的小队。把我的能力用在对的地方吧，博士。对了，我很容易忘事，记得提醒我。
	こんにちは、ドクター。エリートオペレーターのロスモンティスだよ。ケルシー先生の許可が出たから、私とチームの指揮権はドクターにあるよ。私の能力（ちから）を正しく使ってね、ドクター。それから、私は物忘れがひどいから、忘れてそうなことは教えてね。
	Hello, Doctor. I am Elite Operator Rosmontis. Ms. Kal'tsit has given her permission. You can give me and my team orders now. Use my power where it matters, Doctor. I also tend to forget about things pretty easily. Be sure to remind me if it looks like I might forget something.
	안녕, 박사. 정예 오퍼레이터인 로즈몬티스야. 켈시 선생님의 허가가 떨어졌으니까, 나와 팀의 지휘권은 박사에게 있어. 내 힘을 올바르게 사용해줘, 박사. 그리고, 나는 건망증이 심하니까, 잊고 있을 것 같은 건 알려줘.

	嗯......我学会了。这种战术我能用得上。
	うん……覚えた。こういう戦い方なら、私にもできる。
	Yeah... I got that down now. I can use this in battle.
	응…… 기억했어. 이런 전투 방법이라면, 나도 할 수 있어.

	我问过凯尔希，为什么我能当精英干员，很多人都在背后说我不适合，我知道的。凯尔希说，因为只有成为精英干员，我才能记住，才能变得更好。我在努力。
	ケルシー先生に聞いたことがあるよ。なんで私なんかがエリートオペレーターなのかって。みんな、裏でこっそり私には無理だって言ってるのも知ってる。でも先生は、エリートオペレーターになれば、きっと色々覚えられて、もっといい人間になれるからって言ってくれた。うん、今頑張ってるところだよ。
	I asked Ms. Kal'tsit why I'm an elite operator. Lots of people talk behind my back. They say I'm not right for the job. Ms. Kal'tsit said that if I become an elite operator, I'll remember more, and I'll become a better person. Yep, I'm doing my best.
	켈시 선생님한테 들은 적 있어. 왜 나 같은 게 정예 오퍼레이터인지 말이야. 다들 뒤에서 몰래 나한텐 무리라고 말한다는 것도 알고 있어. 그래도 선생님은 정예 오퍼레이터가 되면, 분명히 많은 걸 배우고 더 좋은 사람이 될 수 있다고 말해줬어. 응, 지금 열심히 하고 있어.

	这片大地不会那么轻易就变好的，人却很容易就随着周围的东西一起变坏了。博士，我们不可以变成坏人。你要是变坏，会很坏很坏。我不会让你变成那样。
	この大地は簡単に良くならないのに、人間は周りに流されてすぐに悪くなっちゃう。ドクター、私たちは悪い人になっちゃダメだよ。もしドクターが悪い人になるなら、きっとすっごく悪い人になっちゃうと思う。そんなことはさせない。
	This world isn't going to get better so easily, but humans tend to get worse because of their surroundings. Doctor, we can't turn into bad people. If you do, I am sure you'll be really, really bad. I won't let you turn out like that.
	이 대지는 쉽게 좋아지지 않는데, 사람은 주변에 휩쓸려서 금방 나빠져 버려. 박사, 우리는 나쁜 사람이 되면 안 돼. 혹시 박사가 나쁜 사람이 된다면, 분명, 굉장히 나쁜 사람이 될 거라고 생각해. 그렇게 두진 않을 거야.

	该出任务了吗？我知道的，我会保护好罗德岛的干员们的。一定。
	任務？うん、わかってる。私がオペレーターのみんなを守るよ。絶対に。
	Time for a mission? Yeah, I know. I will protect all of Rhodes Island's operators. I promise.
	임무? 응, 알고 있어. 내가 오퍼레이터 모두를 지킬 거야. 반드시.

	要我做队长吗？明白，我能做好。不是我自己的小队也没关系，我会用好他们对我的支援的。
	私が隊長なの？うん、大丈夫。自分のチームじゃなくても、みんなのサポートをうまく活かすから。
	I am the leader? Don't worry. They may not be from my team, but I'll make sure their support doesn't go to waste.
	내가 팀장이야? 응, 괜찮아. 내 팀이 아니어도, 모두의 서포트를 잘 활용할 테니까.

	放心吧，我能控制好我的法术。
	安心して、アーツのコントロールはちゃんとできるから。
	Don't worry. I know how to control my Arts.
	안심해, 아츠의 컨트롤은 잘할 수 있으니까.

	我不想家人受到伤害。我会把可能伤害到家人的东西全毁掉。
	家族が傷つけられるのは嫌。家族を傷つけそうなものは、全部壊すよ。
	I don't want to see my family get hurt. I will destroy everything that could hurt my family.
	가족이 상처받는 건 싫어. 가족에게 상처를 줄 만한 건, 전부 부술 거야.

	我不会把你的事情记下来的。
	あなたのこと、覚えておくつもりはないよ。
	I won't remember you.
	널 기억할 생각은 없어.

	给我命令吧，我一定能完美地执行。
	命令を出して。完璧にやってみせるから。
	Give me your order. I will see it through.
	명령을 내려줘. 완벽하게 해낼 테니까.

	要开始了。
	始まる。
	It's starting.
	시작한다.

	你们站远一些好了，不喜欢接下来的事情的话，就不要看这边。
	今から起きることを見たくないなら、離れてて。こっちを見ないでね。
	Stand back. If you don't want to see what's about to happen, don't look.
	지금부터 일어나는 일을 보고 싶지 않다면, 떨어져 있어. 이쪽을 보지 말아줘.

	痛的话就叫出来，会好受些的。
	痛ければ叫ぶといいよ、少しは楽になるから。
	If it hurts, just cry out. It'll feel better.
	아프면 소리를 질러, 조금은 편해질 테니까.

	投降的话就不会受伤。
	降参すれば、怪我しなくて済むよ。
	If you surrender now, I won't hurt you.
	항복하면 다치지 않고 끝나.

	你不会死......我会小心一些。我不会让你死掉。
	あなたは死なない……死なせないように気をつける。
	You won't die... I'll make sure you don't die. 
	넌 죽지 않아…… 죽이지 않도록 조심할게.

	有些事一定得有人去做。有些事只有我能做。
	誰かがやらないといけないことがある。私にしかできないことがある。
	There are things that have to be done by someone. There are things that only I can do.
	누군가는 꼭 해야 하는 일이 있어. 나만 할 수 있는 일이 있어.

	要是有一天可以不用再使这些法术的话......唔。那一天会是什么样？我想不出。
	いつかこんなアーツを使わなくていい日がきたら……うーん、そしたらどんな一日になるのかな？想像できない。
	If there comes a day when I can't use these Arts again... Hmm. What will that day be like? I can't imagine.
	언젠가 이런 아츠를 쓰지 않아도 되는 날이 온다면…… 으음, 그러면 어떤 하루가 될까? 상상이 안 가.

	做得好，博士，你真棒，谢谢你。
	よくできたね、ドクター。よしよし、ありがとう。
	That was very nice, Doctor. There, there. Thanks.
	잘했네, 박사. 옳지 옳지, 고마워.

	我来处理剩下的。很快的。
	残りは私が片付けておくよ。すぐに終わるから。
	I will take care of the rest. It won't take long. 
	나머지는 내가 정리해둘게. 금방 끝날 테니까.

	我......我不走。我绝对不可以让别人失望。我还可以挥剑......我可以丢掉剑！我还能行！我是不会走的！
	いや、私は撤退しない。みんなを失望させるのは絶対嫌。まだ剣だって振るえる……いや、剣を捨ててもいい！それでもまだ戦えるよ！絶対に行かない！
	No... I won't retreat. I can't disappoint the others. I still have my sword... Even without my sword, I can still fight! I won't leave!    
	아니, 나는 퇴각하지 않아. 모두를 실망시키는 건, 정말 싫어. 아직 검도 휘두를 수 있어…… 아니, 검을 버려도 괜찮아! 그래도 아직, 싸울 수 있어! 절대 가지 않을 거야!

	请，请不要把我关在小房间里，我很害怕......我......很不喜欢那种房间。
	ち、小さい部屋に閉じ込めるのはやめて、怖いよ……あんな……あんな部屋はもう嫌なの。
	P-Please don't lock me in a small room. They're scary... I... I don't really like those kinda rooms.
	자, 작은 방에 가두지는 말아줘, 무서워…… 그런…… 그런 방은 이젠 싫어.

	不，不要碰我！......你会受伤的。
	さ、触らないで！……怪我しちゃうから。
	D-Don't touch me! ...You'll get hurt. 
	마, 만지지 마! ……다치니까.

	嗯......我，我会忍住不搞折你的手......
	えっと……あ、あなたの手を折っちゃわないように我慢するね……
	Um... I-I'll try to bear with it... and not break your hand...
	저…… 네, 네 손을 꺾지 않도록 참을게……

	明日方舟。
	アークナイツ。
	Arknights.
	아크나이츠.

	啊，你是，博士。
	あ、あなたは、ドクターだね。
	Oh, you're the Doctor, right?
	아, 너는, 박사구나.
