ID:
	char_140_whitew
	造影检测结果显示，该干员体内脏器轮廓模糊，可见异常阴影，循环系统内源石颗粒检测异常，有矿石病感染迹象，现阶段可确认为是矿石病感染者。
	
	【体细胞与源石融合率】13% 
	干员拉普兰德体表已生成大量源石结晶。 
	
	【血液源石结晶密度】0.27u/L
	需要严密监控干员拉普兰德的病症进程。

	健康診断 :
	造影検査の結果、臓器の輪郭は不明瞭で異常陰影も認められる。循環器系源石顆粒検査の結果においても、同じく鉱石病の兆候が認められる。以上の結果から、鉱石病感染者と判定。
	
	【源石融合率】13%
	体表には既に大量の源石結晶が生成されている。
	
	【血液中源石密度】0.27u/L
	病状には厳密な経過観察が必要である。

	Clinical Analysis :
	Imaging test for this Operator showed blurry outline of internal organs with visible unusual dark spots. Unusually high concentration of Originium particles were present in her circulation, indicating signs of infection and confirming her as infected at this stage. 
	
	[Cell-Originium Assimilation] 13% 
	Operator Lappland showed a massive amount of crystal formation. 
	
	[Blood Originium-Crystal Density] 0.27u/L 
	Strict monitoring of Operator Lappland's condition is required.

	임상 진단 분석 :
	    방사선 검사 결과, 본 오퍼레이터는 내장 기관의 윤곽이 흐릿하며, 비정상적인 음영이 존재하는 것으로 확인됨, 순환 계통 내 오리지늄 입자 검사 결과 이상 확인. 광석병 감염 증세 있음, 현단계로서는 광석병 감염자로 판단됨.
	
	[체세포와 오리지늄 융합률] 13%
	오퍼레이터 라플란드의 체표면에는 이미 많은 오리지늄 결정이 생성.
	
	[혈중 오리지늄 결정 밀도] 0.27u/L
	오퍼레이터 라플란드의 병세를 엄밀하게 지켜볼 필요가 있음

———————————————————————————————

	档案资料一 :
	我们很难轻易理解拉普兰德的为人。有人认为她是一个十足的战斗狂人，而实际上，她在日常中表现得颇为有礼，甚至会主动与人攀谈，讲一些有点残酷的黑色笑话，同时观察听者的反应。但无论如何，拉普兰德依旧是一名危险分子，即使在她最放松的时候，她依旧会令人畏惧。
	由于显示出较为严重的矿石病感染情况已经为她带来一定的影响，干员拉普兰德已被列为医疗组监控对象之一。
	若干未经证实的情报显示，拉普兰德极有可能出身于叙拉古最为危险的某个家族。但在勘查过所有叙拉古过去活动或正在活动的家族名单后，并未发现拉普兰德与这些家族间存在联系。基于对叙拉古统治家族的调查拥有极高的危险性，相关调查工作已终止。

	第一資料 :
	ラップランドの人となりを理解するのは容易ではない。相当の戦闘マニアと思われがちだが、実は普段の彼女は礼儀正しく、積極的に人に話しかけ、ブラックジョークを披露しては相手の反応を伺う。とはいえ、ラップランドは危険な存在に変わりはない。たとえ、とてもリラックスしている状態の彼女でも、人に恐怖を与えてしまう。
	顕在化している鉱石病の感染状況は重篤で、既に彼女の体に影響をもたらしているため、ラップランドは医療部の経過観察対象者になっている。
	確証はないが、ある情報によると、ラップランドはシラクーザで最も危険な一族の出身である可能性が高い。ただ、過去にシラクーザで活動していた。また現在も活動しているあらゆる一族の家系図を見ても、彼女との関係は確認されなかった。シラクーザを統治する一族に対しての調査は極めて高い危険性があることにより、関連調査作業は既に終了している。

	Archive File 1 :
	We have struggled to understand Lappland's personality. Some consider her simply mad, despite how polite and personable she can be in daily life. She actively seeks out people to converse with, indulging her taste for gallows humor, eager to see how her conversation partners will respond. Still, we know Lappland to be a dangerous element, and even at her most well-behaved, she remains frightening. 
	Lappland has been marked for close medical observation due to severe symptoms of Oripathy. 
	According to as yet unconfirmed reports, Lappland might have come from a certain family in Siracusa known for moving in certain dangerous circles, but scouring all active and inactive lists involving Siracusa failed to connect Lappland to any of the families. Because of the extreme risk involved in probing the Siracusan families, the investigation has been terminated.

	파일 자료 1 :
	    라플란드라는 사람은 몹시 이해하기 어려운 사람이다. 누군가는 그녀를 전투광이라고 생각하지만, 사실 그녀는 평소에 굉장히 예의가 바른 모습을 보여주며, 약간 잔혹한 블랙 조크에 가까운 화제이긴 하지만 심지어는 주동적으로 타인에게 말을 걸고 그 반응을 관찰까지 하기 때문이다. 하지만 어찌 됐든, 그녀가 긴장을 풀고 있을 때조차 다들 그녀를 두려워할 정도로 위험한 사람이란 사실에는 변함이 없다.
	    비교적 심한 광석병 감염 상황이 그녀에게 주는 영향으로 인해, 라플란드는 의료부의 주요 감시 대상 중 하나가 되었다. 약간의 검증되지 않은 정보에 따르면, 라플란드는 시라쿠사에서 가장 위험한 어떤 가문 출신이라고 하지만, 과거에 활동했던 모든 가문과 현재 활동 중인 모든 가문의 명단을 조사해봐도 라플란드와의 연관성은 찾을 수 없었다. 한편 시라쿠사의 통치 가문의 조사는 위험성이 너무 높기에, 관련 조사는 중단되었다.

———————————————————————————————

	档案资料二 :
	矿石病的创伤不止反应在生理层面，同时也体现在拉普兰德对于特定目标的异常执着上，这会导致她大量暴力行为的发生。
	尽管她的行动某种程度上均受到罗德岛的控制，但她在战场上我行我素的战斗方式，仍旧阻碍着她与部分干员之间的合作关系。
	拉普兰德较为特殊的矿石病症状，似乎在某种程度上强化了她原本的战斗能力，这在普通的矿石病感染者以及非矿石病干员身上是非常罕见的。她独特的武器——一对经过特殊设计的，带有东方风格的剑，可以配合她释放出法术效果的冲击性效果。由于她对源石技艺的控制似乎采用了未经训练，仅仅凭借天赋而产生的力量。尽管这种力量在释放上会受到弱化，但在拉普兰德吊诡的战斗风格与狂暴攻势下，这些弱点完全被她克服了。
	另一方面，拉普兰德极其擅长洞察敌人的弱点，这使得拥有特殊能力或源石技艺的敌人，在她的面前同样占不到便宜。只需数次对敌人技法的观察，拉普兰德就可以迅速封锁敌人的特殊能力。

	第二資料 :
	鉱石病から生まれる傷は生理的な側面にとどまらず、ラップランドの特定の目標への異常な執着心にも表れている。これが彼女の大量の暴力行為を誘発していると思われる。
	彼女の行動はある程度ロドスのコントロール下にあるが、戦場において彼女の我が道を行く戦闘スタイルは、他オペレーターとの連携の妨げになっている。
	ラップランドの鉱石病の症状は特殊で、彼女の元々の戦闘能力を更に強化しているようだ。これは通常の鉱石病感染者及び未感染オペレーターではほとんど見られないケースだ。彼女独自の武器――特殊なデザインで製造された極東風の双剣は、彼女の能力に合わせて攻撃的なアーツ効果を発揮することができる。彼女はアーツのコントロール訓練を受けずに、天性の能力で駆使しているようだ。この種のパワーは理論上は弱くなるはずだが、ラップランドの奇特な戦闘スタイルと凶暴な攻撃スタイルにより、この弱点は完璧に克服されている。
	一方で、ラップランドは特に敵の弱点を見つけることに長けており、特殊能力やアーツ能力を持つ敵に効果的だ。そのため、そういった敵は彼女の前では不利になる。数回敵の技を観察しただけで、ラップランドは敵の特殊能力を迅速に封じ込めてしまえるのだ。

	Archive File 2 :
	Lappland's Oripathy symptoms go beyond the physical to cause an abnormal obsession toward a certain target of hers, even spurring her to excessive violence. 
	Although Rhodes Island has exerted some degree of control over her behavior while deployed, she still does more or less whatever she wants in battle, which has been a problem for coordinated operations with her teammates. 
	Lappland's rather unique symptoms seem to enhance her fighting abilities--very rare among Infected. Her weapon, a specially designed eastern-style sword, complements her Arts. She appears to wield her Originium power untrained, through raw talent alone. Even though Lappland's powers decay rapidly when released, her deceptive fighting style and explosive offensive abilities have allowed her to master her weaknesses. 
	Furthermore, Lappland's uncanny ability to discern weakness neutralizes virtually any advantage an opponent with Originium power or other special ability may have. She is able to counter her enemy's attacks completely after only a few moments of observation.

	파일 자료 2 :
	    광석병은 생리적 측면에만 그 영향을 끼치는 것이 아니다. 광석병은 정신적으로 라플란드를 특정 대상에 대한 이상 집착을 보이게 만들었고, 여기엔 심각한 폭력 행위를 유발할 가능성도 존재한다.
	    라플란드의 행동은 로도스 아일랜드에 의해 일정 수준 제어를 받고 있긴 하지만, 전장에서 그녀가 보여주는 제멋대로식의 전투 방식은 여전히 다른 오퍼레이터들과의 협동에 큰 장애가 되고 있다.
	    라플란드의 광석병 증상은 비교적 특수한데, 자신의 원래 전투 능력을 일정 수준 강화한 것으로 보이며, 이는 일반적인 광석병 환자와 비감염자 오퍼레이터들 사이에서는 거의 찾아볼 수 없는 현상이다.
	    라플란드의 독특한 무기는 동양풍의 검으로, 특수한 설계 과정을 거쳐 그녀가 마법을 사용할 때 충격성 효과를 발생시킨다. 그녀는 오리지늄 아츠에 대한 제어 교육을 따로 받은 적이 없는 것으로 보이기에, 이는 순전히 자신의 재능에 기반해 발현하는 힘으로 판단된다. 비록 이 힘은 시전 될 시 어느 정도 약화된다는 단점이 있지만, 라플란드의 기괴한 전투 스타일과 난폭한 기세 덕분에, 이런 약점은 완전히 극복되었다.
	    한편, 라플란드는 적의 약점을 파악하는데 매우 뛰어나, 특수한 능력이나 오리지늄 아츠 제어 능력을 가진 자라 할지라도 라플란드와의 대결에서는 우세를 점하기가 힘들다. 상대의 기술을 몇 번 관찰하는 것만으로, 라플란드는 빠르게 상대의 특수 능력을 봉쇄할 수 있다.

———————————————————————————————

	档案资料三 :
	根据若干份调查报告与目击详情，干员拉普兰德对企鹅物流职员，作为罗德岛行动协助人员的德克萨斯怀有密切的关注，而对方也在有意回避双方的碰面。不过，即使在不得不进行合作的场合下，干员拉普兰德并未对德克萨斯采取过分的攻势，或者说，她在有意的配合德克萨斯的步调的情况下，对这种若即若离的关系乐在其中。
	针对企鹅物流其他协助人员，拉普兰德均报以热诚的态度加以对待，而她的行为并未得到其他企鹅物流成员的积极响应。每当双方碰面（尽管这样的情况分外罕见），总会形成一种微妙的尴尬氛围。
	针对罗德岛其他干员，拉普兰德会尽可能地满足和平共处的环境，只要没有人妨碍她的行动。
	【权限记录】
	针对干员红，所有鲁珀族干员表现出了同样的、源于生理性的忌惮反应，其中干员拉普兰德的应激性反应最为强烈，情绪中混杂着无法抑制的恐惧、鲜明的敌意，以及溢于言表的欣快。在尚未得出对干员拉普兰德极端化状态的应对方案前，建议完全避免其与干员红的接触。

	第三資料 :
	調査報告と目撃情報により、ペンギン急便の職員でありロドスに協力しているテキサスに対しラップランドは強い関心を持っているが、テキサスは故意に対面を回避していることがわかった。しかし、協力関係を結ばざるを得ない状況であっても、ラップランドはテキサスに対して過度にアタックすることはなかった。もしくは、彼女はわざとテキサスのペースに合わせ、付かず離れずの関係を楽しんでいるとさえ言える。
	ペンギン急便のその他の人員に対しては、ラップランドは平等に熱心で誠実な態度を示すが、彼女の行動は未だペンギン急便のメンバーからプラスな反応を得ていない。双方が顔を合わせるたびに（このような状況は極めて稀だが）、お互いに困惑した微妙な雰囲気になってしまう。
	ロドスの他のオペレーターに対しては、自身の行動を妨げようとする人以外とは、できる限り良好な関係を維持しようとしているようだ。
	【権限記録】
	レッドに対しループス族オペレーターは生理的な拒絶反応を示したが、その中でもラップランドの反応は最も強烈で、抑えられない恐怖や明確な敵意、および狂喜などを織り交ぜた感情を見せた。ラップランドの極端な状況時の対策ができるまでは、レッドとの接触を完全に避けるべきであると提言する。

	Archive File 3 :
	Based on scattered reports and eyewitness accounts, Operator Lappland has a close personal connection to Penguin Logistics employee Texas, a liaison from the company to Rhodes Island. Texas, for her part, makes a concerted effort to avoid contact with Lappland. Still, in situations where they were forced to work together, Lappland has not gone out of her way to antagonize Texas. In fact, she seems to be taking some degree of pleasure in Texas playing hard-to-get, as it were. 
	Lappland treats other PL personnel cordially, but they have not warmed to her, and their meetings are always rather awkward (though thankfully rare). 
	Lappland tries to get along with other Rhodes Island Operators, as long as no one gets in her way. 
	[Classified Log] 
	All Lupus Operators display a guarded reaction to Operator Projekt Red's presence, with Operator Lappland exhibiting the most intense, most uncontrollable aura of dread and animosity, as well as inexplicable euphoria. Until a solution is devised to mitigate the tension, keeping the two separated is advised.

	파일 자료 3 :
	    몇몇 조사 보고와 목격담에 따르면, 오퍼레이터 라플란드는 펭귄 로지스틱스의 직원이자 로도스 아일랜드 협력 인원 중 한 명인 텍사스에 대하여 상당한 관심을 보이고 있다고 하나, 텍사스는 의도적으로 마주치는 것을 피하고 있다고 한다. 그러나 어쩔 수 없이 함께 작전을 수행해야 하는 상황에서 오퍼레이터 라플란드는 텍사스에게 지나치게 적극적인 태도로 다가가거나, 의도적으로 텍사스의 걸음걸이에 맞춰 걸으면서 이런 모호한 관계를 즐긴다.
	    라플란드는 다른 펭귄 로지스틱스의 협력 인원들에게도 열렬한 태도를 보이지만, 이들로부터 큰 호응을 얻지는 못했다. 양측이 서로 마주칠 때 마다(이럴 일은 매우 드물지만), 이들 사이에는 조금 어색한 기류가 감돈다.
	    누군가 자신의 행동을 방해하지만 않는다면, 라플란드는 로도스 아일랜드의 다른 오퍼레이터들을 위해 최선을 다하여 평화로운 환경을 조성하기 위해 노력할 것이다. 
	[제한된 기록]
	    오퍼레이터 레드에 대하여 모든 루포 족 오퍼레이터들은 거의 본능적인 수준의 거부 반응을 나타냈으며, 이중 라플란드는 제어할 수 없는 공포, 선명한 적의, 감출 수 없는 기쁨이 혼재된 정서 상태를 나타내며 가장 극심한 스트레스성 반응을 보였다. 오퍼레이터 라플란드의 극단적 상태에 대한 대처 방안이 나오기 전까진, 오퍼레이터 레드와의 접촉을 금할 것을 권고한다.

———————————————————————————————

	档案资料四 :
	【权限记录】
	来自某保密渠道取得的留言：
	为了你的未来考虑，你需要谨慎选择对待拉普兰德的方式。
	她是落单的狼（注：此处的用语为鲁珀族中的俚语，指代不被认可的鲁珀族人），而且受过很重的伤。她永远地失去了家族，也永远不会再投身于另一个家族。
	你不必知道究竟是什么支撑她活到现在的，你可以尝试治疗她的伤，但你也要记住，疯狂是永远无法被治愈的。
	一切过去都不能再被重现了。
	如果你仍决定保持着与她的联系，那么你终会面临选择，也许......你还没有做好对她拔刀相向的准备。
	所以，请再一次聆听我对你的忠告：为了你，以及你所重视的人的未来，请你慎重选择。

	第四資料 :
	【権限記録】
	ある機密ルートより取得したメッセージより：
	ラップランドへの接し方を慎重に選びなさい。これはあなたの未来のためだ。
	彼女はヒトリオオカミ（注：ここで使われているのはループス族の俗語で、認められなかったループス族のことを指している）で、深い傷を抱えている。永遠に家族を失い、二度とほかの一族のために身を捧げることもない。
	彼女が何を支えにして生きてきたのかを知る必要はない。彼女の傷を治そうとするのはいいが、これだけを覚えておけ。狂気は永遠に癒えることはないと。
	どんな過去も繰り返されてはならない。
	もしそれでも彼女との関係を保ち続けると決めたのなら、そのうち選択を迫られるだろう。もしかすると……あなたはまだ彼女に牙を剥き対峙する準備ができていないのかもしれないね。
	だから、もう一度この忠告をよくお聞き。あなたのために、それからあなたの大切な人の未来のために、くれぐれも選択は慎重にしなさい。

	Archive File 4 :
	[Classified Log]
	Comment accessed from another classified source: 
	In the future, you may want to think carefully about how you handle Lappland. 
	She's alone wolf(note: this is Lupus slang for a Lupus ostracized from the community) who's been hurt. She's lost her family and will never truly be a part of another one. 
	You don't need to know what's been keeping her alive till now, and you can try to heal her wounds, but remember this: Madness can never be healed. 
	Nothing in her past should happen again. 
	If you still decide to keep her around, you'll ultimately be faced with a choice... Maybe you're not yet mentally ready to fight her. 
	So please, listen to my advice again: For your sake and the sake of those you care about, do choose wisely.

	파일 자료 4 :
	[제한된 기록]
	    한 비밀 경로를 통해 획득한 메시지: 
	    당신의 미래를 위해서라도, 당신은 라플란드를 대하는 방식을 선택함에 있어 신중을 기할 필요가 있다. 그녀는 '외톨이 늑대'이며(주의: 해당 용어는 루포 족의 속어로, 루포 족으로 인정받지 못한 루포 족을 지칭한다), 큰 상처를 입은 적이 있다. 그녀는 자신의 가족과 영원히 이별하였고, 다른 이들의 가족이 되는 일도 영원히 없을 것이다.
	    지금까지 그녀의 삶을 지탱해준 것이 무엇인지 당신이 알 필요는 없다. 그녀의 상처를 치료해보는 건 당신의 자유지만, 기억해둬야 할 것은 그녀의 광기는 영원히 치료될 수 없다는 것이다.
	    모든 지난 일은 다시 재현될 수 없다. 만약 당신이 그녀와의 관계를 유지하길 원한다면, 당신은 언젠가는 선택의 기로에 서게 될 것이다. 어쩌면, 당신은 아직 그녀에게 칼끝을 겨눌 준비가 안된 것이겠지.
	    그러니, 당신에 대한 내 충언을 잘 듣길 바란다. 당신과 당신이 소중히 여기는 사람들의 미래를 위해, 다시 한 번 신중한 선택을 부탁한다.
