ID:
	char_347_jaksel
	    아버지의 동의를 받아 로도스 아일랜드의 오퍼레이터가 되었으며, 근접 격투 방면에서 훌륭한 재능을 발휘, 현재 각종 임무에서 활약 중이다.

———————————————————————————————

	临床诊断分析 :
	造影检测结果显示，该干员体内脏器轮廓模糊，可见异常阴影，循环系统内源石颗粒检测异常，有矿石病感染迹象，现阶段可确认为是矿石病感染者。
	
	【体细胞与源石融合率】3%
	由于感染病症时间较短，干员体表仅有少量源石结晶分布。
	
	【血液源石结晶密度】0.16u/L
	由于及时接受治疗，且干员本身身体素质较佳，因此病情目前较为乐观，定期接受治疗的话，不会对身体造成很大负担。

	健康診断 :
	造影検査の結果、臓器の輪郭は不明瞭で異常陰影も認められる。循環器系源石顆粒検査の結果に異常があり、鉱石病の兆候が認められる。以上の結果から、鉱石病感染者と判定。
	
	【源石融合率】3%
	感染期間が短いため、体表に確認できる源石結晶の分布はごく僅かである。
	
	【血液中源石密度】0.16u/L
	早い段階で治療を受け始め、本人の身体能力も優れているため、現段階では病状に悪化の見込みはない。定期的に治療を受ければ、身体にさほど負担がかかることもないだろう。

	Clinical Analysis :
	Imaging tests have shown the outlines of her internal organs to be indistinct due to abnormal shadows. Originium granules have been detected in her circulatory system, confirming her to be infected with Oripathy. 
	
	[Cell-Originium Assimilation] 3%
	Due to short infection duration, only small traces of infection are visible on the surface of the body. 
	
	[Blood Originium-Crystal Density] 0.16u/L
	Thanks to timely treatment and physical fitness, the current prognosis is optimistic. With regular treatment, there will not be much burden on the body.

	임상 진단 분석 :
	    방사선 검사 결과, 본 오퍼레이터는 내장 기관의 윤곽이 흐릿하며, 비정상적인 음영이 존재하는 것으로 확인됨. 순환계통 내 오리지늄 입자 검사 결과 이상 확인. 광석병 감염 증세 있음. 현 단계로서는 광석병 감염자로 판단됨.
	
	[체세포와 오리지늄 융합률] 3%
	감염된지 얼마 되지 않아 오퍼레이터 체표면에는 소량의 오리지늄 결정만이 분포 되어있음
	
	[혈중 오리지늄 결정 밀도] 0.16u/L
	제때 치료를 받은 데다 오퍼레이터의 신체 조건이 좋아, 현재는 비교적 낙관적인 상황이다. 정기적인 치료를 받는다면 당장은 몸에 큰 문제를 일으키진 않을 것이다.

———————————————————————————————

	档案资料一 :
	精力旺盛的佩洛女孩。
	无论何时都充满活力，仿佛没有什么能让她失落的事情一样，对人也十分友善，因此受到许多干员的喜爱，部分较为年长的干员更是将她当做妹妹甚至女儿一样宠爱。
	最喜欢和人宣扬她父亲的光辉事迹。

	第一資料 :
	活力に満ちたペッローの女の子。
	いつでも元気いっぱいで、何があっても彼女を落ち込ませることなど不可能だと思わせる。他人に友好的に接しているため、多くのオペレーターに好かれている。一部の年上のオペレーターは、彼女を妹や娘のように可愛がっている。
	父親の輝かしい軌跡を自慢することが大好きである。

	Archive File 1 :
	An energetic Perro girl. 
	She is always full of vigor and never remains down for long. As she acts friendly to everyone, she is well-liked by most operators and some older operators even treat her as a cherished sister or daughter. 
	She enjoys regaling others with stories of her father's glorious deeds.

	파일 자료 1 :
	    기운 넘치는 페로 여자아이.
	    언제나 활기차고, 그 어떤 일도 그녀를 낙담시킬 수는 없을 것 같은 모습을 보여주며 다른 사람에게도 매우 친절하다. 때문에 많은 오퍼레이터들의 사랑을 받고 있으며 비교적 연령대가 높은 일부 오퍼레이터들은 그녀를 여동생이나 심지어는 딸처럼 예뻐한다.
	    사람들에게 아버지의 업적을 소개하는 것을 가장 좋아한다.

———————————————————————————————

	档案资料二 :
	众所周知，这片大地上的大部分感染者，能够不依靠施术单元就进行施法。
	不过一方面，这相当于在运用自己体内的源石进行施法，很有可能会加速矿石病的恶化，另一方面，像杰克这样的轻度感染者，能够运用的源石能量其实是很少的。
	因此，在条件允许的情况下，即使是感染者术师也会倾向于通过施术单元来施法。也因此，罗德岛会为每一位术师干员都发放施术单元。
	——事实上工程部的工程师们对于研制各种奇形怪状的施术单元有着极大的热情，他们的日常乐趣之一就是造一些完全看不出来是施术单元的玩意，然后发现这玩意确实无法作为施术单元使用。
	杰克腰间的就是工程部的得意之作，编号PT-29铳型施术单元。
	不过很遗憾的是，杰克虽然申请了这样一个施术单元，但那只是辅警时期的习惯使然，她本人事实上对于法术课程毫无兴趣，成绩也十分糟糕。因此，时至今日，这个施术单元更多只是作为装饰使用。

	第二資料 :
	周知の通り、この大地の大多数の感染者は、アーツユニットを用いらずにアーツを駆使することができる。
	だがそれはすなわち自分の体内にある源石を用いてアーツを駆使しているため、鉱石病の悪化を早める恐れがある。また、ジャッキーのような軽症者の場合、運用可能な源石のエネルギーは非常に限られている。
	したがって、状況が許す限り、感染者の術師でもアーツユニットを用いる傾向にある。ロドスも同じ理由で術師一人ひとりにアーツユニットを配布している。
	――実を言うと、エンジニア部のエンジニアたちは奇怪な形状のアーツユニット開発に大きな情熱を抱いている。彼らの日頃の楽しみの一つが、見た目から何一つアーツユニットらしさが見当たらない物体を作成することで、そして本当にアーツユニットとしての使い道がないことが実証されるまでがワンセットである。
	ジャッキーの腰にかけられているものもまさにエンジニア部渾身の一作で、番号PT-29の銃型アーツユニットである。
	だが残念なことに、ジャッキーがこのようなアーツユニットの受領を申請したのは、補助警察として働いていた頃の習慣からくるもので、本人はアーツ関連の授業に全く興味がなく、成績も悪いの一言に尽きる。そのため、件のアーツユニットは今日もただの装飾品として存在するだけである。

	Archive File 2 :
	As everyone knows, most Infected are able to cast Arts without the help of an Arts Unit. 
	On one hand, this is equivalent to using the Originium within one's body for casting Arts, which is likely to exacerbate one's Oripathy. On the other hand, mildly infected individuals like Jackie aren't able to channel much energy for Arts. 
	For this reason, even Infected Casters often prefer to cast Arts through an Arts Unit whenever possible. Similarly, Rhodes Island provides an Arts Unit to every Caster operator. 
	——In fact, the Engineering Department is very passionate about designing Arts Units of all shapes and sizes. One of their favorite pastimes is developing 'Arts Units' that look nothing like conventional units— and often don't work at all. 
	The Arts Unit that hangs at Jackie's waist, gun-type Arts Unit PT-29, is the pride of the Engineering Department. 
	Regrettably, even though Jackie applied for such an Arts Unit, it is only due to a habit formed while serving as an auxiliary police officer. Jackie herself is incredibly uninterested in the subject of Arts and her scores are very disappointing. Because of this, this Arts Unit is mostly an accessory to this day.

	파일 자료 2 :
	    다들 알다시피, 이 세상의 감염자 대부분은 아츠 유닛에 의존하지 않고도 아츠를 시전할 수 있다.
	    하지만 이는 자신 체내에 있는 오리지늄을 이용하는 방식으로, 광석병의 악화를 가속 시킬 가능성이 높은데다, 재키와 같은 가벼운 감염 증상을 보이는 감염자의 경우엔 운용할 수 있는 오리지늄 에너지 자체가 매우 적다.
	    그렇기에 가능하다면 감염자 캐스터들도 아츠 유닛을 통해 아츠를 시전하는 방식을 선호하며, 로도스 아일랜드는 모든 캐스터 오퍼레이터에게 아츠 유닛을 보급하고 있다.
	
	        엔지니어링부의 엔지니어들은 온갖 특이한 아츠 유닛을 연구개발하는데 굉장한 열정을 보이고 있다. 이들의 평소 오락거리 중 하나는 바로 겉으로만 봐서는 전혀 티가 나지 않는 아츠 유닛을 만드는 것인데, 늘 만들고 난 후에야 해당 제품이 아츠 유닛으로써 제대로 사용될 수 없다는 사실을 알아채곤 한다.
	    재키의 허리에 장착된 것이 바로 엔지니어링부의 역작, 모델 넘버 PT-29의 총기 형태 아츠 유닛이다.
	    다만 매우 유감스러운 점은, 비록 재키가 이런 아츠 유닛을 신청하긴 했지만, 이는 그저 보조 경찰 시절의 습관이었을 뿐, 정작 그녀 본인은 아츠 수업에 아무런 흥미가 없는 데다 성적마저 엉망이라는 것이다. 이러한 이유로, 지금 이 아츠 유닛은 그저 액세서리로 사용될 때가 더 많은 상황이다.

———————————————————————————————

	档案资料三 :
	据杰克所说，她母亲在生她的时候难产而死，因此她是被父亲一手带大的。而且，她非常崇拜她的父亲。
	她总是不厌其烦地向其他人讲述她的父亲作为警察多有么能干，帮助了多少人，获得了怎样的荣誉等等，以至于有些和她同队的干员甚至都要能全文背诵了。
	虽然她的故事中多少有一些夸张成分，但至少，从亲自送成为感染者的女儿前来罗德岛，而且在舰内短暂居住的时间里也没有表现出对其他感染者的反感，甚至在部分了解罗德岛作为医药公司之外的一面后同意女儿加入罗德岛这些事情来看，他至少不是一个对感染者有巨大偏见的人，即使他只是懂得忍耐，这在非感染者中也已经是非常难得的事情。
	而杰克日常生活中表现出的活泼以及良好教养，想来也是其父教育得当的结果。
	这样看来，她的父亲确实是一位值得尊敬的好警察，同时也是一位好父亲。

	第三資料 :
	ジャッキーによると、母親は彼女を産む時に難産で亡くなったため、父親によって育てられたという。そして、彼女は父親を非常に崇拝している。
	彼女は父親がいかに警察官として有能なのか、どれほどの人々を助けたのか、どのような表彰を受けたのかについて何度でも飽きることなく繰り返し話す。彼女と同じ隊にいるオペレーターは、もうほぼ暗唱できそうなほどである。
	彼女の語りには多少の誇張はあるのだろうが、少なくとも、自ら感染者となった娘をロドスに送り届けたこと、艦内でしばらく滞在した際に他の感染者へ反感を示さなかったこと、更にはロドスの製薬会社としての一面以外の姿も垣間見た上で、なお娘のロドス加入に同意したことなどを見る限り、ジャッキーの父親は感染者に対して大きな偏見を抱いているわけではないことがわかる。たとえそれが単に我慢の結果だとしても、それができたこと自体、非感染者の中でもなかなか珍しいのだ。
	また、ジャッキーの日常生活で見せる活発さや十分な教養も、父親の教育の賜物だろう。
	これらを顧みれば、ジャッキーの父親は確かに尊敬に値する良い警察官であり、良い父親なのだろう。

	Archive File 3 :
	According to Jackie, her mother passed away from complications during her birth and she was single-handedly raised by her father. Jackie greatly reveres her father. 
	She will happily describe in great detail how amazing of a policeman her father is, how many people he's helped and what accolades he's received. Some of her teammates can even recite her entire speech from beginning to end by heart now. 
	Her story may be hyperbolic to some extent, but her father was still willing to bring his own infected daughter to Rhodes Island in person. Throughout his short stay in Rhodes Island, he never openly displayed any animosity towards the other Infected, and even remained agreeable to his daughter joining Rhodes Island after learning about some of Rhodes Island's more dubious activities. At the very least, he is not overly biased towards the Infected, even if he is just exercising self-restraint. That alone is already very rare amongst the non-Infected. 
	Jackie's good manners and lively attitude in daily life is likely also a result of her father's teachings. 
	From that perspective, her father is indeed a policeman worth respecting, and a good father.

	파일 자료 3 :
	    재키의 말에 따르면 그녀의 어머니는 그녀가 태어날 때 난산으로 사망했기에 쭉 홀아버지 밑에서 자랐다고 한다. 그래서인지 그녀는 아버지를 무척이나 존경하고 있다.
	    재키는 늘 다른 사람들에게 자신의 아버지가 경찰로서 굉장히 유능하고, 얼마나 많은 사람들을 도왔으며, 어떤 명예를 얻었는지 등을 이야기하는 걸 즐기는데, 일부 같은 팀 오퍼레이터들은 이미 해당 내용을 통째로 외웠을 정도다.
	    물론 그녀의 이야기에는 다소 과장된 부분이 있긴 하지만, 아버지가 직접 감염자가 된 딸을 로도스 아일랜드에 데려왔다는 점이나, 선내에 잠시 머무는 동안에도 다른 감염자에게 반감을 드러내지 않았다는 점, 심지어 로도스 아일랜드가 단순한 제약회사가 아니란 점을 알게 된 후에도 딸의 합류를 허락했다는 점으로 미루어 보아, 적어도 그녀의 아버지는 감염자에게 큰 편견이 없는 사람이라고 추측된다. 설령 그런 반감을 감추고 있었던 것이라 할지라도, 이는 비감염자 중에서도 매우 드문 경우에 속할 것이다.
	    일상생활 속에서 재키가 보여주는 활발하고 교양 있는 모습은 아마도 그녀의 아버지가 가정교육을 훌륭히 시켜준 결과일 것이리라.
	    그녀의 아버지는 확실히 존경할만한 훌륭한 경찰이자, 훌륭한 아버지다.

———————————————————————————————

	档案资料四 :
	有的人即使成为了感染者，可能依然会痛恨感染者；而有的人即使没成为感染者，对感染者也没有那么大的敌意。
	杰克就是这样的人。
	或许是受到父亲的影响，杰克对感染者的看法从一开始就不像大部分人那样充满敌意。在克服了最初的恐惧后，她迅速接受了感染者这一身份。
	而且，或许是从小就从家庭中汲取了足够爱情的原因，杰克拥有非常充沛的去爱他人的能力——这确实应当被称为一种能力，因为它是如此稀缺。而在来到罗德岛后，她的这种能力让她不仅和其他人成为了朋友，更让她找到了新的目标——帮助其他感染者。
	不仅仅是治好自己的病，也要帮助其他病人，这对她来说似乎是理所当然的事。

	第四資料 :
	自らが感染者となっても彼らを憎む者がいれば、感染者にならずとも彼らに敵意を持たない者もいる。
	ジャッキーは後者のタイプである。
	父親の影響か、ジャッキーの感染者への態度は初めから他の大勢のように敵意に満ちたものではなかった。最初の恐怖を乗り越えれば、彼女はすぐに感染者という新たな身分を受け入れた。
	さらに、幼い頃から十分な愛情を家庭で注がれたためか、ジャッキーは他人を愛する能力に長けている――それはあまりの希少さゆえに、確かに「能力」と呼ばれるべきステータスである。ロドスに入ってから、その能力ですぐに多くの友達を作れただけではなく、他の感染者を助けるという新しい目標を見つけることにも役立った。
	自分の病気を治すだけでなく、他の患者も助ける。彼女にとっては至極当たり前のことのようだ。

	Archive File 4 :
	Some people hold on to their hatred of the Infected even when they've become Infected themselves. Contrarily, some never hold much enmity towards the Infected, even while they're still uninfected. 
	Jackie is one of those people. 
	Perhaps as a result of her father's teachings, Jackie has never treated the Infected with hostility, unlike most other people. After overcoming her initial horror, she was able to quickly come to terms with her new identity as an Infected. 
	It is possible that since she was showered in love from a young age, Jackie has a great capacity for love towards others——This can be considered a legitimate ability, as rare as it is. After coming to Rhodes Island, not only did this ability allow her to befriend others easily, it also gave her a new goal——To help the other Infected. 
	Besides curing her Oripathy, she also wants to lend a hand to the other Infected. To her, it is only natural to do so.

	파일 자료 4 :
	    누군가는 감염자가 되더라도 여전히 감염자를 미워하기도 한다. 그리고 누군가는 감염자가 아니더라도 감염자에게 큰 적의를 보이지 않는다. 재키가 바로 그런 사람이다.
	    아버지의 영향인지는 모르겠으나, 감염자에 대한 재키의 시각은 처음부터 대부분의 사람들과 달리 적대적이지 않았다. 감염 직후 찾아오는 두려움을 극복한 후, 그녀는 감염자라는 자신의 신분을 빠르게 받아들였다.
	    그리고 어릴 때부터 가정에서 충분한 사랑을 받은 탓인지, 재키는 타인을 사랑하는 능력이 굉장히 뛰어났다. 타인을 사랑하는 것 역시 아무나 할 수 있는 건 아니기에, 이것도 확실히 능력의 일종으로 보아야 할 것이다. 로도스 아일랜드에 도착한 후, 재키의 이런 능력은 친구를 사귀는 것에 그치지 않고, 그녀로 하여금 다른 감염자를 돕겠다는 새로운 목표를 찾게 해주었다.
	    자신의 병을 고치는 것뿐만 아니라 다른 환자들도 도와줘야 한다는 것, 그녀에겐 이것이 무척이나 당연한 것처럼 여겨졌다.

———————————————————————————————

	晋升资料 :
	我们遇到的事情，遇到的人，有的时候会让我对未来忧心忡忡，担心我们的努力不会让它变得更好。
	但看到杰克这样的年轻人，看到她身上的纯粹，善良，朝气蓬勃，又让我坚定了最初的想法：我还有用，我要让这样的年轻人能够学到更多的知识，更好地认识这片大地，然后去让这片大地变得更好。
	——格里克老师于杰克中等常识课毕业时评语

	昇進資料 :
	出会う事柄や人間は、時には我々に未来に対して不安を抱かせ、努力があっても少しも良くならないのではないかと心配させることがある。
	だが、ジャッキーのような若者との出会い、彼女が持つ純粋さ、善良さ、そして活力に触れたことは、私にもう一度自分の初心を振り返らせた。そして改めて切に願うのだ。そう、私にはまだできることがある。このような若者により多くの知識を伝授し、よりこの大地のことを知り、それをより良いものにできるように導くことだ。
	――ギャリック先生、ジャッキーの中等常識課程終了時の評価より

	Promotion File :
	The things we encounter and the people we meet often leave me with a sense of foreboding, afraid that our efforts towards a brighter future are all for naught. 
	However, whenever I see a youngster like Jackie brimming with purity, kindness and vigor, I am reminded of my conviction: To guide these youngsters along the path of learning, so that they may gain more knowledge of the world, and help make it a better place. 
	——Instructor Guericke's remarks towards Jackie in her Intermediate General Studies class

	승진 자료 :
	    우리는 때때로, 겪게 되는 사건이나 만나게 되는 사람들로 인해 미래에 대해 걱정하기도 하고, 밝은 미래를 만들고자 하는 우리의 노력이 헛되지 않을까 걱정하기도 합니다.
	    하지만 재키 같은 젊은이의 몸에서 뿜어져 나오는 순수함과 선량함, 씩씩함을 보게 되면, 저는 지난날에 품었던 초심을 다시 떠올리게 됩니다. “저는 아직 쓸모 있고, 이런 젊은이들이 더 많은 지식을 쌓고, 이 세상을 보다 더 잘 이해할 수 있도록 도와, 궁극적으론 이들이 더 나은 세상을 만들 수 있게 할 것입니다.”
	——재키가 중등 상식 과정을 졸업할 당시 괴리케 선생이 남긴 말
