ID:
	char_298_susuro
	의학은 잔혹한 전쟁과 재앙에 대응하며 발전해 왔어. 즉, 우리 같은 의사에게는 그런 고난이 평생 따라다니지…… 응, 이미 각오는 되어 있어. 환자를 본래 누려야 할 삶으로 돌려보낼 수 있다면, 이런 괴로움은 별거 아니야.

	ドクターと一緒に過ごす時間は、とても……と、とても楽しい、と思う！もう、私がこういう話をするのは苦手ってわかってるのに聞こえないフリをするなんてひどいよ！ドクター、今度意地悪したら怒るからね！
	The time I've worked with you has been, uh... some of my happiest! Come on, Doctor, you know I'm not good with words, so don't play dumb!
	박사와 함께 보내는 시간은 굉장히…… 저, 정말 즐겁다고 생각해! 정말, 내가 이런 말을 잘 못 하는 거 알면서 안 들리는 척하다니 너무해! 박사, 다음에 또 짓궂게 굴면 화낼 거야!

	はい、万年筆。どうしてこれが欲しいのがわかったかって？まぁ、ドクターのもとでだいぶ働いてきたし、これくらいわかって当然でしょ？
	Here's a pen. How did I know you wanted it? Well, I've been working with you for a while now, isn't it natural I picked up on it?
	자, 만년필. 어떻게 이걸 원하는지 알았냐고? 뭐, 박사 밑에서 꽤 일했으니까 이 정도는 아는 게 당연하잖아?

	サイレンスさんやシャイニングさんと比べれば、私なんかまだまだ実力不足だよね。けど、どんな困難が待ってても絶対に怖気づいたりしないと誓うよ。このくらいの強い決意を持たないと、ドクターの信頼に応えられないでしょ？
	I'm still far below the level of Doctors Silence and Shining, but I'm not afraid of how hard it may be for me. How can I measure up to your confidence in me otherwise?
	사일런스 씨나 샤이닝 씨에 비하면 나는 아직 실력이 부족하지. 하지만 어떤 고난이 기다리고 있어도 절대 겁먹지 않겠다고 맹세할게. 이 정도로 강한 결의가 없으면 박사의 신뢰에 부응할 수 없잖아?

	甲板で浴びる陽の光はやっぱりあったかいなぁ。顔を撫でる風も気持ちいい……え？別にサボってるわけじゃないよ。ドクターだって疲れることはあるでしょ？だからドクターの悩みも、こっそりでいいから私にも打ち明けてほしいな。
	The sun is indeed warm on the deck, and the breeze is cozy as well... No, I'm not slacking off. Even a doctor needs to relax, right? Why don't you tell me what's bothering you? You can even whisper it.
	갑판에서 쬐는 햇빛은 역시 따뜻해. 얼굴을 쓰다듬는 바람도 기분 좋고…… 어? 딱히 게으름 피우는 건 아니라고. 박사도 지치는 일은 있잖아? 그러니까 박사의 고민도, 몰래라도 좋으니까 나한테 털어놨으면 좋겠어.

	……この栄養食のメニュー、一体誰が考えたのかな？お、恐ろしすぎる……！
	Who designed this meal plan? It's simply horrifying!
	……이 영양식 메뉴, 대체 누가 생각한 걸까? 너, 너무 무시무시해……!

	医療オペレーターのススーロです。ドクターは各方面に精通していて、オペレーターたちの指導者って聞いたけど、医者の言うことはちゃんと聞いてもらうよ。
	Sussurro, Medic, reporting in and reminding you to follow your doctor's orders, no matter how much you have on your plate.
	메딕 오퍼레이터인 수수로입니다. 박사는 모든 방면에 정통해서 오퍼레이터들의 지도자라고 들었는데, 그래도 의사가 하는 말은 꼭 들어야 해.

	ふむ、この作戦記録のメモはコピーして、ミルラたちにも見せてあげよう。
	I must make more copies of these battle notes for Myrrh and company.
	흠, 이 작전기록 메모는 복사해서 미르 쪽에도 보여줘야겠다.

	昇進の表彰式？えっと、みんなに注目されるよね？恥ずかしい言葉も言わなきゃいけないよね？い、いや、別に緊張してるわけじゃ…！
	Promotion ceremony, while everyone stares at me? I don't have to make any embarrassing speeches, do I? No, no, I'm not nervous at all, really...
	승진 표창식? 그거, 모두에게 주목받는 거지? 부끄러운 말도 해야 하는 거지? 아, 아니야, 딱히 긴장한 건…!

	今回の昇進は、私個人だけじゃなく、医療チームのみんなの努力と、ドクターのご指導の賜物です。本当に、本当にありがとうございました！
	For this promotion, I have to thank the entire hard-working Medical Unit behind me and the guidance of the Doctor. I'm very, very grateful to you all!
	이번 승진은 저 혼자만이 아니라 의료부 모두의 노력과 박사의 지도 덕분입니다. 정말, 정말로 감사합니다!

	はい、みんなの面倒は私がちゃんと見ておくから、安心して。
	Don't worry, I'll watch over them.
	응, 내가 모두를 확실하게 챙길 테니까 안심해.

	待って！出発前の検診がまだ終わってないよ！
	Hold everything! You must complete all pre-battle physical exam to deploy!
	잠깐! 출발 전 검진이 아직 안 끝났어!

	医療チームの皆さん、準備はいいですか。作戦開始後もフローに従って行動してくださいね。
	Attention, medics, please follow all standard procedures in a battle.
	의료부 여러분, 준비는 됐습니까? 작전 개시 후에도 플로우에 따라 행동해 주세요.

	皆さん、感染源と思われるものには絶対に触らないようにしてくださいね！
	Safety first, and do not touch anything that may be suspicious or infected!
	여러분, 감염원으로 보이는 것에는 절대로 닿지 않게 하세요!

	私ならここに！
	I'm over here!
	나 여기 있어!

	戦場は騒がしいから、指示はもっと大きい声でお願い！
	Louder! It's hard to hear over the battle!
	전장은 시끄러우니까 지시는 더 큰 목소리로 부탁해!

	医者ならここに！ここだよ！
	Look over here for a doctor!
	의사라면 여기 있어! 여기야!

	ケガ人はいない？
	Anybody hurt?
	부상자는 없어?

	大丈夫、すぐ治るから！
	Don't worry, you'll be okay in no time!
	괜찮아, 금방 나을 거야!

	戦いだけに気をとられないで！ケガしてるよ！
	Don't concern yourself with fighting, you're still wounded!
	전투에만 정신 팔지 마! 다쳤잖아!

	医者の言葉はしっかり聞いて！
	Listen to the doctor!
	의사 말은 똑바로 들어!

	痛かったら声を上げてもいいよ！我慢しないで！
	Scream if you're in pain, don't hold it in!
	아프면 소리 질러도 돼! 참지 마!

	ふぅ、作戦終了っと。ドクターも少し休んでて。こんな大変な任務ばかりじゃ、体が持たないよ。
	Finally, the battle's over. You should take a break too. I imagine commanding the mission would take a toll on your body.
	후우, 작전 종료. 박사도 조금 쉬고 있어. 이렇게 힘든 임무만 계속되면 몸이 못 버텨.

	負傷者ゼロだね。さすがはドクターの指揮、頼りになるよ。
	No casualty on our side. The Doctor's leadership is indeed unparalleled.
	부상자 제로네. 역시 박사의 지휘야. 믿을만해.

	まだ敵が残ってそうかな？ここにまだ動けない負傷者もいるし、困ったな……。
	Will the enemy return? There are still wounded unable to move here.
	아직 적이 남았을까? 여긴 아직 움직이지 못하는 부상자도 있는데, 곤란하네……

	どいて、みんな道を開けて！押さないで！負傷者は医者にすぐ見せないと！
	Make way, make way! Stop crowding! Wounded coming through!
	비켜, 다들 길을 열어! 밀지 마! 부상자는 의사한테 바로 보여줘!

	休める時は、しっかり休養をとってね。
	Promise you'll rest when it's time to, okay?
	쉴 때는 확실하게 쉬어.

	んん……？
	Um...
	으응……?

	ふふ、やっぱり仕事のあとは飲みたくなるよね！ドクター、ジュースを取ってもらっていい？ありがとう！
	Phew. I need a drink after work! Mind handing me a juice, Doctor? Thanks!
	후후, 역시 일을 마친 후엔 한잔하고 싶어진다니까! 박사, 주스 좀 갖다줄래? 고마워!

	アークナイツ。
	Arknights.
	아크나이츠.

	こんにちは、ドクター。
	How do you do, Doctor.
	안녕, 박사.

干员档案\Background:
	基础档案 :
	【代号】苏苏洛
	【性别】女
	【战斗经验】一年
	【出身地】叙拉古
	【生日】9月4日
	【种族】沃尔珀
	【身高】142cm
	【矿石病感染情况】
	体表有源石结晶分布，参照医学检测报告，确认为感染者。

	基礎情報 :
	【コードネーム】ススーロ
	【性別】女
	【戦闘経験】一年
	【出身地】シラクーザ
	【誕生日】9月4日
	【種族】ヴァルポ
	【身長】142cm
	【鉱石病感染状況】
	体表に源石結晶の分布を確認。メディカルチェックの結果、感染者に認定。

	Basic Info :
	[Code Name] Sussurro
	[Gender] Female
	[Combat Experience] 1 year
	[Place of Birth] Siracusa
	[Date of Birth] September 4
	[Race] Vulpo
	[Height] 142cm
	[Infection Status] 
	Crystals have appeared on her body. Infection confirmed by medical examination.

	기본정보 :
	[코드네임] 수수로
	[성별] 여
	[전투 경험] 1년
	[출신지] 시라쿠사 
	[생일] 9월 4일
	[종족] 불포
	[신장] 142cm
	[광석병 감염 상황]
	체표면에 오리지늄 결정이 분포, 의학 테스트 보고서 참고 결과, 감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】普通
	【战场机动】标准
	【生理耐受】普通
	【战术规划】普通
	【战斗技巧】普通
	【源石技艺适应性】标准

	能力測定 :
	【物理強度】普通
	【戦場機動】標準
	【生理的耐性】普通
	【戦術立案】普通
	【戦闘技術】普通
	【アーツ適性】標準

	Physical Exam :
	[Physical Strength] Normal
	[Mobility] Normal
	[Physical Resilience] Normal
	[Tactical Acumen] Normal
	[Combat Skill] Normal
	[Originium Arts Assimilation] Normal

	종합검진 :
	[물리적 강도] 보통
	[전장 기동력] 표준
	[생체 인내도] 보통
	[전술 계획력] 보통
	[전투 기술력] 보통
	[오리지늄 아츠 적응성] 표준

———————————————————————————————

	客观履历 :
	苏苏洛，正式入职前为叙拉古帕勒莫市立医科学院毕业生。具备基础医疗方面的充足学识。
	现于罗德岛担任医疗干员，是总部后勤医疗体系内的坚实力量。

	個人履歴 :
	シラクーザパレルモ市立医科大学の卒業生。プライマリ・ケア方面の学識が深い。
	現在はロドスの医療オペレーターとして、後方支援と医療関係の仕事で実力を発揮している。

	Profile :
	Sussurro is a graduate of the Siracusa-Palermo Medical Academy. She has a sufficient level of knowledge in basic medical care.
	She is now a medic at Rhodes Island and is a respected member of the headquarters' logistics system.

	프로필 :
	    정식 입사 전 시라쿠사 팔레르모 시립 의과 대학을 졸업하였으며, 기초 의료 방면에 충분한 지식을 갖추고 있다.
	    현재는 로도스 아일랜드의 메딕 오퍼레이터로서, 후방 의료 지원 서비스를 담당하고 있다.

———————————————————————————————

	临床诊断分析 :
	造影检测结果显示，该干员体内脏器轮廓模糊，可见异常阴影，循环系统内源石颗粒检测异常，有矿石病感染迹象，现阶段可确认为是矿石病感染者。
	
	【体细胞与源石融合率】2%
	患者轻度矿石病感染，目前无扩散倾向。
	
	【血液源石结晶密度】0.3u/L
	患者目前病程控制稳定。

	健康診断 :
	造影検査の結果、臓器の輪郭は不明瞭で異常陰影も認められる。循環器系源石顆粒検査の結果においても、同じく鉱石病の兆候が認められる。以上の結果から、鉱石病感染者と判定。
	
	【源石融合率】2%
	軽度の鉱石病に感染しているが、現段階拡散の傾向は見られない。
	
	【血液中源石密度】0.3u/L
	病態は安定した状態に抑えられている。

	Clinical Analysis :
	Imaging tests have shown the outlines of her internal organs to be indistinct due to abnormal shadows. Originium granules have been detected in her circulatory system, confirming her to be infected with Oripathy.
	
	[Cell-Originium Assimilation] 2%
	Patient's oripathy is mild and currently shows no indications of spreading.
	
	[Blood Originium-Crystal Density] 0.3u/L
	Patient's disease is under control.

	임상 진단 분석 :
	    방사선 검사 결과, 본 오퍼레이터는 내장 기관의 윤곽이 흐릿하며, 비정상적인 음영이 존재하는 것으로 확인됨. 순환 계통 내 오리지늄 입자 검사 결과 이상 확인, 광석병 감염 증세 있음. 현단계로서는 광석병 감염자로 판단됨.
	
	[체세포와 오리지늄 융합률] 2%
	환자는 가벼운 광석병 감염 증상이 확인되나, 현재로선 확산될 기미는 보이지 않음.
	
	[혈중 오리지늄 결정 밀도] 0.3u/L
	현재 환자의 병세는 안정적으로 관리되고 있음.

———————————————————————————————

	档案资料一 :
	干员苏苏洛出生于叙拉古某大型都市一个普通家庭中。其父母皆为普通市民，就职于当地的公职机构，并育有两子两女，苏苏洛是他们第三个孩子。
	尽管父母希望苏苏洛成为一个安静，听话的孩子，但苏苏洛似乎并未积极响应他们的期望。有时候是为了帮幺妹讨回被哥哥们偷吃的零食，有的时候又要为得不到玩具而大哭大闹的幺妹操心。自童年起，苏苏洛就形成了如今这样敢说敢做的性格。
	苏苏洛的两位兄长现已成人并进入公司工作，最小的妹妹尚在幼儿园就读。苏苏洛本人选择了就读医学专业，并不是为了远大的理想和美好愿望，只是因为医学行业在叙拉古当地的发展前景良好，是一份有前途的工作的缘故。

	第一資料 :
	ススーロはシラクーザの某大都市の一般家庭に生まれた。両親はともに一般市民で、地元の公的機関に勤め、息子と娘を二人ずつもうけた。ススーロは第三子にあたる。
	両親はススーロに穏やかで物分りの良い子供に育ってほしいと願っていたが、彼女はその希望に積極的に応えようとしていなかったようだ。ある時には妹のために兄たちにつまみ食いされたおやつを取り返し、ある時にはおもちゃが手に入らないことで泣きわめく妹に気を遣った。ススーロの物怖じしない性格は、幼い頃から出来上がっていたのだ。
	二人の兄は既に成人し会社勤めをしており、妹はまだ幼稚園に通っている。ススーロが医学の道を選んだのは、崇高な理想や素晴らしい願いがあったわけではなく、ただ単に医療産業は今後もシラクーザで発展の見込みがあり、前途有望な仕事であったからだという。

	Archive File 1 :
	Sussurro was born to an ordinary family in a large city in Siracusa. Her parents were ordinary citizens who worked in local public institutions. They had two sons and two daughters. Sussurro was their third child.
	Although Sussurro's parents wanted her to be a quiet, obedient child, she did not respond positively to these expectations. Sometimes this was to help her younger sister get back snacks her brothers had stolen, and sometimes this was to help her sister get a hold of a toy she couldn't have. Since her childhood, Sussurro has developed a personality that takes initiative.
	Sussurro's two older brothers have already grown up and have gone into business. Her younger sister is studying in kindergarten. Sussurro herself chose to study medicine. She did not do so out of any grand ambition or dream, but because the medical industry in Siracusa holds promise and is a good field to work in.

	파일 자료 1 :
	    오퍼레이터 수수로는 시라쿠사의 어느 대도시의 평범한 가정에서 태어났다. 그녀의 부모는 현지의 한 공직 기관에 재직 중인 평범한 시민이었다. 이들은 슬하에 아들 둘과 딸 둘을 두고 있었으며, 수수로는 이중 셋째였다.
	    부모는 수수로가 조용하고 말 잘 듣는 아이가 되길 바랐지만, 때로는 오빠들이 몰래 뺏어 먹은 막내 여동생의 간식을 다시 뺏어오거나, 장난감을 갖지 못해 울며 떼를 쓰는 막내 여동생 때문에 마음 졸이기도 하는 등, 수수로는 부모가 희망하는 모습과는 조금 거리가 있었다. 어릴 적부터 수수로는 지금처럼 말과 행동에 거침이 없었다.
	    수수로의 두 오빠는 현재 성인이 되어 회사에 다니고 있으며, 막내 여동생은 유치원에 다니고 있다. 수수로는 본인의 의지로 의학 전공을 선택하였는데, 그 이유는 특별히 원대한 이상이나 목표가 있어서가 아니라, 단지 시라쿠사에선 의학 산업에 종사하는 게 전망이 더 좋기 때문이었다.

———————————————————————————————

	档案资料二 :
	作为医学学生的苏苏洛，生活无外乎背书，准备资格考试，参与实验等，她的小小身影忙碌于各个教学楼之间，除了身高之外的各项能力都在稳步地成长。
	较为幸运的是，苏苏洛在校期间结识了一群关系不错的朋友，还与几位高一学年的学姐保持着良好的关系。同为医学生的大家怀抱着各自的梦想，共同面对难关，努力为未来拼搏着。正是在大家相互之间的帮助和鼓励下，苏苏洛才能一步步地踏过枯燥且漫长的医学生时光。
	原本没有什么愿望的苏苏洛，在与各种各样的人相结识后，也渐渐在了解着大家对自己选择的思考。不论是为了就业后的稳定薪资与生活环境，还是真正怀着救助他人理想，或是单纯对生命本身的浓厚兴趣，每个人的愿望都在感染着苏苏洛。她喜欢每一个抱着美好愿望并为之努力的人，与此同时也在努力弄清自己的想法：
	成为医生，对自己是否有着另外的意义？

	第二資料 :
	医学生としてのススーロは、勉強漬けの毎日を送っており、資格試験の準備や実験への参加など、小さい体であちこちの校舎を忙しく飛び回り、身長以外のステータスを着実に伸ばしていった。
	幸運だったのは、彼女は在学中に良い友に恵まれ、一つ上の上級生とも良好な関係を持つことができたことだ。皆同じように医学生として、それぞれの夢を抱き、共に困難な壁に向き合い、未来のために奮闘していた。皆でお互いに助け合い励まし合っていたからこそ、ススーロは無味乾燥かつ長い医学生時代を一歩ずつ踏みしめて進んでいくことができたのだ。
	元々は何の夢も持たないススーロだったが、様々な人と知り合い親交を深めるうちに、他の人はどのようにして自身の未来を選んだのかを知っていった。就職後の安定した収入と生活環境を得るための者、心から人を救いたいと願う者、あるいは単純に生命そのものへの深い興味を持つ者、皆の夢はどれもススーロの心を動かした。素晴らしい夢を持ちそのために努力する者たちに感銘を受けると同時に、彼女は自分は一体これからどうしたいのかを自ら見定めようとしていた。
	医者になることは、自分にとって特別な意義があるのか、否か。

	Archive File 2 :
	Sussurro's life as a medical student was uneventful. She busied herself preparing for exams and participating in experiments. Her small figure was often bouncing between the different buildings on campus, and her short stature notwithstanding, all of her abilities steadily progressed.
	Luckily for Sussurro, she got to make a solid group of friends between classes and maintained good relationships with some older students. These medical students all embraced the same dreams, confronted the same challenges, and worked towards the future together. With everyone's help and encouragement, Sussurro managed to press on through the long, dull days in her time as a medical student.
	Though Sussurro originally had no aspirations of her own, through making friends with all kinds of people, she gradually came to understand the reasoning behind their choices. Whether it was to secure a job with a stable salary and life environment, out of a genuine desire to help others, or just out of pure interest in biology, Sussurro found their aspirations infectious. She liked everyone who had a dream and worked hard to fulfill it, and at the same time, her own thinking became clear:
	Does becoming a doctor hold any special meaning for me?

	파일 자료 2 :
	    수수로의 의학도 생활은 책을 외우고, 자격시험을 준비하고, 실험에 참여하는 정도가 전부였다. 그녀가 여러 강의실을 누비며 학업에 매진하는 동안, 키를 제외한 다른 능력들이 점차 성장해 나갔다.
	    운이 좋게도 수수로는 재학 중 친구들을 여럿 사귈 수 있었는데, 이중 일 년 선배 몇 명과도 좋은 관계를 유지하였다. 이들은 모두 같은 의학도로서 자신만의 목표를 가지고, 난관을 헤쳐나가며 미래를 위해 노력하였다. 이렇게 모두가 서로를 도와주고 격려해주는 환경 덕분에, 수수로는 지루하고 긴 의학도 생활을 잘 견뎌낼 수 있었다.
	    본래 수수로는 별다른 목표가 없었지만, 여러 사람들을 만나면서 그들만의 꿈과 목표에 대해 조금씩 이해하게 되었다. 안정적인 급여와 생활환경, 타인을 구하고자 하는 마음, 생명 자체에 대한 깊은 학술적 탐구 등, 이런 타인의 목표들이 수수로에게 영향을 끼쳤다. 수수로는 아름다운 꿈을 지닌 채 노력하는 모든 사람을 좋아했으며, 동시에 자신의 목표도 분명히 하고자 노력했다.
	    의사가 된다는 것은, 그녀에게 어떤 다른 의미가 있는 것일까?

———————————————————————————————

	档案资料三 :
	直到矿石病危机在各大城市不断加深，人们才开始正视这种全新的，尚且未知的疾病。此时，无论公私医院都面临着人满为患，医疗资源紧张的局面。苏苏洛的临床教师与正在实习的前辈们，都参与了收治感染者的行动。
	面对各大医院招收医学生作为志愿者的通告，苏苏洛几乎没有想太多就报名。这一瞬间，她仿佛觉得自己作为医学生，在这一刻才获得了真正的意义。

	第三資料 :
	鉱石病の脅威が各大都市で深刻化の一途をたどる段階になって、人々はようやくこの新種の、未知なる疾病に目を向けるようになった。またたく間に公立、私立を問わず病院には患者があふれ返り、医療資源も逼迫する局面を迎えた。それを受けて、ススーロの臨床教員と実習中の上級生たちは、感染者への医療支援に参加することとなった。
	そんな中、各病院から出された医学生ボランティアの募集広告を見て、ススーロはほとんど何も考えずに応募した。その瞬間、彼女は自分が医学生であることの本当の意味を、やっと見つけられたと感じたのであった。

	Archive File 3 :
	When the oripathy crisis gradually worsened throughout every major city, people were forced to confront an all-new and unknown illness. Now, both public and private hospitals were packed with patients, and medical resources became strained. Sussurro's clinical instructor as well as her seniors all participated in efforts to combat the disease.
	Faced with a notice that all major hospitals were recruiting medical students to act as volunteers, Sussurro did not think twice about signing up. It was at this moment that she felt she was finally a medical student, and she found genuine purpose.

	파일 자료 3 :
	    광석병 위기가 대도시에서까지 심각해지는 지경에 이르러서야, 사람들은 이 낯선 미지의 질병을 직시하기 시작했다. 이때 공립, 사립을 불문하고 각지의 모든 병원이 환자로 넘쳐났고, 의료 물자도 충분치 않은 상황에 직면하였다. 수수로의 임상 교수와 당시 견습 중이었던 선배들은 모두 감염자들의 관리 및 치료에 참여하였다.
	    대형 병원들이 의학도를 자원봉사자로 모집한다는 공고를 내었을 때, 수수로는 별 고민 없이 이 중 한 곳에 지원하였다. 그리고 그때, 그녀는 비로소 의학도로서의 진정한 삶의 의미를 찾았다고 느꼈다.

———————————————————————————————

	档案资料四 :
	因志愿参与救治感染者的行动而成为感染者这件事，苏苏洛没有仔细地想过。即使当她从医生成为病人经过了将近三天，她也尚未找到这件事带给自己的实感。一切都仿佛是突然发生的。
	直到她在监护病房窗外看到被宣告不治的患者，被送往关怀病房时呆滞的眼神时，她试图将这一场景和自己连接起来。

	第四資料 :
	感染者のための医療支援に参加したことにより、自らも感染者となってしまうなど彼女は深く考えることがなかった。自分の立場が医者から病人に変わって三日が経っても、その実感は湧いてこなかった。全てはあまりに突然だったのだ。
	集中治療室の窓から、不治を宣告され緩和ケア病棟に送られる患者の光を失った目を見て、初めて彼女はそれが自分の身に起きたことだと実感した。

	Archive File 4 :
	Sussurro did not think about the fact that she had become infected by volunteering to participate in the treatment of the infected. Even when three days had passed since she herself had been transformed from doctor to infected, she did not feel anything. Everything just seemed to happen so suddenly.
	It wasn't until she witnessed a patient be declared untreatable and get sent to the intensive care unit with a blank stare that she made the connection between herself and the situation at hand.

	파일 자료 4 :
	    자원하여 감염자 치료에 나서다가 자신도 감염자가 되어버릴 수 있다는 사실에 대해 수수로는 딱히 고민해본 적이 없었다. 자신이 의사에서 환자로 신분이 전환된 지 거의 3일의 시간이 지난 후에도, 수수로는 이 사건이 자신에게 어떤 의미가 있는지에 대해 실감할 수 없었다. 모든 것이 너무나도 갑작스럽게 일어난 것 같았다.
	    감호 병실의 창문을 통해 치료 불가 판정을 받는 환자를 보았을 때, 그리고 말기 환자 병동으로 이송되는 환자들의 생기 잃은 눈빛을 보았을 때, 수수로는 비로소 이 장면들과 자기 자신을 연결하려 시도했다.
