ID:
	char_293_thorns
	내 종족은 원래 지금과는 전혀 다른 외모를 가지고 있었어. 우리의 피부는 등딱지처럼 단단했고, 머리카락은 흐르는 물처럼 매끄러웠지. 하지만 작열하는 햇빛과 건조한 공기에 노출되어 마지막엔 지금처럼 변화하게 되었다 이거다. 믿었나? 미안하군, 방금 건 농담이다.

	ラテラーノ宗教の信徒でないなら、イベリアへは行かないほうがいい。彼らの言う「最も純粋な信仰」はあの土地に根付くものだ。現地の人々の敬虔さには、もしかしたらラテラーノ人ですら引け目を感じるほどだ。俺？俺はこの話とは関係ないさ。
	If you are not a follower of the Laterano religion, it is best not to go to Iberia. Their so-called 'purest faith' is rooted in that land, and the people there are so pious that even the Laterano people are ashamed of it. As for me? None of that concerns me in the slightest.
	라테라노 종교의 신도가 아니라면 이베리아에는 가지 않는 게 좋아. 그들이 말하는 '가장 순수한 신앙'은 그 땅에 깊게 뿌리 내렸으니. 현지 사람들의 경건함은 아마 라테라노 사람들조차 열등감을 느낄 정도다. 나? 나는 이 이야기와 관계없다.

	ドクター、イベリア懲罰軍の歴史を知っているか？少しでも噂を耳にしたことがあるなら知っているだろう。あの土地に住む者たちには、その冷たく厳かな灰白の建造物からは想像もできないほどの狂気を孕んでいることを。
	Doctor, have you heard anything about the past history of the Iberian Correctional Army? If you've heard even anything remotely relevant, you should know that the inhabitants of that chunk of land are far crazier than their cold, plain gray buildings suggest.
	박사, 이베리아 징벌군의 역사에 대해 알고 있나? 조금이라도 소문을 들어본 적이 있다면 알겠지. 그 땅에 사는 자들은 그 차갑고 엄숙한 회백색 건축물보다 상상도 할 수 없을 만큼 광기를 품고 있다는 것을.

	攻撃の角度、回避の軌道、防御の姿勢、すべての動作は計算ずくで、無駄は一つもない。これこそが「至高の術（デストレッツァ）」というものだ。お前の指揮スタイルと似ていると思わないか、ドクター？
	The angle of attack, the vector of evasion, the posture of defense. Every action is calculated, and there are no wasteful movements. This is what they call the 'Destreza.' Don't you think this is similar to your commanding style, Doctor?
	공격 각도, 회피 궤도, 방어 자세, 모든 동작은 계산되어 있고 불필요한 요소는 하나도 없어. 이게 바로 '데스트레자'라고 하는 거다. 너의 지휘 스타일과 비슷하다고 생각하지 않나, 박사?

	休憩中はリラックスして、何も考えずに風や日に当たってみろ、だと？……いいだろう、たまに試してみるのも悪くないかもしれない。さあ、こっちに上がってきて。ここに吹く風は、故郷を思い出させてくれるな……。
	I need to unwind a bit more when I'm resting? Not thinking about anything and just bask in the sun or let my hair blow in the wind? ...Well, it might be nice to give it a try every now and then. Come up, over here. The breeze up here reminds me of my hometown...
	휴식 중에는 긴장을 풀고, 아무것도 생각 말고 바람과 햇빛을 쐬어 보라고? ……좋아, 가끔 시험해 보는 것도 나쁘진 않겠지. 자, 이쪽으로 올라와라. 여기에 부는 바람은 고향을 떠올리게 하는군…….

	ZZZ……ZZZ……。ん…？……まさかな、俺もつられて寝てしまったのか。
	Zzz... zzz... Huh? ...What happened? Did I fall asleep too?
	쿠울…… 쿨…… 음? 설마…… 나도 덩달아 잠들어 버린 건가.

	お前がドクターか。自己紹介をしよう、コードネームはソーンズ、本日よりロド――ん？ズボンの裾がまくれている？……気にするな、いつものことだ。
	So you're the Doctor? I'll give a brief introduction then. Code name, Thorns. Starting today, I'll be taking my post— Huh? One trouser leg is rolled up? ...Don't worry about it, this happens a lot.
	네가 박사인가. 자기소개를 하지. 코드네임은 쏜즈. 오늘부터 로도…… 음? 바짓단이 말려 올라갔다고? 신경 쓰지 마라, 늘 있는 일이니까.

	ああ……この資料、確かに役に立つところもある。
	Hmm... This information does have some merit.
	그렇군…… 이 자료, 확실히 도움이 되는 점도 있군.

	昇進？そんなことはお前が勝手に決めればいい。もう戻ってもいいか？
	A promotion? You should decide on things like that. Can I go now?
	승진? 그런 건 네가 알아서 정하면 된다. 이제 돌아가도 되겠나?

	素早く効率的に敵の行動力を削ぎ、最小の被害で勝利をもぎ取る――お前の指揮については完全に理解しているつもりだ。だから攻撃に合わせてこの麻痺性の神経毒を使っているんだが、何か問題でも？
	Quickly and efficiently seal the opponent's ability to act, and attain victory at the lowest cost — I think I fully understand your orders. In that case, I'll use this paralytic neurotoxin in tandem with my attacks. I take it that you have no issue with this?
	신속하고 효율적으로 적의 행동력을 약화시키고, 최소의 피해로 승리를 쟁취한다…… 너의 지휘에 대해선 완벽히 이해하고 있다고 본다. 그러니 공격에 맞춰 이 마비성 신경독을 사용하고 있는데, 무슨 문제라도 있나?

	ロドスの戦いとやらを見せてもらおう。
	Let me see how Rhodes Island fights.
	로도스 아일랜드의 전투라는 것을 보도록 할까.

	隊長？期待はしないほうがいい、指揮は得意じゃないのでな。
	Team leader? It'd be best not to have any expectations. I'm not very good at leading.
	팀장? 기대는 하지 않는 편이 좋아. 지휘는 잘 못하거든.

	速戦即決しよう。俺の貴重な時間を無駄にしないためにもな。
	Let's make this quick. My time is valuable.
	속전속결로 끝내자. 내 귀중한 시간을 허비하지 않기 위해서라도 말이야.

	油断しないように気をつけろ。
	Be careful. Don't get overconfident.
	방심하지 않도록 조심해라.

	分かった。
	Understood.
	알겠다.

	命令を。
	Give me your orders.
	명령해라.

	時間をかけるつもりはない。
	This won't take long.
	시간을 들일 생각은 없어.

	全員の行動力を奪う、それでいいだろう。
	Let's just incapacitate them and move on.
	모두의 행동력을 빼앗는다, 그거면 되겠지.

	動き回るな、そうすればお互い手間が省けるだろ。
	Stop moving around. It'll spare all of us the effort.
	돌아다니지 마라. 그러면 서로 수고를 덜 하게 될 테니.

	お前の攻撃は想定の通りだ。
	Your attacks are all within my calculations.
	네 공격은 예상한 대로다.

	無駄だ。
	Futile.
	소용없다.

	目を凝らせ、これこそがイベリアの至高の術（デストレッツァ）！
	Watch carefully, this is the Destreza of Iberia!
	똑똑히 봐라, 이게 바로 이베리아의 '데스트레자'다!

	完璧な結果だ。まさかこれもお前の計算のうちか？
	A pristine outcome. Was this also a part of your calculations?
	완벽한 결과다. 설마 이것도 네가 예상한 대로인가?

	任務完了。正確かつ効率のいい指揮だったな、ドクター。
	Mission complete. Very precise and efficient command, Doctor.
	임무 완료. 정확하고 효율적인 지휘였다, 박사.

	お前の指揮ミスを、俺の不手際でさらに大きくしてしまったようだ。戻ってから共に反省会だな。
	There was an omission in your command, and my improper execution amplified this omission. We should both reflect upon this after we return.
	너의 지휘 실수를 내 서투름으로 더 크게 만든 것 같군. 돌아가면 함께 반성하는 시간을 가져야겠어.

	チームの消耗を考慮すれば、即時撤退以外に選択の余地はない。
	Considering the losses of our squad, there is no better option than to retreat immediately.
	팀의 소모를 고려하면, 바로 철수하는 것 말곤 선택의 여지가 없어.

	ここの防護措置はどうなっている？
	How are the protective measures here?
	이곳의 방어 조치는 어떻게 되어 있지?

	まずい、薬剤が漏れてきた。
	Shoot, the potion's going to spill.
	이런, 약제가 새어 나왔어.

	髪？ああ……整えたばかりのはずなのに、また乱れているとは。
	My hair? Gah... I just combed it, why's it messed up again?
	머리카락? 아아…… 막 정리한 참인데 또 흐트러져 있다니.

	アークナイツ。
	Arknights.
	아크나이츠.

	疲れが溜まっているようだな。俺が目を覚ましてやろうか、ドクター。
	You seem tired. Should I help wake you up, Doctor?
	피로가 쌓인 모양이군. 내가 눈을 뜨게 해줄까, 박사.

干员档案\Background:
	基础档案 :
	【代号】棘刺
	【性别】男
	【战斗经验】五年
	【出身地】伊比利亚
	【生日】3月17日
	【种族】阿戈尔
	【身高】177cm
	【矿石病感染情况】
	参照医学检测报告，确认为非感染者。

	基礎情報 :
	【コードネーム】ソーンズ
	【性別】男
	【戦闘経験】五年
	【出身地】イベリア
	【誕生日】3月17日
	【種族】エーギル
	【身長】177cm
	【鉱石病感染状況】
	メディカルチェックの結果、非感染者に認定。

	Basic Info :
	[Code Name] Thorns
	[Gender] Male
	[Combat Experience] 5 Years
	[Place of Birth] Iberia
	[Date of Birth] Mar 17
	[Race] Ægir
	[Height] 177cm
	[Infection Status] 
	Medical tests have confirmed that no infection is present.

	기본정보 :
	[코드네임] 쏜즈
	[성별] 남
	[전투 경험] 5년
	[출신지] 이베리아
	[생일] 3월 17일
	[종족] 에기르
	[신장] 177cm
	[광석병 감염 상황]
	의학 테스트 보고서 참고 결과, 비감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】优良
	【战场机动】标准
	【生理耐受】标准
	【战术规划】标准
	【战斗技巧】优良
	【源石技艺适应性】标准

	能力測定 :
	【物理強度】優秀
	【戦場機動】標準
	【生理的耐性】標準
	【戦術立案】標準
	【戦闘技術】優秀
	【アーツ適性】標準

	Physical Exam :
	[Physical Strength] Excellent
	[Mobility] Standard
	[Physical Resilience] Standard
	[Tactical Acumen] Standard
	[Combat Skill] Excellent
	[Originium Arts Assimilation] Standard

	종합검진 :
	[물리적 강도] 우수
	[전장 기동력] 표준
	[생체 인내도] 표준
	[전술 계획력] 표준
	[전투 기술력] 우수
	[오리지늄 아츠 적응성] 표준

———————————————————————————————

	客观履历 :
	精通剑术与药剂制作的罗德岛前线作战干员，棘刺。出身于伊比利亚腹地，于当地宗教局势动荡中离开家乡，在脱离伊比利亚地区后，受邀来到罗德岛。
	以上关于伊比利亚境内局势的部分为棘刺自述，尚未完全经过考证。

	個人履歴 :
	剣術と薬剤制作に精通しているオペレーター。出生地イベリアの宗教紛争の中で故郷を離れ、ロドスに加入した。
	イベリアの状況についてはソーンズの言葉によるもので、まだ考証されていない。

	Profile :
	Thorns, a front-line combatant for Rhodes Island, is proficient in swordsmanship and pharmacology. Born in the Iberian hinterland, Thorns left his hometown in the midst of local religious strife. After leaving the Iberian region, he was invited to join Rhodes Island. 
	The above section describing the situation in Iberia was self-reported by Thorns and has not been fully verified.

	프로필 :
	    쏜즈는 검술과 약제 제조에 정통한 로도스 아일랜드의 오퍼레이터다. 이베리아 출신으로, 현지 종교 정세의 혼란 중 고향을 떠나 이베리아를 빠져나온 후 로도스 아일랜드의 초청을 받아 합류하게 되었다.
	    이상은 이베리아 내부 정세에 대한 쏜즈의 진술이며, 아직 완전히 검증되지 않은 내용이다.

———————————————————————————————

	临床诊断分析 :
	造影检测结果显示，该干员体内脏器轮廓清晰，未见异常阴影，循环系统内源石颗粒检测未见异常，无矿石病感染迹象，现阶段可确认为非矿石病感染者。
	
	【体细胞与源石融合率】0%
	干员棘刺没有被源石感染的迹象。
	
	【血液源石结晶密度】0.14u/L
	干员棘刺时常会接触一些含有源石成分的试剂，这使得他有一定的感染风险。
	
	别担心，他在自我防护这方面很有心得，这个数值相当稳定，没有那么容易出事。管理好自己的身体状况，我认为这是每一个经常出入实验室的人都应有的素养。 
	——安赛尔

	健康診断 :
	造影検査の結果、臓器の輪郭は明瞭で異常陰影も認められない。循環器系源石顆粒検査においても、同じく鉱石病の兆候は認められない。以上の結果から、現時点では鉱石病未感染と判定。
	
	【源石融合率】0%
	鉱石病の兆候は見られない。
	
	【血液中源石密度】0.14u/L
	源石成分を含んだ薬剤に頻繁に触れるため、感染する危険有り。
	
	心配することはありませんよ。実験室を出入りする者にとって身体状況の管理は基本です。彼は自分の身を守る方法を心得ています。数値も安定していますから、やすやすと感染することはないでしょう。
	――アンセル

	Clinical Analysis :
	Imaging tests reveal clear, normal outlines of internal organs, and no abnormal shadows have been detected. Originium granules have not been detected in the circulatory system and there is no sign of infection. At this time, this operator is believed to be uninfected. 
	
	[Cell-Originium Assimilation] 0%
	Operator Thorns has no signs of Originium infections. 
	
	[Blood Originium-Crystal Density] 0.14u/L
	Operator Thorns often comes into contact with Originium-based reagents, which puts him at some risk of infection. 
	
	Don't worry, he is very vigilant about self-protection and his numbers have been stable. The risk of something happening is low. Properly taking care of oneself is a quality that everyone who enters and exits this laboratory should cultivate. 
	—Ansel

	임상 진단 분석 :
	    방사선 검사 결과, 본 오퍼레이터는 내장 기관의 윤곽이 선명하며, 비정상적인 음영이 존재하지 않는 것으로 확인됨. 순환 계통 내 오리지늄 입자 결과 이상 없음, 광석병 감염 증세 없음, 현단계로서는 광석병 비감염자로 확정.
	
	[체세포와 오리지늄 융합률] 0%
	오퍼레이터 쏜즈에겐 광석병 감염 흔적이 없음.
	
	[혈중 오리지늄 결정 밀도] 0.14u/L
	오퍼레이터 쏜즈는 수시로 오리지늄 성분이 함유된 시약과 접촉하므로 어느정도 감염 위험이 있음.
	
	    걱정 마세요, 그는 자기 몸을 지키는 법을 잘 알고 있으니까요. 수치도 굉장히 안정적이니, 그렇게 쉽게 문제가 생기진 않을 거예요. 자신의 컨디션을 관리하는 것은 자주 실험실을 출입하는 사람이라면 반드시 갖춰야 할 자세라고 생각해요.
	——안셀

———————————————————————————————

	档案资料一 :
	干员棘刺刚加入罗德岛时，一度因其在战场上的作风，给许多人留下了冷漠古怪，甚至残忍无情的印象。而当相处时间长久之后，大家逐渐发觉，尽管这位伊比利亚剑士大多数时候的确看起来态度冷淡，说话也并不好听，但他的脾性却可以称得上率直，说是自由潇洒，也并不为过。 
	对于自己过于直率，容易招来误解的言行，剑士并非无知无觉，只是他对此毫不在乎。对于棘刺来说，他人的看法，的确只是一件无关紧要的小事，来自外界的评价并不能影响到他。 
	
	棘刺时常因太过于专注药剂的调配和萃取改良，而忽视其他方面的东西——比如说自己的外在形象。忘记穿外套、裤腿卷起一只却不自知、衣服破洞甚至直接穿反，这些都是家常便饭，如果在走廊上偶遇这样的干员棘刺，请不要感到意外。
	对于追求精确与效率的剑士来说，花费太多力气来维持外表并不划算，就算偶尔因实验出岔子而被炸到每一根头发都膨胀卷曲，棘刺也能够做到放任自流，顶住所有好奇的目光，毫不在意地做自己的事。

	第一資料 :
	ロドスに加入した頃、ソーンズはその戦い方のせいで、同僚たちに冷淡な変わり者、あるいは残忍だと思われていた。しかし彼と過ごす時間が増えるにつれ、同僚の態度は変わっていった。普段は冷然としていて口も悪い彼は、実は性根がまっすぐで、洒脱と言える性格をしていると気づいたからである。
	一方ソーンズ本人は、歯に衣着せぬ正直すぎる言動を全く気にしていない。彼にとって、他人の目も評価も大して重要なことではないのだ。
	
	ソーンズは薬剤の制作や改良に夢中になりすぎて、ほかのことが見えなくなることがある。そんな時彼は、コートを着るのを忘れたり、気づかないうちにズボンの裾が片方だけ捲れていたり、服に穴が空いたり、裏表逆に着ていたりする。この類のことは日常茶飯事のため、もし廊下でこのような姿のソーンズと出会っても驚く必要はない。
	効率と精度を求める剣士にとって、外見を気にかけるのは無駄なことなのだ。たとえ実験のミスでアフロになっても、ソーンズは周囲の視線を気にせず、自分のペースで平然と作業を進めるだろう。

	Archive File 1 :
	When Thorns first joined Rhodes Island, his combat style on the battlefield gave others an impression of indifference, or even ruthlessness. After spending more time together, everyone gradually realized that though the Iberian swordsman may seem cold in demeanor and speak in a blunt manner, his actual nature was rather straightforward, free-spirited and suave, though not overblown. 
	The swordsman seems to be aware of the issues some may have with his blunt and easily-misunderstood way of speaking, but he isn't particularly bothered by this. For Thorns, others' perceptions of him are ultimately inconsequential, and the way the outside world evaluates him has no effect upon him. 
	
	Thorns often delves deeply into the extraction and preparation of medicinals and ends up ignoring other things in the process — such as his own outward appearance. Forgetting to wear a jacket, having one trouser leg rolled up, wearing clothes with holes in them, and even wearing things backwards or insides out — all of these are commonplace occurrences. If you encounter Thorns in the hallway displaying one of these features, don't read too much into it. 
	For a swordsman who pursues precision and efficiency, it isn't worthwhile to spend too much time maintaining one's appearance. Even if Thorns' hair puffs up and curls over because of an awry experiment gone explosive, Thorns continues to conduct his own business, withstanding the curious eyes of all bystanders without a care.

	파일 자료 1 :
	    오퍼레이터 쏜즈가 막 로도스 아일랜드에 합류했을 당시, 전장에서 보여주는 그의 모습은 사람들에게 이상하고 냉정한, 심지어 잔인하고 무자비하기까지 한 사람이라는 인상을 남겼다. 하지만 오랫동안 함께 지내면서, 사람들은 이 이베리아 출신의 검사가 비록 평소에는 냉정해 보이고, 까칠한 말들을 내뱉지만, 실은 솔직하고 자유로우며 소탈한 성격의 소유자라고 해도 과언이 아니란 사실을 점차 깨닫게 되었다.
	    이 검사는 자기 자신에게 너무 솔직해, 쉽게 오해를 불러일으킬 수 있을 만한 언행을 일삼는데, 이 사실을 모르는 건 아니고, 그저 전혀 신경쓰지 않고 있다. 쏜즈에게 있어 타인의 견해는 대수롭지 않은 사소한 것일 뿐이며, 외부의 평가는 그에게 아무런 영향을 주지 못한다.
	
	    쏜즈는 약제의 배합 및 추출 작업 개량에 너무 열중한 나머지, 외투를 입는 걸 까먹는다든가, 바짓가랑이를 한쪽만 말아 올린 걸 모른다든가, 옷에 구멍이 나거나 심지어 거꾸로 입는 등, 자신의 외형에 대한 것을 포함하여, 기타 다른 일들을 자주 잊어버리곤 한다. 그에게 있어 이런 일들은 그야말로 일상다반사니, 만약 복도에서 이런 모습의 쏜즈를 우연히 마주치더라도 놀라지 말아 주길.
	    정확성과 효율성을 추구하는 검사에게 있어 외모에 너무 힘을 쏟는 것은 효율적이지 못한 행동이다. 설령 가끔 실험 중 사고로 머리칼이 모두 엉망이 된다 할지라도 쏜즈는 그대로 내버려 둘 것이며, 주변의 호기심 어린 눈빛은 신경도 쓰지 않은 채 자신의 일을 계속 할 것이다.

———————————————————————————————

	档案资料二 :
	干员棘刺拥有十分强烈的剑术风格，据其本人介绍，这种每一个动作都经过精密计算的剑术，被伊比利亚人称作“至高之术”，是在当地颇有声名的一种迅捷剑术。
	伊比利亚地区历来以刀、剑作为主流武器，各类流派遍地，但被称为“至高之术”的技术却并非人人都能够学习。很明显，使用这样的剑术，不仅需要有良好的身体素质，同时还对于使用者的头脑有极高的要求，这样严格的条件使得这种剑术学习的难度很高，但如若能够掌握，回报也将是巨大的。
	与此同时，传统的伊比利亚剑术大师们普遍认为“至高之术”只能被用来形容特定形制规范武器的剑术，所以在他们眼里，包括棘刺在内，许多非黎博利人所使用的剑术不过是拙劣的模仿和亵渎；但对于棘刺他们来说，他们从传统剑术中吸取了足够多的技巧，这让他们的剑术拥有了更加现实的意义，在这个基础上，自称“至高之术”的使用者并无问题。换句话说，纠结说辞的人在斗剑时大多会变成死人，何况他们并不仅仅是要面对剑士。
	不过，就连这些离经叛道的剑士也都承认，伊比利亚的剑术如同大海一样广阔而危险，任何一个人在有生之年都不可能将其穷尽，更别说剑士的生命普遍都很短暂了。
	
	不论如何，使用所掌握的精密剑术，配合自制的毒素，棘刺在战场上总能迅速完成被分配的任务，并确保在己方的损失能够被最小化的同时，获得最大的成果。
	这种行动方针在效率上无可指摘，但很多时候，也难免会为棘刺本人惹来一些非议。
	棘刺的剑术和药剂炼制及萃取的技艺，都由一位当地教士传授，他同另外几个孩子一起跟随教士学习，度过了童年及青少年时光，其后，因教士被卷入宗教动荡，他的几名学生至此也走上不同的道路。
	干员棘刺在剑术上拥有很高的天赋，而在药剂制作这一领域，他也有着过人的才能，棘刺极为擅长药物的萃取与提纯，特别是毒素类，经由他手制作的神经类毒素的效果精确，得到了医疗部某些干员的极大好评。除此之外，棘刺在其他药剂的炼制方面则总有一些更大胆的想法——有时这样的确能得到更好的结果，但更多时候则是以爆炸收场。
	即便如此，棘刺也依然乐此不疲。

	第二資料 :
	ソーンズの剣術は極めて個性的である。本人曰く、この剣術の動きは全て厳密な計算の上に成り立っているもので、イベリア人の間では「至高の術（デストレッツァ）」と呼ばれるレイピア剣術だそうだ。
	古来、イベリアで使われる武器は刀と剣を主流とし、流派は多岐に渡る。その中でも「至高の術」を習得するには、特別に高い身体能力と頭脳が求められる。厳しすぎる習得条件は修行者にとって高い壁だが、習得すれば見返りは巨大なものになる。
	伝統的なイベリアの剣術マスターの多くは、「至高の術」は特定の規格の武器から放たれる剣術のみを指すと考えている。彼らからすれば、ソーンズを含め、多くの非リーベリ人が用いる剣術はただの劣化コピーであり、ある種の冒涜に過ぎないそうだ。だが、ソーンズのような者たちからすれば、彼らは伝統的剣術からふんだんに技巧を吸収し、自身の剣術をより実用的なものへと変えることができた。そういう意味では、彼らが「至高の術」を用いる者と自称しても何らの問題もないはずだ。言葉に固執する者は剣の試合では往々にして死体と化すだけなのだから。ましてや彼らが相対すべき相手は、剣術使いたちだけではないのだ。
	だが、彼らのような伝統に反する剣術使いでも、イベリアの剣術は海のように広大でありながら危険であることを認めている。誰であろうと生きているうちにそれらを学び尽くすことなど不可能である。まして剣術使いは一般的には寿命が短いのだ。
	
	何はともあれ、この緻密な剣術と自製の毒を組み合わせることで、戦場でのソーンズはいつも迅速に任務をこなしている。最小の損失で最大の戦果を挙げるのも常のことだ。
	だがこの効率的で非の打ち所がない戦い方は、時として非難を招くこともある。
	ソーンズは幼年期、他の子供たちと共に、とあるイベリア宣教師の下で、剣術と薬学知識を学んでいた。しかし宣教師が宗教紛争に巻き込まれたことにより、その教え子たちの道は分かたれた。
	ソーンズは剣術の他に、薬剤の作製においても優れた才能の持ち主であり、特に毒素をはじめとした薬物の精煉に秀でている。彼が作る神経毒は効果絶大で、医療部の一部には大好評を博している。その他の薬剤の作製においても、彼は他人にはないような画期的な考えを持っている――時には理想な結果を得られるが、たいていの場合は爆発で終わる方が多い。
	それでも彼は、薬学に夢中である。

	Archive File 2 :
	Thorns' swordsmanship is extremely potent. According to him, his particular style of swordsmanship requires every single motion to be precisely calculated. This swift and precise technique is widely known throughout Iberia as the 'Destreza.' 
	The mainstay weapons of the Iberian region have always been swords and knives, with a wide variety of techniques spread across the land. However, the technique known as the 'Destreza' is not accessible to everyone. Needless to say, this technique requires excellent physical fitness, but it also has extremely demanding requirements for the user's mind. These strict requirements make the technique very difficult to learn, but if mastered, the rewards are great. 
	At the same time, many traditional Iberian blademasters believe that 'Destreza' can only be used to describe swordsmanship using a standardized subset of weapons; and in their eyes, the styles used by non-Liberis, including Thorns, are nothing but clumsy and blasphemous imitations. However, according to Thorns, those people have absorbed more than enough of the technique's framework and apply them in a more realistic manner. On this basis, there are no issues with considering them as users of 'Destreza.' In other words, people who fight over semantics will quickly perish when they have to actually cross swords. After, they would not be exclusively facing swordsmen. 
	However, even these renegade swordsmen will readily admit that Iberian swordsmanship is as vast and as dangerous as the ocean. No swordsman may ever exhaust that knowledge within his lifetime; not to mention, that lifetime is generally very short as well. 
	
	In any case, by combining the precise swordsmanship he has mastered with the deadly poisons he concocted himself, Thorns will always complete his missions upon the battlefield with efficiency and ease, ensuring optimal results while keeping losses minimal. 
	His method of operating is beyond reproach in terms of efficiency; however, in many situations, Thorns himself ends up garnering criticism. 
	Thorns' swordsmanship and his pharmacological knowledge were learned from a local priest. He and several other children studied under the priest, following him through childhood and adolescence. Because this priest became involved in the religious turmoil that would later break out, several of his students have taken divergent paths. 
	Thorns is exceptionally skilled at swordsmanship, and also exhibits extraordinary talents in pharmacology. He is particularly skilled at extracting and purifying drug compounds, especially toxins. The precise efficacy of some of the neurotoxins he's produced has been praised by the members of the Medical Department. In addition, Thorns always has bolder ideas when it comes to refining other reagents; and while his experiments do sometimes yield positive results, they end with an explosion more often than not. 
	Even in the face of failure, Thorns always seems to enjoy himself.

	파일 자료 2 :
	    오퍼레이터 쏜즈는 매우 강렬한 검술 스타일을 지녔는데, 본인의 소개에 의하면 동작 하나하나가 정밀하게 계산된 검술이라고 한다. 이베리아인들에겐 '데스트레자'라 불리며, 현지에선 꽤 유명한 쾌검술의 일종이라고 한다.
	    이베리아는 예로부터 검과 도를 주무기로 사용해 왔으며, 여러 종류의 유파가 곳곳에 퍼져있다. 단, '데스트레자'라 불리는 이 기술은 누구나 배울 수 있는 것은 아니었다. 이 검술을 구사하기 위해선 뛰어난 신체 조건뿐만 아니라, 지능 면에서도 극도로 높은 수준을 만족해야 했기에, 검술을 익히기 위한 난이도 역시 굉장히 높았다. 그러나 만약 이 검술을 능숙히 구사할 수만 있다면, 그 파괴력은 어마어마할 것이다.
