ID:
	char_349_chiave
	After a certain incident, he led two of his men to join Rhodes Island and is now active as a front-line attacker.

	프로필 :
	    과거 시라쿠사의 한 소도시에서 자동차 수리공으로 근무하다 후에 패거리의 두목이 되었다. 몇 차례 사건을 겪은 후 부하 두 명과 함께 로도스 아일랜드에 합류했으며, 현재 돌격수로서 전선에서 활약하고 있다.

———————————————————————————————

	临床诊断分析 :
	造影检测结果显示，该干员体内脏器轮廓模糊，可见异常阴影，循环系统内源石颗粒检测异常，有矿石病感染迹象，现阶段可确认为是矿石病感染者。
	
	【体细胞与源石融合率】5%
	体表有出现源石结晶，但程度不高，已得到有效控制。
	
	【血液源石结晶密度】0.21u/L
	虽然情况较为稳定，但由于干员接受治疗时间较晚，病情有恶化的可能。

	健康診断 :
	造影検査の結果、臓器の輪郭は不明瞭で異常陰影も認められる。循環器系源石顆粒検査の結果においても、同じく鉱石病の兆候が認められる。以上の結果から、鉱石病感染者と判定。
	
	【源石融合率】5%
	体表に低レベルの源石結晶が認められるが、症状はコントロールされている。
	
	
	【血液中源石密度】0.21u/L
	感染状況は安定しているが、治療に遅れが生じたため、病状は悪化する可能性あり。

	Clinical Analysis :
	Imaging tests have shown the outlines of his internal organs to be indistinct due to abnormal shadows. Originium granules have been detected in his circulatory system, confirming him to be infected with Oripathy. 
	
	[Cell-Originium Assimilation] 5%
	Originium crystals are present on the surface of the body, but in small quantities. The disease progression has been effectively controlled. 
	
	[Blood Originium-Crystal Density] 0.21u/L
	Although condition is currently relatively stable, it may deteriorate due to late treatment.

	임상 진단 분석 :
	    방사선 검사 결과, 본 오퍼레이터는 내장 기관의 윤곽이 흐릿하며, 비정상적인 음영이 존재하는 것으로 확인됨. 순환계통 내 오리지늄 입자 검사 결과 이상 확인. 광석병 감염 증세 있음. 현 단계로서는 광석병 감염자로 판단됨.
	
	[체세포와 오리지늄 융합률] 5%
	체표면에 오리지늄 결정이 있으나, 그 정도가 심하지 않고 효과적으로 관리되고 있다.
	
	[혈중 오리지늄 결정 밀도] 0.21u/L
	병세는 비교적 안정적이지만, 해당 오퍼레이터의 치료 시작 시기가 늦은 탓에 악화될 가능성이 있다.

———————————————————————————————

	档案资料一 :
	总是带着爽朗笑容的沃尔珀男性。
	目无尊长，无法无天，据说在第一次见到凯尔希医生时也贯彻了这样的态度，并在医务室里度过了来到罗德岛的第一天。
	想到什么就会去做，虽然内容往往令人啼笑皆非，但他身上似乎有股魔力让人愿意和他一起去干蠢事。

	第一資料 :
	いつも爽やかな笑顔を見せているヴァルポの男性。
	大胆不敵で自由奔放な性格。話によると、彼は初めてケルシー医師に会った時もその態度を貫いたため、ロドスでの初日は医務室で過ごしたらしい。
	思いついたら即実行。その内容はいつも馬鹿げたものであるが、彼には人を動かす何かがあるように思える。

	Archive File 1 :
	This Vulpo is a man who always carries around a hearty smile. 
	'No respect for people or the law.' It is said that these words were used to describe his attitude when he first joined Rhodes Island and met Dr. Kal'tsit. He spent the rest of his first day in the infirmary. 
	He will do whatever pops up in his mind. Although what he does is often laughable, there seems to be some magic within him that compels others to join him on his absurd antics.

	파일 자료 1 :
	    늘 쿨한 미소를 띄고 있는 불포 남성.
	    안하무인에 난폭한 성격의 소유자로, 들리는 바에 의하면 처음 닥터 켈시를 만났을 때도 예전과 다름없는 태도로 일관하여 로도스 아일랜드에 온 첫 날을 의무실에서 보냈다고 한다.
	    무언가를 떠올리면 그걸 바로 행동으로 옮기는데, 종종 그 생각이란 게 사람들을 어처구니 없게 만들지만, 그에겐 다른 사람으로 하여금 그 멍청한 짓에 동참하게 만드는 기묘한 매력이 있는 것 같다.

———————————————————————————————

	档案资料二 :
	相比布洛卡的敌意，奥斯塔的谨慎，作为他们领袖的贾维反而是最早融入罗德岛的，基本上在来到罗德岛的第二天他就已经适应了这里的氛围。
	而根据本人的描述，他从小辍学，在城里的修车厂当工人，当然，私下也会参与当地的一些帮派活动。
	他在帮派活动中认识了奥斯塔，两人因为意气相投而共同行动，并在之后救下了布洛卡，并吸纳他加入，而后三人一起行动，直到在一次失手被追杀途中被附近的罗德岛干员所救。

	第二資料 :
	敵意を見せるブローカと慎重なアオスタ。この手下たちとは違い頭領のキアーベは、ロドスに来た次の日にはここの空気に馴染んでいた。
	本人の話によると、彼は小さい頃に学校を辞め、自動車修理工場で働いたそうだ。並行して裏で当地のギャングの活動にも参加していたという。
	そしてそんな中、アオスタと出会った。意気投合した二人は、その後の事件で救い出したブローカを勧誘。三人のグループとなって活動していたが、ある時しくじって命を狙われ、通り過ぎたロドスのオペレーターに助けられたのである。

	Archive File 2 :
	Compared with Broca's hostility and Aosta's caution, Chiave, as their leader, was basically the first one to get integrated into Rhodes Island. On his second day, he basically already was accustomed to the general mood around the ship. 
	According to his own account, he dropped out of school and worked as the employee of a mechanic shop in the city, of course privately participating in some local gang activities. 
	That is, until he met Aosta. The two struck up a congenial relationship and worked together, later rescuing Broca and recruiting him to join. The three moved together until they were rescued by a nearby Rhodes Island during a chase.

	파일 자료 2 :
	    브로카가 가진 적대감, 아오스타의 신중함과 달리, 오히려 그들의 두목인 키아베가 먼저 로도스 아일랜드에 적응하였는데, 로도스 아일랜드에 합류한 지 이틀째가 되는 날, 그는 사실상 이곳의 분위기에 적응을 마친 상태였다.
	    본인의 진술에 따르면 키아베는 어린 시절부터 학업을 중단하고, 도시에 있는 자동차 수리 공장에서 일했으며, 물론 그 와중에도 사적으로는 패거리 활동을 계속했다고 한다.
	    패거리 활동을 하던 중 만난 아오스타와 의기투합하여 함께하게 되었고, 나중에는 구해주었던 브로카도 합류하였고, 이후 싸움에서 패해 도망 다니다 근처에 있던 로도스 아일랜드 오퍼레이터로부터 구조를 받을 때까지 세 사람은 함께 움직였다고 한다.

———————————————————————————————

	档案资料三 :
	由于在修车厂工作了很长一段时间，在三人中，贾维明显更善于改造。
	和给人的印象不同，他在自己的专业上有着相当的造诣，无论是现代的车辆本身，还是各种方向的改造，他都有着相当的水平。并且作为兴趣的延展，他对电器也有一定的理解。
	不过，不同于布洛卡，虽然贾维本人在干员中有相当的人气，但在这方面，他可谓是“恶评如潮”。
	这是因为，由于他本人破天荒的性格，很多时候他会加入一些拍脑袋的改造，即使是别人的东西他也毫不在意，并因此带来了许多让人啼笑皆非的后果，于是大家对于将东西交给他改造这件事，往往比较谨慎。

	第三資料 :
	長い間自動車修理工場で働いていたキアーべは、三人の中で最も物を改造することに長けている。
	イメージと違い、彼は自分の専門分野において造詣が深い。自動車の修理も各種の改造もお手の物、興味の延長として電気製品についてもある程度の知識を持っている。
	しかし彼の改造に関する苦情は後を絶たない。彼は破天荒な性格ゆえ、他人のものでもお構いなく、独断でそれを改造してしまうのだ。そのことで色々問題を引き起こした結果、皆は彼に改造を任せることについて慎重になった。

	Archive File 3 :
	As a result of his experience working as a mechanic, Chiave is the best at modifying weapons among the three. 
	Unlike the impression his appearances give to other people, he is quite accomplished within his profession. Whether working directly on modern vehicles or souping them up, he maintains an impressive skillset. As an extension of his interests, he also has some knowledge in electrical appliances. 
	However, unlike Broca, though Chiave is generally well-liked among other operators, he is often described as 'having a bad rap.' 
	Because of his tendencies to push the boundaries in all aspects of life and work, he often adds truly head-scratching modifications to the things he's working on. Even when working on other peoples' things, he shows little regard for that and has caused some truly ridiculous outcomes. Now, everyone is a bit more cautious about handing their personal belongings over to him for retrofitting.

	파일 자료 3 :
	    자동차 수리 공장에서 오랫동안 일한 까닭에, 세 사람 중에선 키아베가 가장 개조에 능숙했다.
	    인상과는 다르게 키아베는 자신의 전문 분야에 상당히 깊은 조예를 보여주었다. 자동차 자체는 물론, 각종 개조 작업에도 능숙했다. 그리고 취미의 연장으로써, 전자기기에 대해서도 어느 정도 이해하고 있었다.
	    브로카와는 달리, 키아베는 오퍼레이터들 사이에서 상당히 인기가 있었지만, 이쪽 방면으론 악명이 높았다.
	    그 악명은 바로 키아베 본인의 파격적인 성격 때문이었는데, 그는 남의 것이든 자신의 것이든 상관하지 않고 말도 안 되는 기이한 개조 작업을 진행해 터무니없는 결과를 내놓곤 했고, 그 탓에 모두들 그에게 개조를 맡기는 데는 신중한 태도를 보였다.

———————————————————————————————

	档案资料四 :
	奥斯塔对贾维的评价恰如其分——“他这样活不久”。
	必须要指出的是，贾维并不是什么拥有运筹帷幄的智慧，或者以一敌百的力量的强者，他很普通，他的综合战斗力只能算是普通干员的水准，他喜欢胡思乱想，他总是三心二意。平心而论，他哪天被发现死在路边的水沟里也是毫不奇怪的事。
	但这似乎又是一件奇怪的事。
	用一种较为夸张的说法来形容这种感觉吧——每个人都会说，“贾维？哦，那个自大狂啊。”但大部分人又会笑着接上一句，“他就是那样的人。”而在这些人中，又有一部分会在得知他有难的时候毫不犹豫地去帮他一把。贾维大约就是这种程度的受欢迎，他总是能在别人心中留下深刻的印象，并且让人无法真正去讨厌他。
	当然，换一个角度来说，即使突然传来他的死讯，大概许多人也会坦然接受吧，同样也是因为“他就是那样的人。”
	他就是这样一个矛盾而又有趣的人。

	第四資料 :
	アオスタのキアーべに対する評価は的を射ている。「このままでは彼は長生きできません。」
	注意すべきは、キアーべは神算鬼謀の知性があるわけでも、桁外れな戦闘能力を持っているわけでもないことである。総合的な能力はオペレーターたちの中では平均レベルで、気も散りやすい。客観的に言えば、彼はいつ死体として道端の溝で発見されてもおかしくないのだ。
	しかしこれもまた妙なことである。
	具体的に何が妙であるか、少し誇張して伝えよう。キアーべがどんな人物かと聞かれると、皆口を揃えて「生意気な奴」と言うのだ。しかし多くの人はその後「そういう奴だから」と笑う。更に中には、キアーベに危機が迫ると、当然のように手を差し伸べる者もいる。皆はキアーベのことをそんな風に評価しているのだ。彼はいつも人々に強烈な印象を与えるが、どこか憎めないところがある。
	しかし逆に言うと、突然彼の訃告を受けたとしても、ほとんどの人はそれを平然と受け入れるであろう。「そういう奴だから」と言いながら。
	彼はそういう矛盾に満ちた面白い人物である。

	Archive File 4 :
	Aosta's terse evaluation of Chiave probably sums it up best — 'He's not gonna live long like this.' 
	It must be pointed out that Chiave is not an extraordinarily strong man: he doesn't possess profound strategic wisdom, nor does he have exceptional combat prowess. He is very ordinary in many respects, and the sum of his combat effectiveness can be regarded as average at best. He is prone to flights of fancy, and often does things half-heartedly. To be frank, it would not be surprising if he was found dead in a ditch on the side of the road one day. 
	However, this is what's astounding about him. 
	Let's do something a bit dramatic to illustrate the point— Everyone in the room will say 'Chiave? Oh, that arrogant guy.' But without fail, most people will smile and add another sentence — 'But that's just the kind of person he is.' And some of these people will not hesitate to help him when they learn that he is in trouble. This is a good indicator of Chiave's popularity. He always leaves a deep impression upon others that makes it impossible to truly hate him. 
	Of course, speaking from another angle, if he really was to suddenly leave us prematurely, most people would probably get over it pretty quickly, because 'that's just the kind of person he is.' 
	That is the contradictory and fascinating person that Chiave is.

	파일 자료 4 :
	    "저러다간 오래 못 살 겁니다."
	    키아베에 대한 아오스타의 평가는 매우 적절하다 할 수 있다.
	    반드시 짚고 넘어갈 점이 있는데, 키아베는 어떤 뛰어난 지혜나 일당백의 힘을 갖춘 전사가 아니다. 그는 굉장히 평범한, 종합적인 전투 능력으로 따져도 평범한 오퍼레이터 수준이었고, 단지 엉뚱한 아이디어를 생각해내고, 언제나 딴 생각을 하고 있는 오퍼레이터일뿐이다. 냉정히 말하자면 키아베가 어느 날 길가에 있는 배수구에서 죽은 채 발견되어도 전혀 이상한 일이 아닐 정도로 말이다.
	    하지만 그건 굉장히 희안한 일이기도 하다.
	    다소 과장된 말투로 표현해보자면, 모두들 이렇게 말할 것이다. "키아베? 아, 그 잘난척하는 녀석 말이지." 그리고 대부분의 사람들은 웃으며 한 마디를 덧붙일 것이다. "원래 그런 녀석이야."
	    하지만 개중 일부는 키아베가 어려움에 처하면 주저하지 않고 그를 도와주러 갈 것이다. 키아베는 대략 이 정도의 인기를 누리고 있다. 키아베는 언제나 다른 사람의 가슴 속에 깊은 인상을 남겼고, 진심으로 미워할 수 없게 만드는 힘이 있었다.
	    물론 다른 각도에서 바라본다면, 어느날 갑자기 그의 부고 소식이 들려와도 많은 사람들은 "원래 그런 녀석이었으니까"라고 말하며 태연히 받아들일 것이다. 
	    키아베는 이처럼, 모순되면서도 재미있는 사람이다.
