ID:
	char_344_beewax
	ビーズワクス、ビーズワクス、ビーズワクス……うん、よし、あと何回か声に出して読めば慣れるはず。あれ、ドクター、何か用です？私は今自分のコードネームを復唱して慣れてるところです。他の人に呼ばれた時に反応できないと笑われちゃいますから。
	Beeswax, Beeswax, Beeswax... Mm, okay. I should get used to it after reading it a few more times. Oh, Doctor, do you need something? I’m just trying to get used to hearing my code name... so I don’t overreact and get made fun of when others call me.
	비즈왁스, 비즈왁스, 비즈왁스… 응, 좋아. 앞으로 몇 번 소리 내서 읽으면 익숙해질 거야. 어라? 박사님, 무슨 일이세요? 저는 지금 제 코드네임을 복창해서 익숙해지려 하고 있었어요. 다른 사람이 불렀을 때 반응하지 못하면 비웃음을 사니까요.

	这个虫子，因为月见夜先生好像很害怕，一见就原地弹跳起来，所以我就帮他捉起来了。但是，现在该往哪里丢呢......咦，博士，你为什么要向后退？
	この虫、見かけると跳び上がるほどミッドナイトさんが怖がってたので、捕まえてきました。でも、どこに逃がそうかな……あれ、ドクター、どうして後ずさりするんですか？
	This bug... Mister Midnight seemed very scared of it and jumped up into the air as soon as he saw it, so I helped him catch it. But, where should we put it now... Um, Doctor, why are you backing away?
	이 벌레, 눈에 보이면 튀어 오를 만큼 미드나이트 씨가 무서워하길래 잡아 왔어요. 그런데 어디에 풀어주지… 어라, 박사님. 왜 뒷걸음질치고 계세요?

	衣服的尺寸稍微大一点，这样披在身上会很安心，我很喜欢这种感觉。只是，偶尔，会不小心踩到——欸，啊，呜哇......！......呜呜，又摔倒了。好痛......
	服のサイズは大きめのほうが、着た時に安心感があって私は好きなんです。ただ、ほんとたまにですけど、裾を踏んでしま――えっ、あっ、わぁっ……！……うう、また転んじゃった。痛い……
	My clothes are a bit big, so I feel at ease when drape over my body. I like that sensation. But, sometimes, I’ll accidentally step on them— Uu, uwah, ahh...! ...Fweh, I tripped again... Ow...
	옷 사이즈는 큰 편이 입었을 때 안심이 돼서 저는 좋아해요. 다만, 정말 가끔이지만 옷자락을 밟아서…… 엣, 앗, 으악…! 으으… 또 넘어졌어. 아파……

	民谣协会本月的新作，是我很喜欢的旋律呢。欸，博士没听说过协会？全称是民谣与源石技艺研究协会......没听过？那电音技艺同盟呢？说唱与民谣联合展望会呢？都没听过？
	民謡協会の今月の新作、私好みのメロディーだな。あれ、ドクターは協会を知らないんですか？正式名称は「民謡とアーツ研究協会」っていうんですが……聞いたことない？では電子音楽技術同盟は？ラップと民謡連合展望会は？どれも聞いたことないんですか？
	The new piece the Folk Song Association put out this month is my new favorite song. Oh, you’ve never heard of them before, Doctor? The full name is the Folk Song and Originium Arts Research Association... Still haven’t heard about it? What about the Electronic Arts Alliance? How about the Rap and Folk Joint Vantage? Haven’t heard of any of them?
	민요 협회의 이번 달 신곡, 내 취향의 멜로디네. 어라, 박사님은 협회 모르세요? 정식 명칭은 '민요와 아츠 연구 협회'라고 하는데요… 들어본 적 없으시다고요? 그럼 전자음악 기술 동맹은요? 랩과 민요 연합 전망회는요? 하나도 들어본 적 없으세요?

	头上的印记？啊......这个是，族中代代相传的祭祀之印，是我们信奉的金色的神灵对族人的祝福。无颜的神灵庇佑我们，不论我们走到哪里，不论我们是否记得......
	おでこの印？あ……これは一族に代々伝わる祭祀の印で、私たちが崇める金色の神が一族に授けてくださった祝福なんです。顔のない神が私たちを見守っていてくださいます。私たちが何処へ行こうが、たとえそれを忘れてしまっても……
	The mark on my head? Ah... this is a ceremonial seal passed down from generation to generation in my tribe, and it is a symbol of our Golden Gods’ blessings towards our tribe and our peoples. The faceless gods will protect us, no matter where we go, whether or not we remember them......
	이마의 증표요? 아… 이건 일족 대대로 전해지는 제사의 증표에요. 저희가 모시는 황금빛 신이 일족에게 내려주신 축복이죠. 얼굴 없는 신이 저희를 지켜봐 주세요. 저희가 어디로 가든, 설령 그것을 잊어버린다 해도…

	离开部族，去别的城邦和国家游历，是我们的族人都必须经历的试炼，只有顺利通过，才能成为像姐姐那样可靠的成年人。嗯，博士也相信我一定没问题的，对吧？
	部族を離れて、外の街や国を巡ることは、私たちの一族で必ず受けるべき試練です。うまく乗り越えたら、やっとお姉ちゃんのような頼れる大人になれるとされてます。うん、ドクターも私なら大丈夫だって信じてくれてる、そうですよね？
	Leaving the tribe and traveling to other city-states and countries is a trial of passage that all the members of our tribe must go through. Only by successfully passing it can one become a full-fledged adult like my sister. Um, Doctor, you don’t think I’ll run into any problems, right?
	부족에서 벗어나 바깥 도시나 나라를 둘러보는 것은 저희 일족에서 반드시 받아야 하는 시련이에요. 제대로 극복해야만, 언니처럼 의지할 수 있는 어른이 될 수 있다고 하죠. 네, 박사님도 저라면 괜찮을 거라고 믿어… 주실 거죠?

	嘿嘿，我的角，很大很漂亮吧，在族人中能比得上我的人也不多见呢！保养的秘诀是每天涂一遍香油，用刷子轻轻地刷——等等，博士，今天的护理还没有完成，就算是博士也不能随便乱碰！
	えへへ、私の角、大きくて綺麗でしょう？一族の中でも私より立派な角を持つ人はあんまりいないんですよ！お手入れの秘訣は毎日オイルを塗って、ブラシで優しく擦る――待って、ドクター。今日のお手入れがまだですから、たとえドクターでも触っちゃダメです！
	Hehe, my horns are big and pretty, right? There aren’t many people in the tribe whose horns can compare to mine! The secret to maintaining them is to apply essential oils once a day, gently massage them with a soft brush— W-wait, doctor, I haven’t finished today’s maintenance yet, you can’t just touch them like that!
	에헤헤… 제 뿔, 크고 예쁘죠? 일족 중에서도 저보다 훌륭한 뿔을 가진 사람은 별로 없어요! 관리 비결은 매일 오일을 바른 다음에 솔로 부드럽게 문지르는…… 잠깐만요, 박사님. 오늘은 아직 관리 전이니까 아무리 박사님이라 해도 만지면 안 돼요!

	博士，请到这边来，嗯，嗯，闭上眼睛，让我碰碰你的额头。烈阳、风暴、还有泛起波浪的金色沙原，神灵寄宿在孕养我们的这片地上，给予族人们庇佑和祝福。现在，我将这份祝福也分给你，博士。
	ドクター、こっちに来てください。うん、よし、目を閉じて、私におでこを触らせてください。烈日、嵐、そして波打つ金色の砂原、神が私たちを育んだこの地に宿り、一族に加護と祝福をもたらさんことを。この祝福を、ドクターにも分けてあげます。
	Doctor, please come here. Mm, okay, close your eyes, and let me touch your forehead. The scorching sun, the raging storm, and waves of golden sand washing across the desert. The gods set foot upon the land where we were nurtured, and bestowed our tribe with their blessings. Now, I will share this blessing with you, Doctor.
	박사님, 이쪽으로 와주세요. 응, 좋아. 눈을 감고, 제가 이마를 만지게 해주세요. 뜨거운 태양, 폭풍, 그리고 파도치는 황금빛 모래벌판… 신이 우리를 자라게 한 이 땅에 깃들어, 일족에게 가호와 축복을 내려주시길… 이 축복을, 박사님께도 나누어 드릴게요.

	呼......呼......姐姐......大笨蛋......呼......嗯，嗯？啊，博士，我睡着了......？欸，梦话？我说了什么吗？
	すぅ……すぅ……お姉ちゃんの……バカ……すぅ……ん、ん…？あれ、ドクター？私、寝てたの……？え、寝言？何か言いました？
	Zz... zzz... Sister... you dummy... zzz... mm... H-huh, Doctor? I feel asleep...? Sleeptalking? Did I say something?
	쿨… 쿨… 언니… 바보… 쿠울… 으, 응…? 어라, 박사님? 제가 잠들었었나요…? 네? 잠꼬대요? 뭔가 말했나요?

	......。啊，抱歉，我走神了。你好，博士，我是，我的代号是，呃......对了，我想起来了，是蜜蜡。好听吗？这是最近我的家族的人给我取的！
	……。あっ、すみません。ぼーっとしてました。はじめましてドクター、私は、私のコードネームは、えーっと……あ、思い出した。ビーズワクス、です。いい名前ですか？このコードネームは一族のみんなが付けてくれたんです。
	Hmm... Wah, excuse me, I let my mind wander. Hello, Doctor, I am, my code name is... Umm... Ah, I remember! It’s Beeswax. Do you like it? My tribe helped decide it for me. 
	……앗, 죄송해요. 멍하게 있었네요. 처음 뵙겠습니다, 박사님. 저는, 제 코드네임은, 그러니까… 아, 생각났다. 비즈왁스, 입니다. 좋은 이름인가요? 이 코드네임은 일족 사람들 모두가 지어준 거예요.

	嗯......？这些都要看吗？
	んん……？これ、全部見るんですか？
	Hm...? I have to watch all of this?
	으응……? 이거, 전부 보는 건가요?

	晋升？嗯......不是很明白。
	昇進？えっと……よくわかりません。
	Promotion? Mm... I don’t quite understand.
	승진? 저기… 잘 모르겠어요.

	博士，或许罗德岛的前路注定艰险而漫长，但是，请记住，神灵的裁决与我的祝福......不论何时，都与你同在。
	ドクター、ロドスの前途は多難で長いものになるかもしませんが、でも、覚えててください。神の裁決と私の祝福は……いつだって、あなたと共にあることを。
	Doctor, perhaps the path that lies ahead for Rhodes Island is destined to be long and difficult, but please remember, the gods’ decrees and my blessings... will always be with you.
	박사님, 로도스 아일랜드가 앞으로 나아갈 길은 길고 다난할지 모르지만, 그래도 기억해 주세요. 신의 결정과 저의 축복은… 언제나 당신과 함께한다는 것을.

	这次要去哪里呢？
	今度はどこに行くんですか？
	Where are we going this time?
	이번에는 어디로 가나요?

	我当队长......？虽然不知道博士你的选择标准，不过，可以啊。
	私が隊長……？ドクターの隊長の判断基準はよくわかりませんが、やりますよ。
	I’m the leader...? Even though I’m not sure how you select your team leaders, I’ll try my best.
	제가 대장이요…? 박사님의 대장 판단 기준은 잘 모르겠지만, 할게요.

	那么，我们出发吧。
	では、行きましょうか。
	Well then, let’s go.
	그럼, 갈까요.

	那边，有什么人在。请大家小心。
	あっちに何かいます。みんな気をつけて。
	Someone’s over there. Everyone, please be careful.
	저쪽에 뭔가 있어요. 모두 조심하세요.

	嗯，我在这里。
	はい、ここにいます。
	Yes, I’m here.
	네, 여기 있습니다.

	什么事。
	なんでしょう。
	How can I help?
	무슨 일이시죠?

	这里，就交给我。
	ここですね。任せて。
	Over here? Leave it to me.
	여기네요. 맡겨주세요.

	所站立之地，即为神灵眷土。
	我が足元が、神に祝福されし大地なり。
	The land beneath my feet is the domain of the gods.
	나의 발밑이 신에게 축복받은 대지일지니.

	吞没他们。
	呑み込め。
	Devour them.
	삼켜라.

	压碎他们。
	押しつぶせ。
	Crush them.
	뭉개버려라.

	在金色沙原中睡吧。
	金色の砂原で眠りなさい。
	Sleep beneath the golden sands.
	황금빛 모래벌판에 잠드세요.

	此即为神灵之祝福。
	此れ乃ち神の祝福なり。
	This is the blessing of the gods.
	이것이 바로 신의 축복일지니.

	希望他们，也能够得到祝福......
	彼らにも、祝福がありますように……。
	May they also receive the blessing of the gods......
	그들에게도, 축복이 있기를……

	结束了。呼，博士，我帮上忙了吗？
	ふぅ、終わりました。ドクター、私は役に立ちましたか？
	Phew... It’s over. Doctor, was I able to be of use?
	후우, 끝났어요. 박사님, 제가 도움이 되었나요?

	啊，他们跑掉了。嗯......这样也不坏。
	あっ、逃げられちゃった。うん……それも悪くないか。
	Ooh, they got away! Mm... but I guess that’s fine?
	앗, 놓쳤다. 응… 그것도 나쁘진 않나.

	已经不行了，博士，我会拖住敌人，请快些离开。
	もうダメです、ドクター。私が敵を引きつけますから、早く行ってください。
	We can’t do this anymore, Doctor. I’ll hold the enemies back, so please escape!
	이제 틀렸어요, 박사님. 제가 적을 유인할 테니까 빨리 가세요.

	好干净的房间，如果不小心把沙子撒上去，是不是不太好？
	キレイな部屋。うっかり砂を撒き散らしてしまったら大変だよね？
	What a beautiful room... It’d be troublesome if I accidentally spilled sand over it, right?
	깨끗한 방이네요. 실수로 모래를 뿌려버리면 큰일이겠죠?

	呜啊......又踩到衣服了......
	うわっ……また裾を踏んじゃった……。
	W-woah... I stepped on my clothes again...
	으아! 또 옷자락을 밟아 버렸어……

	啊，博士你看！我又抓到了虫子......！
	あっ、ドクター、見てください！また虫を捕まえたんですよ……！
	Ah, Doctor, please look at this! I caught another bug~!
	앗, 박사님. 보세요! 또 벌레를 잡았어요!

	明日方舟。
	アークナイツ。
	Arknights.
	아크나이츠.

	博士，我在等你呢。
	ドクター、待ってました。
	Doctor, I’ve been waiting.
	박사님, 기다렸어요.
