ID:
	char_452_bstalk
	비켜, 비켜~ 빈스토크 사육 센터의 산책 시간이야. 우리 아이들을 밟지 않도록 발밑을 조심해 줘~

	哇！博士你怎么没告诉我那个卡达小姐也在罗德岛上啊！我可喜欢她的户外视频了！她还夸豆豆可爱，说下次摄影要带上豆豆呢！
	ちょっとドクター！あのカシャさんがロドスにいるなんて聞いてないんだけど！あの人のアウトドア動画、あたし大好きなの！しかもぴーちゃんを可愛いって褒めてくれたんだよ、今度の撮影にも連れてってくれるみたい！
	Doctor! Click is here at Rhodes Island? I can't believe you haven't ever told me! I'm a huge fan of her outdoorsy videos! She called Pea cute, and she even said she'll bring Pea along the next time she goes on a shoot!
	잠깐, 박사! 클릭 씨가 로도스 아일랜드에 있단 얘길 왜 안 해줬던 거야! 내가 그 사람 아웃도어 영상을 얼마나 좋아하는데! 게다가 콩이 보고 귀엽다고 칭찬도 해줬어! 다음 촬영에도 데려가준다나봐!

	现在好多人嚷嚷着要去淘矿，在荒野里乱挖一通就算了，还把大家住的地方挖得一团糟！要是再被我抓到那些乱来的混蛋，我一定要拿弩射他们的屁股！
	最近は採鉱に行きたいって鼻息を荒くして、荒野をそこら中掘り返すって人がいっぱいいるけど、みんなのお家までめちゃくちゃにするなんて！次に好き放題するお馬鹿たちを捕まえたら、今度こそクロスボウでお尻に穴を開けてやるんだから！
	There's been all these morons saying they'd go mining and then dug up a bunch of holes out in the wilderness. Fine, but how dare they make a mess of everyone's home! If I ever catch those bastards, I'm blowing a hole in their asses with my crossbow!
	요즘 채광을 하러 가고 싶다며 난리 부리면서 황야를 여기저기 파헤치는 사람이 잔뜩 있다는데, 다른 사람들 집까지 엉망진창으로 만들어버린다고 해! 다음에 제멋대로 구는 바보들을 붙잡으면, 그땐 크로스보우로 엉덩이에 구멍을 뚫어줄 거야!

	博士，这次的培育计划书我写完啦，你看看吧！欸？经费算多了？......嘁，被发现了。啊呀，对不起，可能是我算错了吧！我再改一改~
	ドクター、今回の飼育計画書ができたよ、チェックよろしく！え？経費が多く計上されてる？……チッ、バレたか。いやー、ごめんね、たぶん計算ミスだと思う！直してくるねー。
	Doctor, I'm done with my breeding proposal. Take a look, will ya? Huh? The budget doesn't add up...? Tsk, he found out, huh? Oh, my bad! I probably got the numbers messed up somewhere! I'll get it fixed right away~
	박사~ 이번 사육 계획서를 완성했어, 검토 부탁해! 헤에? 경비가 많이 올랐다고? 쳇, 들켰나…… 아니야~ 미안해~ 그냥 계산 실수일 거야! 고쳐올게~

	来罗德岛前，我也给不少公司投了不少简历，但都被拒绝了。可是博士你看，我的小家伙们既可以上战场又能在后勤运输，还有好多其他地方帮上忙，拒绝我完全是那些老板没眼光，他们亏大了！
	ロドスに来る前にもいろんな会社に応募したんだけど、全部落ちちゃったんだよね。でもほら、うちの子たちは戦場でも活躍するし、後方支援なら運搬なんか得意だし、あたしを落とすなんてあのお偉いさんたちはホンット見る目ないよ。大損だってわかんないのかな！
	Before I came to Rhodes Island, I sent my resume to so many companies out there, and they all turned me down. Well, just look at how helpful my little buddies are now, both in the battlefield and in logistics. Those big shots only have themselves to blame. It's their loss!
	로도스 아일랜드에 오기 전에도 여러 회사에 지원했었지만, 전부 떨어졌어. 그렇지만 봐봐, 우리 아이들은 전장에서도 활약하고, 후방 지원이라면 운반도 잘하는데…… 날 떨어뜨리다니, 그 높으신 분들은 정말 보는 눈이 없다니까. 엄청난 손해라는 걸 모르는 걸까?

	豆豆呢，是我带来的这群磐蟹里最小也最聪明的一只，将来肯定会变得特别厉害~我的小家伙们和其他的普通磐蟹不一样，它们可聪明了，才不会被人随便操控呢！
	ぴーちゃんはね、あたしが連れてきたハガネガニの中では一番ちっちゃいけど、その分一番賢い子なんだよ。将来きっとすーごい子になると思う！他の子たちも普通のハガネガニと違ってみんな賢いから、そう簡単に操られたりなんかしないよ！
	You see, Pea may be the smallest of the Metal Crabs I brought with me, but she's also the brightest of the bunch! She's gonna be so amazing in the future~! My little buddies are nothing like the normal Metal Crabs out there. They're so smart! They won't be controlled by anyone out there so easily!
	콩이는 있잖아, 내가 데려온 메탈 크랩 중에서는 가장 작지만, 그만큼 가장 똑똑한 아이야. 장래에는 분명 대단한 아이가 될 거야! 다른 아이들도 평범한 메탈 크랩이랑은 달리 모두 똑똑하니까, 그렇게 쉽게 조종할 순 없을걸!

	一、二、一、二，列队！防御，阻挡！......好，大家表现不错，这是奖励，吃吧吃吧~接下来换攻击动作——哇啊，博士，你什么时候来的，怎么走路都没声音的啊！
	一、二、一、二、全たーい、整列！防御体制、ブロック！……よし、みんなよくできたね！ご褒美だよ、たくさーん食べて～。よし、じゃあ次は攻撃体制――うわっ、ドクター、いつの間に来てたの！？足音なんて全然聞こえなかったよ！
	1, 2! 1, 2! Line up! Defense position, and block! Okay! All of you are doing amazing! Here's your reward. Eat up~! Let's switch it up now. Attac—Whoa, Doctor, how long've you been here? How come you're always so quiet when you walk?!
	하나, 둘, 하나, 둘, 모두~ 정렬! 방어 태세, 저지하기! 좋아! 다들 잘했어! 상이야, 많이 먹어~ 좋았어, 그럼 다음은 공격 태세…… 으앗, 박사, 언제 온 거야?! 발소리도 전혀 안 들렸어!

	我家老爹不太赞成我养着这些小家伙们，嫌弃它们没用，不如养驮兽能赚钱。哼，我绝对会带着小家伙们闯出点名堂，到时候老爹一定也没话可说了！博士，要考虑一下投资我吗，包赚不亏哦~
	うちの父ちゃんは、この子たちを飼うことにあんまり賛成してくれなかったんだ。役に立たないから儲かる駄獣でも飼えってね。ふーんだ、あたしは絶対この子たちと一緒に名を上げて、父ちゃんも黙らせてやるんだから！ねぇドクター、あたしに投資なんてどうかな、儲けは保証するよ～。
	My old man doesn't really support me raising my little pals. He says they're useless, and that I'd be better off raising burdenbeasts. Hmph, I'm show him. I'll make it big with my buddies, and we'll see if he has anything to say then! Hey, Doctor, have you ever thought of investing in me? I guarantee you you'll be raking in lots of money!
	우리 아빠는 이 아이들을 키우는 걸 그다지 찬성하진 않았어. "도움이 안 되니까 돈이 되는 버든비스트를 키워", 이러면서 말이야. 흥이다! 나는 반드시 이 아이들과 함께 유명해져서 아빠도 아무 말도 못 하게 만들 거야! 있잖아, 박사. 나한테 투자하는 건 어때? 수익은 보증할게~

	哎，回神了回神了，博士，工作时间不许开小差，要和豆豆一样做个乖孩子哦。
	はい、集中集中ー。ドクター、仕事中はぼーっとしちゃダメだよ。ぴーちゃんみたいにいい子にしないとね。
	Alright, focus! Doctor, you can't just space out while you're working. Take a look at what a good girl Pea is. Be more like her.
	자, 집중해, 집중~ 박사, 일하는 중에 멍하니 있으면 안 돼. 콩이처럼 착한 아이가 되어야지.

	你好，博士，我是豆苗，从今天起加入......欸，包里？啊，这个小家伙叫豌豆黄。来，豆豆，和博士打个招呼吧。
	はじめまして、ドクター。あたしはビーンストーク、今日からここで……えっ、このケースの中身？ああ、この子はピーケーキっていうんだ。ほらぴーちゃん、ドクターに挨拶して。
	Hello, Doctor. My name's Beanstalk. Starting today, I'll be... Eh? What's in my case? Oh, this is Peacake. Here, Pea, say hi to the Doctor.
	반가워, 박사. 나는 빈스토크, 오늘부터 여기서… 어? 이 케이스 안에 뭐가 있냐고? 아, 이 아이는 콩떡이라고 해. 자~ 콩아, 박사한테 인사해야지.

	哇哦帅欸！豆豆，看到没，要好好学习哦！
	わぁ、かっこいいね！ぴーちゃん、今の見た？ちゃんと覚えるんだよ！
	Aha! That was awesome! Did you see that, Pea? 
	우와~ 멋있네! 콩아, 지금 거 봤지? 제대로 기억해야 된다?!

	嘿，一定是因为上次作战时我们的表现太好，所以才给我们升职，对吧！
	へへ、やっぱりこないだの作戦で大活躍したから、昇進させてくれたんだね！
	Ehe, you're promoting us because of how well we did in the last operation, right?
	헤헹~ 역시 얼마 전 작전에서 큰 활약을 해서 승진시켜 준 거지?

	博士，谢谢你愿意给我还有小家伙们证明自己的机会！客套话我就不多说啦，今后豆豆它们还会变得更厉害，一定会让你吃惊的！
	ドクター、あたしとこの子たちに自分の価値を証明するチャンスをくれてありがとう！ご挨拶はこの辺にしといて、これからもぴーちゃんたちはもっともっとスゴくなって、ドクターを驚かせてあげるよ！
	Doctor, thanks for giving me and my buddies a chance to prove ourselves! I'll cut the formalities. We'll get even more amazing than this! You're in for a surprise!
	박사, 나와 이 아이들에게 자기 가치를 증명할 기회를 줘서 고마워! 인사는 이쯤 해두고, 앞으로도 콩이네 아이들은 더욱 더 대단해져서 박사를 놀라게 해줄 거야!

	看我们大显身手~
	あたしたちの見せ場だ！
	It's our time to shine~
	우리가 활약할 차례야!

	好！这次大家都听我的！
	よし！みんな、あたしの言うことを聞いてもらうよ！
	Alright! Everyone, do what I say!
	좋아! 다들 내 말을 들어줘!

	豆苗作战小队，出动！
	ビーンストーク小隊、出発！
	Team Beanstalk, here we go!
	빈스토크 팀, 출발!

	啊呀，那些家伙就是这次的敌人？
	あれ、あの人たちが今回の敵？
	Huh? Are these who we're up against?
	어라, 저 사람들이 이번 적이야?

	来了来了。
	きたきた。
	Here you are.
	왔다, 왔어.

	准备着呢~
	準備万端だよ～。
	All ready to go~
	준비 완료야~!

	去吧，让他们见识一下我们的实力！
	行け！あたしたちの実力を見せてあげよう！
	Go! Show them what we've got!
	가자! 우리의 실력을 보여주는 거야!

	上了哦！
	行くよ！
	Let's go!
	간다!

	嘿嘿，打不着我~
	へへ、あたらないよー！
	Hehe, you can't hit me~
	헤헹~ 안 맞지롱~!

	拦住他们！
	あいつらを止めて！
	Stop them!
	저 녀석들을 막아!

	不会让你们过去的！
	ここは通さないよ！
	I won't let you get past us!
	여기는 못 지나가!

	混蛋，不许欺负我的小家伙们！
	このお馬鹿！うちの子たちをいじめないで！
	You assholes! I won't let you hurt my buddies!
	이 멍청아! 우리 아이들 괴롭히지 마!

	哼哼，全都不是我们的对手~
	ふふん、あんなのあたしたちの敵じゃないよ～。
	Hehe, you guys are no match for us~
	후훗, 저런 건 우리들의 적이 아니지~

	任务完成~怎么样，我的小家伙们表现不错吧！
	任務完了～どう、うちの子たちもよくやったでしょ！
	Mission complete~! How's that? My buddies did great, huh?
	임무 완료~ 어때, 우리 아이들도 되게 잘했지?

	啊，有人跑了！博士你等等，我现在就去追！
	あー、逃げた奴がいる！待っててドクター、今追いかけるから！
	Oh, some of them got through! Wait here, Doctor. I'll go after them!
	아! 도망간 녀석이 있어! 기다려 박사, 지금 쫓아갈 테니까!

	呜，大家不哭，下次我一定帮你们揍那些混蛋！
	うぅ、泣かないでみんな、今度は絶対あのお馬鹿たちをぶん殴ってあげるから！
	*Sob*. It's okay, everyone. Don't cry. I'll beat those jackasses up next time!
	으으, 다들 울지마, 다음엔 반드시 저 멍청이들을 두들겨 패 줄 테니까!

	我随便住哪儿都行，培育室呢？培育室在哪里？
	あたしの寝るとこはどこでもいいけど、飼育室は？飼育室はどこ？
	I don't mind sleeping anywhere. Where's the breeding room, though?
	내가 자는 곳은 어디라도 상관없지만, 사육실은? 사육실은 어디야?

	干嘛，别扯我的发带呀！
	何すんの、リボンを引っ張らないでよ！
	Why'd you do that? Stop pulling my ribbon!
	뭐 하는 거야, 리본 잡아당기지 마!

	嗯？怎么啦，要摸摸豆豆吗？
	ん？どうしたの、もしかしてぴーちゃんに触りたい？
	Hm? What's up? Wanna pet Pea?
	응? 왜 그래, 혹시 콩이를 만지고 싶은 거야?

	明日方舟。
	アークナイツ。
	Arknights.
	아크나이츠.

	哟~在干嘛呢，博士？
	やほードクター、何してるの？
	Yo~ Whatcha doing, Doctor?
	야호~ 박사, 뭐 하고 있어?
