ID:
	char_110_deepcl
	    신원 불명, 이력 정보 부족. 오리지늄 아츠를 이용한 마법 지원, 전술 협동 등의 방면에서 뛰어난 전투력을 보인 바 있다. 현재 로도스 아일랜드의 특수작전팀에서 오퍼레이터로 활약하고 있다.

———————————————————————————————

	临床诊断分析 :
	造影检测结果显示，该干员体内脏器轮廓清晰，未见异常阴影，循环系统内源石颗粒检测未见异常，无矿石病感染迹象，现阶段可确认为非矿石病感染者。
	
	【体细胞与源石融合率】0% 
	干员深海色没有被源石感染的迹象。
	
	【血液源石结晶密度】0.17u/L 
	根据干员深海色自述，其绘画过程中使用的颜料常以源石粉末作为原料，因此相比其他干员，深海色接触源石的机会相对更多。

	健康診断 :
	造影検査の結果、臓器の輪郭は明瞭で異常陰影も認められない。循環器系源石顆粒検査においても、同じく鉱石病の兆候は認められない。以上の結果から、現時点では鉱石病未感染と判定。
	
	【源石融合率】0%
	鉱石病の症状は見られない。
	
	【血液中源石密度】0.17u/L
	本人によると、絵画に使用する絵の具は源石の粉末を原料にしているものも多いらしく、彼女が源石と接触する頻度は他の者よりも多いものと考えられる。

	Clinical Analysis :
	Imaging tests on this Operator show clear outlines of internal organs, with no abnormal dark spots or shadows. No unusual traces of Originium particles present in the circulatory system, no signs of infection, confirming this operator as uninfected. 
	
	[Cell-Originium Assimilation] 0% 
	Operator Deepcolor showed no symptoms of Oripathy. 
	
	[Blood Originium-Crystal Density] 0.17u/L 
	According to Deepcolor's own statements, she often uses enriched Originium in the color palette of her paintings. As such, she has far more contact with Originium than most other Operators.

	임상 진단 분석 :
	    방사선 검사 결과, 해당 오퍼레이터의 내장 기관의 윤곽이 선명하고, 비정상적인 음영이 발견되지 않음, 순환 계통 내 오리지늄 입자 검사 이상 없음, 광석병 감염 현상 없음, 현단계로선 광석병 비감염자로 확인할 수 있음.
	
	[체세포와 오리지늄 융합률] 0%
	오리지늄에 감염된 흔적을 찾아볼 수 없음.
	
	[혈중 오리지늄 결정 밀도] 0.17u/L
	오퍼레이터 딥컬러 본인의 말에 따르면, 그림을 그릴 때 사용하는 도료가 보통은 오리지늄 분말을 그 원료로 한다고 한다. 이 때문에 다른 오퍼레이터에 비해, 딥컬러가 오리지늄에 접촉하는 기회가 상대적으로 잦다.

———————————————————————————————

	档案资料一 :
	干员深海色，出生在哥伦比亚的一个富裕家庭，其父于莱塔尼亚舒曼艺术学院担任油画学教授，因此，她自幼便有着接触各种艺术沙龙的机会，并在耳濡目染下对绘画产生了浓厚的兴趣，立志要成为一名画家。在父亲的教导下，深海色迅速展现出了惊人的绘画天赋，并以优异的成绩考入了蒂森美术大学，在此接受深造期间，她同时赢得了维多利亚某高等源石技艺学府的青睐，主修三门控制类源石技艺课程。毕业后，她应邀前往哈尔曼松美术设计工作室，并在此工作了近三年时间。
	备注：以上由干员深海色提供的身份资料，经线人与信使实际勘查后所发现的实际情报与该份资料存在若干处完全不相符的误差，并有部分任职信息查无实证后，建议谨慎信任该名干员所提供的所有出身有关的情报。

	第一資料 :
	ディピカはクルビアの富裕層の家庭で生まれ、父はリターニアのシューマン芸術学院で油絵の教授だったという。そのため、幼少の頃から様々な芸術作品に触れる機会があり、絵画にとても強い興味を持ち画家を目指すようになった。父の指導の下、彼女は驚くべき絵画の才能を見せ、優秀な成績をもってティッセン美術大学に入学した。その後の学生生活において、彼女は彼女を懇意にしていたヴィクトリアのアーツ系の某高等学府で、アーツのコントロールに関する課程を三つも修めたという。卒業後はスタジオハルメンソーンから声がかかり、そのスタジオに三年間所属していた。
	注：以上はディピカ本人が提出した個人資料によるものだが、情報筋とトランスポーターの実調査によると実際とは全く異なる点が多数あるという。また、職務経歴に関しても実証はなく、当該オペレーターが提出した出生に関する資料は安易に信用しないようにすべきであると提言する。

	Archive File 1 :
	Operator Deepcolor was born to an upper middle class family in Columbia, where her father was a professor of oil painting at the Schumann Art Institute of Leithanien. Through her father, she had access to all the greatest art salons, and was profoundly influenced by the scene from a very young age. Enamored of oil painting, she resolved to become an artist. Under the guidance of her father, Deepcolor quickly showed a tremendous talent for painting and she began her art studies and easily earned the grades to be accepted into Thyssen University, where she attracted the attention of a certain advanced Originium institute in Victoria, leading her to triple-major in Originium control. After graduation, she received an offer from the Harmenszoon Design Studio and worked there for almost three years. 
	Note: All of the above was provided by Deepcolor herself. Intelligence gathered from informants and confidential reports have revealed several inconsistencies in her account. It is advised to approach all background information provided by this Operator with skepticism.

	파일 자료 1 :
	    오퍼레이터 딥컬러는 컬럼비아의 부유한 가정에서 태어나, 라이타니엔 슈만 예술 학교에서 유화학 교수를 맡고 있는 부친의 영향으로 어려서부터 다양한 아트 살롱을 접하다 자연스럽게 회화에 깊은 관심을 갖게 되어 화가를 목표로 삼게 되었다. 부친의 지도 아래 딥컬러는 놀랄 정도로 빠르게 회화 방면에서 두각을 드러내기 시작하였고, 우수한 성적으로 티센 미술대학에 입학했다. 대학교 재학 중 그녀는 빅토리아의 모 고등 오리지늄 아츠 학부에도 관심을 갖게 되어 그곳에서 세 과목의 제어 계열 오리지늄 아츠 강의를 수강하게 되었고, 대학 졸업 후 그녀는 하르멘스존 디자인 스튜디오의 초청장을 받아 그곳에서 약 3년간 근무하게 되었다.
	    비고: 이상이 오퍼레이터 딥컬러가 제공한 개인자료지만, 정보원과 전달자의 조사에 따르면 실제 상황과는 전혀 맞지 않는 점이 다수 존재한다고 한다. 또한, 직무 경험에 대해서도 증명된 바가 없어, 해당 오퍼레이터가 제출한 개인자료는 쉽게 신뢰하지 말 것을 건의한다.

———————————————————————————————

	档案资料二 :
	干员深海色拥有不凡的绘画天赋，然而担任干员的她无暇展示这种能力，仅能从她在休憩时间里为干员们进行速绘与快速描摹中瞥视一缕。可以确定的是，深海色完全记得住每一名她所见过的干员的容貌与体态特征，并通过简单的观察就能掌握该名干员的各项体征数据，甚至是其观察对象本身都未曾留意之处。当这种观察延伸至分析领域时，深海色可以通过简单的总结，即可概括观察对象的生活习惯等理应长期观察才能了解的信息。 
	根据干员深海色本人的描述，这是作为画家所理应具备的，不足道之的基本功，而她仍处于初涉艺术海洋浅滩的位置。 
	备注1：对于部分干员来说，所谓其形容的海洋，还是其代号中的“深海”，均是陌生的概念。建议理解为“无限的水”。 
	备注2：在婉拒干员深海色提出的为撰写者绘制一幅画作的提议后，仍收到了其赠送的速绘肖像一枚。

	第二資料 :
	ディピカは非凡な絵画の才能を有しているが、オペレーターを務めている彼女にそれを発揮する時間の余裕はほとんどなく、僅かな休憩時間に他のオペレーターにスピードペインティングやデッサンをしてあげている姿をちらりと見かける程度である。ディピカは会ったことのあるオペレーターの容貌と身体的特徴を全て完璧に記憶しており、簡単な観察を行うことで対象のオペレーターの身体データを把握することが出来る。そしてそれは相手のオペレーター自身も気づいていない部分にまで及ぶ。その観察技術が分析と呼べる領域にまで高まれば、分析対象の生活習慣など、長期的な調査を必要とする情報をいとも容易く概括できるようになるだろう。
	彼女自身はそれを、画家として当然備わっているべき、取り立てて言うほどでもない基礎的な能力であると語り、さらには自分は芸術という海洋の浅瀬に足を浸しているだけだと謙遜した。
	注1：彼女の語る「海洋」や「深海」といった言葉は、一部のオペレーターは聞き慣れないものかと思う。こちらは「無限の水」と理解しておいて欲しい。
	注2：記録者、つまり私に絵画をプレゼントするとの彼女からの提案はやんわりと断ったが、その後すばやく仕上げた肖像画をプレゼントされた。

	Archive File 2 :
	Operator Deepcolor is versed in different forms of art, though she is unable to utilize it in her role as an Operator. That is of course, except in her spare time, when she sketches quick portraits for her teammates. It has been confirmed that Deepcolor has a photographic memory of the appearance and detailed features of every Operator she has ever met. Through simple observation, she derives a complete picture of their bodies and even minute imperfections that the Operators themselves are not aware of. By further analyzing these data, Deepcolor can summarize her subjects' private information that most intelligence operatives would need long periods of observation to acquire, such as lifestyle choices and daily habits. 
	According to Deepcolor's personal account, this is nothing but a basic skill possessed by all painters, and she is still at the shoal of the sea of art.
	Note 1: The sea she describes and the 'Deep' in her code name are strange concepts for some Operators. Please see it as 'boundless water.'
	Note 2: After rejecting Deepcolor's request to paint a portrait of the creator of this file, the profiler still received a sketch from her.

	파일 자료 2 :
	    딥컬러는 회화에 비범한 재능을 지니고 있으나, 오퍼레이터로서는 이 재능을 보여줄 기회가 별로 없다. 오직 그녀가 휴식 시간에 다른 오퍼레이터들을 스케치하거나 크로키하는 과정에서 그녀의 재능을 엿볼 수 있을 뿐이다. 확실한 것은, 딥컬러는 자기가 본 오퍼레이터의 외모와 신체적 특징을 완벽하게 기억하고 있으며, 다른 오퍼레이터가 인식하지 못하는 짧은 순간의 관찰만으로도 다른 오퍼레이터의 신체 데이터를 전부 파악할 수 있다는 것이다. 또한 이러한 관찰이 분석으로 이어질 때, 딥컬러는 간단한 관찰만으로 관찰 대상의 생활 습관과 같이 장기적인 관찰을 통해서만 알 수 있는 정보까지 대략적으로 파악할 수 있다.
	    딥컬러 본인의 말에 따르면, 이는 화가로서 갖춰야 할 기본기일 뿐이며, 예술의 바다의 여울에 막 발을 담근 수준에 불과하다고 한다.
	- 비고 1: 일부 오퍼레이터들에게는 그녀의 코드네임이 의미하는 '바다'나 '심해'도 전부 생소한 개념이다. '끝이 없는 물' 정도로 이해할 것을 권장한다.
	- 비고 2: 딥컬러는 필자의 그림을 그려달는 요청을 완곡하게 거절했지만, 이후 캐리커처 한 장을 그려 선물로 주었다.

———————————————————————————————

	档案资料三 :
	干员深海色的源石技艺至今仍无法完全解析，这也是吸引罗德岛将其吸纳作为干员的关键。 
	目前可以判明的是，深海色手中的画笔完成充当了法杖的功能。深海色所掌握的源石技艺完全通过这支画笔释放，虽然她作战的方式看起来并不正式——通过在充当画板的空气中，以涂抹般的姿态释放出难以理解的法术效果。 
	另一方面，最难以理解的是她所使役的，称之为“助手”的“生物”（在更加好事的干员们口中，它们被称为“触手”，一种地方俚语）。之所以称呼这些细长的东西喂“生物”，是因为它们似乎具备与作为宠物的生物相同的，可以执行指令的理解能力与行动模式，并在战斗中为深海色提供了相当多的战术选择。经过与莱茵生命研究所的梅尔制造的“米波”进行对比后发现，这些生物完全不存在任何意义上的机械结构。是的，它们细长的，没有口鼻器官的身躯正是全部的身体结构。 
	根据干员深海色的自述，这些生物是其父作为礼物从遥远的萨尔贡某地区捕捉到的。“仅仅是一种未经判明的生物而已”，这是她对“助手”所做出的全部概括。

	第三資料 :
	ディピカが使用するアーツについては、未だに完全に解明されていない。それもロドスが彼女をオペレーターとして雇用している大きな理由の一つとなっている。
	現状判明しているのは、彼女の絵筆がアーツユニットの役割をなしていて、彼女が操るアーツは全てその絵筆を通して放たれるということだ。彼女のアーツは目の前の空間をキャンパスに見立て、絵の具を塗るように筆を振るうことでそれを放つという、型破りでなかなか理解しがたいものである。
	さらに最も理解し難いのは彼女が使役している「アシさん」と呼ばれる「生物」（物好きなオペレーターは、一種のスラングでそれらを「触手」と呼ぶこともある。）だ。それらを「生物」と呼ぶのは、それがまるでペットの生物かのように、命令を遂行出来る理解能力及び行動パターンを備えているかのように見えるからであり、戦闘においても彼らのおかげでディピカの戦術は多彩なものとなっている。また、ライン生命のメイヤーが製造した「ミーボ」との比較で判明したことだが、あの生物には意味のある機械的な構造は全く存在しないのだ。そう、口や鼻といった器官を全く備えない細長い体躯は、あの生物の身体構造の全てなのだ。
	ディピカの話によると、あの生物は父が遥か遠いサルゴンで捕まえてきたプレゼントだという。「ちょっと謎に包まれた生き物ってだけだよ」、これが彼女が「アシさん」に対して話したことの概括である。

	Archive File 3 :
	Operator Deepcolor's Originium abilities remain poorly understood, which is also a key reason why Rhodes Island recruited her. 
	The best guess at present is that Deepcolor's paintbrush acts as a wand or staff to other Casters, through which she channels her Originium powers. Her combat style isn't exactly orthodox--air-painting is not a known Artcasting method, nor is it easy to comprehend. 
	Furthermore, perhaps most difficult to understand are the creatures she commands, dubbed 'helpers' (or 'tentacles' by nosy Operators). The reason these long, thin threads are called 'creatures' is because they possess the intelligence and mobility of a pet trained to follow orders, greatly adding to Deepcolor's combat flexibility. After comparisons to the 'Meeboos' created by Mayer of the Rijn Life Research Center, these creatures are actually mechanical entities defying any existing classification. They have spindly bodies without noses, mouths, or ears. 
	According to Deepcolor's own reports, these creatures were captured by her father somewhere in faraway Sargon as a gift to her. She summed up the 'helpers' as merely 'as yet unclassified creatures.'

	파일 자료 3 :
	    딥컬러의 오리지늄 아츠는 아직 완전히 분석되지 않았는데, 이 또한 로도스 아일랜드로 그녀를 끌어들여야 하는 중요한 이유 중 하나이다. 현단계에서 판단할 수 있는 것은, 딥컬러의 회화용 붓이 마법 지팡이와 같은 역할을 한다는 것이다. 딥컬러의 오리지늄 아츠는 이 붓을 통해 방출되며, 그녀의 작전 방식은 비록 공식적인 것은 아니나… 마치 화판에 그림을 그리듯, 허공에 물감을 칠하여 마법을 시전한다고 한다.
	    이외에도 가장 이해하기 어려운 것은 그녀가 다루는 '조수'라고 부르는 '생물'이다. (끼어들기 좋아하는 오퍼레이터들은 이들을 '촉수'라고 부르는데, 이는 일종의 지방 속어이다.) 이 길고 가느다란 생물은 마치 애완동물처럼 명령을 수행할 수 있는 이해력과 행동력을 갖춰, 전투 중 딥컬러에게 다양한 전술적 선택지를 제공해 준다. 라인 랩의 직원이었던 메이어가 만든 '미보'와 비교해본 결과, 이 생물들은 어떤 기계적인 구조도 가지고 있지 않았다. 그렇다. 그들은 가느다랗고 입과 코가 없는 모습이 신체구조의 전부인 것이다.
	    오퍼레이터 딥컬러의 말에 따르면, 이 생물들은 그녀의 아버지가 먼 사르곤의 한 지역에서 선물로 가지고 온 것이라고 한다. "그냥 명확히 밝혀지지 않은 생물일 뿐"이라는 것이 그녀가 '조수'에 대해 남긴 설명의 전부다.

———————————————————————————————

	档案资料四 :
	一幅深海色近期创作的画作： 
	没有任何称得上形体的东西，也没有任何结构性的物体，仅仅以数种色彩在画布上涂抹、覆盖、挥洒的色块，迫使观者无法将目光着眼于任何地方，却能全盘接受斑斓色彩中全部的信息。 
	长久凝视之后，会感受到异样不安与强烈的吸引力。

	第四資料 :
	ディピカが最近創作した絵画：
	何とも言えない形状のもの、何の構造性も持たない物体が、わずか数種類の色でキャンバスに描かれ、塗り重ねられ、色の塊を成している。それを見せられた者は、その全貌をひと目で捉えることは出来ないが、全体のカラフルな色彩から伝わるメッセージ性に圧倒される。
	長く凝視すれば、異様な不安感に襲われながらも心を鷲掴みにされることだろう。

	Archive File 4 :
	One of Deepcolor's recent pieces: 
	Something no one would term tangible or structural, merely a pattern of different colors and layers on canvas. It forces onlookers to fixate only on the art, while comprehending a message conveyed by the rich, bright colors. 
	Prolonged staring generates unusual anxiety and a strong attraction to the artwork.

	파일 자료 4 :
	딥컬러가 최근에 그린 작품 한 점:
	    형체라고 부를 수 있는 것도, 구조적인 물체도 없다. 단지 몇 개의 색을 캔버스에 칠하고, 덮어씌우고, 휘둘러 그려낸 덩어리일 뿐이다. 그러나 이는 보는 사람으로 하여금 눈길을 돌릴 수 없게 만들고, 그 알록달록한 색채에 담긴 정보들을 오롯이 받아들이도록 만든다.
	    긴 시간 동안 이 그림을 바라보고 있으면, 색다른 불안감과 강한 끌림을 느낄 것이다.
