ID:
	char_456_ash
	Her main weapon is a customized M120 grenade launcher. It is capable of inflicting significant damage on heavily-armored targets. It can also be used to clear obstacles, increasing the number of options her squad has in combat.

	프로필 :
	    Ash는 레인보우 팀의 일원으로, 임시 팀장을 맡고 있다. 자신에게 엄격하고 모범적으로 임무를 수행하며, 팀 전체의 작전을 계획한다.
	    주로 사용하는 무기는 개량한 M120 CREM 파괴탄 발사기이며, 중장비 목표에게 큰 피해를 주거나 장애물을 파괴할 수 있어 팀 작전의 선택 폭을 넓혀 준다.

———————————————————————————————

	临床诊断分析 :
	造影检测结果显示，该干员体内脏器轮廓清晰，未见异常阴影，循环系统内源石颗粒检测未见异常，无矿石病感染迹象，现阶段可确认为非矿石病感染者。
	
	【体细胞与源石融合率】0%
	灰烬没有被源石感染的迹象。
	
	【血液源石结晶密度】未公开
	根据医疗部决议，不公开相关数据。

	健康診断 :
	造影検査の結果、臓器の輪郭は明瞭で異常陰影も認められない。循環器系源石顆粒検査においても、同じく鉱石病の兆候は認められない。以上の結果から、現時点では鉱石病未感染と判定。
	
	【源石融合率】0%
	鉱石病の症状は見られない。
	
	【血液中源石密度】非公開
	医療部の決定により、関連データは非公開とする。

	Clinical Analysis :
	Imaging tests reveal clear, normal outlines of internal organs, and no abnormal shadows have been detected. Originium granules have not been detected in the circulatory system and there is no sign of infection. At this time, this operator is believed to be uninfected.
	
	[Cell-Originium Assimilation] 0%
	Ash shows no signs of Originium infection.
	
	[Blood Originium-Crystal Density] Undisclosed
	Relevant data will not be disclosed due to the Medical Department's agreement.

	임상 진단 분석 :
	    방사선 검사 결과, 본 오퍼레이터는 내장 기관의 윤곽이 선명하며, 비정상적인 음영이 존재하지 않는 것으로 확인됨. 순환 계통 내 오리지늄 입자 검사 이상 없음, 광석병 감염 증세 없음, 현 단계로서는 광석병 비감염자로 판단됨.
	
	[체세포와 오리지늄 융합률] 0%
	Ash는 오리지늄에 감염된 흔적이 없음.
	
	[혈중 오리지늄 결정 밀도] 미공개
	의료부의 의견에 따라, 관련 데이터는 공개되지 않음.

———————————————————————————————

	档案资料一 :
	干员艾丽萨·科恩，代号灰烬，彩虹小队成员，“瞭望塔33号”事件的亲历者之一，在事件结束后登记在罗德岛合作人员的名单里。
	灰烬是彩虹小队名义上的领头人，战斗能力与指挥技巧都十分杰出，擅长快速突入，有着自己独到的爆破战术，能够在复杂环境下准确爆破障碍物制造掩护或创造突破口。
	毫无疑问，灰烬和她的小队是非常专业的作战人员，他们的很多作战技巧都值得罗德岛干员学习，希望在之后的合作中能够有更深入的交流。
	需要注意的是，彩虹小队的成员与我们只是暂时合作，并不是罗德岛的正式职工，他们还有很多需要忙碌的事情，请不要过分依赖他们的力量。

	第一資料 :
	イライザ・コーエン、コードネームはAsh、レインボーシックスのメンバーである。「展望タワー33」事件の当事者の一人であり、事件後ロドスの協力メンバーに登録した。
	Ashはレインボー小隊の名目上のリーダーであり、戦闘能力および指揮スキルのいずれもが非常に傑出している。迅速な突入を得意としており、独自の爆破戦術を持っている。複雑な環境下において障害物を正確に爆破し、遮蔽物や突破口を作り出すことができる。
	Ashや彼女の小隊が非常にプロフェッショナルな戦闘員であることは疑いの余地がなく、彼女たちの多くの戦闘テクニックに関してロドスオペレーターは学ぶ価値がある。今後の協力においてより深い交流ができることを期待している。
	しかし注意しなければならないのは、レインボー小隊のメンバーと我々との協力関係は一時的なものであり、彼らはロドスの正規職員ではないということである。彼らには多くのやるべきことがあり、あまり彼らの力に頼り過ぎるのは良くない。

	Archive File 1 :
	Operator Eliza Cohen, codename Ash. A member of Rainbow Six and one of the firsthand witnesses to the 'Watchtower 33' incident, Ash registered with Rhodes Island as a cooperative party following the incident.
	Ash is Team Rainbow's acting leader. Unmatched in her combat skills and commanding ability, she is particularly skilled in breach and entry. With her unique blasting techniques, she can demolish obstacles with remarkable precision to create covers or openings.
	Undoubtedly, Ash and her team are extremely professional combatants. There is much that Rhodes Island operators can learn from their tactics and techniques, and I hope to get to know them better as we work together in the future.
	Worth mentioning is that Team Rainbow members are only working with us temporarily. They are not formally employed by Rhodes Island, and with how much they have on their hands, it would not be advisable to call on their help too much.

	파일 자료 1 :
	    오퍼레이터 엘라이자 코언, 코드네임 Ash, 레인보우 팀의 멤버. '33번 감시탑' 사건을 겪은 당사자로, 사건 종결 후 로도스 아일랜드의 파트너 명단에 등록되었다.
	    Ash는 레인보우 팀의 명목상 리더로, 전투 능력 및 지휘 테크닉이 모두 뛰어나다. 신속한 돌입 능력과 특유의 폭파 전술을 갖춰, 복잡한 환경에서도 장애물을 정확하게 폭파해 엄폐물을 제작하거나 돌파구를 만들어내곤 한다.
	    Ash와 그녀의 팀원은 모두 의심의 여지 없이 아주 전문적인 전투 요원들이며, 그들의 전투 테크닉 중에는 로도스 아일랜드의 오퍼레이터들이 배워야 할 점도 매우 많다. 앞으로의 협력에서 더 깊은 교류가 기대되는 바이다.
	    단 주의해야 할 점은, 레인보우 팀은 우리와 임시 협력 관계일 뿐 로도스 아일랜드의 정식 직원이 아니며, 그들에겐 다른 바쁜 용무도 많을 테니 그들의 능력에 너무 의존하지는 않는 것이 좋겠다.

———————————————————————————————

	档案资料二 :
	灰烬有着鲜明的独立性格，很难将她从个人的东西从中剥离出来，同时，灰烬很谨慎，不会培养很多亲密的关系。她会以较为严肃的方式管束自己的干员，有人会觉得她太过严厉，但她只关心一件事——如何活着将队员们带回家。

	第二資料 :
	Ashは独立した性格の持ち主で、そこから個人的な要素だけを抜き取るのは難しい。同時に、用心深い性格で、他者と親密な関係を築くことはしない。彼女は自らのオペレーターを厳格に監督し、厳しすぎると感じる者もいるが、彼女はただ一つのことにのみ関心がある――それはいかにして隊員たちを生きて家に帰すかということだ。

	Archive File 2 :
	Ash likes to keep to herself, and it is difficult to pry her away from her own affairs. At the same time, she is cautious and not prone to develop many close relationships. She is somewhat harsh in the way she manages her operators. Some would say she is too harsh, but there is always one thing and one thing only on her mind: how to bring her members home alive.

	파일 자료 2 :
	    Ash는 아주 독립적인 성격으로, 그녀에게서 개인사를 끄집어내기는 매우 어려운 일이다. 또한 그녀는 조심스러운 성격이기 때문에, 그녀와 친하게 지내는 사람은 드물다. 그녀는 자신의 대원들을 엄격하게 관리해, 그녀가 지나치게 엄격하다고 느끼는 자들도 있다. 하지만 그녀의 관심사는 오직 한 가지, '어떻게 하면 대원들과 안전하게 집으로 돌아갈 수 있을지' 뿐이다.

———————————————————————————————

	档案资料三 :
	科恩小姐对于建筑物有着十分敏锐的直觉，在第一次来到罗德岛时，她就指出了主舰上几处不合理的建筑结构。在经过测试后，发现这些位置的确存在安全隐患，于是科恩小姐协助罗德岛干员对这些位置进行了调整与修复。在指导修复的过程中，工程部干员很明显地发现，在他们还在商讨环节时，科恩小姐就已经着手进行实践了，这固然与她系统性的工程与结构知识储备有关，但更重要的，可能是一次又一次紧张抉择下积累的经验。她可能无法拿出最完美的方案，但总能给出风险较低且便于实行的计划。
	而她本人则总是亲自负责其中最危险的环节。

	第三資料 :
	コーエンさんは建築物に対して鋭い直感を有しており、初めてロドスに来た時、本艦の非合理的な建築構造箇所をいくつか指摘した。検査の結果、それらの箇所には確かに安全上の問題があり、コーエンさんはその調整および修復にも力を貸してくれた。修復を指導する中で、エンジニア部のオペレーターが気付いたことは、彼らがまだ検討段階にあるうちに、コーエンさんはすでに実行段階に取りかかっていたことである。これは無論彼女の系統的な工学知識と構造知識に関係してはいるが、より重要なことは、緊迫した状況下における選択が積み重なった結果としての経験であるのだろうということだ。彼女は最も完璧なプランを提示することはできないかもしれないが、リスクが低く実行しやすいプランを常に提示することはできる。
	そして彼女自身はいつもその中で最も危険なリスクを自ら負っている。

	Archive File 3 :
	Miss Cohen is highly intuitive when it comes to architecture. When she first arrived at Rhodes Island, she pointed out several areas of the ship's construction that she said were structurally unsound. After examination, we were able to locate structural defects in those areas. Miss Cohen then assisted Rhodes Island operators in rectifying and repairing these defects. As Engineering operators supervised the repair process, they soon found that while they were still discussing the repair process, Miss Cohen was already putting theory into practice. While this likely was due to her existing knowledge in engineering and structural systems, perhaps more important is her experience in applying this knowledge to high-intensity situations. The solutions she comes up with are certainly not flawless, but her plans always carry minimum risk and are implementable with ease.
	On top of that, she always prefers to take on the most dangerous tasks herself.

	파일 자료 3 :
	    코언은 건축물에 대한 남다른 감각을 가지고 있다. 처음 로도스 아일랜드에 왔을 때 그녀는 주력함의 불합리한 건축 구조를 몇 군데 지적했는데, 테스트해보니 정말 그녀가 지적한 곳에서 안전상의 위험이 발견되어, 코언은 로도스 아일랜드의 오퍼레이터를 도와 해당 위치에 대한 수리 및 개조를 돕게 되었다. 더욱 놀라운 것은, 개조 과정에서도 엔지니어링팀의 오퍼레이터들이 아직 작업 계획을 논하고 있을 때 코언은 이미 작업에 착수했다는 점이다. 이는 그녀가 시스템 공정과 구조에 대한 지식이 해박하며, 무엇보다도 한차례 한차례의 어려운 결정을 통해 조금씩 쌓여온 그녀의 경험 덕분일 것이다. 그녀는 가장 완벽한 대안을 제시하지 못할 수도 있지만, 항상 위험도가 낮고 실행하기 편리한 계획을 제시한다.
	    그리고, 언제나 그중에서 가장 위험한 역할을 도맡는다.

———————————————————————————————

	档案资料四 :
	在这里的每一场战斗都让灰烬疲惫不堪，她可以冷静面对悍匪与歹徒，但是当闪击的盾被大磐蟹轻松穿透，遇到过能将重标枪轻松扔出五十米远的瓦伊凡凶汉后，灰烬的作战部署变得越来越谨慎。只要指挥出现任何失误，整个小队就将陷入万劫不复之地——在近期的战斗中，她一次又一次的认识到这点。
	所以除了改进自己的指挥方式外，她开始更多借助队员们的智慧：霜华的细致、战车的坦然还有闪击的乐观。在这个世界，她无法独自做出决定，而回家的路上，他们将并肩作战。
	彩虹小队永远是一个整体。

	第四資料 :
	この地での戦闘一つ一つがAshの身も心もボロボロにしている。彼女は悪党に冷静に対応することはできる、しかしBlitzの盾が大きなハガネガニにやすやすと貫かれるのを目の当たりにし、重投槍を楽々と50メートルは投げるヴイーヴルに遭遇して、Ashの作戦はより慎重なものへと変化していった。いかなる指揮のミスも、小隊全体を取り返しのつかない事態に追い込むからだ――近頃の戦闘において、彼女は何度も何度もこの点を認識している。
	そのため自らの指揮方法を改善する以外にも、彼女は隊員たちの知恵をより借り始めた。Frostの注意深さ、Tachankaの落ち着き、Blitzの楽観的視点。この世界においては、彼女は一人で決定することはできない。家に帰る道は、一緒に歩いていかなければならない。
	レインボー小隊は永遠に一つのチームなのだ。

	Archive File 4 :
	Even though Ash has been left exhausted by each and every battle she has been deployed in, she is nonetheless able to face her adversaries with composure. However, it is clear that she has become far more cautious with her planning after witnessing Metal Crabs bore through Blitz's shield with ease, and seeing Vouvire capable of throwing javelins over fifty meters. Any mistake she makes under her command can put the whole team in grave, irreversible peril. This is something she has come to understand very well after her recent deployments.
	Therefore, in addition to making improvements to the way she commands, she has also started to rely more on her teammates' abilities: Frost's attention to detail, Tachanka's ability to keep calm, and Blitz's optimism. She cannot make all the decisions herself while they are stranded in this unfamiliar world, but they will all make the trip home together.
	Team Rainbow will always be together.

	파일 자료 4 :
	    이곳에서의 모든 전투는 Ash를 매우 지치게 만들었다. 그녀는 강도나 악당 따위에는 침착하게 대응할 수 있었으나, Blitz의 방패가 거대한 메탈 크랩에게 허무하게 뚫려 버리는 광경이나, 무거운 표창을 50m 너머로 던질 수 있는 와이번 깡패를 조우한 뒤로는 작전을 짜는 데 더욱 신중을 기하게 됐다. 특히 최근의 전투에서, 그녀는 지휘 상의 어떠한 실수라도 발생하는 날엔 팀 전체가 돌이킬 수 없는 위험에 빠지리란 사실을 매번 뼈저리게 깨닫고 있다.
	    그래서 그녀는 자신의 지휘 방식을 개선하는 것 외에도, Frost의 섬세함과 Tachanka의 침착함, Blitz의 쾌활함 등 대원들의 장점을 더 많이 참고하기 시작했다. 이 세계에 그녀 혼자 결정할 수 있는 일은 없으며, 집으로 돌아가는 길에서 그들은 어깨를 맞대고 함께 싸울 것이다.
	    레인보우 팀은 영원히 하나다.

———————————————————————————————

	晋升资料 :
	【权限记录】
	科恩小姐的爆破弹发射器并没有太多需要变动的地方，只要把她改造成兼容通用源石弹药的版本就可以了——我本来是这样想的，但科恩小姐似乎对弹药有一些特殊的要求。
	接触墙体后钻入表面并爆炸？还没有用源石技艺？科恩小姐以前的弹药是这么神奇的东西吗？她说她记不得具体步骤，但是可以把一些技术要点分享给我，太好了！
	在科恩小姐的帮助下，我们制作出了她所描述的弹药原型，这个过程不算轻松，但是效果很不错！只是......制造这种弹药的工艺太复杂了，没法当作常规弹药使用，只能退而求其次，保证与普通发射物的兼容。
	
	整体上来说，还是源石技艺方便一点。

	昇進資料 :
	【権限記録】
	コーエンさんのブリーチング弾にはあまり変更は必要ない。汎用源石弾薬と互換性のあるバージョンに改造すればいいだけだ――本来はそう思っていたのだが、コーエンさんは弾薬に特殊な機能を求めているようだった。
	壁に触れた後めり込んで爆発する？しかもアーツを使用せずに？コーエンさんが使っていた弾薬はそんなに摩訶不思議な物だったのか？彼女は、具体的な手順は覚えていないが一部の技術的ポイントなら共有できると言ってくれた。それはありがたいことだ。
	コーエンさんの助けを借りて、我々は彼女が言ったような弾薬の原型を作り上げた。その過程は気楽なものではなかったが、効果に優れるものである。ただ……弾薬の製造過程があまりにも複雑で、常時使用する弾薬にはなり得ず、一般的な発射物との互換性を持たせることしかできなかった。
	
	全体として、やはりアーツの方が便利だ。
	

	Promotion File :
	[Classified Log]
	Now that her firearm-like weapon has completely failed, Miss Cohen has opted to use a grenade launcher as her primary weapon. I think that's pretty good. The other guys had to take apart Mr. Alexsandr's weapon for analysis and then put something new together. It's a lot easier and much less aggravating to just spend less money on something off the shelf. Ahem, I digress. There weren't a lot of adjustments we had to make on Miss Cohen's weapon. All we had to do was modify it to use Originium rounds, or so I thought, but Miss Cohen was pretty particular about her ammunition.
	She wanted rounds that not only stuck to the surface, but could then bore through it before blowing up? And without using Originium Arts? Just what were these things she's been using? She said she didn't know the exact procedures to recreate them, but she could share some of the know-how behind it. That sounds wonderful!
	With Miss Cohen's help, we were able to create a prototype of the type of rounds she described. The process wasn't really a walk in the park, but it turned out pretty well! The only thing is... the whole process behind making these rounds is far too complicated, and so we couldn't use them as regular ammunition. In the end, we ended up taking a step back and made her weapon compatible with normal projectiles instead.
	
	In conclusion, it's a lot more convenient to just use Originium Arts.

	승진 자료 :
	[제한된 기록]
	 나는 원래, 코언의 파괴탄 발사기는 오리지늄 탄약이 통용되는 버전으로만 만들면 되니 바꿀 부분이 그렇게 많지 않을 거라고 생각했었다. 하지만 코언은 아무래도, 탄약에 대해 특별한 요구 사항이 있는 듯하다.
	 벽에 부딪히면 벽면을 뚫고 들어가 폭발한다고? 오리지늄 아츠도 사용하지 않고? 코언 씨가 이전까지 쓰던 탄약이 그렇게나 신통한 물건이었단 말이야? 그녀는 자세한 순서까지는 기억나지 않지만, 일부 기술적인 주요 포인트를 나에게 알려줄 수 있다고 했다. 정말 잘 됐다!
	 코언의 도움으로, 우리는 그녀가 말한 탄약의 기본 모델을 제작하는 데 성공했다. 과정이 쉽진 않았지만, 효과는 꽤 괜찮았다! 단지…… 탄약의 제작 과정이 너무 복잡해서 일반 탄약처럼 흔하게 사용하긴 어렵고, 아쉬운 대로 일반 발사물과 호환되도록 개조하는 데서 그칠 수밖에 없었다.
	
	 결론적으로, 역시 오리지늄 아츠를 사용하는 편이 편리하겠다.
