ID:
	char_302_glaze
	めんどいから先に言っとくけど、ラテラーノの秘密なんかこれっぽっちも知らないから。あたしはなんも考えずにぼーっと生きてたいだけ、悠々自適って言うんだっけか？色々知りすぎて良いことなんてない、わかるっしょ？
	Just to get this out of the way, this so-called secret of Laterano or whatever? I don't know a single thing about it. I just want to live a leisurely life. The less I know, the better off I'll be, wouldn't you agree?
	귀찮으니까 미리 말해두는데, 라테라노의 비밀 같은 건 요만큼도 몰라. 난 아무 생각 없이 느긋하게 살고 싶을 뿐이야. 유유자적이라고 하던가? 이것저것 너무 많이 알아도 좋을 거 없어, 알잖아?

	唔？那个人，难不成是公证所的？他是来监督我“履行义务”的？拜托啊，我可是每月都好好缴纳税款的。反正不管是不是，以后要是他出现，你就悄悄告诉我，好方便我跑路咯。
	あれ？あいつもしかして公証人役場の…？あたしの「義務履行」を監視に？マジ勘弁だわ、毎月ちゃんと税金払ってるっしょ。まぁどっちにしろ、次にあいつが来た時は逃げやすいようにこっそり教えてよね。
	Hmm? Isn't that person over there from the Notarial Hall? He wanted to make sure I'm 'fulfilling my obligations?' Oh please, I pay my taxes on time every month. Anyway, whether or not that's true, give me a whisper if he's looking for me so I have time to go on a run.
	어라? 저 녀석 혹시 공증인 사무소의…? 내 '의무 이행'을 감시하러 온 거야? 미치겠네 진짜. 매달 제대로 세금도 내고 있잖아. 뭐, 어쨌든 다음에 저 녀석이 오면 도망치기 쉽게 몰래 말해줘.

	之前我蛮无聊的，就去舰桥上面偷懒......啊不，去望下风景，结果就被大家误以为是准备对什么人下手了，这不是把我当成杀手了吗？那种工作方式我才不想呢，多麻烦啊。
	前さー、暇だったからブリッジでサボって……いや、景色を眺めてたわけ。したらみんなあたしが誰かを狙撃しようとしてるって誤解したくさくてさ、殺し屋扱いされちゃったんだよね。そんな鬼めんどい仕事なんかやるわけねーっつーの。
	I was bored earlier, so I headed down to the bridge to slack off… Err, I meant, I wanted to take a look at the scenery, but everyone was looking at me like I was getting ready to off somebody. Hey, doesn't that mean people see me as a killer? Like I'd ever want a job like that, way too messy.
	전에 말이야~ 한가해서 함교에서 땡땡…… 아니, 경치를 바라보고 있었거든. 그랬더니 모두 내가 누군가를 저격하려 한다고 오해를 한 모양이더라고. 살인 청부업자 취급을 당했지 뭐야. 그렇게 정말 성가신 일 따윈 할 리가 없다고.

	过去的上司总对我们唠叨“要以生命守护拉特兰的荣耀”，可我对这种口号没有一点兴趣，也讨厌那时一成不变的生活。还是在你这里工作更好，因为我能得到更加实际的东西。
	前の上司は「命をかけてラテラーノの栄光を守れ」なんてしょーもないことをいつも言ってたけどさ、そんなの毛ほどもキョーミなかったし、代わり映えしない生活にもマジで萎えてた。やっぱロドスがサイキョーかなー、ここにいればよっぽど実のあるものを得られるっていうか。
	In the past, the top brass used to always harp on 'protecting the glory of Laterano with your life,' but I have no interest in that slogan, and I hate how static and immutable life was during that time. Working with you is way better, since you can give me something more practical.
	예전 상사는 "목숨을 걸고 라테라노의 영광을 지켜라" 같은 한심한 소리를 항상 했었는데 말이야. 그런 건 털끝만큼도 흥미 없었고, 변하지 않는 생활도 진짜 질렸었어. 역시 로도스 아일랜드가 최고인 거 같아~ 여기 있으면 꽤 실속 있는 걸 얻을 수 있는 거 같아서.

	头发有点乱？哦，好像起床之后一直没有打理，毕竟今天没什么任务......真麻烦，帮我看下，辫子有没有扎歪？我总觉得怪怪的。办公室好歹也装个镜子嘛。
	髪がぐちゃぐちゃ？あー、そういや起きてからちゃんと直してないわ、今日は任務もないしね……あーだる、ちょっと横見てよ、結び目んとこが変な感じするんだよね。てかさー、執務室にも鏡くらい置こうよー。
	My hair's a bit messy? Oh, seems like I forgot to tidied up after getting out of bed. After all, it's not like I have anything to do today… What a pain in the butt. Anyway, come help me out, is my braid all crooked? It always feels a bit weird to me. You really should have a mirror in your office.
	머리가 엉망이라고? 아~ 그러고 보니 일어나서 제대로 빗질 않았네. 오늘은 임무도 없고 말이야…… 아~ 귀찮아. 잠깐 옆쪽 좀 봐줘. 묶은 데가 이상한 거 같아. 그보다 말이야~ 집무실에도 거울 정도는 놓자.

	喏，给你蛋糕。我说你啊，休息的时候都做什么？适当出门走走，去附近城市转转，应该挺不错的？安保嘛，就找一位能随时把接近你的坏人“啪啪”地击毙的优秀干员随行，完美。
	はい、ケーキ持ってきたよ。てかさ、休みの時はいつもなにしてるわけ？たまには外出て街ブラとかよくない？ボディーガードねぇ……近づいてくる悪いヤツらをいつでも「パパッ」と蜂の巣にできるオペレーターをさ、その辺で適当にひっ捕まえて連れてきゃいーのよ、カンペキっしょ。
	Hey, I have some cake for you. What do you usually do during break? You really should take a lap around the city and get some fresh air, don't you think? As for security, just grab an Operator that can go 'pow pow' on any baddies near you, and you're set.
	자, 케이크 갖고 왔어. 아 근데, 쉴 때는 맨날 뭐해? 가끔은 밖에 나가서 돌아다니는 게 좋지 않아? 보디가드 말이지…… 접근해 오는 나쁜 녀석들을 언제든지 '파팍'하고 벌집으로 만들 수 있는 오퍼레이터를 말이야, 근처에서 적당히 붙잡아서 데리고 가면 되잖아. 완벽하지?

	现在看会儿电影？反正工作都差不多都做完了嘛。就看那部讲公主和外国旅人相遇的浪漫电影怎么样？等下，我得先把防止被打扰的牌子挂在门口，我可不想被打扰。
	ねーねー、仕事もそろそろ終わるっしょ？映画でも見ちゃわない？お姫様と外国から来た旅人が出会うラブ・ロマンスなんてウリ文句のあれ。あ、ちょい待ち、取り込み中のプレートをドアに掛けとくわ、邪魔されたらたまったもんじゃないかんねー。
	Wanna go watch a movie? Our work's just about done anyway. How about that romantic movie about the princess and the wanderer from afar? Wait, I need to hang up my do-not-disturb sign. Wouldn't want someone walking in.
	있잖아, 일도 곧 끝나지? 영화라도 보지 않을래? 공주님과 외국에서 온 여행자가 만나는 러브 로맨스라고 광고하던 그거. 아, 잠깐만. 방해 금지 팻말을 문에 걸어놓을게. 방해받으면 못 참을 거 같으니까~

	......做点什么好呢。
	……何しよっかなーっと。
	…Gotta take advantage of a time like this.
	……뭐 할까.

	安比尔，狙击手，拉特兰出身......说明身份什么真麻烦，就这样吧。喏，刚开包的巧克力，你也来一根。
	あたしはアンブリエル、ラテラーノ出身の狙撃手……ってさー、自己紹介なんてめんどいから、もうこんぐらいでいっしょ。はい、さっき開けたばっかのチョコ、まー一本食っときなって。
	Ambriel, sniper, from Laterano... Introductions are a pain in the butt, so that's it. Here, I just opened this pack of chocolate. Break off a stick.
	난 엠브리엘이야. 라테라노 출신의 저격수…… 인데 말이야, 자기소개 같은 건 귀찮으니까 이제 이 정도면 충분하지? 자, 방금 뜯은 초콜릿이야. 뭐, 하나 먹어.

	......时间这么长啊，就没有一次性播放所有录像的功能吗？
	……長すぎっしょ。一括再生的な機能ないの？
	How long is this thing… Is there no option to play all of these at once?
	……너무 길잖아. 일괄 재생 같은 기능 없어?

	谢谢。说来，晋升的同时薪水会不会再提高些？我最近想买点东西......
	あざーす。あのさ、昇進ってもしかして給料も上がったりするの？うん、ちょっと買いたいものがあってさ……
	Thanks. Speaking of which, do these promotions come with a salary increase? There's something I've been looking at recently…
	감사함다~ 있잖아, 승진이라면 혹시 급료도 올라? 응, 좀 사고 싶은 게 있어서……

	啊，谢谢你，我已经在罗德岛待这么久了吗？不知不觉间，我已经得到了很多，而且都是些不错的回忆呢。
	マジで？サンキュー！ロドスに来てもうそんなになるんだねー。ここではたくさんのものを貰ったよ、どれもみーんなステキな思い出なんだよね。
	Oh, thank you very much. I've been with Rhodes Island for quite some time now, right? Without realizing it, I've gotten a whole lot out of this, and made some good memories as well.
	진짜? 땡큐~! 로도스 아일랜드에 온 지 벌써 그렇게 됐구나~ 여기서는 많은 걸 받았어. 다 멋진 추억이야.

	这次的队友看起来都挺能干的嘛。
	おっ、みんなやりそーな面構えじゃん。
	My teammates seem quite capable this time.
	오, 다들 제법 할 거 같은 얼굴이잖아.

	事先说好，我喜欢的战术可都不那么常规。
	先に言っとくよ、あたしの好きな戦術はちょっと変わってるかんねー。
	I'll say this up front. My tactics are a little unorthodox.
	먼저 말해둘게. 내가 좋아하는 전술은 좀 특이하거든.

	准备好了？那走咯。
	準備オッケー？じゃ行くよー。
	Ready? Let's get going.
	준비됐어? 그럼 간다~

	希望这次任务能赶在晚饭前结束。
	夜ご飯までに終わりゃーいーけどさ。
	I hope we can wrap this mission up before dinner.
	저녁 먹기 전까지 끝나면 좋겠는데.

	嗯？
	うん？
	Hmm?
	응?

	等我吃完这根。
	この一本が最後だからちょい待ちー。
	Let me finish this piece first.
	이 한발이 마지막이니까 조금만 기다려.

	射击辅助平台展开。
	射撃補助モジュール展開っと。
	Deploying sniper platform.
	사격 보조 모듈 전개.

	自动校准中。
	オートキャリブレーション中よ。
	Automatically calibrating.
	오토 캘리브레이션 중이야.

	在这边。
	ここね。
	Over here.
	여기구나.

	你藏得不够隐蔽。
	あんたそれ、隠れられてないよー。
	You should've hidden yourself better.
	거기 너, 제대로 안 숨어졌는데.

	外面可是很危险的。
	外は危ないからねー。
	It's very dangerous out there.
	밖은 위험하니까.

	我送你回家吧。
	家まで送ろうかー？
	I'll send you home.
	집까지 바래다줄까?

	每一次都能做到这种程度，真不愧是博士你啊。
	毎回こんだけできるって、さすがドクターじゃん。
	As expected, Doctor, you're the only one who can consistently achieve results like this!
	매번 이렇게 할 수 있다니, 역시 박사야.

	没有一发子弹被浪费，完美。
	無駄弾はナシ、カーンペキ。
	Not a single wasted shot - perfect.
	총알 낭비 없음, 퍼펙트.

	赢得没那么漂亮，不过毕竟是胜利，对吧？
	まーちょーっとマズったけど、勝ちは勝ちっしょ？
	Not the prettiest victory, but a win's a win, right?
	뭐 조~금 실수하긴 했지만, 이긴 건 이긴 거지.

	可见目标还在增加，敌人马上就要发动进攻了，博士，快撤退......
	見るからに敵の数が増えてきてる。総攻撃の態勢じゃん。ドクター、早く撤退しよ……
	The number of targets is still increasing, and they're about to launch an attack. Doctor, let's get out of here…
	언뜻 봐도 적의 수가 늘었어. 총공격 할 태세잖아. 박사, 빨리 철수하자……

	博士，自动贩卖机里的手指饼干该补货了哦。
	ドクター、自販機のビスケットの補充おなしゃーす。
	Doctor, it's about time to replenish the cookies in the vending machine.
	박사, 자판기 비스킷 보충 좀 부탁함다~

	什么啊。
	なによ。
	What is it?
	아 왜.

	听说销售站新增了一批服装？唔唔，博士，你可一定要陪我去看看。
	新しい服が入荷したってマジ？ねぇドクター、こりゃ行くしかないっしょ。
	I heard that a new line of clothing just arrived in the Procurement Division? Hehe, Doctor, you simply must take me to see it.
	신상 옷이 들어왔다는 거 진짜야? 저기, 박사. 이건 갈 수밖에 없잖아!

	明日方舟。
	アークナイツ。
	Arknights.
	아크나이츠.

	哟。
	よっ。
	Yo.
	여어.
