ID:
	char_306_leizi
	정예 오퍼레이터인 블레이즈의 자료를 대강 훑어봤습니다. 하지만 그녀의 본명, 출신지, 출생 시간에 관한 기록은 전혀 없었습니다. 몰랐다는 말은 하지 마십시오. 당신도 이곳의 통솔자 중 한 명이니까요. 정말로 모른다고요? 그럼 어떻게 해야…… 아니, 용서하십시오. 당신을 오해하고 있었습니다.

	不必太顾忌我。除我手上的案件外，舰上的所有事情，我一概会当作不曾发生。只不过，如果我门外的走道再发生爆炸，我就要让肇事者的头发竖上个两星期！
	どうぞお気兼ねなく。私が関わる案件以外では、艦内における全ての事象はもとから私の眼中にないものと同じですので。ですが、私の部屋沿いの通路でまた爆発騒ぎが起これば、犯人の髪を二週間ほど逆立たせて差し上げますのでご了承を！
	You don't need to be so cautious around me. Other than the case at hand, I'll treat everything else on the ship as if it never happened. But if there's another explosion in the hallway outside my room, I'll make the perpetrator's hair stand on end for two weeks!
	그렇게 어려워하지 마십시오. 제가 관여하는 안건 이외에 함 내에서의 모든 일은 애초부터 제 안중에 없는 거나 마찬가지니까요. 하지만 제 방 쪽 통로에서 또 폭발 소동이 발생한다면, 범인의 머리카락을 2주 정도 거꾸로 세워 드릴 테니, 양해 부탁드리지요!

	所谓“身在其位，当谋其政”，作为罗德岛的领头人之一，你的责任并不是......哎？发梢又翘起来了？稍等！容我先去、先去整理妆容！好奇怪，早上已经驱过一遍电荷了啊......
	「其の位に在(あ)れば、.其の政(まつりごと)を謀(はか）るべし」との言葉通り、あなたもロドスの統率者の一人として、その責は決して……えっ？また髪がはねている？お待ちを！少々、少々整えて参ります！なんということ、電荷なら今朝一通り整えたはずなのに……。
	'Assume the responsibilities for the post to which you are assigned.' As one of the leaders of Rhodes Island, is it not your duty to... Huh? My hair's standing up again? Hold on! G-give me a moment to fix my look first! Weird, I thought I had discharged all the static electricity this morning...
	"그 지위에 있지 않으면 그 일을 도모하지 않는다"는 말대로, 당신도 로도스 아일랜드의 통솔자 중 한 명으로서 그 책임은 결코…… 네? 또 머리카락이 뻗쳤다고요? 잠시만요! 잠깐, 잠깐 정돈하고 오겠습니다! 어떻게 된 거지. 정전기라면 오늘 아침에 한번 정리하고 왔는데…….

	时至今日，我也依稀能想起在龙门第一次见到你们的景象。煌，你，陈，身上都藏着无数秘密......我一定会一一揭开。秘密要相互交换？不，你，你，太早了......太早了！
	今もなお、龍門であなたたちと出会ったときの光景をうっすらと思い浮かべることができます。ブレイズ、あなた、チェン、それぞれが無数の秘密を抱えている……いつの日か解き明かして見せましょう。秘密を明かすならお互いに？いえ、あ、あなたにはまだ早い……早すぎます！
	Even today, I can vaguely recall the first time I saw you in Lungmen. You, Blaze, and Ch'en... are all holding onto countless secrets... and I will uncover them one by one. You're willing to exchange secrets? Wait, y-you... it's t-too early for that...!
	지금도 용문에서 당신들과 만났을 때의 광경을 어렴풋이 떠올릴 수 있습니다. 블레이즈, 당신, 첸…… 각자 많은 비밀을 안고 있지요…… 언젠가 밝혀내 보이겠습니다. 비밀을 밝힌다면 서로? 아니, 다, 당신에게는 아직 이르……너무 이릅니다!

	有事都可以问我。只有你开口问，我才能判断是非，决定自己要不要出手。顾及身份？这无关身份！御史台、大理寺、肃政院......都只是机构。有人执行时，法律才能证明自己是正义的。
	何かあれば私にお尋ねください。あなたが自ら問うてこそ、私は是非を見極め、自身が参画すべきかを判断できるというもの。立場を気にする？これは立場とは関係ありません！御史台、大理寺、粛政院……どれもただの組織に過ぎません。法律は執行されてこそ、正義であることを証明できるのですから。
	Ask me anything. Only when you speak up can I decide what is just and unjust, and whether I wish to take action. I need to take my identity into consideration? This has nothing to do with that! The Censorate, Central Judicial Office, and the Anti-Corruption Bureau... are only institutions. Laws can only be proven just when enforced by someone.
	무슨 일이 있으면 저에게 질문하십시오. 당신이 스스로 물어야만 저는 시비를 가려 내가 참여해야 할지를 판단할 수 있습니다. 입장을 신경 쓴다? 이건 입장과는 관계없습니다! 어사대, 대리사, 숙정원…… 전부 그저 단체에 지나지 않습니다. 법률은 집행되어야만 비로소 정의라는 것을 증명할 수 있으니까요.

	罗德岛的理念，和我的信念有冲突。但我理解求同存异的必要性......提供援助来换取信息，这点也是一样的。
	ロドスの理念と私の信念には相容れない部分があります。ですが共通点は良しとし相違点も尊重し合うことの必要性は理解しています……助力することにより情報を得る、この点においても同じです。
	Rhodes Island's ideals conflict with my beliefs. However, I do recognize the necessity of seeking common ground while understanding our differences... The same is true when providing assistance in exchange for information.
	로도스 아일랜드의 이념과 나의 신념에는 맞지 않는 부분이 있습니다. 하지만 공통점은 좋은 걸로 치고, 차이점도 존중하는 것이 필요하다는 점은 이해하고 있습니다…… 조력하는 것으로 정보를 얻는다…… 이 점에 대해서도 마찬가지입니다.

	无论我身在何地，我体内的电流都奔腾不息。雷电是公义的象征，它驱策着我，时时警醒着我......又有人投诉我弄坏了空调？......无礼！怎么可能！开关空调，我甚至都不用遥控器！
	私の身がどこにあろうと、体内の電流はかくも力強く弾けております。雷電は義の象徴であり、それが私を駆り立て、いかなる時でも警鐘を鳴らしてくれるのです……ん？また私が空調を壊したと申し立てた者がいるのですか？……無礼な！事実無根です！空調を扱うのに、私はリモコンすら不要ですよ！
	No matter where I am, the electricity flowing through my body never ceases. The thunderbolt is the symbol of justice; it drives me forward and sometimes even wakes me up at night... Someone is complaining that I broke the AC unit? ...How rude! How is that possible?! I don't even need to use a remote for the AC, let alone touch it!
	제 몸이 어디에 있든, 체내의 전류는 이처럼 강하게 튀고 있습니다. 뇌전은 의(義)의 상징이며, 그것이 저를 바로 세워 어떠한 때에도 경종을 울려줍니다…… 음? 또 제가 에어컨을 망가트렸다고 말씀드린 자가 있습니까? …… 무례하군요! 사실무근입니다! 에어컨을 다룰 때 전 리모컨도 필요 없다고요!

	煌的身上牵扯着一桩大案。所有线索都已经遭人刻意消灭，但单单几个身份和时间点的巧合，都足以令我怀疑起各个事件间的联系。这件事情与你无关，但你该防患于未然。我只能警告你到这一步了。
	ブレイズの身には大きな事案が関わっていると見ています。全ての証拠は意図的に抹消されていますが、いくつかの身分と時間軸の一致だけでも、一連の事件の関係性を疑うに足るものです。あなたは事件とは無関係ですが、事を未然に防ぐべきです。警告はここまでにしておきましょう。
	Blaze was implicated in a major incident. All the clues have purposely been eliminated, but I have my doubts about the way the facts of the case are connected based upon a few coincidences between certain persons and times. This has nothing to do with you, but you should take adequate precautions. All I can do is offer you a fair warning.
	블레이즈에겐 큰 사건이 얽혀있다고 보고 있습니다. 모든 증거는 의도적으로 말소되어 있지만, 몇 가지 신분과 시간축의 일치만으로도 일련의 사건의 관련성을 의심하기엔 충분합니다. 당신은 사건과는 관계가 없지만 사건을 미연에 방지해야 합니다. 경고는 여기까지 해 두지요.

	竟然连自己的身体状态都掌控不好......太懈怠了！趴在这里睡觉，难道还等着我给你盖上毯子吗？......没下次了。
	自らの身体すら律することができないとは……だらしない！こんなところで眠りこけるとは、まさか私に毛布をかけさせるつもりですか？……はぁ、次はありませんよ。
	You can't even properly manage your physical condition... how slovenly! Look at you sprawled out like this... Were you waiting for me to put a blanket over you or something? ...There won't be a next time.
	자기 몸 하나 제대로 가누지 못하다니…… 한심하군! 이런 데서 잠이 들다니, 설마 내가 담요를 덮어주게 할 셈입니까? 하아…… 다음은 없습니다.

	我已经同贵司签订了搜查协议，不必多虑，这完全是个人行为。如果你想，可以称呼我，惊蛰。问我是谁？忘了在哪见过我？什么？！
	貴社と捜査協定を結ばせていただきました。あくまで私個人としての行動ですので、どうか邪推のなきよう。もし呼び名が必要であれば、私のことをレイズと呼べばよいでしょう。私は誰、ですと？どこで会ったか忘れた？なんですって！？
	I've signed obtained an investigation authorization with your company. Don't worry about it, this is purely over personal matters. If you so wish, you may call me Leizi. Who am I? Have we met before? Are you serious?!
	귀사와 조사 협정을 맺었습니다. 어디까지나 개인으로서의 행동이므로, 부디 그릇된 추측은 하지 말아 주시지요. 만약 호칭이 필요하다면 저를 레이즈라고 부르면 됩니다. 제가 누구냐고요? 어디서 만났는지 잊었다니?! 뭐라고요?!

	原来如此，和练兵的思路完全不同。
	なるほど、練兵の考え方とは全く異なるのですね。
	I see, this is a completely different principle from military training.
	그렇군요, 군사훈련의 사고방식과는 전혀 다르군요.

	晋升？是说......升迁？罗德岛的升迁流程，和普通的民间企业似乎不太一样。
	昇進？ああ……栄転ということですね？ロドスの栄転のプロセスは普通の民間企業とはいささか異なるようですね。
	Elite status? Is this... a promotion? The promotion process at Rhodes Island seems to differ from that of ordinary private companies...
	승진? 아아…… 영전이라는 것이지요? 로도스 아일랜드의 영전 프로세스는 보통의 민간 기업과는 조금 다른 모양이군요.

	我，惊蛰，身负雷法和律法，是大炎的手与眼、理与义。我的理念和罗德岛的并不相同，感染者与普通人的隔阂，我也无心跨过。但现在，我可与你并肩对敌！
	このレイズ、雷法と律法をこの身に負い、炎国の手と眼、そして理と義を体現せし者。私の理念はロドスと異なるものであり、感染者と健常者との隔たりなど、私の気に留めることでもありません。ですが今は、あなたと共に戦わせていただきます！
	I, Leizi, am the bearer of the thunder and the law, the vision and reach of Great Yan. My philosophy does not align with that of Rhodes Island, and I have no intention on bridging the gap between the Infected and non-Infected. However, we can now fight side by side against our enemies!
	이 레이즈, 뇌법과 율법을 이 몸에 지고, 염국의 손과 눈, 그리고 이(理)와 의(義)를 체현한 자. 저의 이념은 로도스 아일랜드와 다르며, 감염자와 건강한 사람과의 차이 따위, 제 마음에 두어야 할 일도 아닙니다. 하지만 지금은, 당신과 함께 싸우겠습니다!

	罗德岛的究竟有几分实力，我只信自己双眼见证。
	ロドスの方の実力を、この双眸で見定めさせていただきます。
	With my own eyes, I shall judge what power Rhodes Island possesses.
	로도스 아일랜드 분들의 실력을, 이 두 눈으로 확인하겠습니다.

	可以，不过，有代价。
	いいでしょう。ただし、対価を頂戴いたします。
	I can do that, yes, albeit at a price.
	좋습니다. 단, 대가를 받겠습니다.

	听我号令！
	私の指示に従ってください！
	Heed my orders!
	나의 지시에 따라 주십시오!

	我对敌人的身份没有兴趣。
	敵の身分には興味がありませんが。
	I have no interest in the identity of my enemies.
	적의 신분에는 흥미가 없습니다만.

	就位。
	位置につきました。
	In place.
	위치에 도착했습니다.

	未尝不可。
	良しとしましょう。
	It may be done.
	안될 것도 없지요.

	好，我知道了。
	わかりました。
	Very well, understood.
	알겠습니다.

	听！雷声隆隆！
	雷轟（らいごう）を聞きなさい。
	Harken! The thunder rumbles!
	천둥소리를 들으십시오!

	五正霆威，起！
	五正霆威（ごせいていい）、来い！
	Rise, thunder of the five elements!
	오정정위, 와라!

	有罪无赦，五雷轰顶！
	罪に裁きを。五雷轟頂（ごらいごうちょう）！
	No forgiveness unto sinners! Retribution of thunder!
	죄에 심판을. 오뇌굉정!

	一气白雷正法，纵贯方圆三化！
	一気白雷正法（いっきびゃくらいせいほう）、縦貫方円三化（じゅうかんほうえんさんか）！
	Through the three thunders is justice governed!
	일기백뇌정법, 종관방원삼화!

	雷法的本质......是我的内在和大地化为一体。
	雷法の本質は……己が内面と大地を一体化するところにある。
	The essence of Lei Fa... is my will becoming one with Terra.
	뇌법의 본질은…… 내가 내면과 대지를 일체화하는 것에 있다.

	做的不错。你可以稍稍自豪一下，我的标准是很高的。
	良くできました。少しは胸を張っても誰も咎めません、私の基準は厳しいですから。
	Well done. As my standards are quite high, you should be proud of yourself.
	잘했습니다. 조금은 당당해지셔도 누가 뭐라 안 합니다. 저의 기준은 엄격하니까요.

	不行。你能做得比现在更好！你一定有这种能力，决不能自满！
	まだまだです。あなたなら素質もありますし、今よりもっとできるはずです。決して現状に満足してはいけませんよ！
	Unacceptable. You can do even better! Do not rest upon your laurels - you have the ability to strive for greater heights!
	아직 멀었습니다. 당신이라면 소질도 있고, 지금보다 더해낼 수 있을 겁니다. 결코 현재 상황에 만족해서는 안 됩니다!

	怎么回事，怎么回事？怎么回事？
	どういうこと？え、一体どういうことなの！
	Impossible, what happened? How can this be?
	어떻게 된 거야? 어? 대체 어떻게 된 거야!

	耻辱......！你，走！回去反省！我会抵挡所有敌人，走！
	何たる屈辱……！行きなさい！あなたは戻って猛省しておきなさい！私が敵を全て食い止めますから、もう行きなさい！
	Shameful...! Begone, you! Go back and reflect! I will hold back the enemies, so just go!
	이 무슨 굴욕……! 가세요! 당신은 돌아가서 깊이 반성하십시오! 제가 적을 모두 붙잡아둘 테니까, 어서 가세요!

	充电插口在哪？
	充電用のコンセントはどちらに？
	Where's the power outlet?
	충전용 콘센트는 어디에 있죠?

	休得无礼！
	無礼な行動は慎みなさい！
	How rude!
	무례한 행동은 삼가세요!

	啊......疼吗？要小心我身上的电流。
	あっ……大丈夫ですか？私の電流には気をつけてください。
	Oh... did that hurt? Please be careful of the static electricity around me.
	앗…… 괜찮으세요? 제 전류에 조심하여 주십시오.

	明日方舟。
	アークナイツ。
	Arknights.
	아크나이츠.

	勿要懈怠，博士。
	怠慢は禁物です、ドクター殿。
	Don't slack off, Doctor.
	태만은 금물입니다, 박사님.
