ID:
	char_101_sora
	あのね、テキサスさんはあたしの命の恩人なの。それに、あたしが知らないたくさんの事を教えてくれた。だから、時間があるときはいつでもテキサスさんのそばに居たいんだ……ええっと、ただ恩返しがしたいだけだよ！
	You know, Texas actually saved my life and taught me so much I never knew. Which is why... I want to stay by her side whenever I have the chance... I'm uhh, trying to show my gratitude for her, that's all!
	있잖아, 텍사스 씨는 내 생명의 은인이야. 게다가 내가 모르는 걸 많이 가르쳐줬어. 그래서 시간만 있으면 항상 텍사스 씨 가까이에 있고 싶어… 그, 그냥 은혜를 갚고 싶어서 그런 거야!

	すねてるように見える？むぅ……だって、今日もテキサスさんと一緒に任務に出るのはエクシアでしょ。はぁ…あたしもエクシアみたいに強くなれれば……。
	You think I look upset? Um... it's because... Exusiai went on a mission with Texas today, right? If only I were as skilled as Exusiai, I could...
	안 좋은 일이라도 있었냐고? 흥… 당연하지. 오늘도 엑시아만 텍사스 씨랑 같이 임무를 맡았잖아. 휴… 나도 엑시아처럼 강해지면 좋을 텐데… 

	ねぇ、ドクター！あたしにも武器の使い方を教えて！歌だけじゃ後方支援しかできないから。もし武器も使えるようになれば……って、ええっ？ドクターも戦いは苦手……！？
	Doctor! Could you teach me to use weapons? My songs have no practical use except for support and encouragement. If I could fight with weapons... Huh? You're not good at fighting either?!
	저기, 박사! 나한테도 무기 다루는 법을 가르쳐 줘! 노래만 불러선 후방 지원밖에 못 하잖아. 무기 사용법만 익히면… 뭐어? 박사도 싸우는 건 잘 못한다고…?!

	……テキサスさん、今頃あたしの歌、聴いてくれてるかな？
	...Texas, are you listening to my songs?
	…텍사스 씨는 지금쯤 내 노래를 듣고 있을까?

	ハーイ！MSRから来ました、みんなのアイドル、ソラちゃんで～す！って、ごめんごめん～この自己紹介、ロドスに合わないよね……。うーん……。
	Hiiii! I'm the loveable idol from Monster Siren Records: Sora! Oops, sorry, introducing myself like this at Rhodes Island must be kinda weird. Hmm...
	안녕하세요~! MSR에서 온 여러분의 아이돌, 소라라고 해요~! 앗, 미안 미안~! 이 자기소개는 로도스 아일랜드에 안 어울리지… 으음… 

	レベルア～ップ！！
	Levely uppity!
	레벨 업~!

	しょーしん？……アイドルランクみたいなものかな？
	A promotion? You mean like debuting as a trainee idol?
	승진? …아이돌 랭킹같은 거야?

	このワクワクした気持ち、まるで初めてライブステージに立った日みたい……。ドクターがあたしを頼ってくれて超嬉しい！これまでの努力も報われるってもんだよ……。うん？あたしの耳？どっ、どうかしたの？
	I feel as excited as I did during my first live performance! I'm just so happy that you trust me this much, Doctor! It's like all my hard work has paid off! ...Huh? My ears? What about them?
	이 설레는 마음, 꼭 처음 라이브 무대에 섰던 날 같아… 박사가 날 의지해 줘서 정말 기뻐! 지금까지 한 노력을 보상받은 것 같아… 응? 내 귀? 가, 갑자기 왜 그러는데?

	チームメンバーとして、任務のお勉強も頑張るぞ～。
	As a member of the squad, I'll start by learning the very basics.
	팀의 일원으로서, 임무도 열심히 공부해야지~!

	たいちょー？センターみたいなものだよね？
	The leader? You mean like being the lead singer?
	대장? 센터랑 비슷한 거 맞지?

	戦場で歌うのって、なんか新鮮～。
	Singing on the battlefield... now that's something new!
	전장에서 노래를 하다니, 왠지 신선하네~

	あたしの歌声で戦いを止められたらいいのにな。
	If only my songs could put an end to all this fighting...
	내 노랫소리로 싸움을 멈출 수 있으면 좋을 텐데.

	あたしの出番かな？
	Is it my turn?
	내 차례야?

	あたしなら大丈夫！
	I can handle this!
	난 괜찮아!

	ライブスタート！
	The concert's starting!
	라이브 스타트!

	さぁさぁ、はっじまっるよ～！
	All right, let's make some noise!
	자자, 시작할게~!

	みんな～頑張って～！
	Come on, we can do it!
	다들~ 힘내~!

	応援してるよー！
	I'm cheering for you!
	응원할게~!

	一発逆転！
	Counterattack!
	단숨에 역전!

	負けないで！
	Keep it up!
	지면 안 돼!

	みんなの熱いキモチ、今日もソラちゃんに伝わってきたよ～！ありがと～！
	I heard your cheering loud and clear, everyone! Thank you!
	여러분의 뜨거운 마음, 오늘도 소라에게 전해졌어요~! 고마워요~!

	やったー！作戦、大成功！テキサスさん、あたしの活躍、見てくれた～？
	Awesome! A smashing victory! Texas, were you watching me?
	이겼다~! 작전 대성공! 텍사스 씨, 내가 활약하는 모습, 잘 봤어~?

	みんな～お疲れ様！
	Good job, everyone!
	다들~ 고생했어!

	ごめんなさい……みんなの力になれなかった……。
	I'm sorry... my performance wasn't good enough...
	미안해… 모두에게 도움이 되지 못했어… 

	ペンギン急便の宿舎よりずっと大きいよ！
	This place is much bigger than the dorms at Penguin Logistics!
	펭귄 로지스틱스 숙소보다 훨씬 넓다!

	キラリ！
	Sparkle spark!
	반짝~!

	えへへ。ドクター、ありがとう～！
	Ehehe, thanks, Doctor!
	에헤헤. 박사, 고마워~!

	アークナイツ。
	Arknights.
	아크나이츠.

	ドクター、今日も笑顔いっぱいでいこ～。
	I hope you have a fantastic day, Doctor!
	박사, 오늘도 즐겁게 웃으면서 힘내자~!

干员档案\Background:
	基础档案 :
	【代号】空
	【性别】女
	【战斗经验】没有战斗经验
	【出身地】因经纪公司要求不公开
	【生日】9月12日
	【种族】因经纪公司要求不公开
	【身高】155cm
	【矿石病感染情况】
	参照医学检测报告，确认为非感染者。

	基礎情報 :
	【コードネーム】ソラ
	【性別】女
	【戦闘経験】なし
	【出身地】所属事務所の要求により非公開
	【誕生日】9月12日
	【種族】所属事務所の要求により非公開
	【身長】155cm
	【鉱石病感染状況】
	メディカルチェックの結果、非感染者に認定。

	Basic Info :
	[Code Name] Sora
	[Gender] Female 
	[Combat Experience] None 
	[Place of Birth] Unknown as requested by management agency 
	[Date of Birth] Sep. 12 
	[Race] Unknown as requested by management agency 
	[Height] 155cm 
	[Infection Status] 
	Non-infected as confirmed by medical report.

	기본정보 :
	[코드네임] 소라
	[성별] 여
	[전투 경험] 전투 경험 없음
	[출신지] 소속사의 요청으로 비공개
	[생일] 9월 12일
	[종족] 소속사의 요청으로 비공개
	[신장] 155cm
	[광석병 감염 상황]
	의학 테스트 보고서 참고 결과, 비감염자로 확인

———————————————————————————————

	综合体检测试 :
	【物理强度】普通 
	【战场机动】普通 
	【生理耐受】普通 
	【战术规划】标准 
	【战斗技巧】标准 
	【源石技艺适应性】优良

	能力測定 :
	【物理強度】普通
	【戦場機動】普通
	【生理的耐性】普通
	【戦術立案】標準
	【戦闘技術】標準
	【アーツ適性】優秀

	Physical Exam :
	[Physical Strength] Normal 
	[Mobility] Normal 
	[Physical Resilience] Normal 
	[Tactical Acumen] Standard 
	[Combat Skill] Standard 
	[Originium Arts Assimilation] Excellent

	종합검진 :
	[물리적 강도] 보통
	[전장 기동력] 보통
	[생체 인내도] 보통
	[전술 계획력] 표준
	[전투 기술력] 표준
	[오리지늄 아츠 적응성] 우수

———————————————————————————————

	客观履历 :
	现役偶像，因故暂时寄居于企鹅物流。在企鹅物流与罗德岛建立合作关系后，也作为罗德岛的一员行动。 
	干员空能非主观地施展与声音有关的源石技艺，在战场上运用独特的歌声为其他干员提供支援。

	個人履歴 :
	現役アイドル。諸事情によりペンギン急便に暫く身を寄せている。ペンギン急便とロドスが提携してからは、ロドスの一員としても活動している。
	非自発的に声のアーツを運用でき、戦場では独特な歌声でほかのオペレーターに支援を行う。

	Profile :
	For reasons unknown, this active idol is currently boarding with Penguin Logistics. After Penguin Logistics formed a partnership with Rhodes Island, Sora also became a Rhodes Island Operator.
	She is able to naturally channel her Originium Arts through her voice to support allies with her unique songs on the battlefield.

	프로필 :
	    현역 아이돌로 활동 중이지만, 모종의 이유로 인해 잠시 펭귄 로지스틱스에 기거하고 있다. 펭귄 로지스틱스와 로도스 아일랜드가 서로 협력하게 된 이후로는 로도스 아일랜드의 일원으로서도 작전에 참여하고 있다. 목소리에 관련된 오리지늄 아츠를 비주관적으로 시전할 수 있으며, 전장에서는 주로 이를 통해 동료 오퍼레이터에게 서포트를 제공하고 있다.

———————————————————————————————

	临床诊断分析 :
	造影检测结果显示，该干员体内脏器轮廓清晰，未见异常阴影，循环系统内源石颗粒检测未见异常，无矿石病感染迹象，现阶段可确认为非矿石病感染者。
	
	【体细胞与源石融合率】0%
	干员空没有被源石感染的迹象。
	
	【血液源石结晶密度】0.12u/L
	干员空甚少接触源石。

	健康診断 :
	造影検査の結果、臓器の輪郭は明瞭で異常陰影も認められない。循環器系源石顆粒検査においても、同じく鉱石病の兆候は認められない。以上の結果から、現時点では鉱石病未感染と判定。
	
	【源石融合率】0%
	鉱石病の兆候は見られない。
	
	【血液中源石密度】0.12u/L
	源石との接触は極めて少ない。

	Clinical Analysis :
	Imaging tests reveal clear, normal outlines of internal organs, and no abnormal shadows have been detected. Originium granules have not been detected in the circulatory system and there is no sign of infection. At this time, this Operator is believed to be non-infected. 
	
	[Cell-Originium Assimilation] 0% 
	Operator Sora showed no symptoms of Oripathy. 
	
	[Blood Originium-Crystal Density] 0.12u/L 
	Operator Sora rarely comes into contact with Originium.

	임상 진단 분석 :
	    방사선 검사 결과, 해당 오퍼레이터의 내장 기관의 윤곽이 선명하고, 비정상적인 음영이 발견되지 않음, 순환 계통 내 오리지늄 입자 검사 이상 없음, 광석병 감염 현상 없음, 현단계로선 광석병 비감염자로 확인할 수 있음.
	
	[체세포와 오리지늄 융합률] 0%
	오리지늄 감염 현상 미발견.
	
	[혈중 오리지늄 결정 밀도] 0.12u/L
	오퍼레이터 소라는 오리지늄과의 접촉 빈도가 매우 낮음.

———————————————————————————————

	档案资料一 :
	在龙门小有名气的偶像少女。
	活泼可爱，充满朝气，可以说是“少女”的代名词。
	尚且掌握不好偶像和干员之间的平衡，不过正在往这个方向努力。

	第一資料 :
	龍門では有名な少女アイドル。
	活発で可愛くて、なにより元気いっぱいなところは、まさに「少女」そのものである。
	アイドルとオペレーターとのバランスはうまく取れていないが、現在両立できるように励んでいる。

	Archive File 1 :
	A minor celebrity/pop idol girl in Lungmen. 
	Cute, playful, vivacious, the epitome of the word 'girl.' 
	Still cannot strike a balance between being an idol and an Operator, but is making strides.

	파일 자료 1 :
	    용문에서 꽤 유명한 아이돌 소녀. 상큼발랄하고 생기가 넘치는 '소녀'의 대명사라고 할 수 있다. 아직 아이돌과 오퍼레이터 업무 간의 균형을 잘 잡지는 못하고 있으나, 적정한 균형점을 찾을 수 있도록 노력하고 있다.

———————————————————————————————

	档案资料二 :
	原本，空小姐是可以选择更为普通的战斗方式的，但在她的坚持下，最后，凯尔希医生专门为她设计了一套，让她能够更好发挥自身天赋的特别课程。
	为此，空小姐付出了比起仅仅成为一名普通的辅助干员要多得多的努力，但不得不承认，她确实就像是天生为歌唱而生一般，最后得到的效果超出了所有人的想象。
	当然，一个在战场上唱歌的人，无论如何也会成为敌方的焦点，为此，通常需要为空小姐配备更多的护卫，只能说，空小姐的价值，值得在战略上做出这样的让步吧。

	第二資料 :
	ソラは普通な戦い方を選ぶこともできたが、ケルシー医師は彼女の決意を酌み、その才能を発揮できるように彼女だけの特別コースを設けた。
	そのため、ソラはただ普通の補助オペレーターになるよりも遥かに努力をしている。その結果、手にした彼女の能力は想像を超えており、彼女は確かに歌うために生まれてきたのだと認めざるを得ないだろう。
	当然、戦場で歌っている人間は絶対に敵の注目を集めるはずだ。そのため、彼女には多数の護衛をつけなければいけないが、彼女にはそうするだけの価値が十分にあるだろう。

	Archive File 2 :
	Miss Sora could've chosen a more conventional fighting style, but at her own insistence, Dr. Kal'tsit ultimately designed a custom program for her to better develop her natural talent. 
	To her credit, Sora put in way more effort than a typical support Operator. Anyone would admit that she was practically born to sing, and the results of this program surpassed all expectations. 
	Of course, someone who sings on a battlefield draws plenty of enemy attention, so Sora requires more bodyguards than usual. However, she is certainly worth the strategic compromise.

	파일 자료 2 :
	    원래 소라는 좀 더 일반적인 전투 방식을 선택할 수도 있었지만, 그녀가 뜻을 굽히지 않아 결국 닥터 켈시는 그녀의 재능을 보다 잘 발휘할 수 있도록 특별 커리큘럼을 짜주었다. 이 때문에 소라는 평범한 서포터 오퍼레이터가 되기 위해 들여야 할 노력의 몇 배를 들여야 했지만, 두 가지는 인정할 수 밖에 없었다. 그건 바로 소라는 확실히 천생 가수란 점과, 최종적으로 획득한 성과가 사람들의 상상을 초월했다는 점이다. 전쟁터에서 노래를 부르는 사람은 어찌되었든 적의 타겟이 될 확률이 매우 높다보니, 소라에게는 보다 많은 호위를 배정해야 한다. 물론 이는 소라의 전략적 가치가 이런 특별 대우를 해 줄 만큼 충분히 높기에 가능한 조치다.

———————————————————————————————

	档案资料三 :
	有关现役偶像成为一名信使这件事，企鹅物流自然是与空小姐的经纪公司进行过一番“洽谈”的。
	之所以加上引号，自然是因为，可以想象，没有正常的经纪公司会同意旗下偶像在无法为公司带来收益的情况下四处奔走和抛头露面，那么，所谓的“洽谈”自然不会是正常的洽谈，至少一开始不是。
	当然，罗德岛是一家正规的公司，在需要对方作出巨大让步的情况下，企鹅物流也会付出相应的代价，而不会使用一些过激的手段来达成目的。
	那么，让空小姐在保持偶像身份的同时，作为企鹅物流的一员行动的代价是什么呢？正式的合约内容在这里不便透露也过于冗长，概括起来的话，大约三条：
	一、企鹅物流有义务保护空小姐的人身安全，并且不得让空小姐在任何可能有损其偶像形象的场合出现。
	二、在每个空小姐将要出任务的地方，企鹅物流有义务主动在当地尽可能为她创造增长人气的机会，方式可以视当地情况而定。并且，企鹅物流需要独自承担因此产生的一切费用。
	三、包括第二条的活动在内，空小姐所有在演艺事业方面获得的收入，全归经纪公司所有。
	违反其中任何一条，经纪公司都有权单方面中止合约，并且直接解除空小姐的干员身份。
	而在企鹅物流和罗德岛建立合作关系后，如今，罗德岛也将主动承担这方面的义务。毕竟，像空小姐这样讨人喜欢的女孩子，又有谁不希望她有朝一日能够成为光彩照人的大偶像呢？

	第三資料 :
	現役アイドルがトランスポーターになることは、ペンギン急便とソラの事務所の「話し合い」の末に決まった。
	普通の芸能事務所であれば、所属するアイドルが収益性のない仕事のために、顔出ししたり駆け回ったりすることを許可しないだろう。そういった点では、この「話し合い」は、少なくとも最初の段階では普通ではなかった。
	当然ながらロドスはしっかりした会社のため、事務所の大きい譲歩を要しているこの状況では、ペンギン急便も相応の対価を差し出すつもりで過激な手段を使って要求を飲ませようとすることはないだろう。
	ソラをアイドルのままでいさせると同時に、ペンギン急便のメンバーとしての対価をまとめると以下の3つになる：
	一、ペンギン急便はソラの安全を守る義務を有する。そしてアイドルとしてのイメージが損なわれるような場面にソラを登場させてはいけない。
	二、ソラの任務予定地で、ペンギン急便は彼女の魅力を広く伝え人気を高める機会をなるべく作る義務を有する。方法は場所により判断してよい。なお、全ての費用はペンギン急便の負担となる。
	三、第二条も含め、ソラの芸能収入は、全て事務所のものとする。
	いずれかの条約に違反した場合、事務所は一方的に契約を破棄し、ソラのオペレーター業務を終了させる権利がある。
	ペンギン急便とロドスの提携が始まった今では、ロドスも積極的に上記の義務を引き受けている。その理由は、ソラのように皆から好かれている女の子こそ、いつの日かトップアイドルになってほしいと皆が望んでいるからである。

	Archive File 3 :
	Penguin Logistics naturally had to 'negotiate' with Sora's management agency in order to allow a pop idol to become a courier. 
	Given that a codename was also part of the package, it's fair to assume that the 'negotiation' wasn't conventional at all, because no agency in its right mind would expose its valuable asset to potential harm without getting something in return. 
	Rhodes Island is a fair operation, and for the other party to make such a great compromise, Penguin Logistics certainly would pay a huge cost without any underhanded coercion. 
	Then, what is the cost for Sora to become a PL Operator while retaining her pop idol status? The official contract is too long and complicated to go into here, though it could probably be summed up in three clauses: 
	One, Penguin Logistics is responsible for Sora's personal safety, and must not let her make any appearance that would damage her image as a pop idol. 
	Two, wherever Sora goes on a mission, Penguin Logistics is obligated to do their best to promote her and increase her popularity as they see fit, as well as absorbing all costs incurred. 
	Three, including events or activities described in Clause 2, all revenue derived from Sora's performance as an entertainer must go to the management agency. 
	Violation of any clause is ground for the agency to terminate the contract to revoke Sora as an Operator. 
	Following PL's partnership with Rhodes Island, the latter also assumed all the obligations. After all, who wouldn't want a girl as adorable as Sora to be the biggest star in the world?

	파일 자료 3 :
	    현역 아이돌이 '전달자'가 된 이 사건은, 물론 펭귄 로지스틱스가 소라의 소속사와 한차례 '협상'을 진행한 후 벌어진 일이다. 굳이 따옴표를 표기한 이유는, 당연히 정상적인 소속사라면 소속 아이돌이 회사에 어떤 수익도 가져다주지 않는 상황에서 곳곳을 돌아다니며 대중 앞에 서는데 동의하지 않을 것이기 때문이다. 그렇기에 이 '협상'이란 것은 정상적인 협상이 아니었으리라 추측할 수 있다. 최소한 그 시작은 말이다.
	    물론 로도스 아일랜드는 합법적인 회사이기에, 상대방의 통 큰 양보가 필요한 상황에서 펭귄 로지스틱스도 어떤 과격한 수단을 사용하여 목표를 달성하기 보다는, 상응하는 대가를 치르고자 할 것이다.
	    그렇다면, 소라가 아이돌 신분을 유지함과 동시에 펭귄 로지스틱스의 일원으로서 활동하는데 필요한 대가는 무엇일까? 구체적 협상 내용은 너무 길다보니 여기서 이야기하긴 곤란하지만, 요약하자면 대략 세 개의 조항으로 정리할 수 있다.
	    첫째, 펭귄 로지스틱스는 소라의 신변 안전을 보장해야 할 의무가 있으며, 아이돌로서의 이미지를 손상시킬 수 있는 어떤 장소에도 그녀가 모습을 드러내게 해선 안 된다.
	    둘째, 소라가 임무 수행을 위해 등장하는 장소에서, 펭귄 로지스틱스는 주동적으로 해당 장소에서 그녀의 인기를 높일 수 있는 기회를 만들어내야 한다. 그 방식은 현장 상황에 맞춰 정하며, 해당 과정 중 발생하는 모든 비용은 펭귄 로지스틱스에서 부담한다.
	    셋째, 제2조항의 활동을 포함, 소라가 모든 연예 활동을 통해 획득하는 소득은 전액 소속사로 귀속된다.
	    이중 어떠한 조항이라도 위반할 경우, 소속사는 일방적으로 계약을 해지할 권리가 있으며, 소라의 오퍼레이터로서의 신분 역시 즉각 해지한다.
	    펭귄 로지스틱스와 로도스 아일랜드 간의 협력 관계가 수립된 후, 현재는 로도스 아일랜드 역시 주동적으로 이 방면의 의무에 대해 책임지고 있다. 어쨌건, 소라와 같이 사랑스러운 소녀가 언젠가 만인의 사랑을 받는 국민 아이돌로 거듭나는 걸 바라지 않는 사람이 어디 있겠는가?

———————————————————————————————

	档案资料四 :
	总有人问：空或许是个好偶像，但她会是个好干员吗？
	答案是肯定的。
	她不会因有人为保护自己受伤而过度伤感，也不会为自己无法用武器保护他人而自艾自怨，她知道自己能做到什么，并且只会做自己能做到的事。在这方面，空小姐不需要任何人担心。
	不过，这并不意味着她愿意看到有人为保护自己而受伤，也不意味着她不想提起武器保护他人，她是做不到，但这不意味着她不想。
	如今，每天，在练歌之余，空小姐也在笨拙地挥舞着武器，希望能够在战场上多派上一些用场。
	这份心意，正是空小姐身上最为宝贵的品质。

	第四資料 :
	「ソラは優れたアイドルかもしれないが、優れたオペレーターにもなれるのか」と、皆がたずねるが、その答えはイエスだ。
	彼女に心配が無用なのは、誰かが自分を守るために怪我することを過度に悲しまないし、自身が武器で皆を守れないことにも嘆かない。また、自分にできることを理解しており、そしてそれらだけを全うするからである。
	しかし自分のためにけがをする人を見るのは辛いと感じていて、自分が武器を使いたくないわけでもない。
	現在のソラは戦場でもっと役に立てるよう、毎日の歌唱レッスンのほか、不器用ながらも武器の訓練をしている。
	その心意気こそが、ソラの最もかけがえのない資質だ。

	Archive File 4 :
	People always ask: Maybe Sora is a good entertainer, but is she a good Operator? 
	The answer is affirmative. 
	She's not too hung up about needing someone to protect her, nor does she wallow in self-pity over not able to defend others with a weapon. She knows her limits and stays within them. No one has to worry about that. 
	However, that doesn't mean she wishes harm to come to those who guard her, nor does it mean she refuses to pick up arms in defense of others. She's no good at it, but that doesn't keep her from trying. 
	Every day between practice sessions, Sora clumsily trains her weapon proficiency, hoping to contribute a bit more in battle. 
	It's thoughts like that which truly make Sora special.

	파일 자료 4 :
	    소라는 훌륭한 아이돌이긴 하지만, 과연 훌륭한 오퍼레이터라고 할 수 있을까? 늘 이렇게 묻는 사람이 있다. 답은 "그렇다"이다. 그녀는 자신을 보호하다 다친 사람 때문에 지나치게 정신적 상처를 받지도, 자신이 무기를 사용해 타인을 보호할 수 없는 점에 대해 자책하지도 않는다. 그녀는 자신이 무엇을 할 수 있는지 알고 있고, 자신이 할 수 있는 일에 집중한다. 이에 관해 소라는 그 누구의 걱정이나 관심도 필요로 하지 않는다.
	    물론, 그렇다고 해서 그녀가 타인이 그녀를 보호하다 부상을 입는 것을 보고 싶어 한다는 건 아니며, 그녀가 무기를 들고 타인을 보호하길 싫어한다는 뜻도 아니다. 그저 할 수 없을 뿐이지, 하기 싫어한다는 말은 아니다.
	그리고 현재, 그녀는 매일 노래 연습을 하고 남는 시간에 언젠가 전장에서 써먹을 수 있길 바라며 서투른 몸동작으로 무기를 휘두르고 있다. 이러한 마음가짐이야 말로, 소라의 가장 소중한 자질이라 할 수 있지 않을까.

———————————————————————————————

	晋升记录 :
	空这小丫头，之前真亏她能用那种程度的障眼法骗过她的那些粉丝，让人家以为她是鲁珀族的。
	或许是觉得鲁珀族的身份比较容易成为卖点？这么说来，倒确实有过这样的潮流......
	而且这孩子......我曾经也见过一些明星，那些人给我的感受就是......不过如此。直到见到这孩子，我才稍微有些明白，以前身边那些追星的人是怎样的感受。
	总之，我现在教了她一种更好的掩盖方式，可以随时使用，这样也就不用总是去掩盖自己的身份了。
	以后，我也会多帮她设计一些服装。希望她能在这条路上走得更远。
	——梓兰

	昇進記録 :
	ソラって子は、自分がループス族だなんて、よくもこんなわかりやすいごまかし方でファンを騙せたものね。
	もしかしたらループスであることを売りにしたのかしら？そういえば確かに昔そういうブームがあったかしらね……
	でもこの子……昔、スターと呼ばれる人たちにも会ったことがあるんだけど、なんていうか……別になんとも思わなかったわ。でもこの子に出会ってから、ほんの少しだけファンの子達の気持ちが分かるようになったわ。
	とにかく、彼女にもっと良い隠し方を教えてあげたの。いつでも使えるから、常に正体を隠そうとしなくても大丈夫。
	それから、衣装ももっとデザインしてあげたいわ。アイドルという道を長く歩んでいてほしいから。
	——オーキッド

	Promotion Record :
	That Sora lass, she managed to fool her fans with impeccable illusions, making them believe she's Lupo. 
	Perhaps she thought she'd stand out as a Lupo? That does make sense from the trendy perspective... 
	And that kid, I've seen idols before and they didn't impress me. But then Sora came along and I finally understood why some people worship stars. 
	Anyway, I taught her an even better way of concealment, usable at any time, so she won't ever need to try to cover her own identity anymore. 
	Also, I shall design more attire for her to help further her career. 
	—Orchid

	승진 기록 :
	    소라 그 아이, 자기가 루포 족처럼 보이게 팬들한테 속임수를 썼던데, 혹시 루포 족으로 활동하면 더 뜰 줄 알고 그랬나? 그러고보니 확실히 예전엔 그런 유행이 있었지…
	    그래도 그 아이… 예전엔 나도 스타라는 것들을 좀 만나보긴 했지만 뭐랄까, 딱히… 별 느낌은 없었거든? 근데 그 아이와 만나고 나서부턴, 정말로 팬의 마음이 어떤 건지 조금은 알게 된 거 같아.
	    아무튼, 소라한테는 정체를 감출 수 있는 더 좋은 방법을 알려줬어. 언제든지 쓸 수 있으니까 늘 감추려고 노력하지 않아도 되지. 앞으론 나도 소라의 의상 디자인 작업을 도와줄 거야. 그 아이가 이 바닥에서 오래 오래 활약했으면 하니까.
	——오키드
