0:38 P.M.    天气/沙尘
[name="Sora"]   I mean, he is a music producer.

[name="可颂"]   咱们的资金来源当然不光是物流业务本身，老板的资金渠道非常复杂。还有——
[name="クロワッサン"]   ウチらの資金源は、運送業務だけやないっちゅーこった。ボスの資金ルートは、ホンマ複雑なんや。それに——。
[name="Croissant"]   Our operating capital ain't just from the logistics business. The baws's got all kinds of revenue streams. Like...

[name="拜松"]   还有？
[name="バイソン"]   それに？
[name="Bison"]   Like what?

[name="可颂"]   不，还是算了。感觉说太多会很不妙。
[name="クロワッサン"]   いや、止めとこか。話し過ぎるんはヤバイ気がするんや。
[name="Croissant"]   Nah. Never mind. Prob'ly best not to say too much.

[name="德克萨斯"]   ——！
[name="テキサス"]   ——！
[name="Texas"]   Grr!

[name="槐琥"]   怎么了，动作变慢了！
[name="ワイフー"]   どうしました、動きが鈍くなってますよ！
[name="Waai Fu"]   What's the matter? You're slowing down.

[name="德克萨斯"]   ......人流的动向太整齐了，情况不对。
[name="テキサス"]   ……人の流れの動きが整いすぎている。この状況はおかしい。
[name="Texas"]   Look how the people are moving around us. It's too regimented. Something's not right.

[name="槐琥"]   别想找借口！
[name="ワイフー"]   言い訳は結構です！
[name="Waai Fu"]   Don't make excuses!

[name="酒客"]   大帝！大帝！大帝！
[name="イベント参加者"]   エンペラー！　エンペラー！　エンペラー！
[name="Drunk"]   EM! PER! OR!

[name="酒客"]   大帝！大帝！大帝！
[name="イベント参加者"]   エンペラー！　エンペラー！　エンペラー！
[name="Drunk"]   EM! PER! OR!

[name="大帝"]   ——
[name="エンペラー"]   ——。
[name="Emperor"]   ......

[name="？？？"]   ......真吵啊。
[name="？？？"]   ……やかましいのう。
[name="???"]   ...how noisy.

[name="鼠王"]   今天是安魂节，大帝先生，你的噪音连死人都能吵醒。
[name="鼠王"]   今日は安魂祭。エンペラーさんや、お主の騒音は死人さえも煩くて目を覚ましてしまうぞ。
[name="Rat King"]   Today is Sauin, Mr. Emperor, but your dreadful "music" is loud enough to wake the dead.

[name="大帝"]   什——！？
[name="エンペラー"]   なっ——！？
[name="Emperor"]   Say what?!

[name="大帝"]   你是，什么时候......在我身后......
[name="エンペラー"]   お前、いつの間に……俺の背後に……。
[name="Emperor"]   You... when did... how'd you get behind me...?

[name="鼠王"]   晚安，大帝先生，安魂节快乐。
[name="鼠王"]   さてお主はもう眠る時間じゃな。良い安魂祭を。
[name="Rat King"]   Good night, Mr. Emperor. And a happy Sauin to you.

[name="大帝"]   ......臭老鼠，你给我......记住......
[name="エンペラー"]   ……このクソネズミが、おぼえ……とけよ……。
[name="Emperor"]   ...ugly ass rat, you better... remember...

[name="酒客"]   等等，怎么了？这是什么演出——
[name="イベント参加者"]   ちょっと、どうしたんだ？　何かの演出か——。
[name="Drunk"]   What just happened? Is this some kind of play...?

[name="酒客"]   大帝？大帝被刺穿了？死了！？
[name="イベント参加者"]   エンペラー？　エンペラーが刺された？　死んだのか！？
[name="Drunk"]   Did he just stab Emperor? Is he dead?!

[name="德克萨斯"]   喝啊！
[name="テキサス"]   はっ！
[name="Texas"]   Hya!

[name="槐琥"]   哼嗯！
[name="ワイフー"]   ふんっ！
[name="Waai Fu"]   Hai-ya!

[name="酒客？"]   呃——！
[name="イベント参加者？"]   うぐぁ——！
[name="Drunk"]   Urk...!

[name="孑"]   哎？槐琥，你打错人——
[name="ジェイ"]   おい？　ワイフー、相手を間違えて——！
[name="Fillet"]   Hey, Waai Fu, you hit the wrong...

[name="德克萨斯"]   不。她没做错什么。
[name="テキサス"]   いや。彼女は何も間違えてない。
[name="Texas"]   No. She didn't.

[name="德克萨斯"]   被包围的是我们。
[name="テキサス"]   囲まれてるんだ。
[name="Texas"]   We're surrounded.

[name="酒客？"]   ......
[name="イベント参加者？"]   ……。
[name="Drunk"]   ......

[name="能天使"]   呃......难道说，该不会，从贫民窟一直追到了这里？
[name="エクシア"]   げぇ……。まさか、スラムからずっとここまで追って来たの？
[name="Exusiai"]   Um... Did they follow us all the way from the slums?

[name="可颂"]   这里，这么多人，都是他们的同伙？
[name="クロワッサン"]   ここいらに、ぎょうさんいる人ら、みんなアイツらの仲間っちゅーことなん？
[name="Croissant"]   All these fellers here, they're all on the same team?

[name="空"]   不会吧，这个人数......
[name="ソラ"]   ウソでしょ、この人数……。
[name="Sora"]   No way. So many...

[name="拜松"]   基本全都是敌人，这是个陷阱，大帝先生他——
[name="バイソン"]   周りはほぼ敵ですよ！　これは罠です。エンペラーさんは——。
[name="Bison"]   They're all here for us. It was a trap. And Mr. Emperor...

[name="拜松"]   ——！?
[name="バイソン"]   ――っ！？
[name="Bison"]   *Gasp!*

[name="鼠王"]   这个话筒该怎么用......咳咳，喂？各位龙门市民，晚上好。
[name="鼠王"]   このマイクはどうやって使うのじゃ……。あー、あー、ゴホン。龍門市民の諸君、こんばんは。
[name="Rat King"]   Is this thing on...? Ahem, hello? Testing? People of Lungmen, good evening.

[name="鼠王"]   请各位不要慌张，刚才死掉的只是一只微不足道的企鹅，安魂夜庆典不会停止。自然，会有专人来处理这具麻烦的尸体。
[name="鼠王"]   慌てないでくだされ。いま死んだのは取るに足らないペンギン一羽のみ、安魂夜の式典は継続されよう。もちろん、目障りの死体は専門の業者に処理させる。
[name="Rat King"]   Please do not panic. This dead fellow here is but an insignificant penguin. The Sauin celebrations will proceed as planned. Naturally, some professionals will be here shortly to remove this bothersome corpse.

[name="鼠王"]   虽然事出突然，深感歉意，不过是时候为今晚的狂欢增添一项临时项目了。
[name="鼠王"]   諸君をいきなり驚かせてすまない。そして今宵のイベントに臨時の演目を一つ追加しておいた。
[name="Rat King"]   Now I know this is quite sudden, and I apologize for the interruption, but I thought I would add one more special program to tonight's Carnival.

[name="鼠王"]   我们的叙拉古朋友为我们带来了一份特别大礼，现在藏在这场露天派对的某个地方。
[name="鼠王"]   シラクーザからの友人が、ワシらのために特別なプレゼントを持ってきてくれたのじゃ。今はこのパーティー会場のどこかに隠してある。
[name="Rat King"]   Our friends from Siracusa have brought us a very special gift. It is hidden somewhere here in this very Carnival.

[name="鼠王"]   时间不多，朋友们。
[name="鼠王"]   残り時間は多くはないぞ、諸君。
[name="Rat King"]   Time grows short, my friends.

[name="拜松"]   （他在看着我？不，等等，那个老人是——）
[name="バイソン"]   （ぼくを見てる？　いや、待って、あのご老人は——。）
[name="Bison"]   (Is he watching me? No, wait, that old man...)

[name="鼠王"]   如果没有人找到这份宝藏，很遗憾。
[name="鼠王"]   もし誰もこのプレゼントを見つけられぬ時は、残念ながら――
[name="Rat King"]   It will be terrible if no one finds this precious treasure.

[name="鼠王"]   那将是你们人生中最后的惊喜。
[name="鼠王"]   お主らの人生で最後のサプライズになるのじゃ。
[name="Rat King"]   The very last surprise of your lives.

