0:00 A.M.    天气/沙尘
[name="孑"]   我没在开玩笑。
[name="ジェイ"]   冗談で言ってるわけじゃねぇぞ。
[name="Fillet"]   I'm not joking.

[name="槐琥"]   ......阿伯他没事吧？
[name="ワイフー"]   ……おじさんは無事ですよね？
[name="Waai Fu"]   ...Is Uncle Tung okay?

[name="孑"]   伤不重，但这已经不重要了。
[name="ジェイ"]   ああ、傷は浅せぇさ。でもそれはもう重要じゃねぇ。
[name="Fillet"]   He wasn't hurt badly. But that's not the point.

[name="槐琥"]   ——没错，的确不重要了。如果只是黑吃黑的案子，我才不想多管闲事。
[name="ワイフー"]   ——ええ、確かに重要ではありません。もしただ闇組織同士の潰し合いなら、私もこんなにしゃしゃり出ようとは思いません。
[name="Waai Fu"]   Right. It's not. If this were just some underworld spat, I wouldn't get involved.

[name="槐琥"]   但在我的眼前伤及无辜，我可不能由着他们胡作非为。
[name="ワイフー"]   ですが私の目の前で罪もない一般人を傷つけました。奴らの身勝手で不埒な振る舞いを、このまま野放しにしておくことなど、私にはできません。
[name="Waai Fu"]   But when I see the wicked strike the innocent before my very eyes, I can't sit idly by and let them run amok.

[name="孑"]   ......谢谢，之后请你吃鱼丸。
[name="ジェイ"]   ……そいつは、ありがてぇ。後で魚団子を奢らせてくんな。
[name="Fillet"]   ...Thanks. You've earned some finballs. On me.

[name="槐琥"]   鱼丸就不必了......
[name="ワイフー"]   別にいりませんが……。
[name="Waai Fu"]   I don't need finballs...

[name="槐琥"]   对了。
[name="ワイフー"]   そうだ。
[name="Waai Fu"]   By the way,

[name="槐琥"]   今晚的事件，也和企鹅物流有关系。他们根本没打算掩饰，一点都没。
[name="ワイフー"]   今夜の事件ですが、ペンギン急便も関係しています。あの方々は元より何かを隠して動くような人たちではないですからね。
[name="Waai Fu"]   This business tonight has something to do with Penguin Logistics. They're not even trying to cover up their involvement.

[name="孑"]   他们不是坏人，大概也是被卷进去的吧。
[name="ジェイ"]   ああ、あの連中は悪人じゃねぇよ。どうせまた、巻き込まれたクチだろうな。
[name="Fillet"]   They're good people. They probably just got mixed up in it somehow.

[name="槐琥"]   今年到现在已经被卷进去几十次了？他们应该更注意一点，不要总是惹是生非。
[name="ワイフー"]   それにしても、今年に入ってからもう何十回巻き込まれてるんですかね？　あの方々には一層注意すべきです。すぐにいざこざを起こしますから。
[name="Waai Fu"]   They've gotten "mixed up in things somehow" dozens of times this year alone. They need to be a little more careful, and stop making trouble for everyone.

[name="槐琥"]   如果有机会见到他们，有必要警告他们一下。
[name="ワイフー"]   もしあの方々に会うチャンスがあれば、これは注意する必要がありますね。
[name="Waai Fu"]   If we run into them, we'll have to give them a warning.

[name="卡彭"]   沙子，源石技艺，法术，哼。
[name="カポネ"]   砂にアーツ、か。フン。
[name="Capone"]   Sand Originium Arts. Hmph.

[name="卡彭"]   想来也是，掌控龙门暗面的怪物，总不能真的是个花架子。
[name="カポネ"]   ま、そりゃそうだ。龍門の闇を牛耳ってる怪物が、単なるお飾りのワケねぇわな。
[name="Capone"]   Guess the freak running Lungmen's underworld had to have some teeth to him.

[name="黑帮"]   难道卡彭先生的意思是？
[name="マフィア"]   まさかカポネさんが仰っているのは？
[name="Mafioso"]   Mr. Capone, you don't mean...?

[name="卡彭"]   当然是最不该招惹的人，不然呢？
[name="カポネ"]   当然最も敵に回しちゃいけないあの人のことだ。わかるだろ？
[name="Capone"]   He ain't the kinda guy you wanna piss off, capiche?

[name="黑帮"]   鼠王？但是，我们岂不是要同时对付首领、企鹅物流，还有......
[name="マフィア"]   鼠王？　まさか俺たち、同時にこれだけの勢力とやり合うことになるなんて。ボスにペンギン急便、それから……。
[name="Mafioso"]   The Rat King? But we're facing off against the boss, Penguin Logistics, and...

[name="卡彭"]   还有半座龙门。没错，情况不容乐观，所以，一步都不能走错。
[name="カポネ"]   それから龍門の半分。そうさ、楽観視なんて全くできねぇ状況なんだよ。こっから先は一歩でも踏み間違えるとヤバい。
[name="Capone"]   And half of Lungmen. Yeah, the outlook ain't so rosy. No room for mistakes.

[name="黑帮"]   卡、卡彭先生，您这是做什么？请把弩放下！
[name="マフィア"]   か、カポネさん、何するんですか？　武器を下ろしてください！
[name="Mafioso"]   What're you doing, Mr. Capone? Put down the crossbow!

[name="卡彭"]   你以为背叛家族真的是一件小事吗？
[name="カポネ"]   なぁ、ファミリーへの裏切りは大したことじゃない……と、お前は本気で思ってんのか？
[name="Capone"]   You thought going against the Family would be easy?

[name="卡彭"]   愿意追随我在龙门扎根，做好了不惜背叛甘比诺也要活下去的准备，我记得他们每一个人的脸。
[name="カポネ"]   俺はな、俺が龍門に根を下ろすのに付いてきて、生き抜くためにはガンビーノさえも裏切ることを決意した連中の顔を、一人残らず覚えてんだよ。
[name="Capone"]   I remember the face of every last man who agreed to follow me to Lungmen, who's ready to betray Gambino for the sake of survival.

[name="卡彭"]   而你并不在其列，甘比诺的走狗，去死吧。
[name="カポネ"]   だがお前ぇのそのツラは知らねぇな。ガンビーノの犬め、死ね。
[name="Capone"]   And you ain't one of 'em. Take a dirt nap, Gambino dog.

[name="卡彭"]   滚出来。
[name="カポネ"]   おい、いるんだろ。出てこい。
[name="Capone"]   Get outta here.

[name="甘比诺"]   我本以为你只是个忘恩负义的混账，看来你收买人心还是很有一套的。
[name="ガンビーノ"]   俺は、お前はただの恩知らずのロクデナシだと思ってたけどよ。まさか人を篭絡する方面で才があるなんて知らなかったぜ。
[name="Gambino"]   Here I thought you were just an ungrateful cazzo. Now I see you learned to buy and sell men.

[name="卡彭"]   说起来，这还是你教我的。
[name="カポネ"]   そいつはお前から教わったけどな。
[name="Capone"]   Who do you think taught me?

[name="甘比诺"]   我怎么不记得？
[name="ガンビーノ"]   ほぉ。身に覚えがねぇな。
[name="Gambino"]   Sure as hell wasn't me.

[name="卡彭"]   你曾经赢得过我的效忠，再让我失望至极，我可不会重蹈覆辙。
[name="カポネ"]   お前はかつてこの俺の忠誠心を勝ち取ったが、俺を地の底まで失望させた。俺は決して同じ轍は踏まねぇ。
[name="Capone"]   You earned my loyalty. Then you let me down harder than anything ever has. I won't make that same mistake.

[name="甘比诺"]   背叛意味着什么，你应该明白。
[name="ガンビーノ"]   お前なぁ、裏切りってやつが何を意味するのか、分かってるよな。
[name="Gambino"]   You know what betrayal means, don't you?

[name="卡彭"]   背叛是叙拉古最肮脏的罪名，但可惜，你所拥戴的荣誉在龙门毫无价值。
[name="カポネ"]   裏切りはシラクーザで最も汚らわしい罪名だ。だが惜しいことに、お前が望む栄誉は、この龍門では一ミリの価値もない。
[name="Capone"]   It's Siracusa's greatest crime. But too bad for you, your honor and glory ain't worth shit in Lungmen.

[name="甘比诺"]   收下这个吧。
[name="ガンビーノ"]   コイツを受け取れよ。
[name="Gambino"]   Take it.

[name="卡彭"]   ——黑桃J？
[name="カポネ"]   ——スペードのジャック？
[name="Capone"]   ...the Jack of Spades?

[name="甘比诺"]   我说过，你藏牌的速度太慢了！
[name="ガンビーノ"]   お前のカード捌きは遅すぎるって言ったんだろうが！
[name="Gambino"]   I told you. You deal too slow!

[name="卡彭"]   你的剑更迟钝了，甘比诺，和企鹅物流的厮杀让你负伤了吗？还是说，旧伤复发？
[name="カポネ"]   お前こそ剣が鈍ってるぜ、ガンビーノ。ペンギン急便とのやり合いで傷でも負ったのか？　それとも古傷が開いたか？
[name="Capone"]   You're even slower with that sword, Gambino. You get hurt in your fight with the Penguins? Or are we openin' old wounds?

[name="甘比诺"]   你的懦弱让我感到心寒，我只是在考虑怎样的血腥下场才适合叛徒。
[name="ガンビーノ"]   お前のビビりにはがっかりだぜ。裏切り者に相応しい血生臭い死に様を考えてやるよ。
[name="Gambino"]   Seeing you turn coward like this makes me sick. I'm stuck thinkin' about how I should kill a traitor like you.

[name="卡彭"]   现在，你才是多余的那张牌。
[name="カポネ"]   この龍門だと、お前こそがその余ったカードだぜ。
[name="Capone"]   You're the Joker here now.

[name="卡彭"]   然后呢？你打算做什么？打败企鹅物流，打败鼠王，打败龙门近卫局，再打败魏彦吾？
[name="カポネ"]   それで？　お前は何をするつもりだ？　ペンギン急便を潰して、鼠王に近衛局、ウェイまでも倒すつもりか？
[name="Capone"]   What's next? What're you gonna do? You take out Penguin Logistics? You take out the Rat King? You take out the LGD? You take out Wei Yenwu?

[name="卡彭"]   反正都要做梦，不如就别醒了吧。
[name="カポネ"]   そんな夢物語が見てぇなら、永遠に寝かしつけてやろうか？
[name="Capone"]   You're dreaming. Why not fall asleep forever?

[name="甘比诺"]   放心，至少我会把你的骨灰送回叙拉古。或者，让你的故乡把你的尸骸碾成粉末。
[name="ガンビーノ"]   安心しろ、お前の骨灰はちゃんとシラクーザに戻してやるからよ。それとも、故郷そのものに轢かれて粉々になる方が好みか？
[name="Gambino"]   Don't worry, I'll send your ashes back to Siracusa. Maybe I'll have the old village grind your corpse up.

[name="黑帮A"]   站住，你们是——！？
[name="マフィアA"]   止まれ、お前らは——！？
[name="Mafioso A"]   Woah, what're you...?!

[name="甘比诺"]   ——什么？
[name="ガンビーノ"]   ——なんだ？
[name="Gambino"]   ...What?

[name="卡彭"]   看来，有人搅局。
[name="カポネ"]   邪魔が入ったようだな。
[name="Capone"]   Sounds like we got party crashers.

[name="甘比诺"]   ......没能快点杀了你是我的错，但是，先迎接一下外来者吧。
[name="ガンビーノ"]   ……すぐにお前を殺さなかったのは俺のミスだ。だがよ、まずはよそ者を歓迎してやろうぜ。
[name="Gambino"]   ...I shoulda killed you quicker. But now we gotta play host.

[name="黑帮A"]   拦住他们！唔呃！竟然踩我脚趾......
[name="マフィアA"]   奴らを止めろ！　うぐっ！　俺のつま先を踏むなんて……。
[name="Mafioso A"]   Stop 'em! Aagh! My toe...

[name="黑帮B"]   这家伙，炎国功夫！？根本碰不到她啊！
[name="マフィアB"]   この野郎、炎国のカンフーだと！？　全然太刀打ちできねぇ！
[name="Mafioso B"]   What's this, kung fu?! Can't even touch her!

[name="黑帮A"]   只是赤手空拳怎么做到——噗哈！
[name="マフィアA"]   拳ひとつでどうやって——ぐはっ！
[name="Mafioso A"]   They're unarmed, just get 'em... Oof!

[name="槐琥"]   ——呼。
[name="ワイフー"]   ——ふぅ。
[name="Waai Fu"]   ...Phew.

[name="槐琥"]   所以，就是你们？
[name="ワイフー"]   それで、あなた方なの？
[name="Waai Fu"]   So, it's you two?

[name="甘比诺"]   我并不想滥杀无辜，但是——
[name="ガンビーノ"]   俺も誰彼なしに罪もねぇ奴を殺そうと思ってねえよ。だがな——。
[name="Gambino"]   I don't like to go around pickin' on weak little ladies, but...

[name="甘比诺"]   你一路穿过我的队伍，走到我的面前，衣服都没沾染上一点灰尘。
[name="ガンビーノ"]   お前は俺のチームを突っ切って俺の目の前に来た、服にホコリひとつ付けずにな。
[name="Gambino"]   You tore through my boys, walked right up to me, and you don't got a speck of dust on those pretty clothes of yours.

[name="甘比诺"]   你是鼠王的人？
[name="ガンビーノ"]   鼠王の一派か？
[name="Gambino"]   You the Rat King's people?

[name="孑"]   ......你们，刚才在贫民窟？
[name="ジェイ"]   ……アンタら、さっきスラムにいたか？
[name="Fillet"]   ...Were you in the slums?

[name="卡彭"]   打断了西西里人的决斗，还胆敢发问？
[name="カポネ"]   ハッ、シチリア人のタイマン邪魔して、そのうえ質問までするとはいい度胸だな。
[name="Capone"]   You broke up a fight between Sicilians and you got the balls to ask questions?

[name="孑"]   ......嗯，那看来就是你们了。
[name="ジェイ"]   ……そっか、やっぱアンタらみてぇだな。
[name="Fillet"]   ...Yeah. I'd say it was you two.

[name="卡彭"]   ——！？
[name="カポネ"]   ——！？
[name="Capone"]   ——?!

[name="卡彭"]   这个家伙，呃，怎么回事——！
[name="カポネ"]   この野郎、うっ、どういうことだ——！
[name="Capone"]   This mook, argh——!

[name="槐琥"]   你就这么看着吗？
[name="ワイフー"]   そうやって見てるだけですか？
[name="Waai Fu"]   Are you just going to watch?

[name="甘比诺"]   别误会，借刀杀人也未尝不可，但我必须亲自送他上路。
[name="ガンビーノ"]   勘違いするなよ。人の手を借りるのも悪くねぇけど、アイツだけは必ずこの手で地獄に送ってやるからよ。
[name="Gambino"]   Don't get me wrong. It's always a good idea to borrow a knife to off somebody, but I gotta deal with this cazzo myself.

[name="甘比诺"]   可是依我看......你也不像是盏省油的灯。
[name="ガンビーノ"]   だが俺の見立てだと、お前も融通が利く人間じゃなさそうだな。
[name="Gambino"]   On the other hand... You look like you're a handful.

[name="槐琥"]   我认真建议你投降。
[name="ワイフー"]   投降をオススメしますよ。
[name="Waai Fu"]   I think you should surrender. Really.

[name="甘比诺"]   笑话！
[name="ガンビーノ"]   馬鹿言うんじゃねぇ！
[name="Gambino"]   Hah!

[name="甘比诺"]   你和那只狼的身手相当，没想到鼠王还藏着你这样的底牌！
[name="ガンビーノ"]   お前とあの狼の腕は同等だ。あの鼠王がお前のような隠し玉を持っていたとはな！
[name="Gambino"]   You're about as good as that wolf. Who knew the Rat King had cards like you up his sleeve!

[name="槐琥"]   什么底牌，完全不知道你在说什么。乖乖趴下和我去见警员吧——！
[name="ワイフー"]   何が隠し玉なのか、あなたが何のことを言ってるのか、全く分かりませんが。大人しく降伏して私と警察に同行なさい——！
[name="Waai Fu"]   What cards? What are you talking about? Just get down on the floor and turn yourself in!

[name="甘比诺"]   唔！
[name="ガンビーノ"]   ぐっ！
[name="Gambino"]   Nng!

[name="卡彭"]   啧，我想起来了，我见过你，你是那个伪装成生鲜贩子的打手。
[name="カポネ"]   チッ、思い出したぞ。お前ぇのツラは見たことがある。あの食いもん屋に偽装してた手先か。
[name="Capone"]   Hey, I remember you. I met you before. You dressed up like a seafood salesman. Played like you were making finballs.

[name="卡彭"]   真奇怪，我本以为你不是需要特别关注的对象。
[name="カポネ"]   しくじったぜ。お前ぇのことは、気に掛けておく必要はないと思ってたのによ。
[name="Capone"]   Funny. I never thought I'd have to give you a second look.

[name="孑"]   不，那其实是个误会......算了。
[name="ジェイ"]   いや、そいつは誤解なんじゃあ……まぁいいか。
[name="Fillet"]   No, I really am a... never mind.

[name="孑"]   今天，现在，就当我是吧。
[name="ジェイ"]   今はそういうことにしといてやらぁ。
[name="Fillet"]   Right now, just for tonight, I am what you think I am.

[name="槐琥"]   喝啊！
[name="ワイフー"]   はぁあっ！
[name="Waai Fu"]   Hai-yah!

[name="甘比诺"]   哼！
[name="ガンビーノ"]   フン！
[name="Gambino"]   Hmph!

[name="卡彭"]   看来你被一个小姑娘欺负得够呛，甘比诺。
[name="カポネ"]   小娘ひとりにひどいやられようだな、ガンビーノ。
[name="Capone"]   You gettin' beat by a girl over there, Gambino.

[name="甘比诺"]   杀你的事情稍后再提，不要高兴得太早。
[name="ガンビーノ"]   お前を殺すのは後回しだ。だが喜ぶのはまだ早い。
[name="Gambino"]   Oh I'm still gonna kill you. Wipe that smile off your face.

[name="孑"]   ......你有好几次想要乘机偷袭，卑劣的家伙。
[name="ジェイ"]   ……アンタ、隙を狙って不意打ちしようとしてやがったな。ゲス野郎が。
[name="Fillet"]   ...You've been looking for chances to take a low blow, dirty fighter.

[name="槐琥"]   拳峰不正，如何取胜？
[name="ワイフー"]   不義の拳を振るう者に勝機なし！
[name="Waai Fu"]   How can you hope to win if you strike with the wrong part of your fist?

[name="槐琥"]   你们会为自己肆意妄为的暴行付出代价。
[name="ワイフー"]   あなた方が傍若無人に暴行を働いた代償、払ってもらいます。
[name="Waai Fu"]   You will pay for the harm you have done.

[name="董阿伯"]   ......你让我等这么久，就为了把我带到这儿来？
[name="董"]   ……おい、俺をこんなに待たせやがって、わざわざここに連れてくるためか？
[name="Uncle Tung"]   ...You had me wait so long just to bring me here?

[name="董阿伯"]   什么意思？开始为我物色墓地了？还是想和我死了之后当邻居？
[name="董"]   どういうつもりだ？　俺の墓を選ぼうとしてんのか？　それともなんだ、死んだらご近所さんにでもなってくれるつもりか？
[name="Uncle Tung"]   What is this about? Are we looking at grave plots? You want to be my neighbor even in death?

[name="鼠王"]   你做了这么多年生意，怎么嘴巴还是这么毒。
[name="鼠王"]   お主は長年商売しとるくせに、どうしてそう口が悪いのかの。
[name="Rat King"]   After so many years in business, how do you keep such a sharp tongue?

[name="董阿伯"]   我可不会对客人这个态度，你又不是客人。
[name="董"]   客にはこんな態度取らねぇよ。でもアンタは客じゃねぇんだ。
[name="Uncle Tung"]   I don't talk to my customers like this. But you're not a customer.

[name="鼠王"]   真伤感情啊。
[name="鼠王"]   そう言うな。傷つくじゃろ。
[name="Rat King"]   I'm hurt.

[name="鼠王"]   ——
[name="鼠王"]   ——。
[name="Rat King"]   ......

[name="董阿伯"]   ......这是阿发的墓，你也许不认识吧。
[name="董"]   ……これはファーの墓だ、アンタは知らねぇだろうが。
[name="Uncle Tung"]   ...This is Ah Faat's grave. You probably don't know him.

[name="董阿伯"]   这是癞子陈的，这是假阎王的。
[name="董"]   これはハゲ陳、こっちは偽閻魔の。
[name="Uncle Tung"]   This one's Rascally Chan's, and over here is Fake Yama.

[name="董阿伯"]   后边住着老吴和铁疯子，还有安老八，安老八家里有钱，给他安置在山坡上了。
[name="董"]   あと後ろには呉さんと鉄狂人、それと安八だが、家が金持ちでな、そいつを山腹に安置した。
[name="Uncle Tung"]   Then in the back is Old Wu and the Steel Psycho, plus Lucky On. Lucky On's family was rich, so he got the hillside plot.

[name="鼠王"]   人很多。
[name="鼠王"]   知り合いが多いのじゃな。
[name="Rat King"]   So many.

[name="董阿伯"]   还好，至少都是邻居。我们也该想想以后的住处了。
[name="董"]   まぁな、みんなご近所さんだ。俺らもここに入る時のことを、少しは考えるべきかもな。
[name="Uncle Tung"]   At least they're all neighbors. We should think about where we'll stay too.

[name="鼠王"]   现在想这个还太早了，还是说，你其实得了什么绝症？
[name="鼠王"]   いま考えるのはまだ早いじゃろう。それとも、実は不治の病でも抱えておるのか？
[name="Rat King"]   I think it's still too early for that. Or are you trying to tell me you've got some terminal illness?

[name="董阿伯"]   也不早了。我们活得不够久，所以总觉得自己经历了很多大风大浪。
[name="董"]   早くはないだろ。俺たちはまだまだこれからだ、若いうちはちょっとしたことがあっただけで波乱万丈に感じるもんだ。
[name="Uncle Tung"]   It's not early. We don't live long enough, so it always feels like we've been through tough times.

[name="董阿伯"]   像我这种人，兄弟们用命把我们救下来了，过几天安稳日子，回头再想想自己这辈子——
[name="董"]   俺みたいな奴はよ、仲間たちが命がけで救ってくれて、それから平穏な暮らしができている。今になってふと人生を振り返ってみれば――
[name="Uncle Tung"]   Like me. Our brothers gave their lives for us. But now that I've settled down, I look back and reflect on my life...

[name="董阿伯"]   好像也没多大个事，毕竟干大事的，都过不上安稳日子了。
[name="董"]   別に大したことなかったなって思うわけよ。本当に大したことを成し遂げる奴ってのは、平穏な暮らしなんかとは無縁だろうからな。
[name="Uncle Tung"]   And nothing seems like that big a deal anymore. If there was anything really that big, I wouldn't be able to enjoy a peaceful life.

[name="鼠王"]   搞什么，卖个鱼丸卖得大彻大悟了？
[name="鼠王"]   何を言っとるんじゃ。魚団子をこねすぎて、悟りでも開いたのか？
[name="Rat King"]   Oh my. Did selling finballs bring you such enlightenment?

[name="董阿伯"]   说实话，买菜涨价比黑手党要命的多。
[name="董"]   そうかもな。正直に言うとな、マフィアなんかよりも食材の値上がりの方がよほど大変だぜ。
[name="Uncle Tung"]   Honestly, food price inflation is a lot more dangerous to me than the mob.

[name="董阿伯"]   ......头儿，你真不考虑让我以后做你邻居？我看这里风水奇好，听说墓地联买会便宜不少。
[name="董"]   ……なぁお頭、本当に俺とご近所さんにならねぇか？　ここは風水が上等だし、聞くところによると、墓地も「まとめ買い」の方が安くなるらしいじゃねぇか。
[name="Uncle Tung"]   ...Dai Lo, won't you be my neighbor here? The Feng Shui is excellent, and I hear you get a better deal buying the plots in pairs.

[name="鼠王"]   够了没？
[name="鼠王"]   まだ言うか？
[name="Rat King"]   Are you done?

[name="董阿伯"]   开个玩笑，玩笑。哎，你好歹还有个女儿，我就是个孤家寡人咯。
[name="董"]   冗談さね、冗談。全く、アンタにはちゃんと娘がいるだろう。俺なんか寂しい独り身だぞ。
[name="Uncle Tung"]   I'm joking. It's a joke. Aiya. At least you have a daughter. I'm going to die alone.

[name="鼠王"]   不是有贫民窟的那些孩子跟着你吗？还有那个叫阿孑的小子。
[name="鼠王"]   スラムの子供たちが、お主になついているではないか？　それからあのジェイ坊とか言う若者もおるじゃろ。
[name="Rat King"]   You have all the kids in the slums with you, don't you? And that Ah Fil boy.

[name="董阿伯"]   和血亲终究是不一样的，老了之后，才会真正意识到这点。
[name="董"]   血筋の違いはどうにもならねぇよ。この歳になると、ようやく実感するもんだぜ。
[name="Uncle Tung"]   But there's no blood. It makes a difference when you get old.

[name="董阿伯"]   ——所以你要活得比我久一点，但也不要太久，稍微久一点就好，我在下面等你。
[name="董"]   ——だからアンタには俺より長生きして欲しいんだ。けどな、長すぎるのはダメだ。少しだけぐらいがちょうどいい。俺は下で待ってるからよ。
[name="Uncle Tung"]   ...So you have to outlive me, a bit. Not too much. Just a bit. I'll wait for you down there.

[name="鼠王"]   ......你是铁了心要找机会呛我？
[name="鼠王"]   ……お主、どうしてもこの話がしたいんだな？
[name="Rat King"]   Are you always looking for ways to needle me?

[name="鼠王"]   说起来，过会还要再去见个老朋友，要来喝一杯吗？
[name="鼠王"]   そういえば、後でもう一人の旧友に会いに行くのじゃが、一杯飲みに来ぬか？
[name="Rat King"]   By the way, I'm meeting an old friend later tonight. Would you like to join us for a drink?

[name="董阿伯"]   不了，我怕阿孑那小子真的去惹事，得去看着点。
[name="董"]   いや、止めておくさ。ジェイの小僧が面倒事に首を突っ込んでないか気になってな、ちっとばかし見に行ってやらねえと。
[name="Uncle Tung"]   No thanks. I'm worried Ah Fil is off getting himself into trouble. I'd better look into it.

[name="鼠王"]   我会帮你看着点的。
[name="鼠王"]   心配せんでよい、ワシが見ておいてやろう。
[name="Rat King"]   I'll look into it for you.

[name="董阿伯"]   可我还剩几个活着的老朋友？不都在这儿了吗？
[name="董"]   俺に生きてる旧友なんてまだいると思うか？　みんなここで眠ってるよな？
[name="Uncle Tung"]   And how many old friends do I have left? I think they're all down there.

[name="鼠王"]   还有一个。
[name="鼠王"]   なに、まだ一人おるじゃろ。
[name="Rat King"]   You have one.

[name="董阿伯"]   ——我和姓魏的聊不来，和他打交道久了，真的会短命的。
[name="董"]   ——俺はウェイの奴とは相性悪ぃんだよ。あいつと長く付き合ってると、本当に寿命が縮む。
[name="Uncle Tung"]   I can't talk with the one called Wei. I've been dealing with him a long time. It would be very short-lived.

[name="鼠王"]   但当年帮魏彦吾挡下一枚流弹，这辈子都没法直着腿走路的人，是你。
[name="鼠王"]   だがあの時ウェイを流れ弾から守り、一生まともに歩けなくなった奴は、お主自身じゃろうが。
[name="Rat King"]   But you took a bullet for Wei Yenwu. It's why you can't walk straight anymore.

[name="董阿伯"]   你以为我想吗？靠，别提这件事，我一直感觉自己亏惨了。
[name="董"]   俺がしたくてやったと思ってるのか？　クソッ、あれを思い出させるなよ。俺は今でもずっと損したと思ってんだ。
[name="Uncle Tung"]   You think I don't know? Feh, I don't want to talk about this. It always makes me feel wretched.

[name="董阿伯"]   ......但至少龙门可以直着腿走路了，也不亏吧。
[name="董"]   ……まぁ、でもよ。この龍門がちゃんと歩けるようになったことを考えれば、この損も悪くねぇな。
[name="Uncle Tung"]   ...But at least Lungmen can walk straight. At least she's not wretched.

[name="鼠王"]   你啊，一点没变，不过这样也好。
[name="鼠王"]   お主は少しも変わらぬな。それがお主の良いところでもあるが。
[name="Rat King"]   You're the same as you ever were. And I guess that's a good thing.

[name="鼠王"]   你要是真的不想见他，就先走吧。
[name="鼠王"]   本当に奴に会いたくないのなら、先に行ってくれて構わぬぞ。
[name="Rat King"]   If you've really seen enough of him, then you better be on your way.

[name="鼠王"]   而且他见到你，我怕也没什么话说。
[name="鼠王"]   まぁ、奴とてお主に会ったところで、話すことは何もないのかもしれぬな。
[name="Rat King"]   And even if he did see you, he probably wouldn't know what to say.

[name="董阿伯"]   你总算肯放我走了，我好歹也是个伤员，林。
[name="董"]   やっと俺を解放する気になったか？　俺はこう見えてもな、一応負傷兵なんだぜ、リンさんよ。
[name="Uncle Tung"]   You finally let me go, Lin, this poor old wounded man.

[name="鼠王"]   ......
[name="鼠王"]   ……。
[name="Rat King"]   ......

[name="鼠王"]   姓董的。
[name="鼠王"]   董や。
[name="Rat King"]   Mr. Tung.

[name="董阿伯"]   没听见。
