[name="阿达克利斯人A"]  森蚺，森蚺！
[name="Eunectes"]  I wasn’t expecting it to be a walk in the park. But I didn’t know you could be so unified.
[name="유넥티스"]  그런 생각 해본 적 없어. 하지만 너희가 이렇게 똘똘 뭉쳤단 소리는 처음 듣는데.

[name="乌代"]  这是我们自己的事。
[name="ウダイ"]  オレたちにも事情があんだよ。
[name="Uda"]  What’s that got to do with you?
[name="우다"]  우리 내부 사정이다.

[name="阿鲁纳"]  嘿，我只是看不惯你这种捣鼓机器的家伙来当大酋长！
[name="アルナ"]  へっ、機械ばっか弄ってるようなヤツが大族長になるなんて、気に食わねぇんだよ！
[name="Aruna"]  Hmph, and a Great Chief who’s always tinkering with widgets? You can bet I have a problem with that!
[name="아루나"]  후훗… 난 그냥 너처럼 기계나 만지작거리는 녀석이 대족장이 되는 게 눈꼴 시릴 뿐이다!

[Decision(options="祭典可以上许多人的？;......;难道不是一对一吗？",values="1;2;3")]
[Decision(options="祭典って、複数で参加できるものなのか？;……;一対一ではなかったのか？",values="1;2;3")]
[Decision(options="You’re allowed to bring people with you to the ceremony?;......;This isn’t one-on-one?",values="1;2;3")]
[Decision(options="제전에선 여럿이서 도전하는 것도 가능한 건가?;……;일대일로 해야 하는 거 아닌가?",values="1;2;3")]

[name="特米米"]  诶？嗯，是的。
[name="トミミ"]  えっ？　はい、そうですよ。
[name="Tomimi"]  Hm? Oh, yes, that’s allowed.
[name="토미미"]  네? 아, 맞아요.

[name="嘉维尔"]  博士，看你的表情，你该不会以为祭典是什么擂台赛节目吧。
[name="ガヴィル"]  なんて顔してんだ、ドクター。もしかして祭典を決闘かなにかだと勘違いしてないか？
[name="Gavial"]  Looks like the Doctor thought this was some kind of martial arts tournament.
[name="가비알"]  박사, 표정을 보아 하니 설마 제전을 무슨 토너먼트 같은 거라 생각한 건 아니겠지.

[name="特米米"]  诶？这样不会花很长时间吗？
[name="トミミ"]  えっ？　全部一対一だと時間がかかるじゃないですか。
[name="Tomimi"]  Hm? Wouldn’t that take a while?
[name="토미미"]  엣? 그럼 시간이 너무 오래 걸리잖아요?

[name="嘉维尔"]  虽然很多时候为了尊严，大家伙都是一对一的，但本身祭典唯一的规则就是无论用什么手段，谁能赢到最后谁就是大酋长。
[name="ガヴィル"]  面子のために大抵は一対一でやるんだが、厳密にはルール無用だ。要は全員ぶちのめして、最後まで勝ち残ったヤツが大族長ってわけさ。
[name="Gavial"]  Most folks fight one-on-one out of pride, but the only rule the ceremony’s got is that you can do whatever it takes to win, and whoever that ends up winning will become the Great Chief.
[name="가비알"]  대부분의 경우 존엄을 지키기 위해 일대일로 싸우긴 하지만, 애초에 수단 방법 가리지 않고 마지막까지 싸워 이기는 사람이 대족장이 된다는 게 제전의 유일한 규칙이야.

[name="嘉维尔"]  带小弟当然是最简单有效的办法了。
[name="ガヴィル"]  舎弟を連れてくのは、一番手っ取り早い方法だな。
[name="Gavial"]  Obviously, bringing your lackeys with you is the best way to get that done.
[name="가비알"]  그러니 조무래기들을 데려오는 것이 가장 쉽고 효과적인 방법이지.

[Decision(options="无论什么手段？;......;听起来我也可以当酋长。",values="1;2;3")]
[Decision(options="ルール無用？;……;それなら自分も大族長になれそう。",values="1;2;3")]
[Decision(options="Whatever it takes to win?;......;Sounds like I could become the Great Chief.",values="1;2;3")]
[Decision(options="그러니까, 룰이 없다 이건가?;……;그럼 나도 대족장이 될 수 있겠네.",values="1;2;3")]

[name="嘉维尔"]  博士，你该不会也想上吧，我建议你放弃。
[name="ガヴィル"]  ドクター、まさか参加するつもりじゃないだろうな。やめといたほうがいいぜ。
[name="Gavial"]  Doctor, you aren't thinking about joining in, are you? Give up that dream right now.
[name="가비알"]  박사, 혹시 도전하겠다는 건 아니지? 포기하는 걸 추천할게.

[name="嘉维尔"]  啊，博士，你现在肯定在想些坏事吧。
[name="ガヴィル"]  おいドクター、なに悪い顔してんだよ。
[name="Gavial"]  Ah, Doctor, whatever you’re thinking, I can tell you’re up to no good.
[name="가비알"]  흠… 박사. 지금 무슨 꿍꿍이를 꾸미고 있는 거지?

[name="嘉维尔"]  哈哈哈，博士，很遗憾，你不行的。
[name="ガヴィル"]  ハハハ、残念だがドクターじゃ無理だ。
[name="Gavial"]  Hahaha, Doctor. I hate to break it to you, but you don’t have what it takes.
[name="가비알"]  하하하하! 미안한데 박사한텐 무리야.

[name="嘉维尔"]  我说的无论用什么手段，可不是博士你想的那些。
[name="ガヴィル"]  ルール無用って言っても、ドクターが考えてるような手段は誰も使わねぇよ。
[name="Gavial"]  I did say there’s no rules, but it’s not what you’re thinking.
[name="가비알"]  룰이 없다는 건, 박사가 생각하는 그런 게 아냐.

[name="嘉维尔"]  我们这里的人很单纯的，不管干啥，也只会想到带很多人一起上。
[name="ガヴィル"]  ここの奴らは単純だからな。何でもありだとしても、思いつくのはせいぜい人手を増やすことくらいだ。
[name="Gavial"]  The folks here are pretty simple. The only thing they can think of is to bring lots of people with ‘em, no matter what it is they're trying to do.
[name="가비알"]  여기 사람들은 아주 단순하거든. 뭘 하든 생각해내는 거라곤 사람들을 많이 데려와서 함께 덤비는 것뿐이야.

[name="嘉维尔"]  拐弯抹角的阴险招数在这里可没人会用。
[name="ガヴィル"]  回りくどい小細工をするヤツなんて、いやしないのさ。
[name="Gavial"]  No one here would even think of pulling any dirty tricks.
[name="가비알"]  음험한 술수 같은 건 아무도 쓸 줄 몰라.

[name="嘉维尔"]  老实说，就算是我在罗德岛呆了好几年，我也不擅长去搞那些小心思。
[name="ガヴィル"]  正直、ロドスで何年も暮らしてるアタシですら、そういうのは未だに慣れねぇしな。
[name="Gavial"]  Honestly, even after my years with Rhodes Island, I’ve still got no idea how to go do that kinda stuff.
[name="가비알"]  솔직히 나도 로도스 아일랜드에 몇 년을 있었는데, 그런 잔꾀를 부리는 건 아직도 서투르거든.

[name="特米米"]  嗯，而且群殴也是有风险的呢。
[name="トミミ"]  でも、人数が多ければいいってわけじゃないんですよ。多対一にもリスクはあります。
[name="Tomimi"]  Yep. Besides, fighting as a group has its own risks.
[name="토미미"]  네, 게다가 패싸움에도 나름의 리스크가 있어요.

[name="嘉维尔"]  哈哈，没错，打完之后自己闹内讧的事可不少见。
[name="ガヴィル"]  ハハ、そうだな。あとで仲間割れするのも珍しくないからな。
[name="Gavial"]  Haha, that’s right. They might just start infighting afterwards. Happens all the time.
[name="가비알"]  하하, 맞아. 이겼다 해도 자기들끼리 내분이 일어나는 일도 적지 않거든.

[name="嘉维尔"]  而且另一方面，说是说所有手段都可以用，但是博士你可以真的试一试用你的手段解决其他人。
[name="ガヴィル"]  それに、もしドクターが考えてるような方法を使ったら――
[name="Gavial"]  But on the flipside, that does mean you can do whatever it takes for you to win, and you’re free to try.
[name="가비알"]  게다가, 무슨 수든 써도 된다곤 하지만, 할 테면 한 번 해봐……

[name="嘉维尔"]  我保证最后是你会被群殴。
[name="ガヴィル"]  間違いなくリンチだ。
[name="Gavial"]  But I’m sure you're just gonna get yourself beaten up.
[name="가비알"]  내가 장담하는데, 박사는 동네 북처럼 집단 구타를 당하게 될 거야.

[Decision(options="别把人说得那么坏。;......;民风淳朴啊。",values="1;2;3")]
[Decision(options="人聞きの悪いことを言うな。;……;みんな純粋なんだなぁ。",values="1;2;3")]
[Decision(options="You really think I’m that bad?;......;Sounds like people here lead a simple life.",values="1;2;3")]
[Decision(options="그렇게 나쁘게 말하지 말아줄래.;……;참 순박한 사람들이네.",values="1;2;3")]

[name="嘉维尔"]  哈哈哈，我只是实话实说。
[name="ガヴィル"]  ハハハ、ホントのことを言っただけだ。
[name="Gavial"]  Hahaha, I’m just putting it the way it is.
[name="가비알"]  하하하, 난 그냥 사실대로 말한 거야.

[name="嘉维尔"]  哈哈，能看到博士你翻白眼的样子可真少见。
[name="ガヴィル"]  ハハ、ドクターがそんな顔をするなんて珍しいな。
[name="Gavial"]  Haha, it’s not often I see you roll your eyes like that.
[name="가비알"]  하하, 박사가 눈을 희번덕거리는 걸 다 보네.

[name="嘉维尔"]  是啊，我也是出去了才知道，原来我的家乡这么淳朴。
[name="ガヴィル"]  そうだな。純粋でいいとこだろ？　アタシも外に出るまではわかんなかった。
[name="Gavial"]  Yeah, it wasn’t till I left that I found out just how simple things were back home.
[name="가비알"]  그래, 나도 나오고서야 알았어. 알고 보니 내 고향은 그렇게나 순박한 곳이었다는 걸.

[name="嘉维尔"]  以前我可是觉得，所有地方的人都是一样的。
[name="ガヴィル"]  昔はどこのヤツも同じだって思ってたからな。
[name="Gavial"]  I used to think everyone everywhere would be just like us.
[name="가비알"]  예전엔 어디든 사람들은 다 똑같다고 생각했거든.

[name="嘉维尔"]  虽然我觉得博士你能做到让所有人都察觉不到是你做的，但是，博士，你知道决定性的差异在哪里吗？
[name="ガヴィル"]  まぁ本当のところ、ドクターが本気になればバレずに小細工で勝つこともできると思う。だけど、お前とあいつらの間には決定的な差がある。何かわかるか？
[name="Gavial"]  Well, Doctor, I do think you’d be able to pull it off and still keep it under wraps, but there’s one thing that separates you from the rest of them. Do you know what that is?
[name="가비알"]  그래 솔직히, 박사가 마음만 먹으면 남들 몰래 술수를 쓸 수 있을 거라 생각하지만, 결정적 차이점이 뭔지 알아?

[Decision(options="肌肉？;......;外表？",values="1;2;3")]
[Decision(options="筋肉？;……;外見？",values="1;2;3")]
[Decision(options="Muscle?;......;Looks?",values="1;2;3")]
[Decision(options="근육?;……;외모?",values="1;2;3")]

[name="嘉维尔"]  没错！你看起来就很弱啊。
[name="ガヴィル"]  そうだ！　お前、見るからに弱そうだもんな！
[name="Gavial"]  Exactly! Look how weak you are!
[name="가비알"]  맞아! 박사는 딱 봐도 약해 보이거든.

[name="嘉维尔"]  喂，博士，别赌气不听我说话嘛！
[name="ガヴィル"]  おいドクター、そう拗ねるな、話を聞けって！
[name="Gavial"]  Come on, Doctor. Don’t pout.
[name="가비알"]  어이, 박사. 삐진 거야?!

[name="嘉维尔"]  是可以这么说，毕竟博士你看起来就弱不禁风的样子。
[name="ガヴィル"]  まぁそれも正解だ。ドクターはここのヤツらと比べたら、風に吹き飛ばされそうなくらい貧弱だもんな。
[name="Gavial"]  You could say that. I mean, you have any idea how weak you look?
[name="가비알"]  그렇다 할 수 있지, 확실히 박사는 바람 불면 날아갈 것처럼 보이거든.

[name="嘉维尔"]  总之呢，说白了，想要当上大酋长，其实只有一个条件。
[name="ガヴィル"]  とにかくだ、大族長になるための条件は至極単純さ。
[name="Gavial"]  Anyway, I’ll get right down to it. If you want to be the Great Chief, there’s actually just one requirement that you’ve gotta meet.
[name="가비알"]  어쨌든 솔직히 말하자면, 대족장이 되기 위한 조건은 딱 하나야.

[name="嘉维尔"]  那就是——够强，拳头够硬，够能打！
[name="ガヴィル"]  腕っぷしが強くて、ゲンコツが痛くて、喧嘩じゃ誰にも負けねぇってことだ！
[name="Gavial"]  You just gotta be strong enough to put up a good fight.
[name="가비알"]  바로…… 강해야 한다는 거야! 주먹이 딴딴해야 하고 싸움을 잘해야 해!

[name="嘉维尔"]  对吧，特米米？
[name="ガヴィル"]  だろ、トミミ？
[name="Gavial"]  Right, Tomimi?
[name="가비알"]  그렇지? 토미미.

[name="特米米"]  诶，嗯，嗯！
[name="トミミ"]  えっ、は、はい！
[name="Tomimi"]  Hm? Yeah, yeah!
[name="토미미"]  아, 네, 넵!

[name="嘉维尔"]  不过真是怪了，我记得这两个人可不是什么好朋友，他们居然会联手。
[name="ガヴィル"]  しかし妙だな、あの二人は友達でも何でもなかったはずだろ。まさか手を組むなんてな……
[name="Gavial"]  This is strange, though. From what I remember, those two aren’t exactly best friends. I didn’t expect to see them working together.
[name="가비알"]  그런데 정말 이상하네. 내 기억에 저 둘은 전혀 안 친했는데, 이렇게 손을 잡다니.

[name="特米米"]  唔唔，大概是在嘉维尔你离开后关系变好了吧。
[name="トミミ"]  うーん、ガヴィルさんが出て行った後、仲良しになったんじゃないですか？
[name="Tomimi"]  Hmm, they probably became friends after you left.
[name="토미미"]  흐음… 아마도 가비알 씨가 떠난 뒤로 사이가 좋아졌나 봐요.

[name="嘉维尔"]  好吧，也有可能。
[name="ガヴィル"]  まぁそうかもな。
[name="Gavial"]  Yeah, could be.
[name="가비알"]  그래, 그럴 수도 있겠네.

[name="嘉维尔"]  嗯？特米米，你不是说祖玛玛也是部族族长吗，她的小弟呢？
[name="ガヴィル"]  つーかズゥママは族長なんだよな？　子分たちはどうしたんだ？
[name="Gavial"]  Hmm? Tomimi, didn’t you say Zumama is her tribe’s leader? Where are her people?
[name="가비알"]  근데 토미미, 주마마도 부족의 족장이라며? 그럼 주마마의 부하들은?

[name="特米米"]  咦，这么一说，确实呢，好像没有看到多少她的部族的人。
[name="トミミ"]  確かにそう言われれば、あまりズゥママの部族の人は見てません……えーっと……
[name="Tomimi"]  Huh? Now that you mention it, I don’t see a lot of people from her tribe.
[name="토미미"]  그러고 보니 확실히 그러네요… 주마마의 부족 사람들은 못 본 것 같아요.

[name="特米米"]  你看那边，那些穿着不太一样的就是。
[name="トミミ"]  あ、いました！　あそこの変わった恰好をしている人たちがそうですよ。
[name="Tomimi"]  Look, the ones dressed differently over there should be from her tribe.
[name="토미미"]  저길 보세요, 저기 옷차림이 다른 사람들이요.

[name="嘉维尔"]  咦，那些人装备还挺不错的，不过人确实少。
[name="ガヴィル"]  へえ、いい装備を持ってんじゃねぇか。でも人数は確かに少ねぇ。
[name="Gavial"]  Well, they all look pretty well-equipped, but that’s not a whole lot of them.
[name="가비알"]  어라, 저 장비는 확실히 좀 괜찮아 보이는데, 사람 수가 적긴 하네.

[name="嘉维尔"]  嘿，这家伙，难道打算学我一个人把所有人打趴下吗，有意思！
[name="ガヴィル"]  もしかしてあいつ、まさかアタシみたいに一人で全員ぶちのめすつもりか？　おもしれぇ！
[name="Gavial"]  Heh, she’s following in my footsteps and trying to take them all down by herself, isn’t she? Now that’s what I’m talking about!
[name="가비알"]  설마 저 녀석, 내가 혼자 모두를 때려눕힌 걸 따라 할 생각인 건가? 재미있네!

[name="嘉维尔"]  这么一说，特米米，你不是也要参加吗？
[name="ガヴィル"]  っていうか、お前も参加すんだろ、トミミ？　こんなとこで見てていいのかよ。
[name="Gavial"]  That reminds me. Tomimi, I thought you were going to fight.
[name="가비알"]  그건 그렇고 토미미, 너도 참가하려는 거 아니었어?

[name="特米米"]  诶，嗯，还不急。
[name="トミミ"]  えっ、はい！　まだ大丈夫です。
[name="Tomimi"]  Eh? Yeah, but I’m in no rush.
[name="토미미"]  아, 네! 근데 급하진 않아요.

[name="特米米"]  祖玛玛很厉害，刀疤族肯定打不过她的，先等她被消耗体力我再上。
[name="トミミ"]  ズゥママの強さにはスカー族は足元にも及びませんが、体力は消耗させてくれるはずです。私は彼女が疲れたところで出ていく予定なんです。
[name="Tomimi"]  Zumama’s tough. The Scars won’t stand a chance against her, so I’ll join in after she wears herself out on them.
[name="토미미"]  주마마는 실력이 뛰어나니까, 칼자국 부족은 분명 못 이길 거예요. 일단 주마마의 체력이 좀 깎일 때까지 기다렸다가 올라가려고요.

[name="嘉维尔"]  嚯嚯，变聪明了啊，特米米。
[name="ガヴィル"]  ほほう、賢くなったな、トミミ。
[name="Gavial"]  Hehe, you’ve gotten smarter, Tomimi.
[name="가비알"]  오호라~ 우리 토미미, 똑똑해졌네?

[name="特米米"]  诶嘿嘿，我也是认真想要当上大酋长的！然后......
[name="トミミ"]  えへへ、私だって本気で大族長になりたいですから！　そしたら……
[name="Tomimi"]  Ehehe, I’m pretty serious about becoming the Great Chief. Besides...
[name="토미미"]  에헤헤~ 저도 진지하게 대족장이 되고 싶으니까요! 그런 다음엔…

[name="嘉维尔"]  然后？
[name="ガヴィル"]  そしたら？
[name="Gavial"]  Besides what?
[name="가비알"]  그런 다음엔?

[name="嘉维尔"]  哦，等会儿再说吧，开打了！
[name="ガヴィル"]  おっと、話は後だ、始まったぞ！
[name="Gavial"]  Oh, let’s talk later. They’re about to get started!
[name="가비알"]  아, 이따가 다시 얘기해요. 싸움이 시작됐어요!

