[name="特米米"]  这里的楼房跟其他部族明显不一样了......
[name="유넥티스"]  응, 우리 부족 사람들도 기계의 매력을 느끼게 되었어, 그래서 그 열정으로 부족 건물을 이렇게 지은 거지.

[name="阿达克利斯人A"]  快看，是嘉维尔。
[name="アダクリス人A"]  見ろ、ガヴィルだ。
[name="Archosauria A"]  Look, it’s Gavial!
[name="아다크리스A"]  봐봐. 가비알이야.

[name="阿达克利斯人B"]  大酋长说的是真的，她要用大丑和嘉维尔再进行一次对决。
[name="アダクリス人B"]  大族長が言ってた通りだ！　ビッグ・アグリーでもう一度、ガヴィルと勝負するつもりなんだ。
[name="Archosauria B"]  The Great Chief wasn’t lying. She’s planning to duel Gavial again with the Big Ugly.
[name="아다크리스B"]  대족장 말이 진짜였어. 거대하고 못생긴 걸로 가비알이랑 다시 대결하려나 봐.

[name="阿达克利斯人C"]  什么？！这怎么能错过！
[name="アダクリス人C"]  なんですって！？　こりゃ見逃せないわ！
[name="Archosauria C"]  What?! No way I can miss that!
[name="아다크리스C"]  뭐라고? 놓칠 순 없지!

[name="刻俄柏"]  哇，好多人！
[name="ケオベ"]  うわ、人がいっぱい！
[name="Ceobe"]  Wow, there’s so many people!
[name="케오베"]  우와~ 사람 많다!

[name="森蚺"]  这些人里有不少是在祭典后聚集到这里来的其他部族的人，他们也将会加入我们。
[name="ユーネクテス"]  ここには、祭典の後に集まった他部族の者たちも多くいる。彼らはいずれ、私たちの一員になる予定だ。
[name="Eunectes"]  Many of them are from other tribes who’ve came here after the ceremony. They will be joining us.
[name="유넥티스"]  제전 후에 여기로 모인 다른 부족 사람들이 적지 않아. 이들도 우리 부족에 들어올 거다.

[name="嘉维尔"]  哦，所以你要说些什么？
[name="ガヴィル"]  んだよ、何が言いてぇんだ？
[name="Gavial"]  So, what did you want to say?
[name="가비알"]  그래서 뭐, 무슨 말을 하려는 거야?

[name="森蚺"]  嘉维尔，原本如果你就那么离开的话，我不会管你。但是你既然你又站在我的面前，那么我就要在这里打倒你。
[name="ユーネクテス"]  ガヴィル、お前があのままここを出て行くのであれば、私は見逃してやるつもりだった。だがお前が再び現れたとなれば、今ここでお前を倒さなければならない。
[name="Eunectes"]  Gavial, if you just left without a fuss, I wouldn’t have cared. But since you’re standing before me once again, I will defeat you right here and now.
[name="유넥티스"]  가비알, 네가 그냥 떠났다면 신경을 끄려고 했었다. 다만 이렇게 또 내 앞에 나타났으니, 난 여기서 널 쓰러뜨릴 거야.

[name="嘉维尔"]  为什么？
[name="ガヴィル"]  なんでだ？
[name="Gavial"]  Why?
[name="가비알"]  왜지?

[name="森蚺"]  因为你太强了，嘉维尔。
[name="ユーネクテス"]  お前は強すぎるからだ。
[name="Eunectes"]  Because you’re too strong, Gavial.
[name="유넥티스"]  넌 너무 강하니까, 가비알.

[name="森蚺"]  你还记得那一天吗，嘉维尔？
[name="ユーネクテス"]  あの日のことを覚えているか、ガヴィル。
[name="Eunectes"]  Do you still remember that day?
[name="유넥티스"]  가비알, 그날 기억나?

[name="嘉维尔"]  那一天？
[name="ガヴィル"]  あの日？
[name="Gavial"]  That day?
[name="가비알"]  그날?

[name="森蚺"]  在那天之前，我和你一样，坚信自己的拳头就是一切。
[name="ユーネクテス"]  ……あの日までは、私もお前と同じように、己の拳こそがすべてだと盲信していた。
[name="Eunectes"]  Before that day, I was just like you. I believed the strength in my fists was everything.
[name="유넥티스"]  그날 이전의 나는 너처럼 내 주먹이 전부라고 굳게 믿었어.

[name="嘉维尔"]  嘿！
[name="ガヴィル"]  はぁあ！
[name="Gavial"]  Hah!
[name="가비알"]  하아압!

[name="森蚺"]  哇啊啊！
[name="ズゥママ"]  うわああ！
[name="Eunectes"]  Ahhhh!
[name="유넥티스"]  으아앗!

[name="阿达克利斯老人"]  嘉维尔胜！
[name="アダクリスの老人"]  勝者ガヴィル！
[name="Old Archosauria"]  Gavial wins!
[name="아다크리스 노인"]  승자, 가비알!

[name="嘉维尔"]  哈哈，我又赢了。
[name="ガヴィル"]  ハハ、またアタシの勝ちだ！
[name="Gavial"]  Haha, I win again.
[name="가비알"]  하하, 내가 또 이겼네.

[name="森蚺"]  哼，再来，下次我一定会赢！
[name="ズゥママ"]  ふん、もう一回だ！　次は絶対負けない！
[name="Eunectes"]  Hmph, another rematch! I’ll definitely win this time!
[name="유넥티스"]  흥, 다시 덤벼. 다음엔 내가 꼭 이길 거야!

[name="嘉维尔"]  好呀！
[name="ガヴィル"]  いいぜ！
[name="Gavial"]  Sure!
[name="가비알"]  좋아!

[name="森蚺"]  咦，大地怎么在震动？
[name="ズゥママ"]  ん？　地面が揺れている？
[name="Eunectes"]  Eh, why is the ground shaking?
[name="유넥티스"]  어? 땅이 왜 흔들리지?

[name="嘉维尔"]  看，是那边！
[name="ガヴィル"]  ズゥママ、あれを見ろ！
[name="Gavial"]  Look over there!
[name="가비알"]  저길 좀 봐!

[name="森蚺"]  那......那是什么啊？
[name="ズゥママ"]  あれは……あれは一体なんだ？
[name="Eunectes"]  Wh- what’s that?!
[name="유넥티스"]  저…… 저게 뭐야?

[name="嘉维尔"]  好大的铁块！
[name="ガヴィル"]  でっけー鉄の塊だな！
[name="Gavial"]  It’s a big hunk of metal!
[name="가비알"]  철 덩어리가 엄청 크네!

[name="阿达克利斯老人"]  那是萨尔贡的移动城市......
[name="アダクリスの老人"]  ありゃあサルゴンの移動都市じゃよ……
[name="Old Archosauria"]  That is a Sargon nomadic city...
[name="아다크리스 노인"]  저건 사르곤의 이동도시인데……

[name="森蚺"]  萨尔贡是什么？
[name="ズゥママ"]  サルゴンとはなんだ？
[name="Eunectes"]  What’s a Sargon?
[name="유넥티스"]  사르곤이 뭐지?

[name="阿达克利斯老人"]  萨尔贡是我们的国家。
[name="アダクリスの老人"]  わしらの国のことじゃよ。
[name="Old Archosauria"]  Sargon is our country.
[name="아다크리스 노인"]  사르곤은 우리가 속한 나라란다.

[name="森蚺"]  移动城市又是什么？
[name="ズゥママ"]  ではイドウトシとは？
[name="Eunectes"]  Then what’s a nomadic city?
[name="유넥티스"]  이동도시는 또 뭐고?

[name="阿达克利斯老人"]  移动城市就是很大的部族，在上面住着许多人。
[name="アダクリスの老人"]  移動都市というのは大きな部族のことじゃ。あそこにはたくさんの人が住んでおる。
[name="Old Archosauria"]  A nomadic city is a very large tribe, with many people living in it.
[name="아다크리스 노인"]  이동도시는 아주 큰~ 부락이란다. 많은 사람들이 살고 있지.

[name="阿达克利斯老人"]  我也是年轻时有一次上去看到过。
[name="アダクリスの老人"]  わしも若い頃に一度だけ、行ったことがある。
[name="Old Archosauria"]  I visited once, when I was young.
[name="아다크리스 노인"]  나도 젊었을 때 한 번 가본 적이 있지.

[name="阿达克利斯老人"]  好了，别害怕，它不会开过来的。
[name="アダクリスの老人"]  まあ怯えなさんな。あれがこっちに来ることはないからの。
[name="Old Archosauria"]  Don’t be afraid. It won’t come over here.
[name="아다크리스 노인"]  무서워하지 말거라. 이쪽으로 오지는 않을 테니.

[name="阿达克利斯老人"]  那是和我们一辈子都没关系的东西。
[name="アダクリスの老人"]  そう、あれは一生、わしらとは無縁なんじゃ。
[name="Old Archosauria"]  It will never have anything to do with us.
[name="아다크리스 노인"]  저건 우리와는 평생 아무 관련도 없는 거야.

[name="森蚺"]  ......
[name="ズゥママ"]  ……
[name="Eunectes"]  ......
[name="유넥티스"]  ……

[name="嘉维尔"]  祖玛玛，你怎么了，身体不舒服吗？
[name="ガヴィル"]  ズゥママ、どうした、調子でも悪いのか？
[name="Gavial"]  Zumama, what is it? Are you feeling sick?
[name="가비알"]  주마마, 왜 그래? 어디 아파?

[name="森蚺"]  没什么，我先回去了。
[name="ズゥママ"]  なんでもない、先に帰る。
[name="Eunectes"]  No. I’m going home.
[name="유넥티스"]  아냐… 나 먼저 갈게.

[name="嘉维尔"]  哦，我记得啊，萨尔贡的移动城市正好开过了我们这里附近嘛，从那天之后你就变得怪怪的了。
[name="ガヴィル"]  ああ、サルゴンの移動都市が近くを通った日か。覚えてるよ。あの日を境にお前はおかしくなったんだから。
[name="Gavial"]  Oh, I remember. A Sargon nomadic city was passing pretty close to us that day. You turned all weird after that.
[name="가비알"]  아, 기억 난다. 사르곤의 이동도시가 마침 우리 근처를 지나갔고, 그날 이후로 네가 이상해졌어.

[name="森蚺"]  我反而觉得不可思议，嘉维尔。
[name="ユーネクテス"]  おかしくなった、か。私は逆にお前のことが不思議でならない。
[name="Eunectes"]  I think you’re the weird one, Gavial.
[name="유넥티스"]  난 오히려 믿을 수 없었어, 가비알.

[name="森蚺"]  看到那样的东西，难道不会觉得惊讶吗？不会觉得震撼吗？不会觉得自己渺小吗？
[name="ユーネクテス"]  あれを見せつけられて、お前はなぜ驚かない？　震え上がらない？　自分はちっぽけな存在だとは思わなかったのか？
[name="Eunectes"]  How could you not feel astonished after seeing something like that? How could you not be shocked? How could you not feel like a tiny speck of dust?
[name="유넥티스"]  그런 걸 보고 어떻게 놀라지 않을 수 있어? 충격적이지 않아? 내가 보잘것없이 느껴지지 않아?

[name="嘉维尔"]  你问我那天的感受，那确实是觉得“哇，好大啊”，可是那和我有什么关系？
[name="ガヴィル"]  そりゃ当然「うわー、でっけぇなー」とは思ったさ。でもそれとアタシに何の関係があるんだ？
[name="Gavial"]  I mean, I guess I felt something like "Wow, that’s big." But what’s a big thing got to do with me?
[name="가비알"]  그날 '와, 정말 크다' 하고 느끼기는 했어. 근데 그게 나랑 무슨 상관인데?

[name="森蚺"]  你总是这样，嘉维尔。
[name="ユーネクテス"]  はぁ……お前はいつもそうだ、ガヴィル。
[name="Eunectes"]  That’s our Gavial.
[name="유넥티스"]  넌 항상 그랬어, 가비알.

[name="森蚺"]  在那天之后，我就对和你打架失去了兴趣。
[name="ユーネクテス"]  あの日から、お前と喧嘩することに楽しみを見いだせなくなった。
[name="Eunectes"]  But that’s the day I lost interest in fighting with you.
[name="유넥티스"]  그날 이후로 난 너랑 싸우는 것에 흥미를 잃었지.

[name="森蚺"]  我拜托依娜姆帮我寻找和机械有关的书籍，开始学习萨尔贡语和机械知识。
[name="ユーネクテス"]  それからイナムに頼んで本を集めてもらい、サルゴン語と機械について学び始めた。
[name="Eunectes"]  I asked Inam to help me find books on machinery, and began studying Sargonian and mechanical engineering.
[name="유넥티스"]  나는 이남에게 기계에 관한 책을 찾아달라고 부탁해서 사르곤어와 기계 관련 지식을 공부하기 시작했어.

[name="森蚺"]  然后我遇到了大祭司，我们两个人开始一起制造大丑。
[name="ユーネクテス"]  そしてある日大祭司のじいやと出会い、一緒にビッグ・アグリーを作り始めたというわけだ。
[name="Eunectes"]  Then I met the High Priest, and we began building the Big, Ugly Thing together.
[name="유넥티스"]  그러다 대제사장을 만났고, 함께 거대하고 못생긴 걸 만들기 시작한 거야.

[name="嘉维尔"]  这我知道啊，我不是还去找过你。
[name="ガヴィル"]  それは知ってるよ。その頃お前に会いに行ったこともあるだろ。
[name="Gavial"]  I know. I did go to look for you after all.
[name="가비알"]  그건 나도 알아. 내가 널 찾으러도 갔었잖아.

[name="嘉维尔"]  嗯？这么说来，那边那只怪家伙就是你的隐形朋友？
[name="ガヴィル"]  つーことはあそこの変なヤツが、その大祭司とかいう空想上のお友達だったってわけか？
[name="Gavial"]  Hm? Does that mean that the weirdo over there is your invisible friend?
[name="가비알"]  응? 그러고 보니, 저기 저 이상한 녀석이 네 비밀 친구야?

[name="大祭司"]  没错！
[name="大祭司"]  その通りじゃ！
[name="High Priest"]  That’s right!
[name="대제사장"]  그렇다네!

[name="宴"]  哇，什么时候到我身边来的！？
[name="ウタゲ"]  うわっ、いつの間にこんな近くに！？
[name="Utage"]  Woah! When did you get here?!
[name="우타게"]  우왓?! 언제 내 옆으로 온 거야?!

[name="可颂"]  总觉得跟大帝老板一样......
[name="クロワッサン"]  なんかウチらのボス……エンペラーはんと似とるなぁ……
[name="Croissant"]  This feller’s got the same energy as my Baws, the Emperor...
[name="크루아상"]  왠지… 우리 엠퍼러 보스 같구먼……

[name="大祭司"]  大帝？你是说那只企鹅吗？
[name="大祭司"]  エンペラー？　あのペンギンのことかの？
[name="High Priest"]  Emperor? Are you talking about that penguin?
[name="대제사장"]  엠퍼러? 그 펭귄을 말하는 거냐?

[name="可颂"]  是的，咦，你认识老板吗？
[name="クロワッサン"]  せやで。って、え？　ボスのことを知ってるん？
[name="Croissant"]  Sure am. Hold on a minute, you know the Baws?
[name="크루아상"]  맞아, 어라? 우리 보스랑 아는 사이?

[name="大祭司"]  认识认识，当然认识，虽然我们大概有几十年没见面了，咦，是几十年吗？还是几百年？算了，反正你身上确实有那家伙的气味。
[name="大祭司"]  知っとる知っとる、当然知っとるわい、何十年も会ってないがの。いや、何百年じゃったか？　まあいいわ、確かにお前さんからもヤツの匂いがするのう。
[name="High Priest"]  Of course, of course I do. Though it’s been a couple of decades since we last met... Eh, was it a few decades? Or a few centuries?  Doesn’t matter. I can smell him on you.
[name="대제사장"]  그럼, 알고말고. 수십 년 동안 못 만나기는 했지만 말이야. 아니지, 수십 년인가? 수백 년인가? 에잇… 아무튼 너한테선 그 녀석의 냄새가 나는구먼.

[name="宴"]  几百年是怎么回事啊......
[name="ウタゲ"]  何百年ってどういうこと……
[name="Utage"]  What’s that about a few centuries...?
[name="우타게"]  수백 년이라니…

[name="可颂"]  诶诶诶，没想到老板在这里还有朋友！
[name="クロワッサン"]  ええー！　まさかこんなとこでボスの友達に会えるなんて思いもせんかったわ！
[name="Croissant"]  Lordy loo! Who’da thunk I’d meet a friend of the Baws out here!
[name="크루아상"]  아이고 마, 여기 보스 친구가 있을 줄은 꿈에도 몰랐네!

[name="嘉维尔"]  原来你真的存在啊，我一直以为是祖玛玛脑子出问题了出现了幻觉，在罗德岛的时候我还专门研究过类似的病症咧。
[name="ガヴィル"]  本当に存在する「お友達」だったんだな。アタシはてっきり、ズゥママの頭がおかしくなって、幻覚を見てるんだと思ってた。ロドスでもわざわざ似たような症状の研究までしたんだぞ。
[name="Gavial"]  So you really do exist. I always thought Zumama got messed up in the head and hallucinated you. I was even researching similar cases at Rhodes Island.
[name="가비알"]  정말로 존재했구나. 난 또 주마마의 머리에 무슨 문제가 생겨서 환각을 보는 줄 알고, 로도스 아일랜드에 있을 때 유사한 증상을 연구해보기도 했었는데.

[name="大祭司"]  噢，你不知道，嘉维尔，小时候你来找祖玛玛的时候，我一直在旁边看着！
[name="大祭司"]  ほほう、ガヴィル、お前さんは知らんじゃろうが、わしはお前さんがまだ小さい頃から、ずっとここにいたんじゃ。ズゥママに会いに来たときも、わしはずっと隠れて見ておったぞ！
[name="High Priest"]  Oh, don’t you know, Gavial? Whenever you came to look for Zumama, I was always there watching!
[name="대제사장"]  허허, 가비알… 너는 모를 게다. 어릴 때 네가 주마마를 찾아왔을 때에도 난 늘 곁에서 보고 있었다…

[name="大祭司"]  就像这样！
[name="大祭司"]  こんな風にのぅ！
[name="High Priest"]  Just like this!
[name="대제사장"]  이렇게 말이야!

[name="嘉维尔"]  消失了！
[name="ガヴィル"]  消えた！？
[name="Gavial"]  He disappeared!
[name="가비알"]  사라졌어?!

[name="大祭司"]  哈哈哈，我平时是不会出现在你们的面前的，但是现在要驾驶大丑，所以就没办法啦！
[name="大祭司"]  ハハハ、驚いたか！　普段はこうして姿を見せないようにしておるんじゃが、今回はビッグ・アグリーを操縦せねばならんからのぅ。
[name="High Priest"]  Hahaha, I wouldn’t normally show myself to you, but since I want to pilot the Big Ugly, I have no choice!
[name="대제사장"]  허허허! 나는 평소에는 너희들 앞에 나타나지 않아. 근데 지금은 이 거대하고 못생긴 걸 조종해야 해서 말이야!

[name="大祭司"]  不过跟小家伙们一起造机器还是挺有趣的！
[name="大祭司"]  それにしても、若造どもと機械を作るというのも、なかなかに愉快な日々じゃわい！
[name="High Priest"]  Building machines with the little ones is actually a lot of fun!
[name="대제사장"]  그래도 젊은이들과 함께 기계를 만드는 건 정말 재밌구먼!

[name="宴"]  说到大丑，你不去驾驶真的没关系吗？我看要撞到房子了诶。
[name="ウタゲ"]  そのビッグ・アグリーの話だけど、操縦に戻らなくて大丈夫？　建物に突っ込みそうになってるよ。
[name="Utage"]  Speaking of the Big Ugly, shouldn’t somebody be driving it?  ‘cause I’m pretty sure it’s about to crash into that house.
[name="우타게"]  근데 그 거대하고 못생긴 건 조종하지 않아도 괜찮은 거야? 건물에 부딪힐 것 같은데.

[name="大祭司"]  啊？啊，我忘了！那等会儿聊！
[name="大祭司"]  なぬ？　おっと忘れておったわ！　話はまたあとじゃ！
[name="High Priest"]  Huh? Oh, crap! Gotta go!
[name="대제사장"]  뭣이? 깜박했구먼! 나중에 보자구!

[name="宴"]  呜哇，真的一下子又回到驾驶席了，好厉害啊。
[name="ウタゲ"]  うわー、ホントに一瞬で操縦席に戻った！　やるじゃん！
[name="Utage"]  Wow, he popped back into that thing quick. Badass.
[name="우타게"]  우와… 정말 순식간에 조종석으로 돌아갔네, 대단한데!

[name="可颂"]  果然和老板一样......
[name="クロワッサン"]  やっぱボスとそっくりや……
[name="Croissant"]  He’n the Boss really are birds of a feather, huh...
[name="크루아상"]  역시 우리 보스랑 똑같네……

[name="森蚺"]  ......
[name="ユーネクテス"]  ……
[name="Eunectes"]  ......
[name="유넥티스"]  ……

[name="嘉维尔"]  哦，差点忘了你还在说话。不过老实说，祖玛玛，反正最后都要打一架，你说这些真的有必要吗？
[name="ガヴィル"]  ああわりぃ、あいつにびっくりしてお前と喋ってる途中だったのを忘れてたよ。つーかどうせ最後は喧嘩になるのに、わざわざこんな話をする意味はあんのか？
[name="Gavial"]  Oh, right, our conversation. Zumama, let’s get to the point, if we’re gonna fight anyway do we really have to talk about all this stuff?
[name="가비알"]  아, 너랑 얘기하던 중인 걸 깜박할 뻔했네. 근데 솔직히 주마마, 어차피 결국 싸울 건데 그런 얘기를 할 필요가 있나?

[name="森蚺"]  有。
[name="ユーネクテス"]  ある。
[name="Eunectes"]  Yes.
[name="유넥티스"]  있지.

[name="森蚺"]  这些话是说给你听的，也是说给我自己听的。
[name="ユーネクテス"]  お前に伝えることだけが目的じゃない。私自身にも言い聞かせているんだ。
[name="Eunectes"]  I have things to say to you, and to myself.
[name="유넥티스"]  이건 너한테 하는 말이기도 하지만, 나한테 하는 말이기도 해.

[name="森蚺"]  你知道吗，嘉维尔，对我来说，你是最大的阻碍。
[name="ユーネクテス"]  私にとってお前は、最大の障壁なんだ。
[name="Eunectes"]  Did you know, Gavial? You were always my biggest obstacle.
[name="유넥티스"]  가비알, 알아? 나에게 너는 가장 큰 장애물이야.

[name="嘉维尔"]  啊？是吗？
[name="ガヴィル"]  そうなのか？
[name="Gavial"]  Huh? Really?
[name="가비알"]  어? 그래?

[name="森蚺"]  确切地说，不是你，而是你这样的人。
[name="ユーネクテス"]  正確には、お前というよりは、お前みたいなヤツが、だ。
[name="Eunectes"]  Well, not just you, but people like you.
[name="유넥티스"]  정확히는 네가 아니라 너같은 사람이지.

[name="森蚺"]  我曾经试图想要说服许多人去了解机器的魅力，但是最终，他们中有绝大多数都不感兴趣。
[name="ユーネクテス"]  私はこれまで、多くの者に機械の魅力を説いてきた。だが大半は興味を示さず、口説き落とすことができなかった。
[name="Eunectes"]  I’ve tried so many times to teach people about the charm of the machines. But in the end, they’re never interested.
[name="유넥티스"]  나는 많은 사람들에게 기계의 매력을 알려주려고 했지만, 대부분은 흥미를 느끼지 못했어.

[name="森蚺"]  因为有你这样厉害的人在给他们做榜样。
[name="ユーネクテス"]  それは、お前のような強い人間がいるからだ。
[name="Eunectes"]  Because they look up to strong people, like you.
[name="유넥티스"]  너처럼 강한 사람들이 그들에게 본보기가 되고 있기 때문이야.

[name="森蚺"]  你这样的存在告诉他们，在这里，能打就能够获得想要的东西。
[name="ユーネクテス"]  つまりお前という存在が、ここでは強ければ欲しいものが手に入ると主張し続けているからだ。
[name="Eunectes"]  You teach them that, in this place, you get what you want when you’re strong.
[name="유넥티스"]  너 같은 존재들 때문에 그들은 이곳에서 싸우면 원하는 걸 얻을 수 있다고 생각하지.

[name="森蚺"]  你的强大，堵死了前进的道路。
[name="ユーネクテス"]  その強さが、私たちの進歩を阻んでいる。
[name="Eunectes"]  It’s your strength that stands in the way of progress.
[name="유넥티스"]  너의 강력함이 발전의 길을 막아버렸단 말이다.

[name="森蚺"]  所以我下定决心，我要打破人们的这种想法，我要用更强的力量，摧毁你建立起的这种对自身力量的盲目崇拜。
[name="ユーネクテス"]  だから私は決めたんだ。皆の思い込みと、お前がもたらした己の力への盲信を、より強い力で打ち破ると。
[name="Eunectes"]  So I decided to change the way they think. I’m going to use an even greater power to destroy this blind worship of strength that you created.
[name="유넥티스"]  그래서 나는 사람들의 이런 생각을 깨뜨려야겠다고 결심했어. 더 강력한 힘으로 너의 힘에 대한 사람들의 맹목적인 숭배를 무너뜨릴 거야.

[name="宴"]  诶，博士，我觉得她说的蛮有道理的啊，你觉得呢？
[name="ウタゲ"]  うーん、この話、結構理に適ってない？　ドクターはどう思う？
[name="Utage"]  Well, that makes sense to me. What do you think, Doctor?
[name="우타게"]  흐음… 박사, 쟤 말도 일리가 있는 것 같아. 박사 생각은 어때?

[Decision(options="确实。;......;机器不错。",values="1;2;3")]
[Decision(options="確かに。;……;あの機械はいいものだ。",values="1;2;3")]
[Decision(options="Indeed.;......;Machines are cool.",values="1;2;3")]
[Decision(options="그러네.;……;기계는 좋은 거지.",values="1;2;3")]

[name="嘉维尔"]  博士，你到底是帮哪边的啊！
[name="ガヴィル"]  ドクター、お前はどっちの味方なんだ！
[name="Gavial"]  Doctor, whose side are you on?!
[name="가비알"]  박사, 대체 누구 편이야!

[name="可颂"]  虽然确实有道理，但是又好像有哪里不对......
[name="クロワッサン"]  一理あるけど、どっかズレてるような……
[name="Croissant"]  Sounds like yer talkin’ sense, but it still don’t feel right, somehow...
[name="크루아상"]  일리가 있긴 한데, 어딘가 좀 이상한 것 같은데……

[name="煌"]  对啊，那个大家伙酷诶！
[name="ブレイズ"]  うん、あのデカブツはイケてるね！
[name="Blaze"]  Hell yeah! That big clanker’s badass!
[name="블레이즈"]  그러게, 저 큰 녀석… 장난 아니게 멋있잖아!

[name="嘉维尔"]  不过老实说，我也快要被你说服了。
[name="ガヴィル"]  ……いや、正直アタシも、こいつの言葉には頷きそうになった。
[name="Gavial"]  Honestly, I’m almost convinced myself.
[name="가비알"]  근데 솔직히 나도 설득당할 뻔했어.

[name="嘉维尔"]  但是我也没想做大家的榜样啊，我只代表我自己，我觉得拳头可以解决一切，关别人什么事。
[name="ガヴィル"]  でもアタシは、昔も今も、誰かの手本になる気なんてねぇぞ。アタシが拳でなんでも解決できるって思ってたって、ほかのヤツらとは関係ねぇ。アタシはあくまでアタシだろ？
[name="Gavial"]  But I never wanted to be anyone’s role model. When I say fists solve problems, that’s just me talking. It’s got nothing to do with anyone else.
[name="가비알"]  하지만 나도 사람들의 본보기가 되고 싶은 맘은 없었어. 나는 그저 나를 대표할 뿐이야. 난 주먹이 모든 걸 해결할 수 있다고 생각해. 다른 건 관심 없어.

[name="森蚺"]  我知道，这不怪你。
[name="ユーネクテス"]  わかっている、お前のせいではない。
[name="Eunectes"]  I know, I’m not blaming you.
[name="유넥티스"]  알아, 널 탓하는 건 아냐.

[name="森蚺"]  但是，我依然决心打败你，嘉维尔，用这大丑的力量。
[name="ユーネクテス"]  だがガヴィル、どちらにせよ私はここでお前を倒す。このビッグ・アグリーの……機械の力でな。
[name="Eunectes"]  Even so, Gavial, I want to defeat you with the power of the Big Ugly.
[name="유넥티스"]  그래도 나는 널 무너뜨릴 거야, 가비알. 이 거대하고 못생긴 것의 힘으로.

[name="森蚺"]  所有人听好了！
[name="ユーネクテス"]  全員聞け！
[name="Eunectes"]  Everyone, listen up!
[name="유넥티스"]  모두들 잘 들어라!

[name="森蚺"]  下面，大丑将和嘉维尔重新进行一次决斗。
[name="ユーネクテス"]  これから改めて、ビッグ・アグリーとガヴィルの決闘を行う。
[name="Eunectes"]  The Big Ugly will be dueling Gavial once again!
[name="유넥티스"]  이제 이 거대하고 못생긴 게 가비알과 다시 결투를 벌일 거다!

[name="森蚺"]  这场战斗将真正决定谁才是真正的大酋长！
[name="ユーネクテス"]  この戦いで、真の大族長を決めるのだ！
[name="Eunectes"]  This battle will decide who is the real Great Chief!
[name="유넥티스"]  이 결투로, 누가 진정한 대족장인지 결정 낼 것이다!

[name="森蚺"]  大祭司，要战斗了！
[name="ユーネクテス"]  じいや、戦闘の準備を！
[name="Eunectes"]  High Priest, it’s time to fight!
[name="유넥티스"]  대제사장, 전투 준비!

[name="大祭司"]  噢，没问题！
[name="大祭司"]  おう、いつでもいいぞ！
[name="High Priest"]  You got it!
[name="대제사장"]  오! 문제없어!

[name="森蚺"]  嘉维尔，准备好了吗！让你的同伴一起上也没关系！
[name="ユーネクテス"]  ガヴィル、準備はいいか！　仲間と一緒でも構わない！
[name="Eunectes"]  Are you ready, Gavial? Your friends can join the fight too!
[name="유넥티스"]  가비알, 준비 됐냐! 네 동료와 함께 싸워도 상관없어!

[name="嘉维尔"]  我都已经等不及了！
[name="ガヴィル"]  ハッ、一人で十分だ！
[name="Gavial"]  Finally!
[name="가비알"]  난 이미 몸이 근질근질하다고!

[name="嘉维尔"]  你们别来插手，这一战，我要亲手打倒这个大家伙！
[name="ガヴィル"]  お前らは手を出すなよ！　これはアタシとあのデカブツの戦いだからな！
[name="Gavial"]  Step back, everybody. This one’s mine.
[name="가비알"]  너희는 나서지 마. 이번 싸움은 내가 직접 이 큰 녀석을 물리칠 테니까!

[name="嘉维尔"]  来吧！
