晖洁：
フェイゼへ：
Hui-chieh:
훼이지에에게

雪没有化。春天没有来。
雪は未だ解けない。春は遠い。
The snow hasn't melted. And spring hasn't come.
눈은 녹지 않았어. 봄도 오지 않았고.

这个春天仿佛怎么都不会来。
まるで春が訪れることはないかのように。
It feels like this next spring is never going to arrive.
이번 봄은 아무래도 오지 않을 것 같아.

每当抬头看见烛火，就不禁伸出手把它掐灭，却又不得不在黑暗中重新点燃它。
ロウソクの灯火を目にする度に、思わず指で潰して消したくなる。しかし、この暗闇の中では再び火を灯さなければならない。
Each time I lift my head up to see the candlelight, I just cannot help but to reach my hand out to put it out, only to light it up anew in the darkness.
고개를 들고 촛불을 볼 때면 나도 모르게 손을 뻗어 불을 껐다가 어둠 속에서 또다시 불을 붙이곤 해.

快过去吧，冬天。再不过去，我们就都要被这场雪埋住了。
冬よ、早く過ぎ去れ。このままでは雪に潰されてしまいそうだ。
Please go away soon, winter. If you don't go away soon, we'll be buried by all this snow.
겨울이 어서 지나가야 할 텐데. 이대로 겨울이 끝나버리지 않으면, 우리 모두 이 눈에 묻혀버릴지도 몰라.

快点过去吧。
どうか、早く。
Please, I beg of you.
어서, 어서 지나가 주길……

2月21日
2月21日
February 21st
2월 21일

[name="感染者战士"]  塔露拉，你怎么了？
[name="감염자"]  너희들과 함께한 지 얼마 안 됐지만 예전의 너는…… 좀 더 활발했다고 하던데.

[name="盾卫"]  喂。她没架子这点本来就很难得了。你刚这些话，你去对大尉说说？别太过分。
[name="盾兵"]  おい。タルラが意に介さない様子だからと言って、あまり調子に乗るなよ。今の話を大尉に聞かせてみるか？
[name="Shieldguard"]  Hey, watch it, buddy. Talulah's not often down in the crowd like this. Why don't you try repeating what you just said to the captain and see if he appreciates it?
[name="방패병"]  어깨에서 힘을 뺀 탈룰라는 좀처럼 보기 어렵지. 방금 한 말을 대위님한테 해보는 건 어때, 적당히 말이야.

[name="感染者"]  那我不敢。
[name="感染者"]  それは勘弁してくれ。
[name="Infected"]  Yeah, can't say I have the balls.
[name="감염자"]  엄두가 안 나는데.

[name="塔露拉"]  爱国者先生没他说的那么可怕。盾卫都这样，别往心里去。
[name="タルラ"]  ミスターはそんなに恐ろしい人じゃないぞ。盾兵の脅し文句なんて気にしなくていい。
[name="Talulah"]  Patriot isn't as scary as it sounds. The Shieldguards are all like this. Don't let it get to you.
[name="탈룰라"]  패트리어트도 말처럼 그렇게 무서운 분이 아니야. 방패병들은 원래 저러니까 신경 쓸 것 없어.

[name="塔露拉"]  只不过他最近嗓子不太好，说的话少了些吧......给了你们一点无声的压力。
[name="タルラ"]  ただ、近頃は喉の調子があまり良くないと聞いている。話すことが少なくなったせいで、お前たちが無言のプレッシャーを感じているのだろう。
[name="Talulah"]  He just hasn't been talking much because of his throat problems lately... and his silence can be intimidating.
[name="탈룰라"]  말을 아끼신 것도 목 상태가 별로 좋지 않아서 그런 것뿐이니까……너희에겐 무언의 압박이 됐을지도 모르겠네.

[name="塔露拉"]  至于我的状态......别担心。
[name="タルラ"]  私に関しては……心配には及ばない。
[name="Talulah"]  As for how I'm doing... Don't worry.
[name="탈룰라"]  내 상태라면…… 걱정하지 마.

[name="塔露拉"]  嗯......只是想得比较多。我们的队伍离乌萨斯城市群越来越近，很多事也需要进一步的讨论，我会想得比较多一些才会给你这种感觉吧。
[name="タルラ"]  そうだな……考えることが多くなっただけだ。我々の部隊は刻一刻とウルサスに近づいている。相談が必要な問題も多いから、頭を悩ませているのがお前たちに伝わってしまったのかもしれないな。
[name="Talulah"]  Yeah... I just have a lot going on in my mind. Our team is getting closer and closer to the Ursus cities. and there's a lot we need to thrash out. I probably gave you that impression because I've been really trying to rack my brain.
[name="탈룰라"]  ……그저 생각할 게 많아서 그런 것뿐이니까. 우르수스 도시들에 가까이 접근하다 보니 좀 더 고민해야 할 일들이 많아졌거든. 생각할 게 많아져서 풀이 죽은 것처럼 보였나 보네……

[name="感染者"]  是啊，缺水少粮的，人手真不够用，再这样下去我们要耗不起了。
[name="感染者"]  そうなのかもな……食うもんもなけりゃ水もない。人手も足りてないし、このままじゃみんな持たないぞ。
[name="Infected"]  Yeah, you're right. We're running low on provisions, and we don't have enough manpower. If this goes on, we aren't going to last much longer.
[name="감염자"]  맞아, 물도 식량도 부족하고 일손도 충분하지 않아, 이런 식으로 가다가는 버틸 수 없을 거야.

[name="塔露拉"]  是的，所以，我们必须更加注意外部各势力的动向。
[name="タルラ"]  ああ。だから、今まで以上に慎重に外部勢力の動向を探らなければならない。
[name="Talulah"]  That's right, and that's why we need to pay extra attention to what all the outside forces are up to.
[name="탈룰라"]  맞아, 그래서 외부 세력의 움직임에 좀 더 촉각을 세워야 해.

[name="塔露拉"]  一方面是，我们要尽快联系上本地的感染者聚落和团体。
[name="タルラ"]  いま最も重要なのは、現地の感染者集落や団体と、いち早く連絡を取ることだ。
[name="Talulah"]  First of all, we need to make contact with the local Infected groups and diaspora as soon as we can.
[name="탈룰라"]  현지 감염자 마을과 세력에 최대한 빨리 연락해 볼 생각이야.

[name="塔露拉"]  另一方面，肯定有人会尝试捕捉我们的行踪......如果一个不小心落入圈套，所有人就都要和雪原告别了。
[name="タルラ"]  しかしその一方で、我々の居場所を探ろうとする輩が必ず現れる。万が一にでも奴らの罠にかかれば、我々は一人残らず雪原から追い出される羽目になる。
[name="Talulah"]  And aside from that, there are bound to be people trying to track us down... If we take even one wrong step and fall into their trap, all of us will have end up in a snowy grave.
[name="탈룰라"]  우리의 행적을 추적하려는 자들 또한 분명 있을 거야…… 자칫해서 놈들의 덫에 걸렸다간 설원을 영원히 떠나야 할지도 몰라.

[name="感染者"]  听着很糟。
[name="感染者"]  そいつは面倒だな。
[name="Infected"]  That doesn't sound good.
[name="감염자"]  듣기만 해도 끔찍하군.

[name="塔露拉"]  当然很糟。不过只要我们缜密地规划接下来的路线，我们就不会走到那一步。
[name="タルラ"]  ああ、そうだ。しかしこれからの計画を綿密に立てておけば、そのような事態には及ばない。
[name="Talulah"]  Of course it doesn't, but as long as we plan our route carefully, we won't find ourselves in that situation.
[name="탈룰라"]  그렇겠지. 하지만 앞으로의 계획을 꼼꼼히 세운다면 그런 일은 없을 거야.

[name="塔露拉"]  ......所以，减少损失才是当务之急。
[name="タルラ"]  ……つまり、損失を最低限に抑えることが最優先の課題だ。
[name="Talulah"]  ...So that's why, the most important task we have at hand is to minimize our losses.
[name="탈룰라"]  ……그러니까 지금으로서는 피해를 줄이는 게 급선무다.

[name="塔露拉"]  也许将我们的队伍分散开来会让我们的行动更隐蔽些，但这样一来通信就成了问题。
[name="タルラ"]  今の部隊を分散すれば目立たなくはなるだろうが、それでは意思の疎通に問題が生じる。
[name="Talulah"]  Breaking up our teams might conceal our movement better, but then communications will become a problem.
[name="탈룰라"]  부대를 분산시키면 좀 더 은밀히 움직일 순 있겠지만 대신 통신이 쉽지 않을 거야.

[name="感染者"]  啊，是啊，那些抢来的乌萨斯的通讯设备，我们用不了，我们弄不到他们的发报设备。
[name="感染者"]  ああ、そうだな……ウルサスから奪ってきた受信端末は使えない。俺たちじゃ、あいつらの発信機は手に入れられないからな。
[name="Infected"]  Oh, right, we can't use those comms we took from the Ursus. We don't have their transmitters.
[name="감염자"]  맞아, 빼앗아온 우르수스의 통신 설비를 쓸 수도 없고, 놈들의 송신 설비는 손에 넣을 수 없으니.

[name="塔露拉"]  这会让我们的联络员和侦察员陷入不必要的危险之中。
[name="タルラ"]  今のままでは、我々の連絡員と偵察員は不要な危険にさらされ続けることになる。
[name="Talulah"]  This will put our liaisons and recon units in unnecessary danger.
[name="탈룰라"]  그렇게 되면 아군의 연락책과 정찰대원이 불필요한 위험에 빠지게 될 거야.

[name="塔露拉"]  游击队密语的学习成本太高了，想配发一整套联络设备，我们就必须拿到原型机......
[name="タルラ"]  遊撃隊の暗号は学習に時間がかかる。通信用の設備をフルセットで用意したければ、原型モデルを入手する必要がある……か。
[name="Talulah"]  It’s a drain on resources to train someone to use the guerrillas' code words. If we want distribute whole sets of comms to everyone, we'll need to get our hands on the prototype somehow...
[name="탈룰라"]  유격대의 암호를 배우려면 시간이 너무 오래 걸려. 연락 설비를 모두 갖추려면 우리는 반드시 프로토타입을 손에 넣어야 해……

[name="雪怪小队队员"]  塔露拉......塔露拉！侦察员遇袭了！
[name="スノーデビル隊員"]  タルラ！　……タルラ、偵察員が襲撃に遭った！
[name="Yeti Squad Member"]  Talulah... Talulah! Our recon units were ambushed!
[name="눈의 악마 소대원"]  탈룰라…… 탈룰라! 정찰대원이 당했어!

[name="感染者"]  这种小事，自己解决就......
[name="感染者"]  それくらい自分でなんとかできないのか――
[name="Infected"]  That's nothing. Why do you need her to clean you...
[name="감염자"]  별거 아니잖아, 그런 건 알아서……

[name="雪怪小队队员"]  别吵，和以前不是一回事！连敌人是谁我们都没摸到，他就倒下去了！
[name="スノーデビル隊員"]  黙れ、今までと状況が違う！　相手が何者かも確認できないまま、あいつは突然その場で倒れたんだ！
[name="Yeti Squad Member"]  Shut up! This is nothing like what we've faced! Poor bastard fell over before any of us even figured out who the enemy was!
[name="눈의 악마 소대원"]  시끄러, 지금까지와는 달라! 적을 알아내기도 전에 아군이 쓰러졌단 말이다!

[name="雪怪小队队员"]  直接找到然后准确地袭击了我们的侦察术士，这可不是什么普通感染者纠察队能做到的......！
[name="スノーデビル隊員"]  つまり敵は、俺たちの偵察術師を見つけて、ピンポイントで襲ったということになる。並の感染者監視隊の仕業だとは思えない……
[name="Yeti Squad Member"]  They pinpointed our recon caster and ambushed him with exact precision! We've never seen anything like that from the patrol units...!
[name="눈의 악마 소대원"]  정찰대원의 위치를 파악한 후 정확히 공격했어. 이건 보통 감염자 감시팀의 실력이 아니야……!

[name="塔露拉"]  事关战友性命的事，没有小事。
[name="タルラ"]  戦友の命に関わることなら、何事も無視できない。
[name="Talulah"]  Whenever something concerns our teammates, we can't just brush it aside.
[name="탈룰라"]  전우의 목숨이 달린 일이라면 사소한 것도 지나칠 순 없지.

[name="塔露拉"]  雪怪，带我去事发地点。
[name="タルラ"]  スノーデビル、事件現場まで案内してくれ。
[name="Talulah"]  Yeti, take me there.
[name="탈룰라"]  눈의 악마, 현장으로 안내해.

[name="塔露拉"]  盾卫，我们也许遭遇了乌萨斯某个集团军的下属部队。跟我来。
[name="タルラ"]  盾兵、もしかするとウルサス師兵団に属する部隊に目をつけられた可能性がある。付いてきてくれ。
[name="Talulah"]  Shieldguard, we might've encountered an Ursus Army platoon. Come with me.
[name="탈룰라"]  방패병, 아무래도 상대는 우르수스 군단 소속의 부대 같아. 날 따라와.

[name="盾卫"]  是！
[name="盾兵"]  わかった。
[name="Shieldguard"]  Yes, ma'am!
[name="방패병"]  알겠다!

[name="塔露拉"]  记住，即使是先遣军也要万分小心，一旦处理不当，就会引来大规模的报复。一定要避免这种事的发生！
[name="タルラ"]  たとえ先遣隊でも十分に警戒しろ。少しでもミスがあれば、大規模な衝突を招きかねない。それだけはなんとしても回避するように。肝に銘じておけ！
[name="Talulah"]  Remember, even if they are just an advance team, be extra careful. If something goes wrong, we might have a large-scale retaliation waiting for us. We need to avoid that at all costs!
[name="탈룰라"]  명심해, 선발대라도 신중히 행동해야 해. 어설프게 처리하면 더 큰 화를 일으킬 수 있으니까. 그런 일이 절대로 일어나선 안 된다!

[name="盾卫"]  明白！
[name="盾兵"]  了解！
[name="Shieldguard"]  Understood!
[name="방패병"]  명심하지!

[name="塔露拉"]  传令兵，去通知爱国者先生！
[name="タルラ"]  伝令兵、ミスターに報告を！
[name="Talulah"]  Runner, inform Patriot immediately!
[name="탈룰라"]  통신병, 패트리어트에게 이 소식을 알려라!

[name="雪怪小队队员"]  去叫霜星大姊——呜！哦，咳......！
[name="スノーデビル隊員"]  早く……フロストノヴァの姐さんを――うっ！　ぁ、カハッ……！
[name="Yeti Squad Member"]  Tell FrostNova right away—Ugh! Ah, *cough*...!
[name="눈의 악마 소대원"]  가서 프로스트노바 누님을 불러…… 윽! 커헉……!

[name="感染者"]  孔德拉沙！！
[name="感染者"]  コンドラシャ！！
[name="Infected"]  Kondrasha!!
[name="감염자"]  콘드라샤!!

[name="感染者"]  你！
[name="感染者"]  貴様！
[name="Infected"]  You!
[name="감염자"]  너 이 자식!

[name="盾卫"]  雪怪小弟！
[name="盾兵"]  スノーデビル！
[name="Shieldguard"]  Hang in there, Yeti!
[name="방패병"]  눈의 악마!

[name="雪怪小队队员"]  啊！！
[name="スノーデビル隊員"]  うっ！！
[name="Yeti Squad Member"]  Aghh!!
[name="눈의 악마 소대원"]  윽!!

[name="盾卫"]  啊......！什么？！快，快把他放下来！把该死的枪拔出来！
[name="盾兵"]  なっ……！　何だあれは！？　は、早くそいつを下ろせ！　その槍を抜くんだ！！
[name="Shieldguard"]  What...? What just happened?! Quick! S-Set him down here! Take that goddamned spear out!
[name="방패병"]  이, 이건 뭐야……?! 다, 당장 내려놔! 빌어먹을 창을 뽑아야 해!

[name="盾卫"]  （......黑色的长矛从他身上......长了出来？！）
[name="盾兵"]  （……あ、あの体を貫いている……黒い槍は！？）
[name="Shieldguard"]  (...What's going on? The black spear... grew out of his body?!)
[name="방패병"]  (……검은색 창이 몸에서…… 자라 나고 있어?!)

[name="盾卫"]  （不会，不会......怎么会在这？！帝国豢养的孽物怎么会在这？！）
[name="盾兵"]  （そんな、まさか……なぜこんなところに帝国に飼われるあの忌々しい存在が……！？）
[name="Shieldguard"]  (No, it can't be... The Empire's monsters?! What are they doing here?!)
[name="방패병"]  (아, 아냐. 그럴 리 없어…… 어떻게, 제국이 키운 괴물이 어떻게 이곳에 있는 거지?!)

[name="？？？"]  嘶......
[name="？？？"]  シュー……
[name="??? "]  *Hiss*...
[name="???"]  스으으으……

[name="感染者"]  唔，呃......呃！
[name="感染者"]  う、あ……ぁ！
[name="Infected"]  Ngh, ugh... Ungh!
[name="감염자"]  으, 윽…… 으윽!

[name="感染者"]  装神弄鬼！
[name="感染者"]  いったい何なんだこいつは！？
[name="Infected"]  What? Think you're all that?!
[name="감염자"]  허튼짓하지 마!

[name="感染者"]  天杀的没娘养的东西！上，剁了他！
[name="感染者"]  吐き気がする……クソったれ！　いくぞ、奴を滅多切りにしろ！
[name="Infected"]  I'll show you what for! Let's go! Get him!
[name="감염자"]  천벌을 받을 놈! 갈기갈기 찢어주마!

[name="盾卫"]  别去......！
[name="盾兵"]  やめろ！
[name="Shieldguard"]  Stop...!
[name="방패병"]  안돼……!

[name="感染者"]  你干什么？你拦我干什么！
[name="感染者"]  な、何だよ？　何で止めるんだ！
[name="Infected"]  What are you doing? Why are you stopping me?!
[name="감염자"]  뭐 하는 거야? 왜 막는 건데!

[name="盾卫"]  你不知道我们......你不知道我们遇着了什么！你连他是什么都不知道还想上去送命！
[name="盾兵"]  お前はわかっていない！　俺たちが何に出くわしたのかを……相手の正体も知らないまま軽率に動くな！
[name="Shieldguard"]  You have no idea... You have no idea what you're facing! You don't even know what exactly he is, and you want to get yourself killed?!
[name="방패병"]  넌 모른다…… 우리가, 우리가 누구를 상대하는지! 그것도 모르면서 개죽음 당하겠다는 거냐?

[name="？？？"]  嘶......呼......
[name="？？？"]  シュー……コホー……
[name="??? "]  *Hiss*...
[name="???"]  스으으으…… 후우우우……

[name="感染者"]  你怕个屁？！我们人这么多！
[name="感染者"]  なにビビってんだよ！？　こっちはこれだけ大勢いるんだぞ！
[name="Infected"]  What are you so freaked out for?! We've got this many people on our side!
[name="감염자"]  겁먹은 건가? 아군이 이렇게 많은 데도?

[name="盾卫"]  （将盾牌狠狠砸入地面）
[name="盾兵"]  （盾のふちを思い切り地面に叩きつける）
[name="Shieldguard"]  (Smashes shield into the ground)
[name="방패병"]  (방패를 땅에 세게 내리친다.)

[name="感染者"]  呃？！
[name="感染者"]  ひっ！！
[name="Infected"]  Ugh?!
[name="감염자"]  윽?!

[name="盾卫"]  你想送死？！
[name="盾兵"]  貴様、死にたいのか！？
[name="Shieldguard"]  Do you want to get yourself killed?!
[name="방패병"]  죽고 싶은 거냐?!!

[name="盾卫"]  ......那是......
[name="盾兵"]  あれは……
[name="Shieldguard"]  ...That's...
[name="방패병"]  ……저건……

[name="盾卫"]  是**的乌萨斯的皇帝内卫！！
[name="盾兵"]  ウルサスの皇帝近衛兵だ！　クソッ！！
[name="Shieldguard"]  That's the goddamned Ursus Royal Guard!
[name="방패병"]  우르수스 황제의 근위병이야!! 우린 다 **된 거라고!

[name="皇帝内卫？"]  ......军团的盾卫也会自甘堕落。
[name="皇帝近衛兵？"]  ……師団の盾兵も、ここまで落ちぶれたか。
[name="Royal Guard?"]  ...To think the Shieldguards have fallen this low.
[name="황제의 근위병?"]  ……군단의 방패병마저 타락하다니.

[name="皇帝内卫？"]  规劝你们，现在自尽。
[name="皇帝近衛兵？"]  これは忠告だ。今すぐ自害しろ。
[name="Royal Guard?"]  Take my advice. Kill yourselves now.
[name="황제의 근위병?"]  더 험한 꼴 당하기 전에 명예롭게 죽을 기회를 주마.

[name="盾卫"]  各个盾卫，重整阵型！保护其他战士！
[name="盾兵"]  盾兵総員！　陣形を整えろ！　他の戦士を守れ！
[name="Shieldguard"]  All Shieldguards, back in formation! Protect the other soldiers!
[name="방패병"]  진영을 재정비해라! 다른 전사들을 보호해!

[name="盾卫"]  千万记住，千万记住！一点缺口都不要给他露！
[name="盾兵"]  最大級の警戒態勢で当たれ！　少しの隙も見せるな！
[name="Shieldguard"]  Remember! Don't give him any openings!
[name="방패병"]  모두 명심해라! 놈에게 한 치의 틈도 내줘선 안 된다!

[name="皇帝内卫？"]  嘶......
[name="皇帝近衛兵？"]  シュー……
[name="Royal Guard?"]  *Hiss*...
[name="황제의 근위병?"]  스으으으……

[name="皇帝内卫？"]  恐惧漫溢在空气里。
[name="皇帝近衛兵？"]  恐怖が空気中に満ちている。
[name="Royal Guard?"]  There is fear abound in the air.
[name="황제의 근위병?"]  공기 속에 공포심이 넘쳐흐르는구나.

[name="皇帝内卫？"]  你身边的感染者并没有准备好。
[name="皇帝近衛兵？"]  お前のそばにいる感染者は、まだ準備ができていないようだな。
[name="Royal Guard?"]  The Infected next to you isn't ready at all.
[name="황제의 근위병?"]  네 곁의 감염자들은 아직 준비가 안 된 것 같은데.

[name="感染者"]  ......我......
[name="感染者"]  お……俺は……
[name="Infected"]  ...I...
[name="감염자"]  ……난……

[name="盾卫"]  别害怕！你越怕他，他越会杀你！
[name="盾兵"]  恐れるな！　お前が恐れれば恐れるほど、奴の殺意はみなぎる！
[name="Shieldguard"]  Don't be afraid! The more afraid you are, the more likely he will kill you!
[name="방패병"]  두려워하지 마라! 놈을 두려워할수록 놈은 더욱 강해진다.

[name="盾卫"]  他什么时候都可能动手，睁大眼睛，别移开视线！！
[name="盾兵"]  奴はいつ動くかわからん……目を開けろ、視線をそらすな！
[name="Shieldguard"]  He may attack at any moment! Eyes open! Don't take your eyes off of him for even one second!
[name="방패병"]  놈은 언제든지 공격해 올 수 있다. 눈 크게 뜨고, 놈에게서 시선을 떼지 마라!

[name="皇帝内卫？"]  ......
[name="皇帝近衛兵？"]  ……
[name="Royal Guard?"]  ......
[name="황제의 근위병?"]  ……

[name="皇帝内卫？"]  又一次无功而返。应该拔除这三座城市的信息网。毫无用处。
[name="皇帝近衛兵？"]  また無駄足だったか……この三つの都市の情報網は、全て廃棄するべきだ。まったくもって価値がない。
[name="Royal Guard?"]  Looks like I'm leaving empty-handed again. These three cities need to be cut off from the information net for being completely useless.
[name="황제의 근위병?"]  또 허탕이로군. 이곳 도시들의 통신망을 몽땅 제거해야겠어. 쓸모없는 것들.

[name="皇帝内卫？"]  感染者。
[name="皇帝近衛兵？"]  感染者よ。
[name="Royal Guard?"]  Infected.
[name="황제의 근위병?"]  감염자.

[name="感染者"]  呃，呃......！你神气什么！你......
[name="感染者"]  な、な……！　なにを偉そうに！　貴様……
[name="Infected"]  Ugh, ugh...! What are you so smug for?! You...
[name="감염자"]  으, 으윽……! 뭘 그리 우쭐대는 거냐! 너……

[name="皇帝内卫？"]  向当地驻军投降，或者我割下并带走你们的口鼻。
[name="皇帝近衛兵？"]  現地の駐屯軍に投降するか、今すぐ私に鼻と口を削がれるか、好きな方を選べ。
[name="Royal Guard?"]  Surrender to the local garrison, or I will slice all your mouths and noses off and bringing them with me.
[name="황제의 근위병?"]  현지 주둔군에게 항복해라, 그렇지 않으면 내가 네놈들의 입과 코를 베어 가겠다.

[name="感染者"]  割，割......割嘴和鼻子，那不就是......
[name="感染者"]  は、は……鼻と口を削ぐ？　それって……
[name="Infected"]  M-Mouths and noses... Isn't that...
[name="감염자"]  이, 이…… 입과 코를 베다니. 그건……

[name="感染者"]  ......巫怪......毁脸巫怪！那不是......那不是故事吗......！
[name="感染者"]  デーモン……？　顔削ぎのデーモンか！？　でもあれは……あれはただの作り話だろ？
[name="Infected"]  ...The Liches... The Facerending Liches! I-I thought that was just a made up fairy tale...?!
[name="감염자"]  ……데몬…… 얼굴을 망가뜨리는 데몬이냐! 소…… 소문이 사실이었어……!

[name="感染者"]  就是他们？！就是他们吗？杀了人带走他们面孔，留下一林子无名尸体？！
[name="感染者"]  あいつがそうなのか！？　人を殺して顔を削ぎ、身元不明の死体をたくさん林に残していくってのは！？
[name="Infected"]  You mean... we are looking at them right now?! The Liches that slice faces off of bodies after killing everyone, leaving behind nothing but a bunch of nameless corpses in the forest?!
[name="감염자"]  저 녀석들이 데몬이라고? 사람을 죽이고 얼굴을 베어가서, 이름 없는 시체를 만든다는 그 데몬 말이야?!

[name="感染者"]  他们要活多少年......这传说可......只......只可能是巫怪！
[name="感染者"]  でも、だとしたらあいつは何年生きてるんだよ……だって、あの伝説はもう……だ……だけど可能性は、デーモンしか……！
[name="Infected"]  How long have these guys been around...? I first heard the story... T-They could only be Liches!
[name="감염자"]  대체 얼마나 오래 살길래…… 그 전설대로라면……놈들은…… 놈들은 데몬이 틀림없어!

[name="盾卫"]  不，他们不是传说也不是精怪故事里的邪魔！他们只是杀手和刽子手！
[name="盾兵"]  違う！　奴らは伝説や作り話に出てくるような化け物じゃない！　ただの殺し屋……殺人鬼だ！
[name="Shieldguard"]  No, they aren't legends, and they aren't the Demons in the fairy tales! They're murderers and executioners!
[name="방패병"]  아니, 놈들은 전설이나 괴담에 나오는 귀신이 아니라 살인자, 학살자일 뿐이야!

[name="感染者"]  我们怎么可能对付得了巫怪？！我们凭什么和他们斗，我们只是些人！只是些普通人！
[name="感染者"]  う、嘘だ！　デーモンなんかに敵うわけないだろうが！　俺たちにどう戦えってんだ？　こっちは生身の……普通の人間なんだぞ！
[name="Infected"]  How are we even supposed to fight Liches?! We are no match for these guys! We're just people, just normal people!
[name="감염자"]  놈들을 어떻게 상대해야 하는 거야? 평범한 인간인 우리가 대체 뭘로 놈들과 싸워야 하냐고!

[name="皇帝内卫？"]  感染者自称是人......普通人。
[name="皇帝近衛兵？"]  感染者が人を……普通の人間を名乗るのか。
[name="Royal Guard?"]  The Infected... called himself normal.
[name="황제의 근위병?"]  감염자 스스로 사람이라 칭하다니…… 그것도 평범한 사람이라고 말이야.

[name="皇帝内卫？"]  呼......呵。
[name="皇帝近衛兵？"]  ふ……はは。
[name="Royal Guard?"]  *Huff*...
[name="황제의 근위병?"]  후우우…… 허허.

[name="感染者"]  ......你，你......
[name="感染者"]  ……お前、お前！
[name="Infected"]  ...You... You...
[name="감염자"]  너…… 너 이 자식!

[name="感染者"]  救......救......
[name="感染者"]  た……助け――
[name="Infected"]  Help... Help me...
[name="감염자"]  사…… 살려……

[name="盾卫"]  不准逃！
[name="盾兵"]  逃げるな！
[name="Shieldguard"]  Don't run away!
[name="방패병"]  도망치면 안 돼!

[name="盾卫"]  一个都不准走！你逃，只会死！
[name="盾兵"]  一人も逃げるな！　逃げれば死ぬぞ！
[name="Shieldguard"]  All of you, stay right where you are! You'll die if you run!
[name="방패병"]  한 명도 도망치면 안 돼! 도망치는 순간, 죽음이다!

[name="感染者"]  可这东西，这东西不是人！我们怎么能——
[name="感染者"]  でもこいつ、こいつは人じゃねぇよ！　俺たちに――
[name="Infected"]  He's not even human! How are we supposed—
[name="감염자"]  하지만 저, 저건 사람이 아니라고! 우리가 뭘 어떻게……

[name="盾卫"]  谁逃就杀了谁！
[name="盾兵"]  逃げた奴は極刑に処す！
[name="Shieldguard"]  I'll kill anyone who runs!
[name="방패병"]  도망치는 자는 살려두지 않겠다!

[name="感染者"]  啊？！
[name="感染者"]  は！？
[name="Infected"]  What?!
[name="감염자"]  뭐?!

[name="盾卫"]  你们的命已经和其他人的命捆在一起了，防线崩溃大家就都得死！！
[name="盾兵"]  お前たちの命は他の者たちの命と繋がっているんだ。今、この防衛線が崩れてしまえば、全員あの世行きだ！！
[name="Shieldguard"]  Like it or not, you're now in the same boat as everyone else. If the defense line falls, everyone will die!
[name="방패병"]  너희들의 목숨은 다른 사람들과 하나로 묶여 있다. 방어선이 무너지면 모두 끝장이야!

[name="盾卫"]  他们没你们想的那么可怕，他们也是肉体凡躯！就算是皇帝内卫也没法轻易打穿我们这么几个盾卫一层又一层的防御......
