龙门上城区  7：20 p.m.
[name="チェン"]  受け取ってやれ。あれはあるウルサス人が作り方を教えたものだ。私たちのせいで命を落としたミーシャがな。
[name="Ch'en"]  Keep it. An Ursus girl named Misha taught them how to make those bears. She died, because we failed her.
[name="첸"]  꼭 받아줘. 그건 우르수스인이 가르쳐준 거니까. 우리의 실수로 목숨을 잃은 미샤가, 그 아이들에게 그렇게 가르쳐줬다.

[name="星熊"]  好。我会做到。
[name="ホシグマ"]  わかった。
[name="Hoshiguma"]  Okay. I will.
[name="호시구마"]  그래, 그렇게 할게.

[name="陈"]  对不起。我欠你的。
[name="チェン"]  本当にすまない。一つ借りだ。
[name="Ch'en"]  I'm sorry. I owe you one.
[name="첸"]  미안하다. 너한텐 빚을 졌군.

[name="星熊"]  我不想听你道歉。说实在的，你不适合。
[name="ホシグマ"]  お前の謝罪など聞きたくもないな。全くもってお前らしくない。
[name="Hoshiguma"]  I don't need your apologies. Honestly, you're no good at them.
[name="호시구마"]  사과는 별로 듣고 싶지 않아. 너랑 어울리지도 않고.

[name="陈"]  星熊......
[name="チェン"]  ホシグマ……
[name="Ch'en"]  Hoshiguma...
[name="첸"]  호시구마……

[name="星熊"]  ......该说都说完了。
[name="ホシグマ"]  ……もうこれ以上話すことはない。
[name="Hoshiguma"]  ...I think we're done here.
[name="호시구마"]  ……이제 할 말은 다 끝난 거지.

[name="星熊"]  走！别再回来。
[name="ホシグマ"]  行け！　振り返るな！
[name="Hoshiguma"]  Go! And don't come back.
[name="호시구마"]  가! 그리고 다시는 돌아오지 마.

[name="陈"]  ——
[name="チェン"]  ――っ！！
[name="Ch'en"]  ——
[name="첸"]  ……

[name="陈"]  ......珍重。
[name="チェン"]  ……元気でな。
[name="Ch'en"]  ...Take care of yourself.
[name="첸"]  ……잘 지내라.

[name="星熊"]  “无法忍受这座城市？”
[name="ホシグマ"]  「この街に心を許すことなど、永遠にできない」だと？
[name="Hoshiguma"]  'Can't stand this place?'
[name="호시구마"]  이 도시를 받아들일 수 없다고?

[name="星熊"]  ......有几个人比你更在乎这座城市？
[name="ホシグマ"]  ……お前以上にこの街を愛している奴がどこにいるんだ？
[name="Hoshiguma"]  ...How many people care about this city as much as you do?
[name="호시구마"]  놀고 있네…… 너만큼 이 도시를 걱정하는 사람이 또 어디 있다고……

[name="星熊"]  谎话精......
[name="ホシグマ"]  頑固で、優しい……嘘つきめ……
[name="Hoshiguma"]  Bullshit...
[name="호시구마"]  거짓말쟁이……

[name="近卫局成员"]  星熊督察！
[name="近衛局隊員"]  ホシグマ督察！
[name="L.G.D. Officer"]  Inspector Hoshiguma!
[name="근위국 대원"]  호시구마 경관님!

[name="近卫局成员"]  ......什么？督察，你，你受伤了？谁能......
[name="近衛局隊員"]  ……あれ？　督察、まさか怪我を？　相手は一体、何百人です？
[name="L.G.D. Officer"]  ...Huh? Inspector, y-you're hurt? Who could have...
[name="근위국 대원"]  ……어? 경관님, 혹시, 다치셨습니까? 대체 누가……

[name="近卫局成员"]  对了，我们刚刚、刚刚看见陈长官她——
[name="近衛局隊員"]  はっ！　そういえば、先ほどチェン隊長を見かけました！　急いで追わないと……あっちです、早く――
[name="L.G.D. Officer"]  Oh, yes, we just saw, err, Madame Ch'en——
[name="근위국 대원"]  아 참, 방금 전에, 분명 첸 팀장님이……

[name="星熊"]  啊，那个，抱歉。
[name="ホシグマ"]  待ってくれ、体がいうことを……ああ、そうだ、ちょっといいか？
[name="Hoshiguma"]  Oh, that, sorry.
[name="호시구마"]  아, 저기 미안한데.

[name="星熊"]  你们有没有时间好好聊聊？
[name="ホシグマ"]  傷の痛みを紛らわすために少し……話し相手をしてほしいんだが。
[name="Hoshiguma"]  Do you guys have a second to talk?
[name="호시구마"]  잠깐 나랑 수다나 떨러 갈까?

[name="近卫局成员"]  督察......意思是你也要妨碍公务哈？
[name="近衛局隊員"]  督察……まさかあなたまで公務執行妨害ですか？
[name="L.G.D. Officer"]  Inspector... you're disobeying orders too?
[name="근위국 대원"]  경관님…… 공무 집행을 방해하시겠단 뜻입니까?

[name="星熊"]  ......也不能这么说吧。
[name="ホシグマ"]  ……そんな言い方はないだろう。
[name="Hoshiguma"]  ...I wouldn't put it that way.
[name="호시구마"]  아니 무슨 말을…… 그렇게 말하면 섭섭하지.

[name="魏彦吾"]  出去吧。
[name="ウェイ"]  下がって良い。
[name="Wei Yenwu"]  Get out.
[name="웨이 옌우"]  나가봐라.

[name="？？？"]  是，魏公。
[name="？？？"]  はっ、ウェイ閣下。
[name="???"]  Yes, Lord Wei.
[name="???"]  예, 웨이 님.

[name="魏彦吾"]  我说过......别再那么称呼我。
[name="ウェイ"]  言ったはずだ……その呼び方はよせ、と。
[name="Wei Yenwu"]  I told you... not to call me that.
[name="웨이 옌우"]  말했을 텐데…… 날 그렇게 부르지 말라고.

[name="？？？"]  是。随时听候您的吩咐。
[name="？？？"]  はっ……では、ご用命があれば、いつでもお呼びください。
[name="???"]  As you wish. We await your orders.
[name="???"]  죄송합니다. 분부할 일이 있으시면 언제든 불러주십시오.

[name="文月"]  ......
[name="フミヅキ"]  …………
[name="Fumizuki"]  ...
[name="후미즈키"]  ……

[name="文月"]  凯尔希小姐和阿米娅妹妹，在你们说话前，我能先和他说上两句吗？
[name="フミヅキ"]  ケルシー先生、アーミヤさん。お二人の意見を伺う前に、先に私の話をさせてもらえますか？
[name="Fumizuki"]  Miss Kal'tsit and Young Amiya, before you speak, could I have a word with him?
[name="후미즈키"]  아미야 씨와 켈시 씨, 이야기 나누기 전에 제가 먼저 그이와 몇 마디 해도 될까요?

[name="阿米娅"]  嗯，您说吧，文月小姐。
[name="アーミヤ"]  もちろんです、フミヅキさん。
[name="Amiya"]  Yes, go ahead, Miss Fumizuki.
[name="아미야"]  네, 편하게 대화하세요, 후미즈키 씨.

[name="凯尔希"]  请便。
[name="ケルシー"]  ええ、どうぞ。
[name="Kal'tsit"]  All yours.
[name="켈시"]  알겠습니다.

[name="文月"]  我们相处很多年了，魏彦吾。
[name="フミヅキ"]  イェンウ。私たちの付き合いも長くなりました。
[name="Fumizuki"]  We've been together for years now, Wei Yenwu.
[name="후미즈키"]  우린 정말 오랫동안 함께 했죠, 웨이 옌우.

[name="魏彦吾"]  为什么说这个——为什么是现在？
[name="ウェイ"]  そんな話を……なぜ今？
[name="Wei Yenwu"]  Why talk about this— Why now?
[name="웨이 옌우"]  왜 갑자기…… 이런 얘기를 꺼내지?

[name="文月"]  我可是能从你眼睛里看出你在想什么的。
[name="フミヅキ"]  あなたの考えは、目を見るだけでわかります。
[name="Fumizuki"]  One look in your eyes and I can tell what you're thinking.
[name="후미즈키"]  이제는 당신의 눈만 봐도 당신이 어떤 생각을 하는지 알 수 있어요.

[name="魏彦吾"]  ......文月。
[name="ウェイ"]  ……フミヅキ。
[name="Wei Yenwu"]  ...Fumizuki.
[name="웨이 옌우"]  후미즈키……

[name="文月"]  哎，哎。我向来都看得出。
[name="フミヅキ"]  ずっと……そうでした。
[name="Fumizuki"]  Now, now. I've always been able to tell.
[name="후미즈키"]  네, 처음부터 알 수 있었죠.

[name="文月"]  我知道龙门对你来说是你的一切，你的心血你的梦想。
[name="フミヅキ"]  龍門はあなたの全てです。あなたの血肉であり、夢そのものです。
[name="Fumizuki"]  I know Lungmen means the world to you. I know all that you've given her. I know about the dreams you have for her.
[name="후미즈키"]  용문은 당신에게 전부이자, 피와 땀, 꿈이란 걸 알고 있어요.

[name="魏彦吾"]  不，文月......
[name="ウェイ"]  フミヅキ、何を——
[name="Wei Yenwu"]  No, Fumizuki...
[name="웨이 옌우"]  아냐, 후미즈키……

[name="文月"]  但今天这一切不是你想要的吧？
[name="フミヅキ"]  でも今のこの状況は、あなたの望んだものではないでしょう？
[name="Fumizuki"]  But this, today, this isn't what you want, is it?
[name="후미즈키"]  하지만 당신이 바랐던 게 지금 이런 상황은 아니잖아요?

[name="文月"]  啊，（东国语道歉）。我不是在说我们进退两难的处境。
[name="フミヅキ"]  ああ、（極東語謝罪フレーズ）。私たちが手詰りになっているこの状況について言っているわけではありません。
[name="Fumizuki"]  Ah, gomen. I'm not referring to our current dilemma.
[name="후미즈키"]  아, *극동어 사과*. 진퇴양난인 지금 우리의 처지를 말하는 게 아니에요.

[name="文月"]  我说的是......你这拿自己一切换来的繁荣。
[name="フミヅキ"]  私が言っているのは……あなたが自分の全てを引き換えにして築き上げた、この街の繁栄のことです。
[name="Fumizuki"]  What I mean is... this prosperity that you've given everything for.
[name="후미즈키"]  지금 저는…… 당신의 모든 것과 맞바꿔 이뤄낸 번영을 말하는 거예요.

[name="文月"]  你已经失去两位亲人了。不，用你的话说，三位，甚至是十几位。
[name="フミヅキ"]  あなたはもう二人の家族を失っています。いいえ、あなたの定義でいえば三人、あるいはもっと——十数人に及ぶでしょうか……
[name="Fumizuki"]  You lost two loved ones. Actually, I think you said it was three. Maybe dozens?
[name="후미즈키"]  당신은 이미 두 명의 가족을 잃었어요. 아니, 당신 입장에서 보면 세 명, 아니 열 명이 넘을지도 모르죠.

[name="文月"]  现在你总不会还想让自己的侄女也死在那吧？
[name="フミヅキ"]  今度は自分の姪の死まで見過ごすつもりですか？
[name="Fumizuki"]  Surely you couldn't bear to lose your niece as well.
[name="후미즈키"]  그리고 이제, 조카까지 이대로 죽게 둘 셈인가요?

[name="魏彦吾"]  她痛恨影卫们。一旦让他们去抓陈，她只会拼死反抗。
[name="ウェイ"]  チェンは影衛たちを憎んでいる。あれを遣わしたら、命をかけても抵抗するだろう。
[name="Wei Yenwu"]  She loathes the Shadow Guard. If I send them to retrieve her, she will fight them to the death.
[name="웨이 옌우"]  첸은 그림자 부대를 극도로 원망하고 있다. 그들에게 첸을 붙잡으라고 했다간, 첸은 목숨을 걸고 대항할 거야.

[name="文月"]  不，魏彦吾......我也不是在说这个。
[name="フミヅキ"]  違います……そういう話でもありません。
[name="Fumizuki"]  No, Wei Yenwu... That's not what I mean.
[name="후미즈키"]  아뇨…… 그런 이야기가 아니잖아요.

[name="文月"]  你不后悔吗？你要让她们两个全都死在异国的城市吗？
[name="フミヅキ"]  あなたは後悔しませんか？　あの子たちを二人とも、異国の街で死なせることになるのですよ？
[name="Fumizuki"]  Won't you regret it? If you let them both die in some foreign city?
[name="후미즈키"]  후회하지 않을 자신이 있나요? 그 두 아이가 전부 타지에서 죽어가도 상관 없나요?

[name="文月"]  感染者又怎么了？成了感染者，她们就不是你的侄女了？
[name="フミヅキ"]  感染者だから何です？　感染者になったらあなたの姪ではなくなるのですか？
[name="Fumizuki"]  So what if they're Infected? Are they not your nieces?
[name="후미즈키"]  감염자인 게 뭐 어때서요? 감염자가 된 순간부터, 둘 다 당신 조카가 아니게 된 건가요?

[name="文月"]  如果我们有了孩子，难道也会被你这样对待......？
[name="フミヅキ"]  私たちの間にもし子供ができていたら、同じような仕打ちをされるのですか……？
[name="Fumizuki"]  If we had children of our own, is this how you would treat them...?
[name="후미즈키"]  만약 우리에게 자식이 있었다면, 그 아이 역시 이렇게 취급했을 건가요……?

[name="魏彦吾"]  我所做的一切都是为了让这片土地能够变得更好，也从没要陈晖洁去做该我做的事情。
[name="ウェイ"]  私がしてきたことは、全てこの街のためだった。しかし、私のやるべきことをチェンに押し付けた覚えはない。
[name="Wei Yenwu"]  All that I've done, I've done for the sake of our land. I never intended for Ch'en Hui-chieh to do my work for me.
[name="웨이 옌우"]  내가 한 일들은 모두 이 땅을 더 좋게 만들기 위해서였어. 첸 훼이지에에게 내가 했던 일들을 그대로 따르라고 강요한 적도 없고.

[name="文月"]  但她就是这个性子！
[name="フミヅキ"]  でもあの子はそういう人間なんです！
[name="Fumizuki"]  But that's how she is!
[name="후미즈키"]  하지만 그 아이는 그런 사람이라고요!

[name="文月"]  不，对她隐瞒，只是在她的心上继续割肉而已。她只会觉得自己不属于这里......
[name="フミヅキ"]  あの子に秘密にすることは、傷つけるのと同じです。自分の居場所はここではないと思わせるだけですから……
[name="Fumizuki"]  No. Keeping the truth from her only deepens the cut. It only makes her feel like she doesn't belong here...
[name="후미즈키"]  당신이 틀렸어요. 비밀을 숨겨야 한다는 사실이 첸의 마음을 계속 갉아먹은 거예요. 첸은 자신이 이곳에 속할 수 없다고 생각해왔을 거예요……

[name="文月"]  你期望她去做的那些事情，太遥远了，太难了。
[name="フミヅキ"]  あなたがあの子に期待していることは、あまりにも深遠で、とても困難です。
[name="Fumizuki"]  Your expectations of her, they're too distant, and too difficult.
[name="후미즈키"]  당신이 첸에게 바란 일은, 첸에겐 너무나 아득하고 어려운 일이었다구요.

[name="魏彦吾"]  那我能够停手吗？
[name="ウェイ"]  ならば、私に止められると思うのか？
[name="Wei Yenwu"]  But can I stop, at this point?
[name="웨이 옌우"]  이제 와서 멈출 수 있다고 생각하나?

[name="魏彦吾"]  我身后的这些人，我脚下的这座城，我与他们角力了那么久，却也只能搏到这种结果。
[name="ウェイ"]  多くの人々を従えて、長い間悪戦苦闘したあげく、私が足元にあるこの街に与えてやれたものは、こんな悲惨な現状だけだ。
[name="Wei Yenwu"]  I have struggled against the men behind me and the city below me for so long, and this is all I have to show for it.
[name="웨이 옌우"]  내 사람들과 이 도시의 모두가 이렇게나 오랫동안 애썼지만, 결국 이런 결과에밖에 도달하지 못했어.

[name="魏彦吾"]  ......龙门能允许我停手吗？
[name="ウェイ"]  ……そんな龍門が、この街の、いや時代の変化しようとする流れを私が止めることを許すと思うか？
[name="Wei Yenwu"]  Would Lungmen allow me to stop?
[name="웨이 옌우"]  ……용문이 내가 멈추는 걸 허락해 주겠나?

[name="魏彦吾"]  是她想要这么做，是她想要正本清源，是她想要这座城邦不再是我治下的模样。
[name="ウェイ"]  彼女がそうしたいのだ。この都市を根本から改革して、私の統治下から解き放とうとしているのは彼女自身だ。
[name="Wei Yenwu"]  That is what she wanted. To get to the source of our problems. She wanted to change this city into something completely unlike the city under my rule.
[name="웨이 옌우"]  첸이 원한 일이야. 용문을 근본부터 뜯어고치길 원했던 것도, 나와는 다른 방식으로 이 도시를 이끌려 했던 것도, 전부 첸이지.

[name="魏彦吾"]  我只是教她如果那么做，需要些什么，又要放弃什么。
[name="ウェイ"]  私はただ、そうするのに必要なものと捨てるべきものとを、彼女に教えただけだ。それなのに——
[name="Wei Yenwu"]  All I did was teach her how to get there, what she would have to do, and what she would have to give up.
[name="웨이 옌우"]  나는 그저 그렇게 하기 위해서는 무엇을 해야 하는지, 무엇이 필요한지, 또 무엇을 포기해야 하는지 가르쳤을 뿐이야.

[name="文月"]  行了，行了。还解释些什么，耳朵都起茧子了。
[name="フミヅキ"]  もう結構です。いつものように上手な言い訳を並べ立てるのは……
[name="Fumizuki"]  All right, that's enough rationalizing. You're giving me a headache.
[name="후미즈키"]  됐어요. 아직도 변명만 늘어놓는군요. 아주 귀에 딱지가 앉겠어요.

[name="文月"]  我去把她抓回来。我可不能看着她去送死。
[name="フミヅキ"]  私が連れ戻します。あの子がこのまま死に行くのを黙って見過ごせません。
[name="Fumizuki"]  I'll go bring her home myself. I won't sit back and watch her die.
[name="후미즈키"]  전 첸을 데리러 가겠어요. 이대로 죽게 내버려 둘 수 없으니까요.

[name="文月"]  你做不了的事，我来做。
[name="フミヅキ"]  あなたにできないことならば、私がやります。
[name="Fumizuki"]  I will do what you cannot.
[name="후미즈키"]  당신이 할 수 없다면, 제가 대신하죠.

[name="魏彦吾"]  荒唐！不许......！
[name="ウェイ"]  愚かな！　そんなことは認めない……！
[name="Wei Yenwu"]  Nonsense! I won't allow it...!
[name="웨이 옌우"]  지금 무슨 소리를 하는 거야! 절대 안 돼……!

[name="魏彦吾"]  我已经拟好了方案。我会把她带回来，而你，文月，你不准走出这里一步。
[name="ウェイ"]  彼女は連れ戻す。だがお前は、ここから一歩も離れてはならない。既に手は打ってある。
[name="Wei Yenwu"]  I have plans to bring her back. And you, Fumizuki, are not to set foot outside this building.
[name="웨이 옌우"]  이미 계획을 다 세워뒀어. 첸은 내가 데리고 돌아올 테니까, 후미즈키, 당신은 여기에서 단 한 발짝도 나가지 말고 기다려줘.

[name="文月"]  嚯，你要拦我？
[name="フミヅキ"]  ふぅ……私を止めるつもり、ですか？
[name="Fumizuki"]  Oh? You'll stop me?
[name="후미즈키"]  호오, 당신이 나를 막으시겠다?

[name="文月"]  （东国语）？！
[name="フミヅキ"]  （極東語スラング）！
[name="Fumizuki"]  Damare, kono yarou!
[name="후미즈키"]  *극동어*?!

[name="凯尔希"]  唔哦。
[name="ケルシー"]  なんと……
[name="Kal'tsit"]  Whew.
[name="켈시"]  훗.

[name="阿米娅"]  啊？医生，文月小姐刚说了什么？
[name="アーミヤ"]  え？　先生、今フミヅキさんは何て言ったんですか？
[name="Amiya"]  Huh? Doctor, what did Miss Fumizuki say?
[name="아미야"]  응? 선생님, 후미즈키 씨가 방금 뭐라고 하신 건가요?

[name="凯尔希"]  如果不是她提，我都快不记得东国有这么粗鲁的词汇了。
[name="ケルシー"]  ああ、まあわからなくてもいい。がしかし……極東にこんな粗野な言葉があったなんて、すっかり忘れていたな。
[name="Kal'tsit"]  It's been a long time since I've heard such angry Higashinese.
[name="켈시"]  하마터면 극동에도 이런 천박한 단어가 있다는 걸 잊을 뻔했군.

[name="文月"]  魏彦吾，是不是忘了我是谁？
[name="フミヅキ"]  あなた、私が何者かを忘れていませんか？
[name="Fumizuki"]  Have you forgotten who I am, Wei Yenwu?
[name="후미즈키"]  웨이 옌우, 내가 누군지 잊었나요?

[name="魏彦吾"]  文月，我有底线。
[name="ウェイ"]  フミヅキ、私にも分別は——
[name="Wei Yenwu"]  Even I have my limits, Fumizuki.
[name="웨이 옌우"]  후미즈키, 나도 인내심에 한계가 있어.

[name="文月"]  你还记不记得自己是谁？
[name="フミヅキ"]  自分が何者かを忘れていませんか？
[name="Fumizuki"]  Have you forgotten who you are?
[name="후미즈키"]  당신이 누구인지도 잊어버린 건가요?

[name="魏彦吾"]  文月......！
[name="ウェイ"]  フミヅキ……！
[name="Wei Yenwu"]  Fumizuki...!
[name="웨이 옌우"]  후미즈키……!

[name="阿米娅"]  ......医生，我觉得......
[name="アーミヤ"]  ……あの、先生？
[name="Amiya"]  ...Doctor, I think...
[name="아미야"]  ……선생님, 제 생각에는……

[name="阿米娅"]  （魏彦吾先生，是不是非常在乎文月小姐？）
[name="アーミヤ"]  （ウェイさんって、フミヅキさんのことをとても大切に思っていますよね？）
[name="Amiya"]  (Mr. Wei might really care for Miss Fumizuki?)
[name="아미야"]  (웨이 옌우 장관님이 후미즈키 씨를 걱정하고 계신 거죠?)

[name="凯尔希"]  （对文月来说亦然。也许......）
[name="ケルシー"]  （それはフミヅキ氏も同じだ。多分な……）
[name="Kal'tsit"]  (The same may also go for Fumizuki. Maybe...)
[name="켈시"]  (그건 후미즈키도 마찬가지야. 아마……)

[name="文月"]  好了，罗德岛的二位。请罗德岛帮助龙门城和小陈，要多少钱？
[name="フミヅキ"]  さて、お二方。ロドスにお願いして龍門とチェンを助けていただくには、おいくら必要ですか？
[name="Fumizuki"]  Now then, on to our friends from Rhodes Island. How much will it cost for you to help Lungmen, and our Ch'en?
[name="후미즈키"]  좋아요. 로도스 아일랜드의 두 분, 로도스 아일랜드에서 용문과 첸을 도와주셨으면 합니다. 얼마면 될까요?

[name="文月"]  我来出这个钱。
[name="フミヅキ"]  全て私がお支払いします。
[name="Fumizuki"]  I'll cover it myself.
[name="후미즈키"]  의뢰비는 제가 지불하겠습니다.

[name="魏彦吾"]  你......
[name="ウェイ"]  おい……
[name="Wei Yenwu"]  You...
[name="웨이 옌우"]  당신……

[name="阿米娅"]  文月小姐真要这样委托吗？
[name="アーミヤ"]  フミヅキさん、本当にそのようなご依頼をなさるつもりですか？
[name="Amiya"]  You're really going to hire us like this, Miss Fumizuki?
[name="아미야"]  후미즈키 씨, 정말로 의뢰하시려고요?

[name="文月"]  要的。
[name="フミヅキ"]  ええ。
[name="Fumizuki"]  I am.
[name="후미즈키"]  그럼요.

[name="文月"]  虽然这么说不大好，但我家这位今天确实不在状态。
[name="フミヅキ"]  お恥ずかしい話ですが、うちの人は今本調子ではないようなので。
[name="Fumizuki"]  It may be improper to say, but my husband is not exactly in top form today.
[name="후미즈키"]  이런 말은 좀 그렇지만, 오늘 그이 상태가 영 좋지 않네요.

[name="文月"]  或者说，对方的计谋实在是有点出乎我们意料，把他看重的东西全算计到了。
[name="フミヅキ"]  というより、今回は相手に虚を突かれてしまいました。彼の弱点を全て計算に入れていたようです。
[name="Fumizuki"]  Or I might say, our opponent's plans have gone beyond anything we might have predicted, and included all that he holds dear.
[name="후미즈키"]  아니면, 상대의 계략이 우리의 예상을 뛰어넘어서, 그이의 중요한 것까지 모두 간파해 버렸다거나.

[name="文月"]  对方不仅了解龙门，还非常了解他。
[name="フミヅキ"]  相手は、龍門だけでなく彼のことについても、手に取るようにわかるのでしょう。
[name="Fumizuki"]  They have a complete understanding of both Lungmen, and Wei Yenwu.
[name="후미즈키"]  상대는 용문뿐만 아니라 그에 대해서도 아주 잘 아는 모양입니다.

[name="魏彦吾"]  文月，不可再多言！
[name="ウェイ"]  フミヅキ、これ以上余計なことは——
[name="Wei Yenwu"]  Fumizuki, that's enough!
[name="웨이 옌우"]  후미즈키, 무슨 쓸데없는 소리를 하고 그래!

[name="文月"]  你管我？！
[name="フミヅキ"]  あなたに私が止められるとでも！？
[name="Fumizuki"]  Who are you to say what's enough?!
[name="후미즈키"]  당신이 지금 그런 소리 할 때에요?!

[name="文月"]  医生，开价吧。我付得起。
[name="フミヅキ"]  ケルシー先生、金額を言ってください。いくらでも支払います。
[name="Fumizuki"]  Doctor, name your price. I can pay.
[name="후미즈키"]  켈시 선생님, 가격을 제시해 주시죠. 비용이 얼마든 지불하겠습니다.

[name="凯尔希"]  文月小姐所说，我已经听懂了。钱不是必要的，只是二位现在，能不能稍稍听我说两句？
[name="ケルシー"]  フミヅキさんの仰りたいことはよくわかりました。金額云々はさておき、お二人とも、少し私の話を聞いていただけませんか？
[name="Kal'tsit"]  I understand everything you've said here, Miss Fumizuki. And money won't be necessary. But I need you two to hear me out.
[name="켈시"]  후미즈키 씨의 말씀은 저도 알겠습니다. 하지만 금전적인 부분은 둘째치고, 저도 두 분께 드릴 말씀이 있는데, 들어주시겠습니까?

[name="魏彦吾"]  ......医生。
[name="ウェイ"]  ……ケルシー君。
[name="Wei Yenwu"]  ...Doctor.
[name="웨이 옌우"]  켈시 선생……

[name="凯尔希"]  也许我不该在这时候进言。但恕我直言，龙门需要一些外力的帮助。
[name="ケルシー"]  このタイミングで申し上げるべきことではないかもしれませんが、率直に言って、今の龍門には外部の助力が必要です。
[name="Kal'tsit"]  Maybe this isn't the place to say it, but if I can speak freely, Lungmen needs some outside assistance.
[name="켈시"]  지금 같은 상황에 이런 조언을 드려도 될지 모르겠습니다만, 솔직히 말씀드리면, 용문은 외부의 협력이 절실합니다.

[name="凯尔希"]  文月小姐，我可以继续说下去吗？
[name="ケルシー"]  フミヅキさん、このまま話を続けてもいいですか？
[name="Kal'tsit"]  Can I continue, Miss Fumizuki?
[name="켈시"]  후미즈키 씨, 계속해도 될까요?

[name="文月"]  你说吧。我可没有管别人说什么的习惯。
[name="フミヅキ"]  どうぞ。人様の話を遮るような不躾な真似は致しません。
[name="Fumizuki"]  By all means. I don't let words get to me.
[name="후미즈키"]  말씀하세요. 전 누구랑은 달리, 다른 사람이 말할 때 끼어드는 취미는 없으니까요.

[name="魏彦吾"]  ......荒唐......
[name="ウェイ"]  …………
[name="Wei Yenwu"]  ...Nonsense...
[name="웨이 옌우"]  거 무슨 말을 그렇게……

[name="凯尔希"]  罗德岛只是一家制药公司。
[name="ケルシー"]  ロドスは一介の製薬会社です。
[name="Kal'tsit"]  Rhodes Island is only a pharmaceutical company.
[name="켈시"]  로도스 아일랜드는 제약회사입니다.

[name="凯尔希"]  只是，这片大地的形势不允许任何人逍遥自在，何况是在市场、人事、政治倾向和国家利益中，均可能树敌无数的制药公司。
[name="ケルシー"]  ただ、この大地は誰にも自由を許しません。特に我々のような、無数の敵を作り得るビジネス理念や政治的スタンスを掲げる一企業に対しては。
