[name="整合运动"]   动作快！......
[name="陨星"]   （没错。可见，一旦轻举妄动，只要有一个活下来、引来更多的暴徒，我们就危险了。）
[name="メテオリーテ"]   （もし軽はずみに動いて一人でも逃せば、多数の増援を呼ばれて絶対ピンチになるわ。）
[name="Meteorite"]   (That's right. As you can see, we must be extremely careful. If any of them survive and call for reinforcements, we'll be in serious danger.)
[name="메테오라이트"]   (맞아. 자칫 우리가 경솔하게 움직여서 한 명이라도 놓치면, 더 많은 폭도를 데려와서 위기에 빠질 수도 있어.)

[name="陨星"]   （再加上，其中有一个人是术师的装扮，而且正在测试什么的样子。）
[name="メテオリーテ"]   （あと、あの術師っぽい格好のやつ……ここで何かを計測しているみたいね。）
[name="Meteorite"]   (On top of that, I see one person over there in Caster attire, and they seem to be testing something.)
[name="메테오라이트"]   (그리고 저 캐스터 차림을 한 적 말이야. 무언가를 계측하는 것처럼 보인다고.)

[name="陨星"]   （如果他们同样也有索敌式的法术......）
[name="メテオリーテ"]   （もし、あの中にも索敵型のアーツを使えるやつがいれば……。）
[name="Meteorite"]   (If they're also able to use Detection Arts...)
[name="메테오라이트"]   (만약 저들 중에 적을 탐지하는 아츠를 구사하는 녀석이 있다면…)

[name="陨星"]   （在我们的位置射出一发弹药，他们完全有可能感觉得到。）
[name="メテオリーテ"]   （この位置から一発撃っただけで、完全にこちらの位置を把握される危険性だってある。）
[name="Meteorite"]   (They might be able to detect us just based upon a bullet we fire.)
[name="메테오라이트"]   (이 위치에서 한 발만 쏴도 우리 위치가 발각될 위험도 있지.)

[name="霜叶"]   （所以结论是不能。明明是三对三，却像是被包围了呢。）
[name="フロストリーフ"]   （つまり結論としては何もできないということね。戦力は3対3で互角。なのにまるで包囲網の中に放り込まれたような感覚。）
[name="Frostleaf"]   (So basically, our hands are tied. Even though it's a three versus three, it feels like we've been surrounded.)
[name="프로스트리프"]   (다시 말해 아무것도 할 수 없다는 결론이로군. 머릿수는 3대 3으로 같지만, 마치 포위망 속에 갇혀 있는 느낌이다.)

[name="陨星"]   （有点糟糕。我很讨厌这种感觉。）
[name="メテオリーテ"]   （ちょっとまずいわ。この嫌な感じは……。）
[name="Meteorite"]   (Things aren't looking good. I really dislike this kind of feeling.)
[name="메테오라이트"]   (좀 위험한데. 이 꺼림칙한 느낌…)

[name="陨星"]   （猎人被更庞大的野兽逼入绝路，不得不藏起来的感觉。）
[name="メテオリーテ"]   （ハンターが凶暴な野獣に逆に追い詰められて、身を隠さざるを得なくなったって感じね。）
[name="Meteorite"]   (Though we're supposed to be the hunters, it feels like all we've been cornered into hiding by bigger prey.)
[name="메테오라이트"]   (사냥꾼이 큰 사냥감에 역으로 쫓겨서, 어쩔 수 없이 몸을 숨기게 된 느낌이랄까.)

[name="陨星"]   （等等，他们似乎在与谁通讯——）
[name="メテオリーテ"]   （待って、誰かと通信してるみたい――）
[name="Meteorite"]   (Wait, they seem to be communicating with someone...)
[name="메테오라이트"]   (잠시 대기. 누군가와 통신을 하나 봐…)

[name="霜叶"]   （在这里是听不到内容的。让我去。）
[name="フロストリーフ"]   （ここからだと聞こえない。私が行く。）
[name="Frostleaf"]   (I can't hear what they're saying from here. I'm going to get closer.)
[name="프로스트리프"]   (여기서는 잘 안 들리는데. 내가 다녀오지.)

[name="陨星"]   （不行，现在移动太冒险了。）
[name="メテオリーテ"]   （ダメよ、今動くのはリスクが大きすぎる。）
[name="Meteorite"]   (Don't. It's too risky right now.)
[name="메테오라이트"]   (안 돼, 지금 움직이는 건 위험해.)

[name="陨星"]   （太安静了。我们不知道敌人是什么样的感染者......）
[name="メテオリーテ"]   （周りが静かすぎる。敵がどんなアーツを持っているのかも分からないし……。）
[name="Meteorite"]   (It's too quiet. We don't know what kinds of Infected we're facing yet...)
[name="메테오라이트"]   (주변이 너무 조용하잖아. 우린 적이 어떤 감염자인지도 모른다고…)

[name="陨星"]   （如果有听力强化的那种，可就要遭殃了。）
[name="メテオリーテ"]   （聴覚に優れた敵がいれば、まずいことになるわ。）
[name="Meteorite"]   (If any of them have enhanced hearing, we'll be in trouble.)
[name="메테오라이트"]   (만약 청력이 좋은 적이 있으면 더 위험해질 거야.)

[name="陨星"]   （——他们在等什么？）
[name="メテオリーテ"]   （――あれって…敵は何を待っているの？）
[name="Meteorite"]   (...What are they waiting for?)
[name="메테오라이트"]   (…적이 대체 뭘 기다리는 걸까?)

[name="陨星"]   （我感觉——很奇怪。）
[name="メテオリーテ"]   （なんだか――変ね。）
[name="Meteorite"]   (Something feels... off about this.)
[name="메테오라이트"]   (뭔가… 좀 이상해.)

[name="陨星"]   （是不是——）
[name="メテオリーテ"]   （もしかして――）
[name="Meteorite"]   (Could it be...)
[name="메테오라이트"]   (혹시…)

[name="陨星"]   （杰西卡，你有没有......）
[name="メテオリーテ"]   （ジェシカ、あなた……）
[name="Meteorite"]   (Jessica, are you feeling it too...?)
[name="메테오라이트"]   (제시카, 너도…?)

[name="杰西卡"]   （我......我也......）
[name="ジェシカ"]   （は……はい……）
[name="Jessica"]   (Y-yeah... I'm also...)
[name="제시카"]   (네… 네에…)

[name="杰西卡"]   （温度又下降了......）
[name="ジェシカ"]   （気温がまた下がって……）
[name="Jessica"]   (The temperature is dropping again...)
[name="제시카"]   (기온이 또 내려가서…)

[name="杰西卡"]   （我......好冷......）
[name="ジェシカ"]   （さ……寒い……）
[name="Jessica"]   (So... cold...)
[name="제시카"]   (추… 추워요…)

[name="陨星"]   （难道就是他们......！）
[name="メテオリーテ"]   （もしかしてあいつらが……！）
[name="Meteorite"]   (Could they be behind this...?!)
[name="메테오라이트"]   (설마, 저 녀석들…!)

[name="陨星"]   （——！杰西卡，你为什么咬住手指——）
[name="メテオリーテ"]   （――！　ところでジェシカ、どうして指をくわえて――）
[name="Meteorite"]   (...! Jessica, why are you biting your fingers--)
[name="메테오라이트"]   (…! 제시카, 왜 손가락을 물고 있어…?)

[name="霜叶"]   （在防止牙齿因为打颤相碰而出声。）
[name="フロストリーフ"]   （身体が震えて歯がカチカチと音を出すのを防ぐため。）
[name="Frostleaf"]   (So that her teeth don't chatter and make noise.)
[name="프로스트리프"]   (추위에 떨다 이를 부딪치는 소리를 내는 걸 방지하기 위한 대책이다.)

[name="霜叶"]   （先不说是否必要，但这种素养，真是厉害的孩子。）
[name="フロストリーフ"]   （必要かどうかは置いといて、心得ている。ちゃんとした子。）
[name="Frostleaf"]   (I don't think that's necessary yet, but what a diligent kid.)
[name="프로스트리프"]   (그렇게까지 할 필요가 있는지를 가리는 건 둘째치고, 좋은 소양을 갖고 있군. 대단한 아이다.)

[name="陨星"]   （在我眼里，你也是孩子啊。）
[name="メテオリーテ"]   （すごい子って、私から見ればあなたも十分子供なんだけどね。）
[name="Meteorite"]   (To me, you're just a kid too.)
[name="메테오라이트"]   (대단한 아이라니, 내가 볼 때는 너도 어린아이인데…)

[name="霜叶"]   （——哈。）
[name="フロストリーフ"]   （――なんで？）
[name="Frostleaf"]   (...Hah.)
[name="프로스트리프"]   (…뭐?)

[name="霜叶"]   （不要。）
[name="フロストリーフ"]   （子供扱いはやめて。）
[name="Frostleaf"]   (As if.)
[name="프로스트리프"]   (어린애 취급하지 말아 주겠나.)

[name="陨星"]   （......回温了。那三个整合运动也离开了。）
[name="メテオリーテ"]   （……気温が戻ってきた。あの3人のレユニオンもこの場を離れたようね。）
[name="Meteorite"]   (...It's warming back up again. Those three Reunion members left as well.)
[name="메테오라이트"]   (…기온이 다시 원래대로 돌아왔어. 저 세 명의 리유니온도 여길 떠난 것 같고.)

[name="陨星"]   是在测试什么东西的功能吗——
[name="メテオリーテ"]   何かのテストをしていたのかしら――
[name="Meteorite"]   Are they testing the functionality of something...?
[name="메테오라이트"]   뭔가 실험이라도 했던 걸까…?

[name="陨星"]   ——带着冰寒一声不响而来，带着温度默默离开，只留下受害者在暗处瑟瑟发抖。
[name="メテオリーテ"]   ――音もなく冷気を連れてやってきて、あらゆる熱を奪い去って何もなかったかの様に去っていく。暗がりで震える者を残して……。
[name="Meteorite"]   ...They appeared without making a sound, only leaving a trail of shivering cold in their wake.
[name="메테오라이트"]   …소리도 없이 냉기를 끌고 왔다가, 온도와 함께 아무 일도 없었다는 듯이 사라졌네. 어둠 속에서 벌벌 떠는 사람들만 남겨 놓고는.

[name="陨星"]   可恶，这些家伙，确实很像传说中的雪怪。
[name="メテオリーテ"]   って、ちょっと！　そんなの、本当に伝説の雪の悪魔じゃない。
[name="Meteorite"]   They really are like those "yetis" from legend.
[name="메테오라이트"]   쳇, 듣고 보니 정말 전설 속에 나오는 눈의 악마 같잖아.

[name="霜叶"]   没准我蒙对了。
[name="フロストリーフ"]   あながち間違えでもない。
[name="Frostleaf"]   Maybe my guess was right.
[name="프로스트리프"]   그 설마가 맞을지도 모르지.

[name="霜叶"]   也许他们就是雪怪。
[name="フロストリーフ"]   本当に奴らが噂の“雪の悪魔”なのかもしれない。
[name="Frostleaf"]   They might just be yetis.
[name="프로스트리프"]   저놈들이 정말 전설로 내려오는 눈의 악마일지도 모른다.

[name="霜叶"]   ......找到了。
[name="フロストリーフ"]   ……これだ。見つけた。
[name="Frostleaf"]   ...Found it.
[name="프로스트리프"]   …찾았다.

[name="霜叶"]   还是遭到冰封的墙体。但是，你们看——
[name="フロストリーフ"]   壁が凍り付いている。だが、見てみろ――
[name="Frostleaf"]   Here's another wall that's been affected by the ice. But, look at this...
[name="프로스트리프"]   예상대로 벽이 얼어붙었군. 그건 그렇고, 이걸 봐…

[name="陨星"]   墙角掩埋着黑色的源石？
[name="メテオリーテ"]   壁の角に黒い源石が埋め込まれているの？
[name="Meteorite"]   There's a chunk of black Originium lodged in the corner?
[name="메테오라이트"]   벽 모서리에 검은 오리지늄이 박혀 있잖아?

[name="陨星"]   果然。寒潮是从这个地点向外释放的。
[name="メテオリーテ"]   なるほど。ここから冷気が出ているみたいね。
[name="Meteorite"]   No wonder. The cold wave must have emanated from here.
[name="메테오라이트"]   역시 그랬구나. 여기서 냉기가 나왔던 것 같아.

[name="霜叶"]   墙体上能看到鲜明的纹路。
[name="フロストリーフ"]   壁に氷の結晶がくっきり伸びてる…。
[name="Frostleaf"]   There are distinct patterns on the wall.
[name="프로스트리프"]   오리지늄에 선명히 퍼져나가는 얼음 문양이 육안으로 확인된다.

[name="霜叶"]   这块源石就是区域降温的中心。
[name="フロストリーフ"]   この源石が、このエリアの熱を奪っている要因。
[name="Frostleaf"]   This chunk of Originium is the epicenter of all this.
[name="프로스트리프"]   이 오리지늄이 이 지역에서 일어난 기온 저하의 원인이다.

[name="霜叶"]   ——我在做佣兵的时候，营房里流传过一阵这样一个传说。
[name="フロストリーフ"]   ――傭兵時代に、兵舎でこんな噂が流れたことがある。
[name="Frostleaf"]   ...When I was a mercenary, there was a rumor circulating around.
[name="프로스트리프"]   …용병 시절에 막사에서 이런 전설이 소문처럼 퍼진 적이 있지.

[name="霜叶"]   乌萨斯西北域有一支感染者游击队，一直在与乌萨斯为敌。
[name="フロストリーフ"]   ウルサスの北西部に、ウルサス政府と対立する感染者の遊撃部隊がいた。
[name="Frostleaf"]   In the northwest, the Infected were carrying out guerilla warfare against Ursus.
[name="프로스트리프"]   우르수스 북서쪽에 우르수스 정부와 대립하는 감염자들의 유격부대가 있었는데,

[name="霜叶"]   他们中，有一个铁塔般的怪物。
[name="フロストリーフ"]   彼らの中には、鉄塔のような怪物がいたという。
[name="Frostleaf"]   Among them was a towering monster.
[name="프로스트리프"]   그들 중에는 마치 철탑 같은 괴물이 있었다고 하더군.

[name="霜叶"]   据说，没有任何东西能阻止它前进。
[name="フロストリーフ"]   誰もそいつの進攻を止めることができなかった。
[name="Frostleaf"]   As the rumor went, nothing could hold off its advance.
[name="프로스트리프"]   소문에 따르면, 누구도 그 녀석의 진격을 막아낼 수 없었다고 한다.

[name="霜叶"]   盾牌会被挤压，武器会被折断。
[name="フロストリーフ"]   盾は押しつぶされ、武器は叩き折られ――
[name="Frostleaf"]   Shields would be crumpled, weapons would be snapped.
[name="프로스트리프"]   방패는 눌려서 찌그러지고, 무기는 꺾여버렸지.

[name="霜叶"]   那个怪物离开之后，留下的只有平地，灭绝了生机的平地。
[name="フロストリーフ"]   その怪物が通ったところは更地になり、命の失われた大地が残るだけだった……と。
[name="Frostleaf"]   Everywhere the monster went, only a barren tundra, devoid of life, would remain.
[name="프로스트리프"]   그 괴물이 지나간 곳에는 공터, 생명이 사라진 공터만이 남았다고 해.

[name="霜叶"]   而在那支游击队里，又有这样一支小队——
[name="フロストリーフ"]   さらにその遊撃部隊には、こんな小隊もあった――
[name="Frostleaf"]   And within that guerilla force, there was this one squad...
[name="프로스트리프"]   게다가 그 유격부대에는 이런 소대도 있었다고 하지…

[name="霜叶"]   他们就像是寒冬。
[name="フロストリーフ"]   その小隊は、存在自体がまるで“極寒”そのもので……。
[name="Frostleaf"]   They were like the chill of winter itself.
[name="프로스트리프"]   마치, 한파 그 자체와도 같은 소대가…

[name="霜叶"]   他们走过的地方，全数冰结。
[name="フロストリーフ"]   そいつらが通った跡は、すべて雪と氷に覆われた。
[name="Frostleaf"]   The land was said to freeze underneath their feet.
[name="프로스트리프"]   지나가는 길은 모두 얼음으로 뒤덮여버리고…

[name="霜叶"]   建筑轰然倒下，化作粉末，四散弥漫在空旷的战场。
[name="フロストリーフ"]   そして凍り付いた建物は氷の粒となって崩れ去り、鉛色の空をした戦場に霧散する…。
[name="Frostleaf"]   Buildings would collapse, turned into nothing more than grains of snow drifting across an empty battlefield.
[name="프로스트리프"]   건물은 굉음과 함께 무너지고, 먼지가 되어버린 건물 잔해만 공허한 전장에 흩날릴 뿐이었다고 해.

[name="霜叶"]   而战壕中，躺满了被冻成冰块的乌萨斯士兵。
[name="フロストリーフ"]   跡地を調査すると、シェルターの中には凍りついたウルサスの兵が無数に転がっていた……。
[name="Frostleaf"]   The trenches where the Ursus soldiers were stationed became their icy grave.
[name="프로스트리프"]   그리고, 방공호 안에는 싸늘하게 얼어붙은 우르수스 병사들의 몸이 무수히 굴러다니고 있었다고 한다…

[name="陨星"]   你是觉得......
[name="メテオリーテ"]   まぁ、言いたい事は分かってきたわ……。
[name="Meteorite"]   Are you saying that...
[name="메테오라이트"]   아니 잠깐 잠깐, 그러니까 네가 하고 싶은 얘기는…

[name="霜叶"]   是的。我觉得他们就是那个传说。
[name="フロストリーフ"]   そうだ。奴らが噂の連中かも知れないということ。
[name="Frostleaf"]   Yes. I think this is that very legend...
[name="프로스트리프"]   맞아, 저 녀석들이 그 전설의 주인공일지도 모른다는 거다.

[name="霜叶"]   ——“雪怪小队”。
[name="フロストリーフ"]   ――「スノーデビル小隊」。
[name="Frostleaf"]   ...the "Yeti Squadron."
[name="프로스트리프"]   …전설의 '눈의 악마 소대' 말이다.

[name="霜叶"]   前进吧。我想我们快要找到整合运动的据点了。
[name="フロストリーフ"]   前進する。もう少しでレユニオンの拠点を発見できる。
[name="Frostleaf"]   Let's keep going. I have a feeling that we're going to find the Reunion base soon.
[name="프로스트리프"]   움직이도록 하지. 이제 곧 리유니온의 거점을 찾을 수 있을 거다.

[name="杰西卡"]   唔......
[name="ジェシカ"]   うっ……。
[name="Jessica"]   Ugh...
[name="제시카"]   으윽…

[name="陨星"]   怎么了？
[name="メテオリーテ"]   どうしたの？
[name="Meteorite"]   What's wrong?
[name="메테오라이트"]   왜 그래?

[name="杰西卡"]   你们有没有闻到一股......
[name="ジェシカ"]   臭いませんか。なんだか……。
[name="Jessica"]   Do you smell that as well...
[name="제시카"]   냄새 나지 않나요? 뭐랄까…

[name="杰西卡"]   烧焦的味道？
[name="ジェシカ"]   焦げたような臭い？
[name="Jessica"]   ...the smell of something burning?
[name="제시카"]   뭔가 타는 냄새?

