我们一生都在飞翔，有谁想过，自己最后会停在哪儿吗？
僕たちはみんな生涯飛び続け、自分が最後にどこで止まるかなんて考えたこともない。
We spend our entire lives flying. Has anyone ever stopped to wonder where we will end up?
한 평생을 날아다녔던 우리가, 어딘가에 멈춰설 거라고 누가 상상이나 했을까?

带着湿意的家乡的风，口中总有消散不去咸盐的滋味。
湿り気のある故郷の風はしょっぱくて、口の中にいつまでも残っている。
The humid breeze from back home, and the saline taste it leaves in the mouth.
습한 고향 땅의 바람… 입 안에는 항상 소금처럼 짠 맛이 감돈다.

刺疼人的烈日，难忍的高温，还有繁华留在皮肤上的印记和空旷城市中凝滞的气流。
突き刺さるほど強烈な陽射しと耐え難い高温、そして繁華が皮膚に刻み込んだ印と大都市に淀む空気。
The scorching sun, the unbearably high temperatures, the marks the hustle and bustle leave behind on the skin, and the air currents that gather in the open, spacious city.
따가울 정도로 강하게 내리쬐는 태양, 잔인하게 뜨거운 고온의 날씨, 피부에 선명하게 남아있는 각인과 광활한 도시의 정체된 기류.

我体验过，这些我都体验过。
僕はすべてを体験した。この身をもって。
I’ve experienced it. I’ve experienced it all.
경험해 보았었다. 전부 경험해 보았던 것들이다.

我想或许有一天，我终究会回到那个地方。
いつかまた、あの場所へ戻る日が来るのかもしれない。
Maybe someday I will make it back to that place.
어쩌면 언젠가는, 그곳에 돌아갈 수 있겠지.

10:10 A.M.  天气/晴
[name="엘리시움"]  지난번에 갑판 망가뜨린 것도 너잖아, 왜 나만 클로저 씨한테 끌려가서 혼나야 하는데!

[name="棘刺"]  我怎么知道。
[name="ソーンズ"]  俺に聞くな。
[name="Thorns"]  How would I know?
[name="쏜즈"]  내가 어떻게 알아.

[name="棘刺"]  难道不是因为你把她的小机器抱去甲板上玩，结果掉下去摔碎了吗？
[name="ソーンズ"]  彼女のロボットを甲板まで抱えていって、結局落として壊したのはお前だったはずだが。
[name="Thorns"]  Wasn’t it because you brought her little robot up to the deck and it shattered to pieces?
[name="쏜즈"]  네가 그 로봇을 갑판 위로 안고 가서 놀지만 않았더라면, 애초에 떨어뜨리는 일이 없었을 거 아니냐.

[name="极境"]  .....呃。
[name="エリジウム"]  ……うっ。
[name="Elysium"]  ...Uh.
[name="엘리시움"]  큭……

[name="极境"]  那、那该怪谁啊！还不是安哲拉她突然用墨弹一通乱射，我一时没反应过来才会失手啊！
[name="エリジウム"]  だ、誰のせいだと思ってるの！　あれはアンドレアナがいきなりインク弾を乱射したりするから、ビックリして手が滑っただけだよ！
[name="Elysium"]  Th-That wasn’t my fault! Andreana was shooting her inkballs there. She caught me off guard, and that’s how the thing slipped out of my hand!
[name="엘리시움"]  그, 그럼 누구 탓이란 거야! 로봇이 갑판 아래로 떨어진 건 안드레아나가 갑자기 탄환을 난사하는 바람에 반응하지 못해서 잖아!

[name="清流"]  咦，等一下，安哲拉小姐怎么会在甲板上射击？她看起来不像是会做这种事情的人呀......
[name="セイリュウ"]  えっ、アンドレアナさんがどうして甲板で乱射なんて？　そんなことする人じゃなさそうだけど……
[name="Purestream"]  Eh? Wait a minute, why would Miss Andreana do something like that on the deck? She doesn’t seem like the kind of person who would do that...
[name="퓨어스트림"]  엥? 잠깐, 안드레아나 씨가 갑자기 갑판에서 사격을? 그럴 사람처럼은 안 보였는데……

[name="棘刺"]  试试手。我刚给她的弩加了点新东西，仿拉特兰铳的射击效果。
[name="ソーンズ"]  試し撃ちだ。俺が武器に新しいパーツを追加してやった。ラテラーノ銃の射撃構造に似せたものをな。
[name="Thorns"]  She was trying out her crossbow. I added something to emulate the feeling of shooting a Laterano gun.
[name="쏜즈"]  시험 사격이다. 내가 그녀의 석궁에 라테라노의 총과 비슷한 사격 효과를 낼 수 있도록 새로운 장치를 추가해 줬지.

[name="极境"]  结果还不是你害的！怪不得那个拉特兰铳迷突然就兴奋了！
[name="エリジウム"]  ってことは、やっぱりソーンズのせいじゃないか！　どうりでアンドレアナが急に興奮しだしたわけだ！　あの人はラテラーノ銃マニアなんだよ！
[name="Elysium"]  So it was your fault after all! No wonder that gun nut was so excited!
[name="엘리시움"]  …그럼 결국은 너 때문이잖아! 어쩐지 라테라노라면 눈 돌아가는 여자가 갑자기 신나하더라니!

[name="苦艾"]  ......
[name="アブサント"]  ……
[name="Absinthe"]  ......
[name="압생트"]  ……

[name="棘刺"]  嗯？
[name="ソーンズ"]  おや？
[name="Thorns"]  Hm?
[name="쏜즈"]  응?

[name="极境"]  怎么了......咦，谁在那边？
[name="エリジウム"]  どうしたの……？　あれ、誰かいるの？
[name="Elysium"]  What’s wrong... Huh? Who’s there?
[name="엘리시움"]  어라…… 거기 누구야?

[name="苦艾"]  ！
[name="アブサント"]  ！
[name="Absinthe"]  !
[name="압생트"]  !

[name="清流"]  啊！是小艾！
[name="セイリュウ"]  あ！　アブちゃん！
[name="Purestream"]  Oh! Sinthe!
[name="퓨어스트림"]  아! 생트!

[name="清流"]  你躲在那里干什么呢，快过来这边！
[name="セイリュウ"]  なんで隠れてるの？　早くこっちへおいでよ！
[name="Purestream"]  Why are you hiding over there? Come here!
[name="퓨어스트림"]  거기 숨어서 뭐하는 거야? 얼른 이쪽으로 와!

[name="清流"]  啊，难道你是怕生？放心，这两位先生一点都不可怕的，而且这不是还有我在嘛！
[name="セイリュウ"]  え、もしかして人見知り？　大丈夫、この人たちは怖くないよ。それにわたしもいるでしょ！
[name="Purestream"]  Oh, are you afraid of these two? It’s okay, don’t be shy! They aren’t scary. Besides, I’m here!
[name="퓨어스트림"]  아, 설마 낯가리는 거야? 괜찮아 괜찮아, 여기 두 사람은 하나도 무섭지 않으니까. 게다가 여기엔 나도 있잖아!

[name="苦艾"]  那个，清流姐，别拉，我自己走。
[name="アブサント"]  ちょっとセイリュウさん、引っ張らないで。自分で歩けるから。
[name="Absinthe"]  Um, Purestream, don’t pull on my sleeve... I’m coming.
[name="압생트"]  그게…… 퓨어스트림 씨, 당기지 말아줘, 내가 알아서 갈 테니까.

[name="苦艾"]  ......抱歉，打扰你们了吗？我只是想找棘刺先生商量点事情，如果不方便的话，过一会也可以......
[name="アブサント"]  ……すみません、邪魔してしまって。ソーンズさんに相談したいことがあったんだけど、都合が悪ければ後でも……
[name="Absinthe"]  ...Sorry, am I interrupting? There’s something I wanted to talk to Mr. Thorns about. If it isn’t a good time right now, I can come back later...
[name="압생트"]  …… 죄송해요. 제가 여러분을 방해했네요. 잠깐 쏜즈 씨와 의논할 일이 있어서 찾아온 건데, 혹시 불편하시다면 나중에 다시……

[name="极境"]  完全不会哦。没什么不方便，大家都是同事有什么打扰不打扰的，太见外了。
[name="エリジウム"]  まさか、ぜーんぜん大丈夫さ。みんな同僚なんだし邪魔なんてことないよ、水臭いこと言わないでよね。
[name="Elysium"]  Not at all. We’re all coworkers. There is no need to be so formal.
[name="엘리시움"]  아냐 아냐, 불편할 게 뭐가 있어. 모두 같은 동료 사이에 방해라니, 그렇게 어렵게 생각하지 않아도 돼.

[name="极境"]  兄弟，找你的。
[name="エリジウム"]  ブラザー、君に用だってさ。
[name="Elysium"]  She’s here for you.
[name="엘리시움"]  브라더, 널 찾잖아.

[name="极境"]  看你成天板着脸，我还以为没有女孩子敢和你说话呢，真让人欣慰。
[name="エリジウム"]  年中しかめっ面だから、君と話したい女の子なんていないと思ってたけど、よかったじゃない。
[name="Elysium"]  I certainly didn’t expect a girl to willingly talk to you, with that poker face of yours. This really puts my mind at ease.
[name="엘리시움"]  네가 맨날 무표정하게 다녀서 너랑 말 섞으려는 여자 애들은 없을 줄 알았는데, 이야… 뿌듯한데?

[name="棘刺"]  ......啰嗦。
[name="ソーンズ"]  ……うるさい。
[name="Thorns"]  ...It’s none of your business.
[name="쏜즈"]  ……시끄러워.

[name="棘刺"]  你找我有事？
[name="ソーンズ"]  なんの用だ？
[name="Thorns"]  What is it that you need?
[name="쏜즈"]  무슨 일이지?

[name="苦艾"]  是的。很抱歉，突然来打扰。
[name="アブサント"]  すみません、突然押しかけて。
[name="Absinthe"]  Right. I’m sorry to bother you right now, Mr. Thorns.
[name="압생트"]  네, 갑자기 찾아와 방해해서 죄송합니다.

[name="苦艾"]  其实是有关武器的保养，有些想向棘刺先生请教的地方......
[name="アブサント"]  武器のメンテナンスについて教わりたいことがあって……
[name="Absinthe"]  There’s something I wanted to ask you about maintaining my weapon...
[name="압생트"]  사실은 무기 손질을 좀 배우고 싶어서요……

[name="极境"]  咦，这家伙的那套武器保养这么有名的吗？
[name="エリジウム"]  え、こいつのメンテナンスってそんなに有名なの？
[name="Elysium"]  Hm, interesting. Is this guy known for maintaining his weapons?
[name="엘리시움"]  어라, 이 녀석 무기 손질 잘 하는 걸로 이렇게 유명했었나?

[name="极境"]  这么说起来，我的发信器也差不多该整修一下了。
[name="エリジウム"]  そういえば僕の発信器もそろそろ整備しないとなぁ。
[name="Elysium"]  Now that you mention it, it’s about time I get my communicator fixed.
[name="엘리시움"]  그러고 보니 내 발신기도 정비 받아야 할 때가 되었는데 말이지.

[name="极境"]  哎，你们说，我下次任务回来给可露希尔小姐带点礼物，她会不会原谅我，帮我给发信器升个级？
[name="エリジウム"]  ねえねえ、今度の任務から戻ってきたらクロージャさんに何かプレゼントするのはどうかな？　そしたら僕のことも許して、発信器をアップグレードしてくれると思う？
[name="Elysium"]  Tell me, do you think Miss Closure will forgive me and make some enhancements to my communicator if I bring her a present after my next mission?
[name="엘리시움"]  하아, 다음 임무 복귀 때 클로저 씨에게 줄 선물이라도 좀 사 와야겠어. 그러면 날 용서해 주고, 발신기도 업그레이드해 줄 수 있지 않을까?

[name="棘刺"]  如果你还是带她讨厌的那种蒜味零食，那么肯定不会。
[name="ソーンズ"]  彼女が嫌いなニンニク風味の菓子を渡すつもりなら、まず無理だろうな。
[name="Thorns"]  If you bring her something garlic flavored, I can guarantee you she won’t.
[name="쏜즈"]  그녀가 싫어하는 그 마늘 냄새 나는 간식을 가져오려는 거라면, 꿈도 꾸지 마라.

[name="棘刺"]  你的武器带了吗，让我看看。
[name="ソーンズ"]  武器を持ってきてるなら見せてみろ。
[name="Thorns"]  Did you bring your weapon? Let me take a look.
[name="쏜즈"]  무기는 가져왔지? 한번 볼까.

[name="苦艾"]  在这里，请看！
[name="アブサント"]  これです。お願いします。
[name="Absinthe"]  Thank you! It’s right here.
[name="압생트"]  여기있어요!

[name="苦艾"]  我使用的武器和一般术师使用的施术单元不太一样，里面的一些零件的保养方法比较复杂......啊，请小心一些，这里的扳机有些松动了。
[name="アブサント"]  私の武器は一般的なアーツユニットと少し違って、一部パーツのメンテナンス方法がとても複雑なんです……あっ、持つ時は気をつけてください。引き金が少し緩くなってますから。
[name="Absinthe"]  My weapon’s Arts Unit is a little different compared to what other casters use. It’s a little more complicated to maintain the parts inside... Oh, please be careful. The trigger is kind of loose.
[name="압생트"]  제가 사용하는 무기는 보통 캐스터들이 사용하는 일반적인 시전 도구와는 좀 달라요. 내부 부품들의 손질 방법도 복잡한 편이고요……아, 이쪽 방아쇠는 좀 헐거워졌으니까 조심하세요.

[name="棘刺"]  很老旧。
[name="ソーンズ"]  ずいぶん古いものだな。
[name="Thorns"]  It’s old.
[name="쏜즈"]  엄청 낡았군.

[name="棘刺"]  这种款式的施术单元，是乌萨斯的？
[name="ソーンズ"]  このタイプのアーツユニットということは、ウルサスのものか？
[name="Thorns"]  Is this the kind of Arts Unit they use in Ursus?
[name="쏜즈"]  이런 타입의 시전 도구라면, 우르수스 쪽의?

[name="苦艾"]  ......是的。原本的使用者是我的父亲。
[name="アブサント"]  ……はい。父が使っていたもので。
[name="Absinthe"]  ...Yes. It belonged to my father.
[name="압생트"]  네…… 원래 제 아버지께서 쓰시던 거예요.

[name="苦艾"]  我问过赫拉格老先生，他告诉我，这把法杖需要好好养护一下，否则之后很可能会影响到性能。
[name="アブサント"]  前にヘラグさんに訊いたら、この手のアーツユニットは、しっかりメンテナンスしないと性能に響くって言われて……
[name="Absinthe"]  I asked Old Mr. Hellagur about it, and he told me to take good care of the staff, otherwise it could affect its performance in the future.
[name="압생트"]  헬라그 씨에게 여쭤봤었는데, 제대로 보수하지 않으면 스태프 성능에 영향이 갈 거라고 말씀하셔서……

[name="苦艾"]  而棘刺先生很擅长调配这一类用来保养兵器的试剂。
[name="アブサント"]  それから、ソーンズさんがこの手の武器のメンテナンスに使う薬剤の調合が得意だって話も聞いて。
[name="Absinthe"]  He also told me you can mix good reagents for weapon maintenance.
[name="압생트"]  쏜즈 씨는 무기들을 정비할 때 쓰는 시약들을 잘 배합 하시잖아요.

[name="苦艾"]  那个......突然这么拜托实在很不好意思，但是如果可以的话，能不能——
[name="アブサント"]  それであの……急なお願いで申し訳ないんですが、もし可能であれば――
[name="Absinthe"]  And, um... I’m very sorry to ask you this out of the blue, but if it’s okay with you, could you—
[name="압생트"]  그게…… 갑자기 이런 부탁을 드려서 죄송하지만, 괜찮으시다면……

[name="棘刺"]  行。
[name="ソーンズ"]  わかった。
[name="Thorns"]  Very well.
[name="쏜즈"]  알았다.

[name="苦艾"]  能不能请棘刺先生帮忙......欸？
[name="アブサント"]  ソーンズさんに見てもらいたくて……えっ？
[name="Absinthe"]  Could you please help me... huh?
[name="압생트"]  쏜즈 씨에게 부탁을…… 예?

[name="棘刺"]  我说，可以。
[name="ソーンズ"]  だから、わかった。
[name="Thorns"]  Yes, I will help you.
[name="쏜즈"]  알았다고.

[name="棘刺"]  正好最近我有新想法，如果你能放心交给我，可以试试。
[name="ソーンズ"]  ちょうど最近、新しいアイデアを思いついたんだ。俺に任せても構わないなら、やってみよう。
[name="Thorns"]  I’ve actually just come up with a new idea. If you can trust me with your weapon, I can give it a try.
[name="쏜즈"]  마침 최근에 새로운 방법이 떠올랐거든. 만약 네가 안심하고 맡겨 준다면, 한번 시도해보겠다.

[name="苦艾"]  欸，啊，好的。谢、谢谢。
[name="アブサント"]  えっ、あ、はい。お、お願いします。
[name="Absinthe"]  Eh, um, y-yes.  T-Thank you.
[name="압생트"]  에…… 아, 네. 감…… 감사합니다.

[name="清流"]  太好了呢，小艾！
[name="セイリュウ"]  よかったね～、アブちゃん！
[name="Purestream"]  Isn’t that great, Sinthe?
[name="퓨어스트림"]  너무 잘 됐다! 생트!

[name="极境"]  你可不要拿什么奇怪的东西出来实验啊，你做的药剂我是不怀疑，但是每次刚做出来的东西效果都怪怪的......
[name="エリジウム"]  変な実験はしないでよ。別に君の調合の腕を疑ってるわけじゃないけど、いつも新作は変なのばかりだから……
[name="Elysium"]  You’d better not test anything weird on her weapon. I’m not doubting the effectiveness of your reagents, but every time you make something new, they always turn out pretty weird.
[name="엘리시움"]  이상한 물건을 써서 실험하진 마. 네가 만드는 약제를 의심하는건 아니지만, 매번 만들어 내는 것들이 어딘가 이상하단 말이야……

[name="棘刺"]  这次没问题。
[name="ソーンズ"]  今回は大丈夫だ。
[name="Thorns"]  It’ll be fine this time.
[name="쏜즈"]  이번엔 문제 없어.

[name="极境"]  这么自信？
[name="エリジウム"]  そんなに自信あるの？
[name="Elysium"]  How can you be so sure?
[name="엘리시움"]  뭘 믿고 그렇게 자신만만해 하는 거야?

[name="棘刺"]  我在你的武器上试过了。
[name="ソーンズ"]  お前の武器で試したからな。
[name="Thorns"]  I’ve already tested it on your weapon.
[name="쏜즈"]  이미 네 무기에 실험해 봤었거든.

[name="极境"]  啊？啊啊？！
[name="エリジウム"]  ええっ？　冗談だろ！？
[name="Elysium"]  Huh? Ahhhh!
[name="엘리시움"]  어? 어어?!

[name="棘刺"]  开玩笑的。
[name="ソーンズ"]  ああ、冗談だ。
[name="Thorns"]  I’m just kidding.
[name="쏜즈"]  농담이다.

[name="苦艾"]  ......
[name="アブサント"]  ……
[name="Absinthe"]  ......
[name="압생트"]  ……

[name="苦艾"]  他们一直都这样？......关系真好。
[name="アブサント"]  この人たち、いつもこうなの？　……仲がいいんだね。
[name="Absinthe"]  Are they always like this...? They seem to get along really well.
[name="압생트"]  저 둘…… 늘 이런 식이야? 뭐랄까…… 엄청 사이 좋아 보이네.

[name="清流"]  是哦，这两位算是老乡嘛，我看他们伊比利亚那一块出来的干员，好像关系都还挺不错的。
[name="セイリュウ"]  うん、この二人は同郷だからね。イベリア出身のオペレーターたちはみんなすごく仲がいいみたい。
[name="Purestream"]  Yeah, they’re both from Iberia. Iberian operators are pretty much all really good friends.
[name="퓨어스트림"]  응, 둘은 고향 친구이기도 하거든. 이베리아 출신 오퍼레이터들은 다들 사이가 엄청 좋은 것 같더라고.

[name="清流"]  毕竟出门在外，他乡遇故知果然还是很不一样吧？
[name="セイリュウ"]  故郷から遠く離れた場所でばったり同郷の人と会うと、やっぱり特別な感じがするからかな？
[name="Purestream"]  It’s a wonderful feeling to meet people from back home when you are so far away.
[name="퓨어스트림"]  역시, 타지에서 오랜 친구를 만나는 일은 확실히 남다른 기분이겠지?

[name="清流"]  当初大明星食铁兽小姐给我签名的时候我也开心得不得了，她在我们家那边可有名了，大叔大婶们都喜欢她！
[name="セイリュウ"]  そういえばわたしも、大スターのエフイーターさんからサインをもらえた時は嬉しかったなぁ～。わたしの故郷ではすっごく有名な人なんだよ。おじさんやおばさんでも知らない人はいないくらい！
[name="Purestream"]  I was very happy when Miss FEater, the famous movie star, gave me her autograph! She’s a huge celebrity where I’m from, and all of my friends and neighbors love her!
[name="퓨어스트림"]  나도 처음 대~스타 에프이터 씨 싸인 받았을 때 진짜 진짜 기뻤는걸. 에프이터 씨는 우리 고향 쪽에서 굉장히 유명했거든, 아저씨 아줌마들도 다 엄청 좋아하실 정도로!

[name="清流"]  现在我们都熟到能一起出去逛街了呢！
[name="セイリュウ"]  それが今じゃ、一緒にショッピングに出かけられる仲なんだから！
