十三年前
十三年前
13 Years Ago
13년 전

8:09 P.M.  天气/大雪
[name="ヴィンセント伯爵"]  もちろんですとも。この吹雪が過ぎれば、来年はきっと豊作になることでしょう。
[name="Count Vincent"]  Quite good! This blizzard shall pass, and next year will come trotting in right behind it with fine, fine harvests.
[name="빈센트 백작"]  가다마다요. 이번 눈보라가 그치고 나면 분명 풍년이 들 겁니다.

[name="恭敬的男性贵族"]  承您吉言。
[name="恭しい男性貴族"]  あなたがそうおっしゃるのなら間違いありませんな。
[name="Courteous Nobleman"]  My gratitude for your kind words.
[name="점잖은 귀족"]  말씀 감사합니다.

[name="文森特伯爵"]  快进去烤火吧，晚上有您最爱的香料面包——当然，最细腻、最香甜的小麦粉，都是出自您的农场。
[name="ヴィンセント伯爵"]  さぁどうぞ中に入って温まってください。今宵は男爵の最も愛するスパイスパンもございます――もちろん、男爵の農場で作られた、最も繊細で美味な小麦粉でできております。
[name="Count Vincent"]  Head in and warm yourself up, now. We're serving the spiced bread you so love tonight—of course, baked with most exquisite, fragrant flour, all sourced from your farms.
[name="빈센트 백작"]  어서 들어와서 몸 좀 녹이세요. 저녁에 남작님이 좋아하시는 밀가루…… 아, 물론 가장 곱고 향이 좋은 최고급 밀가루로 구운 빵을 내오겠습니다. 모두 남작님의 농장에서 기른 거랍니다.

[name="恭敬的男性贵族"]  那您呢？您不进来吗？时间快到了......剩下的客人，就交给佣人们吧。
[name="恭しい男性貴族"]  楽しみですね……おや、伯爵はまだお入りにならないのですか？　まもなくお時間ですよ。残りの客人の出迎えは、使用人に任せればよいでしょう。
[name="Courteous Nobleman"]  How about you? Won't you come in? It's almost time... Let your good servants welcome the remaining guests.
[name="점잖은 귀족"]  그런데 백작님은 안 들어가시는 겁니까? 이제 곧 파티가 시작될 텐데요…… 남은 손님들은 하인들에게 맡기시지요.

[name="文森特伯爵"]  也许您说得对，但是没关系，我喜欢亲自迎接我邀请的人，他们都是可爱的人，无论是贵族还是商人，是修士还是士兵。
[name="ヴィンセント伯爵"]  おっしゃる通りかもしれませんね。しかし私は、招いた方々を自ら迎え入れるのが好きなのですよ。貴族であろうと商人であろうと、修道士であろうと兵士であろうと、皆素敵な方々ですから。
[name="Count Vincent"]  Perhaps you speak sense, but no matter. I like to greet my invitees personally. They're all the most adorable people, whether noble or merchant, cleric or soldier.
[name="빈센트 백작"]  맞는 말씀입니다만 괜찮습니다. 하나같이 모두 귀한 분들이니 제가 직접 맞이해야죠. 신분과 지위에 상관없이 말입니다.

[name="文森特伯爵"]  多伦郡真是个好地方，不是吗？
[name="ヴィンセント伯爵"]  そんな方々が喜んで来てくださるこのトロン郡は、本当に素晴らしい場所です。違いますか？
[name="Count Vincent"]  Toron is a fine, fine place, isn't it?
[name="빈센트 백작"]  토룬은 정말 아름다운 곳이지요, 안 그렇습니까?

[name="恭敬的男性贵族"]  哦，您真是......
[name="恭しい男性貴族"]  なるほど、あなたには本当に頭が下がります……
[name="Courteous Nobleman"]  Why, you character, you...
[name="점잖은 귀족"]  후후, 정말이지 백작님도……

[name="文森特伯爵"]  喔，我看看，还有亚利桑那家的夫妇，那位可敬的灯塔守望者，还有......嗯？
[name="ヴィンセント伯爵"]  さて、残りは、アリゾナご夫妻、尊敬すべき灯台の守り人、それと……ん？
[name="Count Vincent"]  Now, let me see, we still have the Mister and Misses Arizona, that admirable lighthouse operator, and... hm?
[name="빈센트 백작"]  아, 이게 누구십니까! 애리조나 부부, 위대한 등대 수호자, 그리고…… 으음?

[name="文森特伯爵"]  咳哼。
[name="ヴィンセント伯爵"]  コホンッ。
[name="Count Vincent"]  E-hem.
[name="빈센트 백작"]  호오……

[name="文森特伯爵"]  我听说我最尊敬的同学，那位天生的演说家汤姆森，最近身体抱恙，我不忍心让他冒着风雪赴宴，于是专程派了信使，送去我的祝福——
[name="ヴィンセント伯爵"]  私の最も尊敬する同輩、天性の演説家トムソンは、最近体調が良くないと聞いている……だからこの吹雪の中、わざわざ足を運ばせるのは忍びなく、トランスポーターをやって祝福を贈ったが――
[name="Count Vincent"]  I'd heard from my most venerable fellow student, that gifted orator Thomson, that he had recently taken ill, and I couldn't brook the thought of him facing a blizzard for a banquet. Hence my specifically sending for a Messenger, to send him my well-wishes—
[name="빈센트 백작"]  제가 가장 존경해마지 않는 동문이자, 타고난 연설가 톰슨 씨께서 건강이 좋지 않다고 들었습니다. 눈보라를 뚫고 파티에 와달라고 차마 말씀드릴 수 없어서 전달자를 보내 안부를 전했는데……

[name="文森特伯爵"]  不过，我怎么好像在这里——发现了一位偷偷摸摸的可爱信使呢！
[name="ヴィンセント伯爵"]  なぜこんなところに――彼の可愛らしいトランスポーターがこそこそと隠れているんでしょう！？
[name="Count Vincent"]  And yet, imagine my surprise to see—what seems to be a sneaky darling of a Messenger right here!
[name="빈센트 백작"]  그런데 어째…… 몰래 잠입한 귀여운 전달자를 발견한 것 같습니다만!

[name="文森特伯爵"]  嘿咻！
[name="ヴィンセント伯爵"]  それっ！
[name="Count Vincent"]  Here-here!
[name="빈센트 백작"]  후후후!

[name="？？？"]  呀！
[name="？？？"]  きゃっ！
[name="???"]  Eek!
[name="???"]  앗!

[name="文森特伯爵"]  啊哈，小海蒂，我们有多久没见啦？
[name="ヴィンセント伯爵"]  ハハッ！　久しぶりじゃないか、ハイディ？
[name="Count Vincent"]  Ah-ha, Mistress Heidi, how long since we last met?
[name="빈센트 백작"]  호오, 하이디! 오랜만이로구나!

[name="海蒂"]  文森特叔叔，别把我的头发弄乱啦！还有我花了好久才化好的妆！
[name="ハイディ"]  ヴィンセントおじさま！　せっかくセットした髪をぐしゃぐしゃにしないで！　このメイクもすっごい時間かかったんだから！
[name="Heidi"]  Uncle Vincent, don't ruffle up my hair! I had to spend so long making it!
[name="하이디"]  빈센트 아저씨, 머리에 손대지 마! 하는 데 엄청 오래 걸렸다고!

[name="文森特伯爵"]  好，好，哎，小海蒂长大了，都是亭亭玉立的大姑娘了。
[name="ヴィンセント伯爵"]  わかったわかった。あのハイディも大きくなったな。もう立派な、一人のレディではないか。
[name="Count Vincent"]  Fine, fine. Ah, little Heidi, you've grown so much. What a dashing lady you are now.
[name="빈센트 백작"]  그래그래. 그나저나 우리 꼬마 아가씨가 이제 어엿한 숙녀가 되었구나.

[name="文森特伯爵"]  但是！你的父亲可没有告诉过我你今天会来这里，老实和叔叔说吧，你是不是偷偷来的？
[name="ヴィンセント伯爵"]  しかし、君のお父さんから今日君が来るとは聞いていないぞ。正直に言いなさい、君は黙って家を抜け出してきたのだろう？
[name="Count Vincent"]  However! Your father never sent word you'd be arriving today. Be candid with your uncle now, have you come on the sly?
[name="빈센트 백작"]  그런데! 왜 네 아버지는 네가 올 거라고 말씀해 주지 않으신 거지? 솔직히 말해보렴, 몰래 온 거니?

[name="文森特伯爵"]  还有，你还年轻着呢，这身打扮要是被你父亲看到了，又得唠叨吧？
[name="ヴィンセント伯爵"]  立派になったとはいえ、君はまだ若い。そんな格好をしているのをお父さんに見られたら、またうるさく言われるぞ？
[name="Count Vincent"]  And I say, you're still quite young. If your father saw your dress tonight, you'd be in for the nag, wouldn't you?
[name="빈센트 백작"]  게다가 이 옷차림은 뭐지? 네 아버지가 보면 또 한바탕 잔소리를 퍼부으실 텐데.

[name="海蒂"]  叔叔！我就是不想听他唠叨，才偷偷溜过来的嘛！
[name="ハイディ"]  おじさま、私はうるさく言われたくないから、こっそり抜け出してきたのよ！
[name="Heidi"]  Uncle! I'd hate him nagging at me. That's why I slipped off in the first place!
[name="하이디"]  그 잔소리 듣기 싫어서 몰래 빠져나온 거야!

[name="海蒂"]  听说今天叔叔邀请了许多名流雅士，我这不是好奇嘛。再说了，爸总让我开开眼界，不要拘泥在课堂上，这不正是个好机会嘛！
[name="ハイディ"]  今日はおじさまが有名な人をたくさん招待してるって聞いて、興味が湧いたの。それに学業のみにとらわれず、視野を広げなさいってパパがいつも言ってるもの。まさにいい機会でしょ！
[name="Heidi"]  I heard you called out a gallery of VIPs and bright minds tonight, and I couldn't help my curiosity. Not to mention, my papa always wants me to broaden my scope, get out beyond the classroom, and isn't this the finest opportunity!
[name="하이디"]  오늘 아저씨가 사교계 유명 인사를 초대했다는 이야기를 듣고 가만히 있을 수 있어야지! 게다가 아빠는 평소에 공부만 하지 말고 안목도 좀 키우라고 하셨으니까, 이번이 절호의 기회잖아!

[name="文森特伯爵"]  真的不是来看看那些青年才俊，期待一次邂逅的？我可听你父亲说了，你最近沉迷那些庸俗的爱情小说，他为此头疼得很。
[name="ヴィンセント伯爵"]  さては、若き才能あふれる青年との出会いを期待しているのではないのかね？　お父さんから聞いたぞ。最近、低俗な恋愛小説に夢中だというじゃないか。彼はそのせいで頭を抱えていたよ。
[name="Count Vincent"]  And you swear you're not here to see the boys, hoping for a chance meeting? You know, your father's told me, you've been absorbed in all those tawdry romance novels lately, and it's been worrying him so.
[name="빈센트 백작"]  멋진 만남을 기대하면서 온 건 아니고? 네가 요새 저속한 로맨스 소설에 빠져서 아버지가 골치 아프다고 하던데.

[name="海蒂"]  怎、怎、怎么会呢，我又不是那么幼稚的小女孩了，啊哈哈，哈哈。
[name="ハイディ"]  そ、そ、そんなことないよ。私はもうそんな幼稚な女の子じゃないんだから。あは、あはははは……
[name="Heidi"]  How—How—How could I? I'm not such a naive girl now, ah ha ha, ha ha.
[name="하이디"]  아, 아니야! 내가 세상 물정 모르는 철부지도 아니고…… 아하하, 하하……

[name="文森特伯爵"]  你父亲说得很好，浪漫主义是好的，但那些带着消费目的来欺瞒生活的真相，用以讨好读者并榨取题材价值的文字，一文不值。
[name="ヴィンセント伯爵"]  君のお父さんは素晴らしいことを言っていた。「ロマン主義は良いものだ。しかし消費を目的に人生の真実を偽り、読者に媚びて利益を貪るような書物は、全くの無価値である」とね。
[name="Count Vincent"]  Your father worded it very well. Romanticism is all and well, but writing aiming to be consumed, pulling wool over the truths of life, so as to curry favor with readers and wring the last drop of worth from its material; there's nothing of value in it.
[name="빈센트 백작"]  네 아버지 말이 맞아. 로맨스도 좋지만 소비를 목적으로 현실을 외면한 채 독자들의 눈길을 사로잡으려고 소재의 가치를 착취하는 글은, 전혀 도움이 안 돼.

[name="文森特伯爵"]  在这块，整个多伦郡都该向你的父亲学习。
[name="ヴィンセント伯爵"]  このトロン郡のすべての者は、君のお父さんの言葉から学ぶべきだ。
[name="Count Vincent"]  In that regard, all of Toron ought to be learning from your father.
[name="빈센트 백작"]  그 점에 관해선, 토룬 카운티 모두가 네 아버지한테 배워야 할 거다.

[name="海蒂"]  咳咳，叔叔，别说这些话了，我听着都害臊......
[name="ハイディ"]  ちょっと、おじさま、やめてよ、聞いていてこっちが恥ずかしい……
[name="Heidi"]  Ahem, Uncle, let's drop the subject now. I feel embarrassed hearing this...
[name="하이디"]  아, 아저씨…… 민망하니까 그런 이야기 좀 그만해……

[name="海蒂"]  爸爸也真是，年轻时把人都骂了个遍，结果最后自己变成了商人，变成了赚大钱的那个.......学会里的前辈，老是拿他开玩笑，我都烦死了。
[name="ハイディ"]  パパったら、昔は金持ちの悪口ばっかり言ってたのに、結局は自分も商人になって、お金を稼ぐ側になるんだもの……学会の先輩たちはいつもパパのこと茶化すんだよ、ほんとやんなっちゃう。
[name="Heidi"]  And honestly, my papa. Telling people off left and right when he was young, and in the end he made himself a businessman, made himself a huge fortune... The old guard in the association constantly joke about him. It drives me mad.
[name="하이디"]  하여간 아빠도 참…… 젊었을 땐 그렇게 뭐라 하더니, 결국엔 자기도 상인이, 그것도 돈을 많~이 버는 상인이 되었잖아…… 학교 선배들이 그 일로 자꾸 놀려서 짜증 나 죽겠어.

[name="文森特伯爵"]  那也是受生活所迫。好啦，就当汤姆森为了你们娘俩吧，他年轻那会，可没少找我抱怨他的怀才不遇，最近他身体怎么样？
[name="ヴィンセント伯爵"]  必要に迫られてのことさ。可愛い娘や奥さんのため……そういうことにしておいてあげなさい。若い頃の彼は、才能を認めてもらえないとよく私に嘆いていたよ。最近彼の体の具合はどうかな？
[name="Count Vincent"]  Some things up Life's sleeve you just can't refuse. Oh, well, imagine Thomson did it for you two ladies. Back when he was younger, he'd find any chance to grumble about his unrecognized talent to me. How's his health been lately?
[name="빈센트 백작"]  먹고 사느라 그런 거지. 젊었을 땐 재능을 펼칠 수 없다며 종종 불만을 터뜨리곤 했지만 결국에는 너희 두 모녀를 위해 단념했으니까. 그나저나 건강은 좀 어떠시니?

[name="海蒂"]  老毛病啦，等到冬天过去，又能活蹦乱跳啦。
[name="ハイディ"]  いつものやつだよ。冬が過ぎれば、また元気になると思う。
[name="Heidi"]  Just his chronic pains. Once winter's gone, he'll be live and well as ever.
[name="하이디"]  알잖아, 지병 있는 거…… 겨울이 지나면 또 괜찮아지실 거야.

[name="文森特伯爵"]  所以你趁着父母没空管你，偷拿了你母亲的衣服，来我这儿参加宴会？
[name="ヴィンセント伯爵"]  つまりご両親が君に構っていられない隙を突いて、君はこっそりお母さんのお洋服を着て、ここの私のパーティーに参加しに来たというわけだな？
[name="Count Vincent"]  So you availed yourself while your parents couldn't watch you, made off with your mother's clothes, and came to join the festivities?
[name="빈센트 백작"]  그래서 부모님이 잠시 한눈을 판 사이에, 네 어머니의 옷을 훔쳐 입고 내 파티까지 찾아온 거야?

[name="海蒂"]  没错——啊，不是，是出于学习目的，遵循家父的指导。
[name="ハイディ"]  まあね――あ、違う。勉強目的だってば。パパの教育方針に従ったまでだよ。
[name="Heidi"]  Right—ah, no, I came on educational purposes, just as my father guided me.
[name="하이디"]  뭐 그렇게 된 거지…… 앗, 그게 아니라…… 어디까지나 배움을 목적으로 아버지의 가르침을 따르는 것뿐이라구.

[name="文森特伯爵"]  海蒂......
[name="ヴィンセント伯爵"]  ハイディ……
[name="Count Vincent"]  Heidi...
[name="빈센트 백작"]  하이디……

[name="海蒂"]  嘿嘿，您就不能当没看见？
[name="ハイディ"]  ふふっ、何も見なかったってことには……できない？
[name="Heidi"]  Heh heh. How about you just never saw me?
[name="하이디"]  헤헤, 못 본 척해 줄 거지?

[name="文森特伯爵"]  你这次也太任性了，这大雪天的，万一路上出了什么事，我怎么向你的父亲交代？
[name="ヴィンセント伯爵"]  今回はあまりにも奔放すぎるぞ。こんな大雪の日に、もし道中何かあれば、私は君のお父さんに何と説明すればいいのだ？
[name="Count Vincent"]  You've been quite too headstrong this time. Look at this awful snow today. Just suppose something had happened to you on the way, how would I ever explain to your father?
[name="빈센트 백작"]  이번엔 정도가 좀 심한 것 같구나. 눈이 이렇게 잔뜩 오는데 무슨 사고라도 생기면 네 아버지를 무슨 면목으로 볼 수 있겠니?

[name="海蒂"]  哈、哈哈......那叔叔您看，反正已经这么晚了，我总不能再找辆车回去吧？
[name="ハイディ"]  あは、あはは……でもおじさま、今日はもうこんなに遅いんだし、いまさら帰るなんてできないよ？
[name="Heidi"]  Ha, ha ha... well! Uncle, you see, it's so late now anyway. I can't just find a car and head back now, can I?
[name="하이디"]  아하하…… 그런데 있잖아 아저씨, 어쩌지? 지금 너무 늦어서 돌아갈 마차도 찾지 못할 것 같은데?

[name="文森特伯爵"]  你这孩子，快进屋去吧，别冻着了。
[name="ヴィンセント伯爵"]  まったくこの子は……ほら、早く入りなさい。風邪をひくぞ。
[name="Count Vincent"]  Oh, dear, child. Quick, in. Don't you freeze now.
[name="빈센트 백작"]  하여간 너도…… 빨리 들어와. 괜히 밖에 있다 감기 걸리지 말고.

[name="海蒂"]  好嘞！叔叔最好了！
[name="ハイディ"]  やったぁ！　おじさま大好き！
[name="Heidi"]  Hooray! You're the best, Uncle!
[name="하이디"]  앗싸! 역시 아저씨가 최고야!

[name="海蒂"]  欸，不过叔叔，您还在等谁呢？还有什么贵客值得叔叔您守在门口当雪人吗？
[name="ハイディ"]  あれ？　ねぇおじさま、まだ誰か待ってるの？　おじさまが入口で雪だるまみたいにならなきゃいけないほどの、大事なお客さん？
[name="Heidi"]  Er... but who are you still waiting for? Is there still some guest noble enough to wait like a snowman at the door?
[name="하이디"]  음, 그런데 여기서 누구를 기다리는 거야? 아저씨가 눈사람이 될 정도로 중요한 손님이 또 있는 거야?

[name="文森特伯爵"]  哦，是一位出色的拉特兰修士。
[name="ヴィンセント伯爵"]  うむ……とある偉大なラテラーノの修道士さ。
[name="Count Vincent"]  Quite. An outstanding Laterano cleric.
[name="빈센트 백작"]  아, 실력 좋은 라테라노의 수도사란다.

[name="文森特伯爵"]  去年你婶婶不知染了什么病，高烧不退，多亏了那位修士，药到病除。
[name="ヴィンセント伯爵"]  昨年、君のおばさんが原因不明の病で高熱に悩まされていた時、その修道士が治してくれたんだ。
[name="Count Vincent"]  Last year, your aunt caught some illness unawares, had a fever that wouldn't abate, and it's thanks to that cleric that it vanished.
[name="빈센트 백작"]  작년에 네 작은 어머니가 무슨 병에 걸렸는지 열이 무척 심했는데 그분 덕분에 병이 나았지.

[name="文森特伯爵"]  之后我们成了朋友，我时常前去拜访，这位修士不仅医术高超，在各行各业都有独到的见解，让人大开眼界。
[name="ヴィンセント伯爵"]  それから親交を結び、私はしばしばその方を訪ねるようになった。その修道士は優れた医療の腕前を持つだけでなく、あらゆる分野に独自の見解を持っていてね、本当に驚かされるばかりだよ。
[name="Count Vincent"]  We struck up concord afterwards, and I paid frequent visits. This cleric's not just fine with medicine, but has original views on all walks of life. Truly a mind-opener.
[name="빈센트 백작"]  그 뒤로 종종 연락하는 친구가 되었지 뭐냐. 그 사람은 의술은 물론 여러 분야에서 남다른 실력을 지니고 있지, 정말 놀라울 따름이야.

[name="海蒂"]  嘿......居然被叔叔这么评价，那一定是个很厉害的人吧？
[name="ハイディ"]  へぇ……おじさまがそんなに評価するなんて、きっととてもすごい人なのね。
[name="Heidi"]  Huh... Well, if you vouch for them like this, they must be really incredible, right?
[name="하이디"]  헤에…… 아저씨가 그렇게 칭찬할 정도라면 엄청 대단한 사람이겠네?

[name="文森特伯爵"]  那当然，如果这样的人才能够效忠于文森特家族，一定能为本地的建设多出一份力吧。
[name="ヴィンセント伯爵"]  もちろんだとも！　あのような方がヴィンセント家に忠誠を誓ってくれれば、この地ももっと発展できるのだろう。
[name="Count Vincent"]  But of course. If a person of those talents could swear loyalty to the Vincent family, it'd bring a deal of vigor to building the local land.
[name="빈센트 백작"]  물론이지! 그런 사람이 빈센트 가문을 위해 일해준다면 이곳도 더욱 발전할 수 있을 텐데.

[name="文森特伯爵"]  本来前往伦蒂尼姆的那趟行程，我有意邀请那位修士作为友人与我同行，也好给你婶婶解闷，但不巧，她正好有事外出。
[name="ヴィンセント伯爵"]  本来ならロンディニウムの旅で、その修道士に友人として――あとおばさんの退屈しのぎの相手としても同行してほしかったのだが、あいにくその方にも用事があってね。
[name="Count Vincent"]  I even had every intent to invite that cleric along as a friend on my journey to Londinium, and your aunt would've appreciated the diversion, but would you know our rotten luck? Out on business.
[name="빈센트 백작"]  원래는 런디니움 여행에 그분께 동행해 달라고 부탁하려던 거였단다. 네 작은 어머니 말동무도 해 드리고…… 다만 공교롭게도 볼일이 있어서 집을 비웠다지 뭐냐.

[name="文森特伯爵"]  所以今日，我一定要向各位介绍介绍这位有识之士。
[name="ヴィンセント伯爵"]  だから今日は、ぜひその方を皆に紹介したいと思っているのだよ。
[name="Count Vincent"]  So today, mark my words, I'll be introducing this insightful scholar to one and all.
[name="빈센트 백작"]  그래서 오늘 꼭 이 뛰어난 인재를 모두에게 소개하겠노라 마음먹은 거지.

[name="海蒂"]  叔叔......那位拉特兰修士，是位绅士吗？是不是位彬彬有礼的萨科塔呀？年纪大吗？
[name="ハイディ"]  おじさま……そのラテラーノの修道士って、男性の方？　もしかして礼儀正しいサンクタだったりしない？　年齢は？
[name="Heidi"]  Uncle... is that Laterano cleric—a gentleman by any chance? A refined, mannerly Sankta, maybe? On the older side, or?
[name="하이디"]  아저씨…… 라테라노의 수도사님은 신사야? 아니면 예의 바른 산크타? 나이는?

[name="文森特伯爵"]  你这丫头，还说自己没动歪脑筋！
[name="ヴィンセント伯爵"]  まったくこの子は……やましい考えはないと、さっき自分で言ったばかりじゃないか！
[name="Count Vincent"]  There it is, you little scamp! Swearing your pure intentions, even!
[name="빈센트 백작"]  요 녀석, 이러고도 딴마음이 없다고?

[name="海蒂"]  就问问！
[name="ハイディ"]  ち、ちょっと聞いてみただけだもん！
[name="Heidi"]  Just asking!
[name="하이디"]  그냥 물어보는 거거든!

[name="文森特伯爵"]  别多想了，那是一位优秀的女性。也不是萨科塔。虽然很少见，但似乎是一位菲林修士。我十分欣赏她这样的人。
[name="ヴィンセント伯爵"]  残念だったな、その方は女性だ。サンクタでもない。修道士としては珍しいフェリーンだ。しかし本当に称賛に値するよ。彼女のように素晴らしい女性は他にいないだろうな……
[name="Count Vincent"]  Don't get too excited. She's a meritorious woman. And she isn't a Sankta. Very rare to see, but all suggests she's a Feline cleric. I truly do appreciate people like her.
[name="빈센트 백작"]  신사도 산크타도 아닌, 멋진 레이디인데 아쉬워서 어떡하지? 드물긴 하지만 필라인인 것 같더구나. 그래서 더 그 사람이 마음에 든단다.

[name="海蒂"]  咳咳......！
[name="ハイディ"]  コホンコホンッ……！
[name="Heidi"]  Ahem...!
[name="하이디"]  크흠흠……

[name="海蒂"]  叔、叔叔，这话我可没听见，也绝不会告诉婶婶的，您放心吧。
[name="ハイディ"]  お、おじさま、私何も聞いてないから。おばさまにも絶対言わないから安心して。
[name="Heidi"]  U—Uncle, I didn't hear any of that, and I won't breathe a word to Auntie, you can cross my heart.
[name="하이디"]  아, 아저씨~ 그 말은 못 들은 걸로 할게. 작은어머니한테는 절대 비밀이니까 걱정하지 마.

[name="文森特伯爵"]  你瞎想什么呢！真该让汤姆森好好教训教训你！
[name="ヴィンセント伯爵"]  何をバカなことを言ってるんだ！　まったく、トムソンにしっかり教育させる必要があるようだな……
[name="Count Vincent"]  And what silly ideas have you gotten! I really ought to make Thomson give you a proper word or three!
[name="빈센트 백작"]  무슨 쓸데없는 생각을 하는 거냐! 네 아버지한테 단단히 가르치라고 해야겠구나!

[name="凯尔希"]  抱歉，文森特阁下。
