十三年前
十三年前
13 Years Ago
13년 전

8:09 P.M.  天气/大雪
[name="하이디"]  식중독이나 사냥 같은 뜻밖의 사고에 쉽게 목숨을 잃은 귀족이 그렇게 많았다면 빅토리아의 귀족 통치는 일찌감치 무너져 내렸을 거예요.

[name="凯尔希"]  而三年前，你的父亲几乎亲历了此事。
[name="ケルシー"]  三年前、君のお父上もそれを身をもって経験したようだな。
[name="Kal'tsit"]  And three years ago, your father nearly experienced that first hand.
[name="켈시"]  3년 전, 네 아버지가 직접 겪을 뻔했지.

[name="海蒂"]  ......是的。
[name="ハイディ"]  ……はい。
[name="Heidi"]  Yes...
[name="하이디"]  ……맞아요.

[name="凯尔希"]  他的腿受伤了，这不是句谎话。
[name="ケルシー"]  彼は足に怪我を負った。それは事実だが、原因は表向きのものとは違うな。
[name="Kal'tsit"]  His leg is actually injured.
[name="켈시"]  다리를 다쳤어. 그건 사실이야.

[name="海蒂"]  是一位在学术上与爸爸有纠纷的贵族，在一场酒会之后对爸爸下的手。
[name="ハイディ"]  学術的な議論でパパと対立していた貴族が、とあるパーティーの後でパパを襲撃したんです。
[name="Heidi"]  There is a noble who is an academic enemy of my father. They were at a cocktail party together, and he made his move after the party.
[name="하이디"]  학술계에서 아버지와 사이가 좋지 않은 귀족이, 연회가 끝난 후에 아버지를 습격했어요.

[name="凯尔希"]  伪装得很好。
[name="ケルシー"]  上手く事故だと偽装したものだ。
[name="Kal'tsit"]  That must have been well disguised, if it was thought to be an accident.
[name="켈시"]  잘도 숨겼네.

[name="海蒂"]  爸爸清楚一些苗头，但他不希望这件事情耽搁情报的输送。
[name="ハイディ"]  パパは襲撃に気付いたのですが、その件を公にすることで、情報の伝達を遅れさせたくないと考えました。
[name="Heidi"]  My father had a few leads, but he didn't want this affair to get in the way of relaying intelligence.
[name="하이디"]  아버지께선 낌새를 알아차리셨지만 이 일 때문에 정보 전달이 지연되는 걸 원치 않으셨어요.

[name="凯尔希"]  现在这座庄园里，有多少是汤姆森的人？
[name="ケルシー"]  現在この荘園に、トムソンの息のかかった者はどれほどいる？
[name="Kal'tsit"]  How many of Thomson's men are there in this manor right now?
[name="켈시"]  이 저택에 톰슨의 사람이 몇이나 있지?

[name="海蒂"]  有很多人，例如刚才和您交谈的那几位......在今夜之前，他们都曾在爸爸的别墅露过面。
[name="ハイディ"]  大勢います。たとえば、先ほどあなたとお話しされていた数名も……全員、以前パパの別荘で顔を出しています。
[name="Heidi"]  A lot of them, such as the ones you were talking to earlier... They also paid my father's villa a visit before tonight's party.
[name="하이디"]  아주 많아요, 방금 이야기를 나누던 분들이 그렇죠…… 오늘 밤 전까지만 해도 모두 아버지의 별장에 얼굴을 비췄던 분들이에요.

[name="凯尔希"]  ......理查德刚才可没少说你父亲的坏话。
[name="ケルシー"]  ……リチャードは先ほど君のお父上の悪口を散々言っていたが。
[name="Kal'tsit"]  Richard was quite critical of your father just now...
[name="켈시"]  ……리차드가 네 아버지에 대한 험담을 늘어놓던데.

[name="海蒂"]  啊哈哈......可能理查德叔叔有一半说的是真心话吧......他和我爸爸较劲有好多年啦......
[name="ハイディ"]  アハハ……多分リチャードおじさまが言ってた半分は本音ですよ。彼とパパはずっとライバルの間柄ですから……
[name="Heidi"]  Ahaha... I suppose he spoke much of it from his heart... He has had quite the rivalry with my father for the past several years...
[name="하이디"]  후후후…… 리차드 아저씨의 이야기 중 절반은 아마 진심일 걸요…… 아버지랑 오랫동안 신경전을 벌여왔죠……

[name="凯尔希"]  但他们依旧聚集在汤姆森身边，你的父亲是个很好的领袖。
[name="ケルシー"]  だが彼らは依然としてトムソンの周囲に集まっている。君のお父上は良きリーダーだな。
[name="Kal'tsit"]  Yet they still assemble around Thomson. Your father is a good leader.
[name="켈시"]  그래도 많은 사람이 톰슨 가에 몰려든 걸 보면, 너의 아버지는 분명 좋은 리더일 거다.

[name="海蒂"]  离不开您的指导，凯尔希阁下。
[name="ハイディ"]  あなたのご指導のおかげです、ケルシー。
[name="Heidi"]  Not without your guidance, Lady Kal'tsit.
[name="하이디"]  당신의 가르침 덕분이에요, 켈시.

[name="海蒂"]  谁又能想到......当年来到维多利亚的一位拉特兰修士，会成为我们最信任的导师呢。
[name="ハイディ"]  当時、ラテラーノから来た一人の修道士が、私たちの最も信頼する指導者になるなんて誰が予想できたでしょう。
[name="Heidi"]  Who could have thought back then... that the Laterano cleric who came to visit Victoria would become our most trusted mentor?
[name="하이디"]  누가 생각이나 했을까요? 빅토리아를 찾은 라테라노 수도사가 우리가 가장 믿고 따르는 멘토가 될 줄을……

[name="凯尔希"]  我们目的相同。
[name="ケルシー"]  私たちの目的は同じだ。
[name="Kal'tsit"]  Our goals are one and the same.
[name="켈시"]  우리의 목적은 같아.

[name="海蒂"]  凯尔希，他们会相安无事的，我们会相安无事的，对吗？
[name="ハイディ"]  ケルシー、彼らにも私たちにも、何も起きない、平穏無事でいられる――そうですよね？
[name="Heidi"]  Kal'tsit. They will get out of this unscathed... We will get out of this unscathed, will we?
[name="하이디"]  켈시, 그들도, 우리도 모두 무사하겠죠?

[name="凯尔希"]  ......海蒂。
[name="ケルシー"]  ……ハイディ。
[name="Kal'tsit"]  Heidi...
[name="켈시"]  ……하이디.

[name="凯尔希"]  用你自己的眼睛去看。如果你真的决心走入这片大地，而不再被文明的假象蒙蔽双眼......你得自己去看。
[name="ケルシー"]  自分の目で確かめるんだ。もしも君が外の大地に足を踏み出そうと決心したのなら……もう二度と文明の虚像に惑わされることなく、真実を知りたいというのなら、その目で見定めるんだ。
[name="Kal'tsit"]  You need to look around with your own eyes. If you truly wish to step into this world, then you cannot allow civilization's facades blind you anymore... You need to see this world yourself.
[name="켈시"]  너의 눈으로 봐. 더는 문명의 허상에 두 눈이 가려지는 것을 원치 않는다면, 이 땅에 발을 디딜 결심이 섰다면…… 스스로 봐야 해.

[name="凯尔希"]  安慰的话语毫无意义，你会长大的。
[name="ケルシー"]  慰めの言葉はまったく無用のものだろう、君はきっと乗り越えて大きくなる。
[name="Kal'tsit"]  Comforting words are meaningless. You will grow up one day.
[name="켈시"]  위로의 말은 아무 의미가 없어. 너는 성장할 거니까.

[name="文森特伯爵"]  不过，我倒是在一些不入流的小贵族和那些地痞流氓之间，听说了一些让人不愉快的说法......
[name="ヴィンセント伯爵"]  しかし、低俗な貴族やごろつきの間で流れている不愉快な噂を耳にしました……
[name="Count Vincent"]  Now, unpleasant as it may be, I must say I heard a rumor from the lesser nobles and ruffians...
[name="빈센트 백작"]  그런데 촌뜨기 귀족과 무뢰배들 사이에서 불쾌한 이야기를 들었습니다……

[name="欢快的女贵族"]  哎呀，让您不高兴了吗？伯爵阁下？
[name="明るい女性貴族"]  あら、何があなたを不快にさせたんですの、伯爵？
[name="Merry Noblewoman"]  My, did they upset you?
[name="유쾌한 귀족 부인"]  어머! 기분이 상하신 건가요, 백작님?

[name="文森特伯爵"]  是的......如您所见，各大公爵的礼让与迁就造就了如今的和平繁荣。
[name="ヴィンセント伯爵"]  ……皆さんも知るように、今のヴィクトリアの平和と繁栄は、各大公爵の慎ましさと歩み寄りによってもたらされました。
[name="Count Vincent"]  Right... As you can see, it was the Dukes' graciousness that forged the peace and prosperity enjoyed by our country today.
[name="빈센트 백작"]  예…… 아시다시피 여러 대공작님들의 이해와 협조로 지금의 평화와 번영을 일굴 수 있었죠.

[name="文森特伯爵"]  但不可否认的是，即使是哥伦比亚那群野蛮的叛徒，他们也能知晓，维多利亚已经很久没有君王主宰了。
[name="ヴィンセント伯爵"]  しかし、ヴィクトリアにはもう随分と君主がいないということは、クルビアのあの野蛮な裏切り者たちでさえ知る事実です。それは否定できません。
[name="Count Vincent"]  However, and this is something that even the traitors in Columbia are aware of, we also cannot deny that it has been a long time since Victoria has seen a rightful ruler ascend its throne.
[name="빈센트 백작"]  그래도 부정할 수 없는 사실은, 빅토리아의 왕좌가 오랫동안 비어져 있었다는 걸 컬럼비아의 무식한 역도들조차 안다는 겁니다.

[name="附庸风雅的男人"]  这有何妨呢？这不正说明我们在以......自己的方式强大吗？
[name="風流人ぶる男"]  何か問題でも？　それはつまり我々が……自分たちのやり方で強大になったということの証拠ではないですかな？
[name="Pretentious Man"]  And what of it? Does that not go to show we are becoming ever more powerful through our own means?
[name="고상한척하는 사내"]  그게 무슨 상관이랍니까? 오히려…… 우리가 우리만의 방식으로 강해지고 있다는 증거가 아니겠습니까?

[name="文森特伯爵"]  你说的没错，理查德，但有一股声音，一些天真的，怀着自己目的的人聚集在了一起，他们提出了一个荒唐的问题......
[name="ヴィンセント伯爵"]  おっしゃる通りです、リチャードさん。しかし一部では、無邪気な考えを持った人々が集まり、愚かな疑問を呈しているのです……
[name="Count Vincent"]  You are correct, Richard, but there was also this opinion... It was naive and absurd... There was this crowd of men there each with their own goals...
[name="빈센트 백작"]  옳은 지적입니다, 리차드 씨. 그런데 저마다의 목적을 가진 사람들이 한자리에 모여, 순진하게도 한목소리로 황당한 질문을 던지고 있지요……

[name="文森特伯爵"]  他们问，维多利亚当真还有必要去渴求一个新王吗？
[name="ヴィンセント伯爵"]  彼らは、「ヴィクトリアには果たして新たな王は必要なのか？」と口にしています。
[name="Count Vincent"]  They asked if Victoria truly needed a new ruler.
[name="빈센트 백작"]  빅토리아에 새로운 왕이 정말 필요하냐고 묻더군요.

[name="海蒂"]  他们都说，文森特叔叔太懦弱了......
[name="ハイディ"]  みんな、ヴィンセントおじさまは臆病すぎると言っています……
[name="Heidi"]  They all said Uncle Vincent's too much of a coward...
[name="하이디"]  사람들은 빈센트 아저씨가 나약하다고 해요……

[name="海蒂"]  我们身处边境，却故步自封......明明这正是我们争取到权益的大好机会，但文森特叔叔只知道在庄园里召开宴会。
[name="ハイディ"]  私たちは辺境に位置していながら、殻に閉じこもっているだけ……今がまさに権利を勝ち取る絶好の機会だというのに、ヴィンセントおじさまは荘園でパーティーを開くことしかしません。
[name="Heidi"]  We're near the border, but we are being so complacent, not making any progress... This is our chance to fight for our rights... yet all Uncle Vincent knows to do is throwing parties in the manor.
[name="하이디"]  변경을 차지했는데도 현실에만 안주하고 있어요…… 우리에게 유리한 판을 짤 수 있는 절호의 기회인데, 아저씨는 그저 저택에서 파티만 여시죠.

[name="海蒂"]  这趟伦蒂尼姆之行，也没有任何实质性的成果。
[name="ハイディ"]  先のロンディニウムの旅も、実質的な成果は何も得られてません。
[name="Heidi"]  Even this trip to Londinium. It hardly achieved any meaningful results.
[name="하이디"]  이번 런디니움행도 실질적인 성과는 전혀 없었어요.

[name="凯尔希"]  这不会是你父亲的意见，汤姆森不至于这么愚笨，以至于被激进的风气冲昏了头脑。
[name="ケルシー"]  それは君のお父上の意見ではないな。トムソンはそういった過激な雰囲気に流された発言をするほど愚かではない。
[name="Kal'tsit"]  This isn't your father's opinion. Thomson is not so foolish as to let radical atmosphere get to his head.
[name="켈시"]  네 아버지는 그렇게 생각하지 않을 것 같아. 톰슨은 급진파에 휘둘릴 만큼 어리석지 않으니까.

[name="海蒂"]  但大人们总是这样对爸爸倾诉意见。
[name="ハイディ"]  しかし、大人たちはいつもパパにこのような意見を述べています。
[name="Heidi"]  But that's how the adults always complain to my father.
[name="하이디"]  하지만 어른들은 항상 아버지에게 그렇게 말하는걸요.

[name="凯尔希"]  没有任何一个蠢笨的贵族，会受到一位真正的大公爵的召见。
[name="ケルシー"]  愚かな貴族が本物の大公爵から招かれることはない。
[name="Kal'tsit"]  No foolish nobles would ever receive an audience with a real Duke.
[name="켈시"]  대공작을 접견할 수 있는 귀족은, 멍청한 귀족이 아니지.

[name="凯尔希"]  你认为，诺曼底公爵真的没有对文森特提出一些威逼利诱的条件吗？
[name="ケルシー"]  君は本当にノーマンディー公爵がヴィンセントに脅しを掛けたり、利益で釣ろうという行動を起こしていないと思うか？
[name="Kal'tsit"]  Do you think that the Duke of Normandy really didn't intimidate Vincent with any harsh demands?
[name="켈시"]  노르망디 공작이 빈센트 백작을 위협하거나 회유하지 않았을 거라고 생각하나?

[name="凯尔希"]  地处边境，地广人稀，正意味着这座无人问津的多伦郡尚不在任何庞大势力的影响之下。
[name="ケルシー"]  辺境に位置し、土地が広大な割に人口が少ないということは、未だ誰もこのトロン郡に手を出そうとせず、いかなる巨大な勢力の影響下にもないことを意味している。
[name="Kal'tsit"]  Toron is near the border, and there are few people here. In other words, this place is not under the influence of any major forces.
[name="켈시"]  광활한 변경 지역인 토룬 카운티에 아무도 관심을 보이지 않는 것은 어떠한 거대 세력의 영향권에도 속하지 않았다는 뜻이기도 하지.

[name="海蒂"]  ......文森特叔叔他......
[name="ハイディ"]  ヴィンセントおじさまは……
[name="Heidi"]  Uncle Vincent...
[name="하이디"]  ……빈센트 아저씨는……

[name="凯尔希"]  这位似乎只懂得歌舞升平的贵族，在竭力保持多伦郡的和平。尽管这里的和平......一触即破。
[name="ケルシー"]  歌い踊ることしか知らなそうなこの貴族は、力を尽くしてトロン郡の平和を保っている。ここの平和は……触れればすぐにでも崩れ落ちそうな状態ではあるがな。
[name="Kal'tsit"]  This nobleman may seem uninterested in anything except celebrating this false peace with music and shows, but he is actually doing his best to uphold Toron's peace. That's despite the peace here... is fragile and easily broken.
[name="켈시"]  맨날 음주가무에만 빠진 것 같아 보이지만, 백작은 사실 토룬의 평화를 지키기 위해 최선을 다하고 있어. 그 평화는…… 금방이라도 무너질 것 같긴 하지만.

[name="凯尔希"]  恰到好处的傲慢与中庸能遮掩他的想法，即使能揣摩到他真实意图的人寥寥无几。
[name="ケルシー"]  彼の考えを推し量れる者がほぼいないのは、ほど良い傲慢さと中立的立場が、彼の真意を他者の目から覆い隠しているからだろう。
[name="Kal'tsit"]  His arrogance and temperance are just at the right level to hide his thoughts well, and those who actually understand his true intentions are few and far between.
[name="켈시"]  하지만 적당한 오만함과 평범함이 백작의 생각을 가려주고 있어. 그의 진짜 속마음을 읽을 수 있는 사람은 몇 없을 거다.

[name="凯尔希"]  汤姆森不会对一个真正没有胆识和眼力的伯爵如此信任有加，他们看似渐行渐远，但总是殊途同归。
[name="ケルシー"]  本当に度胸や見識がまるでない伯爵なら、トムソンがこれほどまで信頼を寄せることはない。彼らは徐々に遠ざかっているように見えて、向かう先は同じだ。
[name="Kal'tsit"]  Thomson would never place so much trust on a count severely lacking in courage, insight, and judgement. They may seem like they are heading down different paths, but these paths will lead them to the same destination.
[name="켈시"]  용기와 지혜, 안목이 없는 백작을 톰슨이 신뢰할 리 없어. 두 사람 사이가 소원해지는 듯해도 결국에는 같은 목표를 좇고 있지.

[name="海蒂"]  ......嘿嘿......能听你这么说，真好。
[name="ハイディ"]  ……えへへ……そんな言葉が聞けて、嬉しいです。
[name="Heidi"]  Hehe... It's nice to hear you say so.
[name="하이디"]  ……후후, 그렇게 말씀해 주시니 기쁘네요.

[name="海蒂"]  凯尔希，你不用看那两封信吗？
[name="ハイディ"]  ケルシー、その手紙を確認しないんですか？
[name="Heidi"]  Kal'tsit, are you not going to look at your mail?
[name="하이디"]  켈시, 편지 안 읽어보실 건가요?

[name="凯尔希"]  从伦蒂尼姆到多伦郡，几乎横跨大半个维多利亚。
[name="ケルシー"]  ふむ……ロンディニウムからトロン郡まで、ほぼヴィクトリア全域を横断してきたようだな。
[name="Kal'tsit"]  From Londinium to Toron, these letters have made it halfway across Victoria.
[name="켈시"]  런디니움에서 토룬까지, 빅토리아의 반 이상을 지나왔어.

[name="凯尔希"]  这份信经过多少人之手，又有多少人知道他们正在参与的事情全貌？
[name="ケルシー"]  この手紙が、一体どれほどの者の手を経てきたと思う？
[name="Kal'tsit"]  How many hands has the letter passed through, and how many of them know of the whole truth of these events?
[name="켈시"]  이 편지가 대체 얼마나 많은 사람의 손을 거쳤을까? 그들이 참여한 일의 전모를 아는 사람이 또 몇이나 될까?

[name="海蒂"]  很多——
[name="ハイディ"]  それはもう……たくさんです――
[name="Heidi"]  There are lots—
[name="하이디"]  무척 많을 거예요……

[name="凯尔希"]  工人，报童，爆米花小贩和公园园丁。而他们根本不知道信里的内容，甚至连这些文字最终的归属都不甚了解。
[name="ケルシー"]  労働者、新聞配達員、ポップコーン売りに公園の庭師。だが彼らは手紙の内容を全く知らないし、これが最終的に誰の手に渡るかさえよくわかっていない。
[name="Kal'tsit"]  Workers, newsboys, popcorn hawkers, park gardeners. They knew nothing of the letter's contents. They didn't even know who these words ultimately belong to.
[name="켈시"]  노동자, 신문 파는 아이들, 팝콘 장수와 공원의 정원사들은 편지에 적혀 있는 내용을 알지 못해. 심지어 이 편지가 최종적으로 누구의 손에 넘어갈지조차 잘 모르지……

[name="凯尔希"]  但现在这封信成功交付给了汤姆森，再经由他之手交给了我。
[name="ケルシー"]  それでもこの手紙はトムソンの手まで無事に到達し、そして今、彼から私の元へ届けられた。
[name="Kal'tsit"]  But now this letter has made it to Thomson, and now me.
[name="켈시"]  하지만 이제 이 편지는 톰슨을 거쳐, 다시 내게 전해졌어.

[name="凯尔希"]  那就没什么好担心的。
[name="ケルシー"]  つまり何も心配することはない。
[name="Kal'tsit"]  There is nothing to worry about.
[name="켈시"]  그러니 걱정할 것 없어.

[name="海蒂"]  ......是这样......
[name="ハイディ"]  ……そういうことですか……
[name="Heidi"]  I see...
[name="하이디"]  ……그렇네요……

[name="海蒂"]  可是另一封呢？那是“卡兹戴尔”的......
[name="ハイディ"]  しかしもう一方の手紙は？　「カズデル」の……
[name="Heidi"]  But what about the other one? The one from 'Kazdel'...
[name="하이디"]  그런데 다른 한 통은요? '카즈델'의……

[name="凯尔希"]  ......是一个萨卡兹信使最后亲手交给汤姆森的。
[name="ケルシー"]  サルカズのトランスポーターが、最後にトムソンに手渡したというこの手紙か……
[name="Kal'tsit"]  It was handed straight to Thomson by a Sarkaz Messenger.
[name="켈시"]  ……살카즈의 전달자가 마지막으로 톰슨에게 직접 건네줬어.

[name="凯尔希"]  虽然我告诉了他汤姆森的联络方式，但按照本来的计划，他应该亲手交给我。
[name="ケルシー"]  たしかに彼にはトムソンの連絡先を伝えはしたが、当初の計画では彼が私に直接渡すはずだった。
[name="Kal'tsit"]  I told him how to contact Thomson himself, but if things had gone according to plan, he would've handed this straight to me.
[name="켈시"]  전달자에게 톰슨의 연락처를 알려 주긴 했지만, 원래대로면 내게 직접 전해줘야 했어.

[name="海蒂"]  嗯......但那个萨卡兹在抵达维多利亚的时候已经......
[name="ハイディ"]  はい……でもそのサルカズは、ヴィクトリアにたどり着いた時にはすでに……
[name="Heidi"]  Yeah... but when that Sarkaz made it to Victoria...
[name="하이디"]  그렇군요…… 하지만 그 살카즈가 빅토리아에 도착했을 때는 이미……

[name="海蒂"]  爸爸不知道如何才能尊重一位萨卡兹英雄的死，只好按我们的习俗火化了他的躯体，抛洒在移动城市的航道上。
[name="ハイディ"]  パパは、どうやってサルカズの英雄の死を弔えば良いのかがわからなかったので、私たちの習慣に則って彼を火葬し、その遺灰を移動都市の航路に撒くしかありませんでした。
[name="Heidi"]  Father did not know how the Sarkaz honor their heroes' death, so all we could do was cremate his body according to our traditions and scatter his ashes in the nomadic city's waterways.
[name="하이디"]  살카즈 영웅의 죽음을 어떻게 추모해야 하는지 아버지는 알지 못하세요. 그래서 저희 풍습대로 시신을 화장한 후에 이동도시의 항로에 뿌리셨죠.

[name="凯尔希"]  ......我不能说出他的本名，但至少，他以信使的身份而死，我会把他的故事带回他的家乡。
[name="ケルシー"]  ……彼の本名は明かせない。だがせめて、トランスポーターとして一生を終えた彼の物語を、私が彼の故郷に持ち帰ろう。
[name="Kal'tsit"]  I can't tell you his real name, but, at the very least, he died as a Messenger, and I will bring his story back to his homeland.
[name="켈시"]  ……그의 이름은 밝힐 수 없지만, 적어도 그는 전달자로서의 사명을 다했으니, 나는 그의 이야기를 그의 고향으로 가져갈 거다.

[name="凯尔希"]  他不会被遗忘。
[name="ケルシー"]  彼が忘れ去られることはない。
[name="Kal'tsit"]  He won't be forgotten.
[name="켈시"]  그는 잊혀지지 않을 거야.

[name="海蒂"]  ......凯尔希，你是这么对待每一个人的吗？
[name="ハイディ"]  ……ケルシー、あなたは皆にそうしてあげているのですか？
[name="Heidi"]  Kal'tsit... Is this how you treat everyone?
[name="하이디"]  ……켈시는 항상 모든 사람을 그렇게 대하나요?

[name="凯尔希"]  为什么突然这么问？
[name="ケルシー"]  なぜ突然そんなことを聞く？
[name="Kal'tsit"]  Why do you ask?
[name="켈시"]  왜 갑자기 그런 걸 묻는 거지?

[name="海蒂"]  不，我只是觉得......啊......啊......
[name="ハイディ"]  いえ、私はただ……ハ……ハッ……
[name="Heidi"]  No, I was just thinking... Ah... Aaah...
[name="하이디"]  아뇨, 그게 그러니까…… 으음……

[name="海蒂"]  啊嚏！
[name="ハイディ"]  ハクション！
[name="Heidi"]  Achoo!
[name="하이디"]  엣취!

[name="海蒂"]  啊！抱、抱歉，真不礼貌......！
[name="ハイディ"]  あっ！　ご、ごめんなさい、失礼しました……！
[name="Heidi"]  Oh! P-Pardon me... How unbecoming of me...!
[name="하이디"]  앗! 죄, 죄송해요. 실례했어요……!

[name="凯尔希"]  雪似乎更大了，我们进去吧。
[name="ケルシー"]  雪の勢いがまた強くなったみたいだ、中に入ろう。
[name="Kal'tsit"]  The snow is getting heavier. Let's head back inside.
[name="켈시"]  눈이 더 내릴 것 같은데 이만 들어갈까?

[name="凯尔希"]  这场宴会结束之后，我会去拜访汤姆森的。
[name="ケルシー"]  このパーティーが終わったら、トムソンを訪ねるとしよう。
[name="Kal'tsit"]  I will pay Thomson a visit once this party is over.
[name="켈시"]  이번 파티가 끝난 뒤에 톰슨을 방문할 생각이야.

[name="海蒂"]  我想，爸爸会高兴的。
[name="ハイディ"]  きっと、パパも喜びます。
[name="Heidi"]  I am sure Father will be happy.
[name="하이디"]  아버지께서 무척 기뻐하실 거예요.

[name="海蒂"]  ......
[name="ハイディ"]  ……
[name="Heidi"]  ......
[name="하이디"]  ……

[name="海蒂"]  我是不是该挽着您的胳膊？这样其他人才不会起疑。
[name="ハイディ"]  あなたと腕を組んだ方がいいでしょうか？　その方がほかの人たちに疑われにくいかも。
