[name="米莎"]   呜唔......
[name="感染者"]   呜啊！
[name="感染者"]   うわぁ！
[name="Infected"]   Argh!!
[name="감염자"]   으아아!

[name="感染者"]   别逼我们！
[name="レユニオン構成員"]   お前らに指図されるいわれなどない！
[name="Infected"]   Now you've done it!
[name="리유니온 멤버"]   그러니까 말을 할 때 들었으면 좋았잖아.

[name="芙兰卡"]   （要动手吗？）
[name="フランカ"]   （打って出る？）
[name="Franka"]   (Are we going to step in?)
[name="프란카"]   (지금 공격할까?)

[name="芙兰卡"]   （看来他们是跟丢了。现在动手的话，罗德岛会暴露行踪。）
[name="フランカ"]   （敵はあたしたちのことは見失ったみたいだけど、今出ていけばまた発見されちゃうわね。）
[name="Franka"]   (We seem to have finally lost them. But if we intervene now, we're going to be exposed.)
[name="프란카"]   (아직 눈치채지 못한 것 같긴 한데, 지금 나서면 발각될 거야)

[name="雷蛇"]   （会不会干扰到任务进程？如果会，后果有多严重？）
[name="リスカム"]   （いま打って出たとして、任務への影響はどれぐらい？）
[name="Liskarm"]   (Is this going to get in the way of our mission? If so, how serious are the consequences going to be?)
[name="리스캄"]   (나섰다가 괜히 임무에 지장이 생기는 거 아닐까? 영향이 있다면 어느 정도지?)

[name="芙兰卡"]   （有一定影响，但——）
[name="フランカ"]   （そりゃそれなりに影響は出るでしょうけど、でも――）
[name="Franka"]   (Of course this is going to interfere, but...)
[name="프란카"]   (나름대로 영향이 있기야 하겠지. 하지만…)

[name="芙兰卡"]   （没有那么严重吧？）
[name="フランカ"]   （手早くやれば、そこまでじゃなはずよね？）
[name="Franka"]   (It won't be that serious, right?)
[name="프란카"]   (큰일이야 생기겠어?)

[name="阿米娅"]   那就干吧。
[name="アーミヤ"]   わかりました。ではやりましょう。時間をできるだけ掛けないように……。
[name="Amiya"]   Let's do it, then.
[name="아미야"]   그럼 가죠.

[name="阿米娅"]   如果条件允许，救助感染者是罗德岛理所当然的任务。
[name="アーミヤ"]   ミーシャさんの様態も気になりますが、条件が許す限り、感染者を助けることもロドスの任務の一つですから。
[name="Amiya"]   Rhodes Island's unequivocal mission to save the Infected, as long as the situation permits.
[name="아미야"]   조건이 허락하는 한 감염자들을 돕는 것도 로도스 아일랜드의 임무니까요.

[name="芙兰卡"]   哼哼，好。
[name="フランカ"]   ふふっ、わかったわ。
[name="Franka"]   Mmhm, good.
[name="프란카"]   후후, 알았어.

[name="芙兰卡"]   果然当初选择跟着你是正确的。
[name="フランカ"]   あなたに付いてきたのは間違いじゃなかったわね。
[name="Franka"]   I knew following you was the right decision.
[name="프란카"]   역시 너를 따라오길 잘한 것 같아.

[name="阿米娅"]   那是什么意思......芙兰卡小姐？
[name="アーミヤ"]   どういう意味ですか……フランカさん？
[name="Amiya"]   What do you mean by that, Miss Franka?
[name="아미야"]   그게 무슨 뜻인가요… 프란카 씨?

[name="芙兰卡"]   没什么没什么，就是夸夸你！
[name="フランカ"]   なんでもないわ！　気にしないで。
[name="Franka"]   Don't worry, don't worry! I was just complimenting you!
[name="프란카"]   아무것도 아니야! 그냥 칭찬한 거야!

[name="雷蛇"]   大概意思是，性格和你很合得来吧？
[name="リスカム"]   アーミヤさんのこと気に入っているなら、ちゃんと言えばいい。
[name="Liskarm"]   She probably thinks that she can get along well with you.
[name="리스캄"]   아미야의 성격이 너와 잘 맞는다고 말하고 싶었던 거겠지?

[name="芙兰卡"]   你为什么那么懂我呢？
[name="フランカ"]   なんでいちいち突っかかってくるのよ？
[name="Franka"]   How do you know me so well?
[name="프란카"]   왜 다 알면서 꼬치꼬치 캐묻고 그래?

[name="雷蛇"]   大概是因为，你可真烦人吧？
[name="リスカム"]   フランカが素直じゃないから。
[name="Liskarm"]   Probably because you're so annoying?
[name="리스캄"]   네가 시끄러워서 그런 거다.

[name="阿米娅"]   唔......
[name="アーミヤ"]   ふふっ、嬉しいですよ。
[name="Amiya"]   Ugh...
[name="아미야"]   하하…

[name="芙兰卡"]   该教训一下这帮为非作歹的家伙了。
[name="フランカ"]   さ、さて……そろそろこの極悪非道な悪者たちを教育してあげないとね。
[name="Franka"]   It's time to teach these thugs a lesson.
[name="프란카"]   그럼 슬슬 이 극악무도한 놈들에게 한 수 가르침을 줘야겠지?

[name="阿米娅"]   嗯。
[name="アーミヤ"]   ええ。
[name="Amiya"]   Yes.
[name="아미야"]   네.

[name="阿米娅"]   小心那些会在各个建筑物间跳来跳去的整合运动感染者。
[name="アーミヤ"]   建物の間を飛び回っている敵に気をつけてください。
[name="Amiya"]   Be careful of the enemies who can jump between buildings.
[name="아미야"]   건물 사이로 날아다니는 적을 조심하세요.

[name="阿米娅"]   除此之外，还要记得保全龙门本地的感染者！
[name="アーミヤ"]   あと、龍門の一般の感染者はできるだけ保護してください。
[name="Amiya"]   In addition, make sure to protect Lungmen's Infected civilians!
[name="아미야"]   그리고, 용문의 감염자들도 잘 보호해 주시고요.

[name="德克萨斯"]   难度不小。
[name="テキサス"]   この任務、言うほど簡単ではないが――
[name="Texas"]   That's asking for a lot.
[name="텍사스"]   쉬운 임무는 아니지만…

[name="德克萨斯"]   ——但，没问题。
[name="テキサス"]   ――しかし、問題ない。
[name="Texas"]   --But, I'll handle it.
[name="텍사스"]   …문제없어.

[name="能天使"]   那就，上吧！
[name="エクシア"]   オッケー！　じゃあ、いくよ！
[name="Exusiai"]   All right, let's go!
[name="엑시아"]   그럼, 가자!

[name="能天使"]   Dr.{@nickname}，要好好指挥我和德克萨斯哦！
[name="エクシア"]   Dr.{@nickname}、私とテキサスの指揮もお願いね！
[name="Exusiai"]   Dr {@nickname}, make sure to lead me and Texas well!
[name="엑시아"]   {@nickname} 박사, 나랑 텍사스도 잘 지휘해줘야 돼!

