中央区
中央エリア

一段时间之前
少し前

[Decision(options="为什么你认定阿米娅她们在指挥塔前......", values="1")]
[name="ケルシー"] だが、奴らは最後まで傍観に徹するだろうか？　リスクを承知で、一つの都市、一つの国の情勢をタルラ一人に好きに操らせておくだろうか？

[name="凯尔希"] 还是说，这甚至也是塔露拉的砝码，用来骗取乌萨斯军队的力量......让他们蛰伏在某处，只等着事态变化到即将超脱她掌控的地步。
[name="ケルシー"] あるいは、これもタルラの計略の内であって、ウルサス軍を騙して利用し、彼女の手に余るような状況に備えて、身を潜めさせているだけなのかもしれない。

[name="凯尔希"] 那时，她就可以名正言顺地......动用她根本无法触及的力量。如她所愿。
[name="ケルシー"] そして時期が来れば、タルラは大義名分を掲げ……そもそも触れる事すらできなかったはずの力を行使できる。彼女の思い通りにな。

[name="凯尔希"] 但这需要时间。
[name="ケルシー"] ただし、そのためにはやはり時間が必要だ。

[Decision(options="你都这么说了，她为什么还不是一个暴君？", values="1")]
[Decision(options="仮にそうだとして、なぜタルラが暴君でないと言える？", values="1")]

[name="凯尔希"] 因为现在的整合运动想要一个这样的领袖，却不真的需要这样一个领袖。
[name="ケルシー"] 現在のレユニオンは一見、暴君のようなリーダーを求めているように見えるが、実際はそうではないからだ。

[name="凯尔希"] 暴君珍惜自己的羽翼，即使他们往往因为短视或狂躁而肆意地摧毁了它们，而后又真情实感地痛哭流涕。
[name="ケルシー"] 暴君は自分の手となり足となるものを惜しむ。時に判断ミスや一時の感情で配下を容易く処分する一方、命を落とした彼らのために涙を流す……ある意味、彼らに寄り添い、同じ地点に立っている。

[name="凯尔希"] 阴谋家不会。暴君有棋子，阴谋家也有；但暴君自己同在棋盘，阴谋家却坐在棋盘之外。
[name="ケルシー"] だが陰謀家は違う。ゲームの駒に喩えるならば、暴君が配下の駒と同様、常に盤上にいるのに対し、陰謀家は基本的に盤の外にいる。

[name="凯尔希"] 假设她有人性，她就可能犯错。但是对一个合格的阴谋家来说，当阴谋行驶在轨道上时，即使自身死了，她的阴谋一样会继续自然发展。
[name="ケルシー"] タルラも人間である以上、過ちを犯す可能性はある。だが、優れた陰謀家ならば、陰謀がレールを走り出した後は、たとえ自らの死後でもその陰謀が継続するように図るものだ。

[Decision(options="我们的行动没有用吗？", values="1")]
[Decision(options="つまり我々の行動には意味がないと？", values="1")]

[name="凯尔希"] 如果是那样，我们根本就不会带着罗德岛的雇员们出生入死。
[name="ケルシー"] いいや。もしそうなら、私もわざわざロドスの仲間と共に、命の危険を冒したりはしない。

[name="凯尔希"] 仅仅是杀了她自然是没有用的。所以，我们要在各个部分各个地方，分解她的阴谋，对抗她的指令，令她的阴谋失效。
[name="ケルシー"] 私が言いたいのは、タルラだけを殺したところで意味はないということだ。それなら、要所要所で彼女の計画に対抗措置を取り、その陰謀を失敗に追い込む方が賢明だろう。

[name="凯尔希"] 如果我们不能停止一艘舰船继续向前，那么我们就把它拆成碎片，让它在到达目的地时只剩下无害的空壳。
[name="ケルシー"] 前進する戦艦を止められないのならば、構成部品を細かく分解し、目的地に着くまでに無害な抜け殻のみにすればいい。

[name="凯尔希"] ......啊，也许我的说法会让你误会。我们还是得停下切尔诺伯格这座核心城的。
[name="ケルシー"] ……ふむ、今のは少し誤解を与える言い方だったかもしれないな。このチェルノボーグを――中枢区画を止めなければならないことに変わりはない。

[name="凯尔希"] 博士，你担忧过阿米娅他们是否可能会遭遇突发事态......
[name="ケルシー"] ドクター、君はアーミヤたちが予想外の事態に遭遇する可能性について心配しているようだが――

[name="凯尔希"] 我认为，摆在我们面前的，这才是真正的突发事态。
[name="ケルシー"] 今、我々の眼前の状況こそが、予想外の事態であると私は思う。

[name="牧群化萨卡兹战士"] W，W。W在哪？W更强。
[name="家畜化のサルカズ戦士"] W……W。Wはどこだ？　Wはもっと強い。

[name="牧群化萨卡兹战士"] 不要，不要进入......
[name="家畜化のサルカズ戦士"] やめろ、入るな……

[Decision(options="能和他们交流吗？", values="1")]
[Decision(options="彼らと話せそうか？", values="1")]

[name="凯尔希"] （萨卡兹某部族语言）
[name="ケルシー"] （サルカズ某部族の言語）

[name="牧群化萨卡兹战士"] 地下充斥黑暗。黑暗滋生邪恶。邪恶带来痛苦。
[name="家畜化のサルカズ戦士"] 地下は闇で溢れている。闇は悪を生み出し、悪は苦痛を与える。

[name="牧群化萨卡兹战士"] 太多的，痛苦。
[name="家畜化のサルカズ戦士"] 多くの、苦痛を。

[name="凯尔希"] （萨卡兹某部族语言）
[name="ケルシー"] （サルカズ某部族の言語）

[name="牧群化萨卡兹战士"] 你们，分享我们的痛苦？
[name="家畜化のサルカズ戦士"] お前たちは、我らと苦痛を分かち合えるか？

[name="凯尔希"] 不行。即使他们不是卡兹戴尔出身，也应该对母语类的暗示有所反应。他们的主动思维能力已经损坏了。
[name="ケルシー"] ダメだな。カズデル出身でなかったとしても、母語に近い言葉には反応するはずだが……どうやら既に、自発的な思考能力が破壊されているようだ。

[Decision(options="你说的那些词句能影响他们？", values="1")]
[Decision(options="今話した言葉に反応するはずなのか？", values="1")]

[name="凯尔希"] 原本是应该能的。
[name="ケルシー"] 本来ならば、な。

[name="凯尔希"] 等等......这不是常理性的手段。不要好奇。
[name="ケルシー"] いや……そもそもこれは一般的な方法ではないから、君は知らなくていい。

[name="凯尔希"] 但如果我用这种手段都不能唤醒他们的意识，那他们确实已经失去了思考能力而不是单纯的表达能力。
[name="ケルシー"] だがこの方法でも意識を呼び覚ませないとなると、単純な対話能力だけではなく、思考能力そのものが失われているのは確実だろう。

[name="凯尔希"] 是他们的脑活动被封锁了，还是他们的神经系统被感染器官扰乱了......我们剩下的时间尚不够我们探明问题的答案。
[name="ケルシー"] 脳の活動が抑制されているか、感覚器官の感染によって、神経系が混乱しているか……いずれにしろ、原因特定には時間が足りない。

[name="凯尔希"] 只是依据事实判断，我想可能凶多吉少。
[name="ケルシー"] 表面的事実から判断すると、恐らく状況は芳しくない。

[Decision(options="他们似乎不会攻击我们。", values="1")]
[Decision(options="こちらを攻撃する気はないようだが。", values="1")]

[name="凯尔希"] 他们在阻止我们深入。深度感染的萨卡兹雇佣兵，在这个区域的，大概有六个左右，大多数时间里只是进行着看似无意识的漫游。
[name="ケルシー"] だが我々の進行を拒んでいる。感染の進んだサルカズ傭兵は、この一帯で六人前後。大半の時間を無意識のまま徘徊しているようだ。

[name="凯尔希"] 他们的活动范围不会延伸到这个通道之外，而现在这些深度感染者是在意识到我们的行为后才聚集在这里的。
[name="ケルシー"] 行動範囲はこの通路より内側だが、今、目前にいる感染者たちは、私たちの行動に気付いて集まってきた。

[name="凯尔希"] 并且，只要我们不跨过界线，他们就不会采取进一步的行动。
[name="ケルシー"] そして、私たちが境界線さえ越えなければ、彼らはそれ以上の敵対行動を起こさない。

[name="凯尔希"] 侦查干员，能检测出我们与石棺之间线性距离吗？根据我提供的波形来判定位置。
[name="ケルシー"] 偵察オペレーター、ここから石棺までの直線距離を計算できるか？　私の送る波形から位置を判定してくれ。

[name="凯尔希"] ......1.4公里。准确数字？
[name="ケルシー"] ……1.4キロメートルか。精確な数値は出せるか？

[name="凯尔希"] 1453米。
[name="ケルシー"] 1,453メートルだな。

[name="凯尔希"] ......如果我没算错，那么，之前整合运动与萨卡兹特殊感染者发生冲突的位置，距离市政厅的距离也恰巧是1.4公里左右。
[name="ケルシー"] ……私の計算ミスでなければ、レユニオンの部隊とサルカズの特殊感染者が衝突した位置が、シティホールからちょうど1.4キロ前後の地点だったはずだ。

[name="凯尔希"] 我们原本打算从市政厅下方的避难通道进入石棺区，现在，那个出口可能已经被这些萨卡兹特殊感染者占据了。
[name="ケルシー"] 本来なら、シティホール地下の避難通路から石棺エリアに侵入する予定だったが、そこも今ごろは、サルカズの特殊感染者たちに占拠されているだろう。

[name="凯尔希"] 我有一个未经证实的猜想，博士......
[name="ケルシー"] あくまで仮説なのだが、ドクター……

[Decision(options="什么样的猜想？", values="1")]
[Decision(options="どんな仮説だ？", values="1")]

[name="凯尔希"] 虽然不知道目的是什么，但这些萨卡兹特殊感染者可能是在阻止其他人进入石棺区，而这个控制区域的大小，也恰好是1.4公里。
[name="ケルシー"] ここにいるサルカズの特殊感染者は、石棺エリアに入ろうとする者を妨害するよう命令されている。そしてその制御範囲は1.4キロメートルだ。

[Decision(options="你说的也许是对的，但是目的呢？", values="1")]
[Decision(options="だとしたら目的は何だ？", values="1")]

[name="凯尔希"] （摇头）
[name="ケルシー"] （首を横に振る）

[name="凯尔希"] 至少不再是这些萨卡兹原本的目的了。
[name="ケルシー"] 少なくとも、このサルカズ人たちが望んでやるようなことではないのだろう。

[name="凯尔希"] ......
[name="ケルシー"] ……

[name="凯尔希"] 源自卡兹戴尔，可悲的萨卡兹人，无论在哪里都会成为工具。
[name="ケルシー"] カズデルに生を受けた、悲劇の種族サルカズ……どこにいても道具として利用される運命なのか。

[name="凯尔希"] 我认为，感染者现在的处境也与萨卡兹相似，现在的这些萨卡兹只能在充满仇恨和失去一切间选择。
[name="ケルシー"] あらゆる選択肢を奪われ、憎しみに身を委ねるか、あるいは全てを失うかの二者択一を迫られる……そう考えると、感染者の現在の状況もサルカズとよく似ているな。

[name="凯尔希"] ......本来，事情该有所改变。我们是能够改变的。
[name="ケルシー"] ……本来なら、事態を変えられるはずだった。私たちには、その力があったはずだ。

[name="凯尔希"] 失去了家乡的提卡兹，变成了无根之人萨卡兹。
[name="ケルシー"] しかし、故郷を失ったティカズ人は、今では根無し草のサルカズ人となっている。

[name="凯尔希"] 现在，我们面前的这些萨卡兹，则连人都算不上了。
[name="ケルシー"] そして、今目の前にいるサルカズ人たちは、もはや人とすら呼べぬものになってしまったようだ。

[Decision(options="你要怎么做？", values="1")]
[Decision(options="これからどうするつもりだ？", values="1")]

[name="凯尔希"] 诸位干员，检查你们的防化装备。
[name="ケルシー"] オペレーター各位、防護装備を確認しろ。

[name="凯尔希"] 我们面对的也许是二级紧急感染事态。
[name="ケルシー"] 第二級の緊急感染事態が発生している可能性がある。

[name="凯尔希"] 博士，我们要在尽可能减少损耗的情况下，尽可能多地停止特殊感染者的运作。
[name="ケルシー"] ドクター、できる限り部隊の損耗を抑えつつ、多くの特殊感染者を行動不能にしたい。

[name="凯尔希"] ......我们有段时间没有出面解决紧急感染事态了，这身行头，简直就像是乌萨斯的感染者纠察队。
[name="ケルシー"] ……我々は正体を明かさずに緊急感染事態の対処を行っていた時期もある。この装備はやはり、まるでウルサスの感染者監視隊そのものだな。

[Decision(options="感染者纠察队？", values="1")]
[Decision(options="感染者監視隊？", values="1")]

[name="凯尔希"] 我无法否认的一点是，我们配备的防化设备与乌萨斯对感染者的残暴统治象征......分享着同一个原型设计。
[name="ケルシー"] ウルサスの感染者に対する暴力的な統治の象徴である防護装備……それと私たちの防護装備は、同じデザインを基にしている。これは否定できない事実だ。

[name="凯尔希"] 虽然，我们在行为上和感染者纠察队有着本质的不同，但我也只能希望我们真能继续保持这种本质差异，不因种种外力所迫变得面目全非。
[name="ケルシー"] もちろん実際の活動内容は、感染者監視隊とは根本的に異なるし、外部の様々な圧力に屈することなく、今後もその違いを明確に維持していくつもりだが。

[name="凯尔希"] 这也是我们对很多事情的期望。和我一段时间前对你说的那样。希望你也如此。
[name="ケルシー"] 他の物事に対しても同様だ。以前話したが、君にもそうであってほしい。

[name="阿米娅"]   ——————————！
[name="アーミヤ"]   ――――――――――！

[name="阿米娅"]   ————这是，陈长官的？
[name="アーミヤ"]   ――――これは、チェンさんの？

[name="魏彦吾"]  他向哪个方向去了？
[name="ウェイ"]  どの方角に向かった？

[name="影卫"]  西方。很快就能到达辉蹄城的禁区。
[name="影衛"]  西です。間もなく輝蹄の封鎖区域に着くかと。

[name="魏彦吾"]  ......这一切是他谋划好的。为了确认协议签署区的安保情况，莱塔尼亚外扩了冲突禁区，和我们的禁区重叠。
[name="ウェイ"]  ……全ては奴の策略通りだろう。協定締結エリアの安全を確認するため、リターニアは緩衝地帯を拡大し、こちらの封鎖区域と重なるようにしたのだ。

[name="影卫"]  我们能够潜入进去，杀死科西切，夺回小姐。
[name="影衛"]  我々がコシチェイを暗殺し、お嬢様を奪還することも可能かと。

[name="魏彦吾"]  不。他做好了准备。
[name="ウェイ"]  いや。相手も既に準備を整えているだろう。

[name="魏彦吾"]  ......这次会面，孪生女皇直接派遣了女皇之声，随行的武装力量不在少数。
[name="ウェイ"]  今回の会談のために、双子の女帝は「女帝の声」を派遣している。同行する護衛の数も少なくない。

[name="魏彦吾"]  女皇们刚登基不久，一旦科西切有意引爆外交冲突，我们一切的逾矩行为都可能成为女皇们彰示威权的借口。
[name="ウェイ"]  彼女たちは女帝に即位してまだ日が浅い……コシチェイが外交問題を起こせば、私たちのこれまでの規律違反行為が、女帝の権威づけに利用される可能性もある。

[name="魏彦吾"]  不能给科西切更多伤害龙门乃至大炎的机会。
[name="ウェイ"]  龍門、ひいては炎国を糾弾するチャンスをコシチェイに与えてはならない。

[name="陈晖洁"]  舅舅！
[name="チェン・フェイゼ"]  伯父さん！

[name="魏彦吾"]  ......
[name="ウェイ"]  ……

[name="魏彦吾"]  晖洁......
[name="ウェイ"]  フェイゼ……

[name="陈晖洁"]  舅舅......不要怪小塔！
[name="チェン・フェイゼ"]  伯父さん……タルちゃんを責めないであげて！

[name="魏彦吾"]  我没有责怪她。
[name="ウェイ"]  別に責めてるわけじゃない。

[name="陈晖洁"]  ......那你骂我吧。
[name="チェン・フェイゼ"]  ……なら、わたしを叱って。

[name="魏彦吾"]  你没有做错什么。
[name="ウェイ"]  君を叱る理由などない。

[name="陈晖洁"]  我答应她要和她一起走的。可是我害怕了......我......我松开手了。我没和她一起......
[name="チェン・フェイゼ"]  でも一緒に行くって言ったのに……わたし怖くなって……タルちゃんの手を放しちゃった。一緒に行けなかった……

[name="陈晖洁"]  她的眼神，很害怕。我很害怕，她也很害怕。我......我一定做错了。
[name="チェン・フェイゼ"]  タルちゃんの目が、すごく怖かったの。タルちゃんもきっと怖かったのに、わたし怖くなって……わたし、叱られて当然だよ。

[name="魏彦吾"]  ......晖洁，这是她的错，不是你的。
[name="ウェイ"]  ……フェイゼ。これはタルラの過ちだ。君は間違っていない。

[name="陈晖洁"]  啊？可，可舅舅你说不会怪她的！
[name="チェン・フェイゼ"]  え？　でも伯父さん、タルちゃんを責めないって言ったじゃない！

[name="魏彦吾"]  是的，不会。
[name="ウェイ"]  あぁ、そうだ。

[name="陈晖洁"]  但她......但她不是做错了吗？做错了也......不会被骂吗？
[name="チェン・フェイゼ"]  でも……伯父さんはタルちゃんの過ちって言ったじゃない。それでも叱られなくて済むの？

[name="魏彦吾"]  ——
[name="ウェイ"]  ……

[name="魏彦吾"]  她不知道真相。这个真相不该被任何人知道，所以她肯定会犯错，哪怕不是现在，将来也会。
[name="ウェイ"]  あの子は真相を知らない。それは誰にも知られてはいけないもの。だから仕方なく過ちを犯してしまう。今すぐでなくても、将来的には必ず。

[name="魏彦吾"]  ......很多情况下，犯错是不该被责罚的。我们不仅会犯错，还会犯很多错。有些错，我们一定会犯，躲不开，避不过。
[name="ウェイ"]  ……ほとんどの過ちは責められるべきものではない。私たちは一つどころか、多くの過ちを犯す。そして、逃げたり、避けたりすることのできない必然の過ちもある。

[name="魏彦吾"]  塔露拉只是犯了那个她一定会犯的错。
[name="ウェイ"]  タルラは彼女自身にとって必然的な過ちを犯しただけだ。

[name="陈晖洁"]  那样的话还叫犯错吗？
[name="チェン・フェイゼ"]  それって過ちって言えるの？

[name="魏彦吾"]  是的，依然还是。这片土地不因一件事一定发生就宽容待它。
[name="ウェイ"]  あぁ、もちろん。必然的な出来事だからといって、それを許すような寛容さはこの大地にはない。

[name="魏彦吾"]  严苛的土地，严苛的人民，严苛的统治。除了对错，它们什么都不在乎，好像对错才是它们的生命，而不是呼吸和吞咽......！
[name="ウェイ"]  過酷な土地、過酷な生活、過酷な統治。それらは正否以外何も気にしない。呼吸や食事ではなく、まるで物事の善し悪しを決めることこそが生きる原動力であるかのようにね……

[name="陈晖洁"] ......
[name="チェン・フェイゼ"] ……

[name="陈晖洁"]  你说的这些我不懂，舅舅。
[name="チェン・フェイゼ"]  よくわからないよ、伯父さん。

[name="陈晖洁"]  所以......小塔她还会回来吗？
[name="チェン・フェイゼ"]  つまり……タルちゃんは帰ってくるってこと？

[name="魏彦吾"]  ——我不知道，晖洁。我不知道。
[name="ウェイ"]  ――それはわからない、フェイゼ。私にもわからないんだ。

[name="陈晖洁"]  ......呜......那小塔她因为我......不会回来了吗？都怪我......都怪我......小塔......
[name="チェン・フェイゼ"]  ……そんな……じゃあタルちゃんは、帰ってこないの？　全部……私のせいなんだ……タルちゃん……

[name="魏彦吾"]  晖洁！
[name="ウェイ"]  フェイゼ！

[name="陈晖洁"]  呜......！
[name="チェン・フェイゼ"]  うぅ……！

[name="魏彦吾"]  把你的眼泪擦掉。
[name="ウェイ"]  涙を拭きなさい。

[name="陈晖洁"]  呜，我......
[name="チェン・フェイゼ"]  う、うぅ、わたし……

[name="魏彦吾"]  或者，哭吧。给你五分钟，哭完之后，如果你不再流眼泪了，我就告诉你该怎么办。
[name="ウェイ"]  ならば、泣きなさい。五分だ。涙が涸れるまで泣いたら、どうすればいいか教えてあげよう。

[name="陈晖洁"]  唔......！
[name="チェン・フェイゼ"]  ううっ、ヒック……！

[name="陈晖洁"] ......哇......！小塔......！
[name="チェン・フェイゼ"] うぅ……うわぁーん……！　タルちゃん……！

魏彦吾望向天空。他本想弓下身子安慰矮小的女孩，踌躇之后，他觉得自己不配。
ウェイは空を見上げた。今すぐにでもこの少女を抱きしめ、慰めてやりたかった。しかし、しばらく逡巡した後、自分にはその資格はないと思い直した。

[name="魏彦吾"]  你不哭了。
[name="ウェイ"]  ――泣きやんだかい？

[name="陈晖洁"] ......嗯。我想小塔回来。我该怎么办？
[name="チェン・フェイゼ"] うん……タルちゃんに帰ってきてもらうには、どうしたらいいの？

[name="魏彦吾"]  我会教你很多事，教你怎么管理城市，怎么对抗恶棍，怎么对待朋友。
[name="ウェイ"]  これから私が色んなことを君に教えてあげよう。都市の管理方法、悪い奴への対処方法、友人との接し方なんかもね。

[name="魏彦吾"]  照我说的做，塔露拉就有可能回来。
[name="ウェイ"]  私の言う通りにすれば、タルラは帰ってくるかもしれない。

[name="陈晖洁"] 要，要怎么做？小塔真的可能回来吗？舅舅会不会骗我？
[name="チェン・フェイゼ"] ど……どうすればいいの？　本当にタルちゃんは帰ってくるの？　伯父さん、わたしをダマしてない？

[name="陈晖洁"] ......妈妈......妈妈说，说你只会骗人，我......我真可以信你吗？
[name="チェン・フェイゼ"] ……ママが……ママがね、伯父さんのこと嘘つきだって言うの……本当に……信じてもいいの？

[name="魏彦吾"]  也许吧。
[name="ウェイ"]  多分ね。

[name="魏彦吾"]  我也犯下了一个巨大的错误，导致你的母亲终一生都恨我入骨，至死都没能放开。她这么说情有可原。
[name="ウェイ"]  私も大きな過ちを犯し、君のママから一生消えない恨みを買った。死んでも許してもらえないような恨みをね。だから彼女がそう言うのも無理はない……

[name="魏彦吾"]  但错误是可以被弥补的。
[name="ウェイ"]  だが、過ちは償うことができる。

[name="魏彦吾"]  晖洁，听好。正确行事值得你努力一生，纠正错误，却值得人押上性命。
[name="ウェイ"]  フェイゼ、よく聞きなさい。正しく生きることには、一生をかけるだけの価値がある。そして、過ちを正すことも命をかけるだけの価値がある。

[name="魏彦吾"]  塔露拉的离去是一桩错误。这桩错误带来的所有后果，我都会承担。
[name="ウェイ"]  タルラが出て行ったことは確かに過ちだ。だがその過ちがもたらす結果は、すべて私が受け止めよう。

[name="魏彦吾"]  而你，晖洁。快快长大吧。
[name="ウェイ"]  フェイゼ、君は早く大きくなりなさい。

[name="陈晖洁"] 长大以后会怎么样？
[name="チェン・フェイゼ"] 大きくなってどうするの？

[name="魏彦吾"]  你的话，长大的你......就能改变一切。
[name="ウェイ"]  君なら、大きくなった君なら……全てを変えられる。タルラだって連れ戻せる。

[name="陈晖洁"] 真的吗？！
[name="チェン・フェイゼ"] 本当に！？

[name="魏彦吾"]  也许。或者说，只要你相信，它就是真的。
[name="ウェイ"]  多分ね。いや、君が信じれば、きっとそうなる。

[name="魏彦吾"]  我会教你剑术，晖洁。
[name="ウェイ"]  剣術を教えてあげよう、フェイゼ。

[name="魏彦吾"]  赤霄的剑术。
[name="ウェイ"]  赤霄の剣術を。

“拔刀之招，当破即破。”
「抜刀の技、破るに当たりて即ち破る。」

