龙门上城区  7：20 p.m.
[name="웨이 옌우"]  말했을 텐데…… 날 그렇게 부르지 말라고.

[name="？？？"]  是。随时听候您的吩咐。
[name="？？？"]  はっ……では、ご用命があれば、いつでもお呼びください。
[name="???"]  죄송합니다. 분부할 일이 있으시면 언제든 불러주십시오.

[name="文月"]  ......
[name="フミヅキ"]  …………
[name="후미즈키"]  ……

[name="文月"]  凯尔希小姐和阿米娅妹妹，在你们说话前，我能先和他说上两句吗？
[name="フミヅキ"]  ケルシー先生、アーミヤさん。お二人の意見を伺う前に、先に私の話をさせてもらえますか？
[name="후미즈키"]  아미야 씨와 켈시 씨, 이야기 나누기 전에 제가 먼저 그이와 몇 마디 해도 될까요?

[name="阿米娅"]  嗯，您说吧，文月小姐。
[name="アーミヤ"]  もちろんです、フミヅキさん。
[name="아미야"]  네, 편하게 대화하세요, 후미즈키 씨.

[name="凯尔希"]  请便。
[name="ケルシー"]  ええ、どうぞ。
[name="켈시"]  알겠습니다.

[name="文月"]  我们相处很多年了，魏彦吾。
[name="フミヅキ"]  イェンウ。私たちの付き合いも長くなりました。
[name="후미즈키"]  우린 정말 오랫동안 함께 했죠, 웨이 옌우.

[name="魏彦吾"]  为什么说这个——为什么是现在？
[name="ウェイ"]  そんな話を……なぜ今？
[name="웨이 옌우"]  왜 갑자기…… 이런 얘기를 꺼내지?

[name="文月"]  我可是能从你眼睛里看出你在想什么的。
[name="フミヅキ"]  あなたの考えは、目を見るだけでわかります。
[name="후미즈키"]  이제는 당신의 눈만 봐도 당신이 어떤 생각을 하는지 알 수 있어요.

[name="魏彦吾"]  ......文月。
[name="ウェイ"]  ……フミヅキ。
[name="웨이 옌우"]  후미즈키……

[name="文月"]  哎，哎。我向来都看得出。
[name="フミヅキ"]  ずっと……そうでした。
[name="후미즈키"]  네, 처음부터 알 수 있었죠.

[name="文月"]  我知道龙门对你来说是你的一切，你的心血你的梦想。
[name="フミヅキ"]  龍門はあなたの全てです。あなたの血肉であり、夢そのものです。
[name="후미즈키"]  용문은 당신에게 전부이자, 피와 땀, 꿈이란 걸 알고 있어요.

[name="魏彦吾"]  不，文月......
[name="ウェイ"]  フミヅキ、何を——
[name="웨이 옌우"]  아냐, 후미즈키……

[name="文月"]  但今天这一切不是你想要的吧？
[name="フミヅキ"]  でも今のこの状況は、あなたの望んだものではないでしょう？
[name="후미즈키"]  하지만 당신이 바랐던 게 지금 이런 상황은 아니잖아요?

[name="文月"]  啊，（东国语道歉）。我不是在说我们进退两难的处境。
[name="フミヅキ"]  ああ、（極東語謝罪フレーズ）。私たちが手詰りになっているこの状況について言っているわけではありません。
[name="후미즈키"]  아, *극동어 사과*. 진퇴양난인 지금 우리의 처지를 말하는 게 아니에요.

[name="文月"]  我说的是......你这拿自己一切换来的繁荣。
[name="フミヅキ"]  私が言っているのは……あなたが自分の全てを引き換えにして築き上げた、この街の繁栄のことです。
[name="후미즈키"]  지금 저는…… 당신의 모든 것과 맞바꿔 이뤄낸 번영을 말하는 거예요.

[name="文月"]  你已经失去两位亲人了。不，用你的话说，三位，甚至是十几位。
[name="フミヅキ"]  あなたはもう二人の家族を失っています。いいえ、あなたの定義でいえば三人、あるいはもっと——十数人に及ぶでしょうか……
[name="후미즈키"]  당신은 이미 두 명의 가족을 잃었어요. 아니, 당신 입장에서 보면 세 명, 아니 열 명이 넘을지도 모르죠.

[name="文月"]  现在你总不会还想让自己的侄女也死在那吧？
[name="フミヅキ"]  今度は自分の姪の死まで見過ごすつもりですか？
[name="후미즈키"]  그리고 이제, 조카까지 이대로 죽게 둘 셈인가요?

[name="魏彦吾"]  她痛恨影卫们。一旦让他们去抓陈，她只会拼死反抗。
[name="ウェイ"]  チェンは影衛たちを憎んでいる。あれを遣わしたら、命をかけても抵抗するだろう。
[name="웨이 옌우"]  첸은 그림자 부대를 극도로 원망하고 있다. 그들에게 첸을 붙잡으라고 했다간, 첸은 목숨을 걸고 대항할 거야.

[name="文月"]  不，魏彦吾......我也不是在说这个。
[name="フミヅキ"]  違います……そういう話でもありません。
[name="후미즈키"]  아뇨…… 그런 이야기가 아니잖아요.

[name="文月"]  你不后悔吗？你要让她们两个全都死在异国的城市吗？
[name="フミヅキ"]  あなたは後悔しませんか？　あの子たちを二人とも、異国の街で死なせることになるのですよ？
[name="후미즈키"]  후회하지 않을 자신이 있나요? 그 두 아이가 전부 타지에서 죽어가도 상관없나요?

[name="文月"]  感染者又怎么了？成了感染者，她们就不是你的侄女了？
[name="フミヅキ"]  感染者だから何です？　感染者になったらあなたの姪ではなくなるのですか？
[name="후미즈키"]  감염자인 게 뭐 어때서요? 감염자가 된 순간부터, 둘 다 당신 조카가 아니게 된 건가요?

[name="文月"]  如果我们有了孩子，难道也会被你这样对待......？
[name="フミヅキ"]  私たちの間にもし子供ができていたら、同じような仕打ちをされるのですか……？
[name="후미즈키"]  만약 우리에게 자식이 있었다면, 그 아이 역시 이렇게 취급했을 건가요……?

[name="魏彦吾"]  我所做的一切都是为了让这片土地能够变得更好，也从没要陈晖洁去做该我做的事情。
[name="ウェイ"]  私がしてきたことは、全てこの街のためだった。しかし、私のやるべきことをチェンに押し付けた覚えはない。
[name="웨이 옌우"]  내가 한 일들은 모두 이 땅을 더 좋게 만들기 위해서였어. 첸 훼이지에에게 내가 했던 일들을 그대로 따르라고 강요한 적도 없고.

[name="文月"]  但她就是这个性子！
[name="フミヅキ"]  でもあの子はそういう人間なんです！
[name="후미즈키"]  하지만 그 아이는 그런 사람이라고요!

[name="文月"]  不，对她隐瞒，只是在她的心上继续割肉而已。她只会觉得自己不属于这里......
[name="フミヅキ"]  あの子に秘密にすることは、傷つけるのと同じです。自分の居場所はここではないと思わせるだけですから……
[name="후미즈키"]  당신이 틀렸어요. 비밀을 숨겨야 한다는 사실이 첸의 마음을 계속 갉아먹은 거예요. 첸은 자신이 이곳에 속할 수 없다고 생각해왔을 거예요……

[name="文月"]  你期望她去做的那些事情，太遥远了，太难了。
[name="フミヅキ"]  あなたがあの子に期待していることは、あまりにも深遠で、とても困難です。
[name="후미즈키"]  당신이 첸에게 바란 일은, 첸에겐 너무나 아득하고 어려운 일이었다고요.

[name="魏彦吾"]  那我能够停手吗？
[name="ウェイ"]  ならば、私に止められると思うのか？
[name="웨이 옌우"]  이제 와서 멈출 수 있다고 생각하나?

[name="魏彦吾"]  我身后的这些人，我脚下的这座城，我与他们角力了那么久，却也只能搏到这种结果。
[name="ウェイ"]  多くの人々を従えて、長い間悪戦苦闘したあげく、私が足元にあるこの街に与えてやれたものは、こんな悲惨な現状だけだ。
[name="웨이 옌우"]  내 사람들과 이 도시의 모두가 이렇게나 오랫동안 애썼지만, 결국 이런 결과에 밖에 도달하지 못했어.

[name="魏彦吾"]  ......龙门能允许我停手吗？
[name="ウェイ"]  ……そんな龍門が、この街の、いや時代の変化しようとする流れを私が止めることを許すと思うか？
[name="웨이 옌우"]  ……용문이 내가 멈추는 걸 허락해 주겠나?

[name="魏彦吾"]  是她想要这么做，是她想要正本清源，是她想要这座城邦不再是我治下的模样。
[name="ウェイ"]  彼女がそうしたいのだ。この都市を根本から改革して、私の統治下から解き放とうとしているのは彼女自身だ。
[name="웨이 옌우"]  첸이 원한 일이야. 용문을 근본부터 뜯어고치길 원했던 것도, 나와는 다른 방식으로 이 도시를 이끌려 했던 것도, 전부 첸이지.

[name="魏彦吾"]  我只是教她如果那么做，需要些什么，又要放弃什么。
[name="ウェイ"]  私はただ、そうするのに必要なものと捨てるべきものとを、彼女に教えただけだ。それなのに——
[name="웨이 옌우"]  나는 그저 그렇게 하기 위해서는 무엇을 해야 하는지, 무엇이 필요한지, 또 무엇을 포기해야 하는지 가르쳤을 뿐이야.

[name="文月"]  行了，行了。还解释些什么，耳朵都起茧子了。
[name="フミヅキ"]  もう結構です。いつものように上手な言い訳を並べ立てるのは……
[name="후미즈키"]  됐어요. 아직도 변명만 늘어놓는군요. 아주 귀에 딱지가 앉겠어요.

[name="文月"]  我去把她抓回来。我可不能看着她去送死。
[name="フミヅキ"]  私が連れ戻します。あの子がこのまま死に行くのを黙って見過ごせません。
[name="후미즈키"]  전 첸을 데리러 가겠어요. 이대로 죽게 내버려 둘 수 없으니까요.

[name="文月"]  你做不了的事，我来做。
[name="フミヅキ"]  あなたにできないことならば、私がやります。
[name="후미즈키"]  당신이 할 수 없다면, 제가 대신하죠.

[name="魏彦吾"]  荒唐！不许......！
[name="ウェイ"]  愚かな！　そんなことは認めない……！
[name="웨이 옌우"]  지금 무슨 소리를 하는 거야! 절대 안 돼……!

[name="魏彦吾"]  我已经拟好了方案。我会把她带回来，而你，文月，你不准走出这里一步。
[name="ウェイ"]  彼女は連れ戻す。だがお前は、ここから一歩も離れてはならない。既に手は打ってある。
[name="웨이 옌우"]  이미 계획을 다 세워뒀어. 첸은 내가 데리고 돌아올 테니까, 후미즈키, 당신은 여기에서 단 한 발짝도 나가지 말고 기다려줘.

[name="文月"]  嚯，你要拦我？
[name="フミヅキ"]  ふぅ……私を止めるつもり、ですか？
[name="후미즈키"]  호오, 당신이 나를 막으시겠다?

[name="文月"]  （东国语）？！
[name="フミヅキ"]  （極東語スラング）！
[name="후미즈키"]  *극동어*?!

[name="凯尔希"]  唔哦。
[name="ケルシー"]  なんと……
[name="켈시"]  훗.

[name="阿米娅"]  啊？医生，文月小姐刚说了什么？
[name="アーミヤ"]  え？　先生、今フミヅキさんは何て言ったんですか？
[name="아미야"]  응? 선생님, 후미즈키 씨가 방금 뭐라고 하신 건가요?

[name="凯尔希"]  如果不是她提，我都快不记得东国有这么粗鲁的词汇了。
[name="ケルシー"]  ああ、まあわからなくてもいい。がしかし……極東にこんな粗野な言葉があったなんて、すっかり忘れていたな。
[name="켈시"]  하마터면 극동에도 이런 천박한 단어가 있다는 걸 잊을 뻔했군.

[name="文月"]  魏彦吾，是不是忘了我是谁？
[name="フミヅキ"]  あなた、私が何者かを忘れていませんか？
[name="후미즈키"]  웨이 옌우, 내가 누군지 잊었나요?

[name="魏彦吾"]  文月，我有底线。
[name="ウェイ"]  フミヅキ、私にも分別は——
[name="웨이 옌우"]  후미즈키, 나도 인내심에 한계가 있어.

[name="文月"]  你还记不记得自己是谁？
[name="フミヅキ"]  自分が何者かを忘れていませんか？
[name="후미즈키"]  당신이 누구인지도 잊어버린 건가요?

[name="魏彦吾"]  文月......！
[name="ウェイ"]  フミヅキ……！
[name="웨이 옌우"]  후미즈키……!

[name="阿米娅"]  ......医生，我觉得......
[name="アーミヤ"]  ……あの、先生？
[name="아미야"]  ……선생님, 제 생각에는……

[name="阿米娅"]  （魏彦吾先生，是不是非常在乎文月小姐？）
[name="アーミヤ"]  （ウェイさんって、フミヅキさんのことをとても大切に思っていますよね？）
[name="아미야"]  (웨이 옌우 장관님이 후미즈키 씨를 걱정하고 계신 거죠?)

[name="凯尔希"]  （对文月来说亦然。也许......）
[name="ケルシー"]  （それはフミヅキ氏も同じだ。多分な……）
[name="켈시"]  (그건 후미즈키도 마찬가지야. 아마……)

[name="文月"]  好了，罗德岛的二位。请罗德岛帮助龙门城和小陈，要多少钱？
[name="フミヅキ"]  さて、お二方。ロドスにお願いして龍門とチェンを助けていただくには、おいくら必要ですか？
[name="후미즈키"]  좋아요. 로도스 아일랜드의 두 분, 로도스 아일랜드에서 용문과 첸을 도와주셨으면 합니다. 얼마면 될까요?

[name="文月"]  我来出这个钱。
[name="フミヅキ"]  全て私がお支払いします。
[name="후미즈키"]  의뢰비는 제가 지불하겠습니다.

[name="魏彦吾"]  你......
[name="ウェイ"]  おい……
[name="웨이 옌우"]  당신……

[name="阿米娅"]  文月小姐真要这样委托吗？
[name="アーミヤ"]  フミヅキさん、本当にそのようなご依頼をなさるつもりですか？
[name="아미야"]  후미즈키 씨, 정말로 의뢰하시려고요?

[name="文月"]  要的。
[name="フミヅキ"]  ええ。
[name="후미즈키"]  그럼요.

[name="文月"]  虽然这么说不大好，但我家这位今天确实不在状态。
[name="フミヅキ"]  お恥ずかしい話ですが、うちの人は今本調子ではないようなので。
[name="후미즈키"]  이런 말은 좀 그렇지만, 오늘 그이 상태가 영 좋지 않네요.

[name="文月"]  或者说，对方的计谋实在是有点出乎我们意料，把他看重的东西全算计到了。
[name="フミヅキ"]  というより、今回は相手に虚を突かれてしまいました。彼の弱点を全て計算に入れていたようです。
[name="후미즈키"]  아니면, 상대의 계략이 우리의 예상을 뛰어넘어서, 그이의 중요한 것까지 모두 간파해 버렸다거나.

[name="文月"]  对方不仅了解龙门，还非常了解他。
[name="フミヅキ"]  相手は、龍門だけでなく彼のことについても、手に取るようにわかるのでしょう。
[name="후미즈키"]  상대는 용문뿐만 아니라 그에 대해서도 아주 잘 아는 모양입니다.

[name="魏彦吾"]  文月，不可再多言！
[name="ウェイ"]  フミヅキ、これ以上余計なことは——
[name="웨이 옌우"]  후미즈키, 무슨 쓸데없는 소리를 하고 그래!

[name="文月"]  你管我？！
[name="フミヅキ"]  あなたに私が止められるとでも！？
[name="후미즈키"]  당신이 지금 그런 소리 할 때예요?!

[name="文月"]  医生，开价吧。我付得起。
[name="フミヅキ"]  ケルシー先生、金額を言ってください。いくらでも支払います。
[name="후미즈키"]  켈시 선생님, 가격을 제시해 주시죠. 비용이 얼마든 지불하겠습니다.

[name="凯尔希"]  文月小姐所说，我已经听懂了。钱不是必要的，只是二位现在，能不能稍稍听我说两句？
[name="ケルシー"]  フミヅキさんの仰りたいことはよくわかりました。金額云々はさておき、お二人とも、少し私の話を聞いていただけませんか？
[name="켈시"]  후미즈키 씨의 말씀은 저도 알겠습니다. 하지만 금전적인 부분은 둘째치고, 저도 두 분께 드릴 말씀이 있는데, 들어주시겠습니까?

[name="魏彦吾"]  ......医生。
[name="ウェイ"]  ……ケルシー君。
[name="웨이 옌우"]  켈시 선생……

[name="凯尔希"]  也许我不该在这时候进言。但恕我直言，龙门需要一些外力的帮助。
[name="ケルシー"]  このタイミングで申し上げるべきことではないかもしれませんが、率直に言って、今の龍門には外部の助力が必要です。
[name="켈시"]  지금 같은 상황에 이런 조언을 드려도 될지 모르겠습니다만, 솔직히 말씀드리면, 용문은 외부의 협력이 절실합니다.

[name="凯尔希"]  文月小姐，我可以继续说下去吗？
[name="ケルシー"]  フミヅキさん、このまま話を続けてもいいですか？
[name="켈시"]  후미즈키 씨, 계속해도 될까요?

[name="文月"]  你说吧。我可没有管别人说什么的习惯。
[name="フミヅキ"]  どうぞ。人様の話を遮るような不躾な真似は致しません。
[name="후미즈키"]  말씀하세요. 전 누구랑은 달리, 다른 사람이 말할 때 끼어드는 취미는 없으니까요.

[name="魏彦吾"]  ......荒唐......
[name="ウェイ"]  …………
[name="웨이 옌우"]  거 무슨 말을 그렇게……

[name="凯尔希"]  罗德岛只是一家制药公司。
[name="ケルシー"]  ロドスは一介の製薬会社です。
[name="켈시"]  로도스 아일랜드는 제약회사입니다.

[name="凯尔希"]  只是，这片大地的形势不允许任何人逍遥自在，何况是在市场、人事、政治倾向和国家利益中，均可能树敌无数的制药公司。
[name="ケルシー"]  ただ、この大地は誰にも自由を許しません。特に我々のような、無数の敵を作り得るビジネス理念や政治的スタンスを掲げる一企業に対しては。
[name="켈시"]  이 세상에선 누구도 자유로울 수 없습니다. 시장, 인사, 정치적 성향과 국가 이익 등에 치이는 저희도 어찌할 도리가 없죠. 저희도 언제든 수많은 적을 떠안을 수 있는 제약회사에 불과합니다.

[name="凯尔希"]  在各个国家的夹缝间游走，对于我们而言，也是无奈之举。
[name="ケルシー"]  各国の狭間を往来する生活も、仕方がないものです。
[name="켈시"]  여러 나라 사이를 오가는 것도 저희로서는 어쩔 수 없는 선택이고요.

[name="凯尔希"]  当我们面对各个势力施加给我们的巨大压力时，我们需要自己独特的制衡手段......
[name="ケルシー"]  もちろん各勢力からのプレッシャーに対しては、我々なりに安全と均衡を保つ手段を講じています。
[name="켈시"]  온갖 세력으로부터 압박을 받을 수 있으므로, 저희만의 견제 수단이 필요합니다만……

[name="凯尔希"]  不过，这些手段起效的前提是——这些出谋划策者的大脑中，切实还残留着哪怕一丝理智。
[name="ケルシー"]  しかし、そういった手段が効力を発揮する大前提として、各勢力の首脳に少しでも理性が残っていなければなりません。
[name="켈시"]  하지만 이 수단이 효과적으로 발휘되기 위해서는…… 압력을 가하는 주모자에게 조금의 이성이라도 남아 있어야 한다는 전제 조건이 깔려 있습니다.

[name="凯尔希"]  所以，在特殊状况随时都会发生的今日，我们罗德岛也必须准备好相应的对策。
[name="ケルシー"]  その大前提が危うくなり、特異な状況がいつでも起こりうる現在、ロドスもあらためて相応の対策を準備する必要があります。
[name="켈시"]  그래서, 특수한 상황이 언제고 발생해도 이상하지 않은 요즘 같은 때엔, 저희 로도스 아일랜드에서도 그에 상응하는 대책을 준비해야 하죠.

[name="魏彦吾"]  说重点。
[name="ウェイ"]  要点を言ってくれないか。
[name="웨이 옌우"]  요점으로 넘어가 줄 수 있겠나.

[name="凯尔希"]  我有一个建议。
[name="ケルシー"]  提案があります。
[name="켈시"]  한 가지 제안이 있습니다.

[name="魏彦吾"]  希望你的建议确实有用。
[name="ウェイ"]  実際に有益な提案だといいが。
[name="웨이 옌우"]  쓸만한 제안이길 바라지.

[name="凯尔希"]  魏先生，我不知道该不该向您透露这些信息。
[name="ケルシー"]  こちらからの提案の前に一つ事実をお伝えしておきます。これをミスター・ウェイに話すべきかは悩ましいところですが……
[name="켈시"]  웨이 장관님, 이 정보를 털어놔도 될지 모르겠습니다.

[name="凯尔希"]  请您相信，凭龙门的实力与魏先生的本领，想消灭罗德岛只需要一个眼神。
[name="ケルシー"]  龍門の実力とミスター・ウェイの手腕があれば、ロドスを握りつぶすことなど、目配せ一つで充分です。
[name="켈시"]  부디 믿어 주시기 바랍니다. 용문의 힘과 웨이 장관님의 능력이라면 로도스 아일랜드 정도는 눈 깜짝할 새에 소멸시킬 수 있을 겁니다.

[name="凯尔希"]  我们的设备再先进，也没办法和魏先生手下的队伍相提并论。
[name="ケルシー"]  我々の技術がどんなに進歩していても、ミスター・ウェイの率いる部隊とは勝負になりません。
[name="켈시"]  저희의 장비가 아무리 뛰어나다 한들, 웨이 장관님의 부대와는 비교도 할 수 없겠죠.

[name="凯尔希"]  如果忤逆您的意思，罗德岛一定血流成河。
[name="ケルシー"]  あなたに楯突けば、ロドスはきっと血の海に沈むでしょう。
[name="켈시"]  당신의 심기를 거슬렀다간, 로도스 아일랜드는 분명 피바다가 될 겁니다.

[name="凯尔希"]  ......
[name="ケルシー"]  …………
[name="켈시"]  ……

[name="魏彦吾"]  请说。你与阿米娅小姐大可放心，我没有余力再去针对罗德岛。
[name="ウェイ"]  ケルシー君、アーミヤ君も心配は無用だ。この状況でロドスと敵対する余力は私にはない。
[name="웨이 옌우"]  말해보게. 켈시 선생도 아미야 씨도 안심하도록. 나에겐 지금 로도스 아일랜드까지 상대할 여력은 없으니까.

[name="魏彦吾"]  所以，没什么好忌讳的。
[name="ウェイ"]  だから追従や忖度は無用だ。思うことは何でも言ってくれ。
[name="웨이 옌우"]  그러니 거리낌 없이 말해보게.

[name="凯尔希"]  好的。
[name="ケルシー"]  ありがとうございます。
[name="켈시"]  알겠습니다.

[name="凯尔希"]  在我们与魏先生第一次交流时，魏先生也对我们拥有的武装力量十分好奇。
[name="ケルシー"]  我々が初めてミスター・ウェイと接触した際に、あなたはロドスの武装について興味を示されました。
[name="켈시"]  저희가 처음 교류를 시작했을 때, 웨이 장관님은 저희의 군사력에도 큰 관심을 보이셨죠.

[name="凯尔希"]  现在我可以坦白：就像刚才我说的那样，在这方面，罗德岛根本不配与龙门比较。
[name="ケルシー"]  今なら認めますが、先ほど申し上げた通り、武装面でロドスは龍門の足元にも及びません。
[name="켈시"]  하지만 지금은 솔직히 말씀드리겠습니다. 방금 말씀드렸듯이, 군사적인 방면에서 로도스는 애초에 용문과 비교가 되질 않습니다.

[name="凯尔希"]  只是，无论是多强的武装力量都会被局势束缚，之间的区别，仅在于程度不一而同。
[name="ケルシー"]  ただ、どんなに強大な武力も、効力の多寡はその時の状況によって左右されるものです。程度の違いはあれどそれは必ずあると言ってもいい。
[name="켈시"]  하지만, 아무리 강력한 군사력을 갖췄더라도, 그 정도의 차이가 있을 뿐 전세에 따라 어느 정도 제한을 받는 건 피할 수 없는 일이죠.

[name="凯尔希"]  即使是您的队伍，被人捆住手脚也一样无处发挥。哪怕是您亲自上阵，对方依然有办法拿到你的把柄。
[name="ケルシー"]  たとえあなたの部隊でも、何がしかの制限をされていれば、十全な能力を発揮できなくなります。あなた自らが戦場に出た場合でも、相手が弱みを握っている可能性は無視できません。
[name="켈시"]  아무리 당신의 부대라도 발이 묶여 버리면 아무것도 할 수 없을 겁니다. 설사 장관님이 직접 지휘에 나선다 해도, 상대에겐 분명 당신의 꼬리를 잡을 방법이 있을 겁니다.

[name="凯尔希"]  事实上，我的同僚曾在一场筹款晚会上遇见过科西切公爵与她的养女。
[name="ケルシー"]  実は、かつての私の同僚が、ある慈善パーティーでコシチェイ公爵とその養女に会いました。
[name="켈시"]  사실 제 동료가 예전에 한 자선 파티에서 카셰이 공작과 그의 양녀를 본 적이 있습니다.

[name="凯尔希"]  不是人口买卖的会场，也并非纵欲狂欢的贵族娱乐。那一次晚会上出席的所有人，都代表着不同的诉求和权力实体。
