古米是宿舍里第二个醒来的人，她有个习惯。
グムは、ズィマー、イースチナとの三人が暮らす宿舎で二番目に目覚める。彼女には習慣がある。
Gummy is the second one in her dorm to wake up every morning. And she has a habit.

一旦被真理叫醒，她就会握握真理的手，然后用同样的方法到隔壁去叫醒凛冬。
イースチナに起こされると、彼女の手を握り、同じ方法で隣のベッドのズィマーを起こすのだ。
As soon as Istina wakes her, they share a handshake. Gummy then goes next door to wake Zima in the same fashion.

至于凛冬握不握她的手，纯看“冬将军”醒来时的心情。
ただし、ズィマーが彼女の手を握るかどうかは、「冬将軍」が目覚めた時の機嫌次第ではあるが。
Whether "The General" decides to shake her hand or not depends entirely on her mood.

6:30 a.m.
6:30 a.m.
6:30 a.m.

罗德岛宿舍区  真理与古米的宿舍
[name="Ceobe"]  Yummy goodies, here I come!

[name="古米"]  呜啊啊小刻你不能进去！！
[name="グム"]  わああケーちゃんここに入ってきたらダメだよ！！
[name="Gummy"]  Wooaahh! Kay, you can’t go in there!

[name="刻俄柏"]  不行吗？
[name="ケオベ"]  ダメなの？
[name="Ceobe"]  I can’t?

[name="古米"]  不行！你看到门上那个贴纸了吗？
[name="グム"]  ダメ！　扉に張ってある紙は見た？
[name="Gummy"]  You can’t! Don’t you see the sign on the door?

[name="刻俄柏"]  看到了。
[name="ケオベ"]  見たよ。
[name="Ceobe"]  I see it.

[name="刻俄柏"]  一个红的圆圈里有根斜着的红线。
[name="ケオベ"]  赤いまん丸に斜めの線が描いてあった。
[name="Ceobe"]  I see a red circle with a tilty red line going through it.

[name="刻俄柏"]  还有小刻。
[name="ケオベ"]  あとケーちゃんの顔も！
[name="Ceobe"]  I also see Kay.

[name="古米"]  这是“小刻禁止入内”的意思，明白吗？
[name="グム"]  それは「ケーちゃん進入禁止」って意味だよ、わかる？
[name="Gummy"]  That means "Kay is not allowed in here." Got it?

[name="刻俄柏"]  明白。
[name="ケオベ"]  わかるよ。
[name="Ceobe"]  Got it.

[name="古米"]  明白为什么还要往里面走！
[name="グム"]  わかるならなんで入ってくるの！
[name="Gummy"]  If you get it, why are you still going in?!

[name="刻俄柏"]  饿了。
[name="ケオベ"]  お腹空いた。
[name="Ceobe"]  Hungry.

[name="古米"]  饿了可以去那边排队买东西吃。
[name="グム"]  それならあそこに並んで注文してから食べて。
[name="Gummy"]  If you’re hungry, you can just get in line and order something to eat.

[name="刻俄柏"]  饿了。
[name="ケオベ"]  お腹空いた。
[name="Ceobe"]  Hungry.

[name="古米"]  总，总之，小刻不能进去！
[name="グム"]  と、とにかく、ケーちゃんは入ってきちゃダメなの！　あそこに並んで！
[name="Gummy"]  Y- You’re not allowed in there!

[name="刻俄柏"]  饿了！
[name="ケオベ"]  お腹空いた！
[name="Ceobe"]  But I’m hungry!

[name="古米"]  好好好古米想想办法！！
[name="グム"]  えーっと、うーんと……わかった、グムがどうにかするから！！
[name="Gummy"]  Fine, fine! I’ll think of something!!

[name="古米"]  嗯......
[name="グム"]  でもどうしたら……うーん……あっ！
[name="Gummy"]  Hmm...

[name="古米"]  如果......
[name="グム"]  ねえケーちゃん。もし……
[name="Gummy"]  What if I...

[name="古米"]  如果古米把这块饼干给你，你能答应古米不进去吗？
[name="グム"]  グムがこのクッキーをあげたら、出ていくって約束してくれる？
[name="Gummy"]  If I give you this cookie, will you promise not to go inside?

[name="刻俄柏"]  （嗅嗅）
[name="ケオベ"]  （くんくん）
[name="Ceobe"]  *sniff* *sniff*

[name="刻俄柏"]  嗯！
[name="ケオベ"]  うん！
[name="Ceobe"]  Mm!

[name="刻俄柏"]  好的好的！
[name="ケオベ"]  いいよ！
[name="Ceobe"]  Okay, okay!

[name="古米"]  给......
[name="グム"]  じゃあ、はい……
[name="Gummy"]  Here...

[name="刻俄柏"]  谢谢！
[name="ケオベ"]  ありがとう！
[name="Ceobe"]  Thanks!

[name="古米"]  不客气......
[name="グム"]  どういたしまして……
[name="Gummy"]  You’re welcome...

[name="古米"]  哈......终于走了......
[name="グム"]  はぁ……やっと出ていった……
[name="Gummy"]  *sigh*... She finally left...

咕噜噜噜————
ぐるるるる――――
*Grrrrrrrrrrrrr~~~~*

[name="古米"]  还有，还有活要干，只剩一个菜了......
[name="グム"]  まだ、まだ仕事が残ってるよ、あと一品……
[name="Gummy"]  There’s... there’s still... one more to go...

[name="古米"]  再熬一下，一下就好。
[name="グム"]  もう少しだけ、少しだけだから。
[name="Gummy"]  Just hold on... just a little longer!

咕噜噜噜噜————
ぐるるるるる――――
*Grrrrrrrrrrrrr~~~~*

[name="古米"]  饭勺好重......
[name="グム"]  うう、おたまが重いよ……
[name="Gummy"]  Why’s the ladle so heavy......

[name="古米"]  铲不动菜......
[name="グム"]  フライパンももう振れない……
[name="Gummy"]  I can’t even scoop up the food......

[name="古米"]  ......
[name="グム"]  ……
[name="Gummy"]  ......

[name="古米"]  不行了，古米也要吃东西。
[name="グム"]  もうダメ！　グムも食べる！
[name="Gummy"]  I can’t do this anymore. I have to eat something!

古米有个习惯，如果饿坏了
グムには習慣がある。彼女は飢餓状態になると――
Gummy has a habit. When she’s famished, something takes hold of her,

会不受控制地找东西吃
制御不能で食べる。
And she can’t resist her urge to eat...

什么都吃
なんでも食べる。
...anything and everything.

[name="古米"]  ......
[name="グム"]  ……
[name="Gummy"]  ......

[name="古米"]  这是什么？
[name="グム"]  これはなにかな？
[name="Gummy"]  What’s this?

[name="？？？"]  钴眯妮撍嚒惹？
[name="？？？"]  ウム、ろうしあの？
[name="???"]  The hell ya doin’, Gummy?

[name="古米"]  软软的，呼呼，一定很好吃。
[name="グム"]  わあ、柔らかぁい！　えへへ、これ、絶対美味しいよ。
[name="Gummy"]  So soft... Mmmhh.... It must be delicious.

[name="古米"]  啊，啊啊。
[name="グム"]  あーん。
[name="Gummy"]  Ah, mm....

[name="古米"]  啊呜。
[name="グム"]  あむ。
[name="Gummy"]  *chomp*

[name="坚雷"]  唔啊啊啊啊！！！
[name="ジュナー"]  うわああああ！！！
[name="Dur-nar"]  Gyahhhhhhh!!!

[name="古米"]  唉？
[name="グム"]  あれ？
[name="Gummy"]  Eh?

[name="坚雷"]  古米你咬我腰干嘛？
[name="ジュナー"]  グム！　なんで急に腰に噛み付くの！
[name="Dur-nar"]  Gummy, why are you chewing on my hip?

[name="古米"]  啊，呃，唔唔。
[name="グム"]  えっ、うーん、あれれ？
[name="Gummy"]  Ah, mm, hmm...

[name="古米"]  对不起教官！！！
[name="グム"]  ご、ごめんなさい教官！！！
[name="Gummy"]  S-sorry, Instructor!

11:55 a.m.
11:55 a.m.
11:55 a.m.

罗德岛食堂   用餐区
ロドス食堂 食事エリア
Rhodes Island Cafeteria - Dining Area

[name="古米"]  （吞食面包）
[name="グム"]  （パンを丸呑み）
[name="Gummy"]  (Gummy is practically inhaling the bread in her hands...)

[name="古米"]  （一口闷汤）
[name="グム"]  （一口でスープを飲み干す）
[name="Gummy"]  (...washing it down with a swig of soup.)

[name="坚雷"]  不，不急啊，古米，慢慢吃，下午还要训练呢，啊。
[name="ジュナー"]  あ、慌てないでグム。ゆっくりよく噛んで食べなさい。午後には訓練もあるんだから。
[name="Dur-nar"]  C-calm down, Gummy, the food’s not going anywhere. And we got training in the afternoon, y’know.

[name="古米"]  （光盘行动）
[name="グム"]  （きれいに平らげる）
[name="Gummy"]  (She doesn’t leave a single scrap on her plate...)

[name="古米"]  （再来一份）
[name="グム"]  （おかわり）
[name="Gummy"]  (...and doesn’t hesitate to reach for seconds.)

[name="坚雷"]  古米？
[name="ジュナー"]  グム？
[name="Dur-nar"]  Gummy?

[name="古米"]  （横扫千食）
[name="グム"]  （食べ物バキューム）
[name="Gummy"]  (In no time, she’s gobbled up an entire table full of food.)

[name="坚雷"]  看来现在不太方便打扰她呢......
[name="ジュナー"]  今は話しかけない方がいいみたいね……
[name="Dur-nar"]  Guess you’re not feeling talkative...

[name="坚雷"]  等一会好了。
[name="ジュナー"]  小言は後にしましょ。
[name="Dur-nar"]  I’ll get back to you later.

[name="古米"]  唔啊，终于活过来了！
[name="グム"]  ふわぁ、生き返った！
[name="Gummy"]  Whew. I feel like a whole new Gummy!

[name="古米"]  教官，你不饿吗？
[name="グム"]  あれ？　教官は食べないの？　お腹空いてないの？
[name="Gummy"]  Instructor, don’t you want to eat?

[name="坚雷"]  饿啊，只是我刚把吃的拿过来，就到你肚子里了。
[name="ジュナー"]  そりゃもちろん空いてるけど、私が持ってきた料理は全部あなたのお腹の中よ。
[name="Dur-nar"]  Sure do. But somehow all the food I brought out disappeared into your belly.

[name="古米"]  对不起教官！！
[name="グム"]  えっ、ごめんなさい教官！！
[name="Gummy"]  I’m so sorry, Instructor!!

[name="坚雷"]  没事没事，我再去拿就好了。
[name="ジュナー"]  いいわよ、また取ってくればいいだけだから。
[name="Dur-nar"]  Don’t worry about it, I can always get more.

[name="坚雷"]  不过，你怎么会饿成这样，早饭没好好吃吗？
[name="ジュナー"]  でも、そこまでお腹を空かせてたなんてね。朝ご飯食べてないの？
[name="Dur-nar"]  By the way, how’d you end up so hungry? You skip breakfast or something?

[name="古米"]  今天早上醒晚了，没来得及吃饱，所以就......
[name="グム"]  今日の朝はちょっと寝坊しちゃって、食べる時間がなかったの。だから……
[name="Gummy"]  I overslept this morning and didn’t have time to eat, so...

[name="坚雷"]  你啊，或许是那种吃不饱的类型哦。
[name="ジュナー"]  なるほどね。それにしても、すごい量を食べたわね。あなたはもしかすると、どれだけ食べても食べ足りないってタイプかもね。
[name="Dur-nar"]  Y’know, you might just be that type of girl. With a bottomless pit for a stomach.

[name="古米"]  是吗？
[name="グム"]  そうなの？
[name="Gummy"]  Really?

[name="坚雷"]  是哦，就像那边那个一样。
[name="ジュナー"]  ええ、たぶん。あそこのあの子と同じで。
[name="Dur-nar"]  Yup, just like that one over there.

[name="古米"]  小刻怎么又开始往厨房冲了？！我得——
[name="グム"]  ケーちゃん……どうしてまたキッチンに行こうとしてるの！？　グムが――
[name="Gummy"]  Kay? She’s charging the kitchen again?! I better—

[name="坚雷"]  没事没事，厨房有人专门负责盯着她，门口也专门放了些好吃的来做缓冲，就算溜进去，也没多大影响。
[name="ジュナー"]  大丈夫大丈夫、キッチンには専属の見張り役がいるし、入り口にもおやつを置いて足止めできるようにしてあるから。中に入られても大きな影響は出ないはずよ。
[name="Dur-nar"]  Relax, we got someone keeping an eye on her. Plus, they laid out some goodies near the door just in case she gets in. She won’t make it to anything important.

[name="古米"]  我还以为厨房门口的零食篮是给大家上岗前充饥用的。
[name="グム"]  あのおやつカゴ？　あれは仕事前に腹ごしらえするためのものだって思ってたよ。
[name="Gummy"]  Oh, I thought those were welcome baskets for new recruits...

[name="坚雷"]  也有这部分因素在内吧，只要达到效果就行。
[name="ジュナー"]  そのためでもあるだろうけど、効果があればいいのよ。
[name="Dur-nar"]  Yeah that too. Whatever gets the job done.

[name="坚雷"]  看，这不是出来了？
[name="ジュナー"]  ほら、出てきたでしょ？
[name="Dur-nar"]  See, she’s done.

[name="坚雷"]  要是把那扇门封死，她肯定会很伤心的，偶尔让进进门，享受一下胜利，刻俄柏就添不了太多麻烦。
[name="ジュナー"]  もしあのドアを閉め切っちゃったら、あの子はきっと傷つくわ。たまには中に入れてあげて、勝利を経験させてあげないと。そうすればあの子もそこまで大きな面倒事は起こさないでしょうし。
[name="Dur-nar"]  If we sealed that door, it’d hurt her feelings. Letting her in every now and then lets her feel like she won. And it doesn’t cost us much.

[name="古米"]  原来是这样。
[name="グム"]  そういうことだったんだ。
[name="Gummy"]  Oh...

[name="古米"]  那，门口负责看着她的是谁呢？
[name="グム"]  じゃあ、見張り役っていうのは誰？
[name="Gummy"]  Um, so who’s in charge of keeping an eye on her?

[name="坚雷"]  今天的话，远山吧。
[name="ジュナー"]  今日はギターノのはずよ。
[name="Dur-nar"]  Gitano’s on duty today.

[name="古米"]  原来如此，远山姐姐的话的确是什么都能预料到呢。
[name="グム"]  なぁるほど！　ギターノお姉ちゃんならきっと最初から、この結果もお見通しだね。
[name="Gummy"]  Good choice. She’s always got it together.

[name="坚雷"]  对了，我有个问题想问问你，和下午的训练也有些关系。
[name="ジュナー"]  そうだ。ねえグム、ひとつ聞きたいことがあるの。午後の訓練にも関わることなんだけど。
[name="Dur-nar"]  That reminds me, I have to ask you something. It has to do with training.

[name="古米"]  嗯，您问吧教官。
[name="グム"]  うん、何でも聞いて。
[name="Gummy"]  Mm, sure. What is it?

[name="坚雷"]  你好像没法连续快速地挥动手臂呢，能告诉我原因吗？
[name="ジュナー"]  あなたは腕を連続して素早く振れない、あるいは振らないようにしてるように見えるけど、理由を教えてくれる？
[name="Dur-nar"]  I notice you have trouble moving your arms, especially in quick, repetitive motions. Why is that?

[name="古米"]  唉？
[name="グム"]  えっ？
[name="Gummy"]  Eh?

[name="坚雷"]  实战的时候也是，在厨房做切配的时候也是，只要挥两下手就会顿住。
[name="ジュナー"]  実戦の時も、キッチンで包丁を使う時も、二回腕を振ったらそこで一旦止まるでしょ。
[name="Dur-nar"]  I’ve watched you in combat, and it’s the same in the kitchen. You get two good strokes in and then you have to stop.

[name="古米"]  大概是......习惯吧。
[name="グム"]  多分……習慣……だと思うよ。
[name="Gummy"]  I guess... it’s a habit?

[name="坚雷"]  习惯——吗。这可不是个好习惯，能试着矫正一下吗？
[name="ジュナー"]  習慣――ね。それなら仕方ないって言ってあげたいところだけど、良い習慣とは言えないわ。直るかどうか試してみない？
