0:00 A.M.    天气/沙尘
[name="槐琥"]   ......你没听明白吗？如果只是那些混混倒还好说，可如果是一个有组织有规模的帮派组织，我们当然不能轻举妄动。
[name="ワイフー"]   ……あなた今の話聞いてました？　ただの不良集団であれば、まだ私たちで何とかできます。しかしもし組織的で大規模なマフィアだとしたら、軽率な行動は慎むべきです。
[name="Waai Fu"]   ...You were listening, weren't you? A bunch of street thugs is one thing, but if we're dealing with a large-scale organized syndicate, we can't just go in there and start throwing punches.
[name="와이후"]   ……무슨 말인지 못 알아들었어요? 그냥 시시한 불량배라면 모를까, 조직적이고 규모 있는 마피아 집단이라도 된다면, 섣불리 움직여선 안 된다고요.

[name="孑"]   “不能轻举妄动”，也不是毫无办法，对吧。
[name="ジェイ"]   「軽率な行動は慎むべき」だけど、全く方法がないわけじゃねぇってこったな。
[name="Jaye"]   We have other options besides going in there and starting to throw punches, don't we?
[name="제이"]   "섣불리 움직여선 안 된다"곤 해도, 아예 방법이 없는 건 아니잖아?

[name="槐琥"]   你竟然会和我抠字眼？
[name="ワイフー"]   まさかあなたがそんなところに気づくとは。
[name="Waai Fu"]   Are you really going to nail me on semantics?
[name="와이후"]   지금 저랑 말장난할 때에요?

[name="孑"]   我没在开玩笑。
[name="ジェイ"]   冗談で言ってるわけじゃねぇぞ。
[name="Jaye"]   I'm not joking.
[name="제이"]   농담 아니다.

[name="槐琥"]   ......阿伯他没事吧？
[name="ワイフー"]   ……おじさんは無事ですよね？
[name="Waai Fu"]   ...Is Uncle Tung okay?
[name="와이후"]   ……아저씨는 좀 어떠세요?

[name="孑"]   伤不重，但这已经不重要了。
[name="ジェイ"]   ああ、傷は浅せぇさ。でもそれはもう重要じゃねぇ。
[name="Jaye"]   He wasn't hurt badly. But that's not the point.
[name="제이"]   많이 다치지는 않았어. 근데 이젠, 그게 중요한 게 아니야.

[name="槐琥"]   ——没错，的确不重要了。如果只是黑吃黑的案子，我才不想多管闲事。
[name="ワイフー"]   ——ええ、確かに重要ではありません。もしただ闇組織同士の潰し合いなら、私もこんなにしゃしゃり出ようとは思いません。
[name="Waai Fu"]   Right. It's not. If this were just some underworld spat, I wouldn't get involved.
[name="와이후"]   ……그렇죠, 더 큰 문제가 있으니. 혹시라도 어둠의 조직끼리 붙는 싸움이라면, 전 쓸데없이 참견하고 싶지 않겠지만……

[name="槐琥"]   但在我的眼前伤及无辜，我可不能由着他们胡作非为。
[name="ワイフー"]   ですが私の目の前で罪もない一般人を傷つけました。奴らの身勝手で不埒な振る舞いを、このまま野放しにしておくことなど、私にはできません。
[name="Waai Fu"]   But when I see the wicked strike the innocent before my very eyes, I can't sit idly by and let them run amok.
[name="와이후"]   제 눈앞에서 무고한 사람이 다쳤으니, 녀석들 마음대로 굴도록 둘 순 없어요.

[name="孑"]   ......谢谢，之后请你吃鱼丸。
[name="ジェイ"]   ……そいつは、ありがてぇ。後で魚団子を奢らせてくんな。
[name="Jaye"]   ...Thanks. You've earned some finballs. On me.
[name="제이"]   ……고마워, 나중에 어묵 대접할게.

[name="槐琥"]   鱼丸就不必了......
[name="ワイフー"]   別にいりませんが……。
[name="Waai Fu"]   I don't need finballs...
[name="와이후"]   어묵은 됐어요……

[name="槐琥"]   对了。
[name="ワイフー"]   そうだ。
[name="Waai Fu"]   By the way,
[name="와이후"]   아 참.

[name="槐琥"]   今晚的事件，也和企鹅物流有关系。他们根本没打算掩饰，一点都没。
[name="ワイフー"]   今夜の事件ですが、ペンギン急便も関係しています。あの方々は元より何かを隠して動くような人たちではないですからね。
[name="Waai Fu"]   This business tonight has something to do with Penguin Logistics. They're not even trying to cover up their involvement.
[name="와이후"]   오늘 밤 일은 펭귄 로지스틱스와도 연관이 있어요. 그분들은 애초에 전혀 숨길 마음이 없는 것 같던데…

[name="孑"]   他们不是坏人，大概也是被卷进去的吧。
[name="ジェイ"]   ああ、あの連中は悪人じゃねぇよ。どうせまた、巻き込まれたクチだろうな。
[name="Jaye"]   They're good people. They probably just got mixed up in it somehow.
[name="제이"]   그 사람들은 나쁜 사람은 아냐. 아마 말려든 거겠지.

[name="槐琥"]   今年到现在已经被卷进去几十次了？他们应该更注意一点，不要总是惹是生非。
[name="ワイフー"]   それにしても、今年に入ってからもう何十回巻き込まれてるんですかね？　あの方々には一層注意すべきです。すぐにいざこざを起こしますから。
[name="Waai Fu"]   They've gotten "mixed up in things somehow" dozens of times this year alone. They need to be a little more careful, and stop making trouble for everyone.
[name="와이후"]   말려든 일이 올해만 해도 벌써 몇십 번은 되지 않나요? 그분들껜 자꾸 말썽 일으키지 말라고 주의를 좀 줘야겠어요.

[name="槐琥"]   如果有机会见到他们，有必要警告他们一下。
[name="ワイフー"]   もしあの方々に会うチャンスがあれば、これは注意する必要がありますね。
[name="Waai Fu"]   If we run into them, we'll have to give them a warning.
[name="와이후"]   다음에 만날 기회가 있다면, 경고해둬야겠네요.

[name="卡彭"]   沙子，源石技艺，法术，哼。
[name="カポネ"]   砂にアーツ、か。フン。
[name="Capone"]   Sand Originium Arts. Hmph.
[name="카포네"]   모래… 오리지늄 아츠인가, 흥.

[name="卡彭"]   想来也是，掌控龙门暗面的怪物，总不能真的是个花架子。
[name="カポネ"]   ま、そりゃそうだ。龍門の闇を牛耳ってる怪物が、単なるお飾りのワケねぇわな。
[name="Capone"]   Guess the freak running Lungmen's underworld had to have some teeth to him.
[name="카포네"]   하긴, 용문의 어둠을 장악한 괴물이 정말 겉만 번지르르할 리가 없지.

[name="黑帮"]   难道卡彭先生的意思是？
[name="マフィア"]   まさかカポネさんが仰っているのは？
[name="Mafioso"]   Mr. Capone, you don't mean...?
[name="마피아"]   설마 카포네 님 말씀은……

[name="卡彭"]   当然是最不该招惹的人，不然呢？
[name="カポネ"]   当然最も敵に回しちゃいけないあの人のことだ。わかるだろ？
[name="Capone"]   He ain't the kinda guy you wanna piss off, capiche?
[name="카포네"]   그야 당연히, 가장 건드려선 안 되는 사람을 말하는 거다. 누가 더 있겠어?

[name="黑帮"]   鼠王？但是，我们岂不是要同时对付首领、企鹅物流，还有......
[name="マフィア"]   鼠王？　まさか俺たち、同時にこれだけの勢力とやり合うことになるなんて。ボスにペンギン急便、それから……。
[name="Mafioso"]   The Rat King? But we're facing off against the boss, Penguin Logistics, and...
[name="마피아"]   래트킹 말씀입니까? 하지만 저희는 보스와 펭귄 로지스틱스를 동시에 상대해야 하지 않습니까. 그리고……

[name="卡彭"]   还有半座龙门。没错，情况不容乐观，所以，一步都不能走错。
[name="カポネ"]   それから龍門の半分。そうさ、楽観視なんて全くできねぇ状況なんだよ。こっから先は一歩でも踏み間違えるとヤバい。
[name="Capone"]   And half of Lungmen. Yeah, the outlook ain't so rosy. No room for mistakes.
[name="카포네"]   그리고 용문도 반쯤은 상대해야 하지. 그래, 상황이 좋지 않아. 그러니 더더욱 조금의 실수도 용납할 수 없다.

[name="黑帮"]   卡、卡彭先生，您这是做什么？请把弩放下！
[name="マフィア"]   か、カポネさん、何するんですか？　武器を下ろしてください！
[name="Mafioso"]   What're you doing, Mr. Capone? Put down the crossbow!
[name="마피아"]   카, 카포네 님, 지금 뭐 하시는 겁니까? 석궁 내려 놓으십쇼!

[name="卡彭"]   你以为背叛家族真的是一件小事吗？
[name="カポネ"]   なぁ、ファミリーへの裏切りは大したことじゃない……と、お前は本気で思ってんのか？
[name="Capone"]   You thought going against the Family would be easy?
[name="카포네"]   패밀리를 배신하는 게 정말 가벼운 일인 줄 아나? 어?!!!

[name="卡彭"]   愿意追随我在龙门扎根，做好了不惜背叛甘比诺也要活下去的准备，我记得他们每一个人的脸。
[name="カポネ"]   俺はな、俺が龍門に根を下ろすのに付いてきて、生き抜くためにはガンビーノさえも裏切ることを決意した連中の顔を、一人残らず覚えてんだよ。
[name="Capone"]   I remember the face of every last man who agreed to follow me to Lungmen, who's ready to betray Gambino for the sake of survival.
[name="카포네"]   나는 말이야, 용문에서 자리 잡겠다고 발버둥치는 날 따라와 준다고, 감비노를 배신하는 일도 불사하고 같이 버텨준 녀석들의 얼굴을 하나하나 다 기억해.

[name="卡彭"]   而你并不在其列，甘比诺的走狗，去死吧。
[name="カポネ"]   だがお前ぇのそのツラは知らねぇな。ガンビーノの犬め、死ね。
[name="Capone"]   And you ain't one of 'em. Take a dirt nap, Gambino dog.
[name="카포네"]   하지만 그중에 너는 없었지. 감비노의 개가 어디서 감히… 죽어라.

[name="卡彭"]   滚出来。
[name="カポネ"]   おい、いるんだろ。出てこい。
[name="Capone"]   Get outta here.
[name="카포네"]   어이, 거기 있는 거 다 안다, 나와.

[name="甘比诺"]   我本以为你只是个忘恩负义的混账，看来你收买人心还是很有一套的。
[name="ガンビーノ"]   俺は、お前はただの恩知らずのロクデナシだと思ってたけどよ。まさか人を篭絡する方面で才があるなんて知らなかったぜ。
[name="Gambino"]   Here I thought you were just an ungrateful cazzo. Now I see you learned to buy and sell men.
[name="감비노"]   그저 배은망덕한 놈인 줄만 알았는데, 이제 보니 사람 마음 사는 데도 일가견이 있구나.

[name="卡彭"]   说起来，这还是你教我的。
[name="カポネ"]   そいつはお前から教わったけどな。
[name="Capone"]   Who do you think taught me?
[name="카포네"]   몰랐어? 다 너한테 배운 거잖아.

[name="甘比诺"]   我怎么不记得？
[name="ガンビーノ"]   ほぉ。身に覚えがねぇな。
[name="Gambino"]   Sure as hell wasn't me.
[name="감비노"]   난 기억 안 나는데?

[name="卡彭"]   你曾经赢得过我的效忠，再让我失望至极，我可不会重蹈覆辙。
[name="カポネ"]   お前はかつてこの俺の忠誠心を勝ち取ったが、俺を地の底まで失望させた。俺は決して同じ轍は踏まねぇ。
[name="Capone"]   You earned my loyalty. Then you let me down harder than anything ever has. I won't make that same mistake.
[name="카포네"]   내가 너한테 충성했던 만큼, 난 너한테 매우 실망했다. 이번엔 똑같은 실수를 반복하진 않을 거다.

[name="甘比诺"]   背叛意味着什么，你应该明白。
[name="ガンビーノ"]   お前なぁ、裏切りってやつが何を意味するのか、分かってるよな。
[name="Gambino"]   You know what betrayal means, don't you?
[name="감비노"]   배신이 뭘 의미하는지, 너라면 잘 알겠지.

[name="卡彭"]   背叛是叙拉古最肮脏的罪名，但可惜，你所拥戴的荣誉在龙门毫无价值。
[name="カポネ"]   裏切りはシラクーザで最も汚らわしい罪名だ。だが惜しいことに、お前が望む栄誉は、この龍門では一ミリの価値もない。
[name="Capone"]   It's Siracusa's greatest crime. But too bad for you, your honor and glory ain't worth shit in Lungmen.
[name="카포네"]   배신은 시라쿠사에서나 가장 더러운 죄명이지. 하지만 아쉽게도, 네가 가진 명예는 용문에선 아무런 가치도 없다.

[name="甘比诺"]   收下这个吧。
[name="ガンビーノ"]   コイツを受け取れよ。
[name="Gambino"]   Take it.
[name="감비노"]   이걸 받아라.

[name="卡彭"]   ——黑桃J？
[name="カポネ"]   ——スペードのジャック？
[name="Capone"]   ...the Jack of Spades?
[name="카포네"]   ……스페이드 J?

[name="甘比诺"]   我说过，你藏牌的速度太慢了！
[name="ガンビーノ"]   お前のカード捌きは遅すぎるって言ったんだろうが！
[name="Gambino"]   I told you. You deal too slow!
[name="감비노"]   내가 그랬지, 넌 패를 숨기는 속도가 너무 느리다고!

[name="卡彭"]   你的剑更迟钝了，甘比诺，和企鹅物流的厮杀让你负伤了吗？还是说，旧伤复发？
[name="カポネ"]   お前こそ剣が鈍ってるぜ、ガンビーノ。ペンギン急便とのやり合いで傷でも負ったのか？　それとも古傷が開いたか？
[name="Capone"]   You're even slower with that sword, Gambino. You get hurt in your fight with the Penguins? Or are we openin' old wounds?
[name="카포네"]   네 칼은 느려 터졌군, 감비노. 펭귄 로지스틱스와의 싸움에서 다치기라도 했나? 아니면 옛 상처라도 다시 터진 거냐?

[name="甘比诺"]   你的懦弱让我感到心寒，我只是在考虑怎样的血腥下场才适合叛徒。
[name="ガンビーノ"]   お前のビビりにはがっかりだぜ。裏切り者に相応しい血生臭い死に様を考えてやるよ。
[name="Gambino"]   Seeing you turn coward like this makes me sick. I'm stuck thinkin' about how I should kill a traitor like you.
[name="감비노"]   너무 나약해서 안타까울 정도네. 그냥 생각하고 있었던 거다. 어떤 피비린내 나는 결말이 배신자의 말로로 어울릴지.

[name="卡彭"]   现在，你才是多余的那张牌。
[name="カポネ"]   この龍門だと、お前こそがその余ったカードだぜ。
[name="Capone"]   You're the Joker here now.
[name="카포네"]   지금 이 용문에서는, 너야말로 버려진 패다.

[name="卡彭"]   然后呢？你打算做什么？打败企鹅物流，打败鼠王，打败龙门近卫局，再打败魏彦吾？
[name="カポネ"]   それで？　お前は何をするつもりだ？　ペンギン急便を潰して、鼠王に近衛局、ウェイまでも倒すつもりか？
[name="Capone"]   What's next? What're you gonna do? You take out Penguin Logistics? You take out the Rat King? You take out the LGD? You take out Wei Yenwu?
[name="카포네"]   그래서 뭐? 이제 와서 뭘 어쩌자고? 펭귄 로지스틱스를 쓰러뜨리고, 래트킹을 쓰러뜨리고, 용문근위국을 쓰러뜨리고, 그다음엔 뭐? 웨이옌우까지 쓰러뜨리게?

[name="卡彭"]   反正都要做梦，不如就别醒了吧。
[name="カポネ"]   そんな夢物語が見てぇなら、永遠に寝かしつけてやろうか？
[name="Capone"]   You're dreaming. Why not fall asleep forever?
[name="카포네"]   어차피 꿈속에 살 거라면, 그냥 영원히 깨어나지 마라.

[name="甘比诺"]   放心，至少我会把你的骨灰送回叙拉古。或者，让你的故乡把你的尸骸碾成粉末。
[name="ガンビーノ"]   安心しろ、お前の骨灰はちゃんとシラクーザに戻してやるからよ。それとも、故郷そのものに轢かれて粉々になる方が好みか？
[name="Gambino"]   Don't worry, I'll send your ashes back to Siracusa. Maybe I'll have the old village grind your corpse up.
[name="감비노"]   안심해, 적어도 네 뼛가루는 시라쿠사로 돌려보내 줄 테니. 아니면 네 고향에서 네 시체를 가루로 만들어 버려도 나쁘진 않겠지.

[name="黑帮A"]   站住，你们是——！？
[name="マフィアA"]   止まれ、お前らは——！？
[name="Mafioso A"]   Woah, what're you...?!
[name="마피아A"]   거기 서, 너희는……?!

[name="甘比诺"]   ——什么？
[name="ガンビーノ"]   ——なんだ？
[name="Gambino"]   ...What?
[name="감비노"]   ……뭐냐?

[name="卡彭"]   看来，有人搅局。
[name="カポネ"]   邪魔が入ったようだな。
[name="Capone"]   Sounds like we got party crashers.
[name="카포네"]   훼방꾼이 나타났나 보군.

[name="甘比诺"]   ......没能快点杀了你是我的错，但是，先迎接一下外来者吧。
[name="ガンビーノ"]   ……すぐにお前を殺さなかったのは俺のミスだ。だがよ、まずはよそ者を歓迎してやろうぜ。
[name="Gambino"]   ...I shoulda killed you quicker. But now we gotta play host.
[name="감비노"]   ……역시 진작에 널 죽여놔야 했어. 뭐 일단은, 손님부터 맞아볼까.

[name="黑帮A"]   拦住他们！唔呃！竟然踩我脚趾......
[name="マフィアA"]   奴らを止めろ！　うぐっ！　俺のつま先を踏むなんて……。
[name="Mafioso A"]   Stop 'em! Aagh! My toe...
[name="마피아A"]   저놈들 잡아! 크악! 발가락을 밟다니……

[name="黑帮B"]   这家伙，炎国功夫！？根本碰不到她啊！
[name="マフィアB"]   この野郎、炎国のカンフーだと！？　全然太刀打ちできねぇ！
[name="Mafioso B"]   What's this, kung fu?! Can't even touch her!
[name="마피아B"]   이 녀석, 염국 쿵푸?! 건드릴 수조차 없잖아!

[name="黑帮A"]   只是赤手空拳怎么做到——噗哈！
[name="マフィアA"]   拳ひとつでどうやって——ぐはっ！
[name="Mafioso A"]   They're unarmed, just get 'em... Oof!
[name="마피아A"]   그래 봤자 아무것도 없는 맨손인데…… 크억!

[name="槐琥"]   ——呼。
[name="ワイフー"]   ——ふぅ。
[name="Waai Fu"]   ...Phew.
[name="와이후"]   ……휴.

[name="槐琥"]   所以，就是你们？
[name="ワイフー"]   それで、あなた方なの？
[name="Waai Fu"]   So, it's you two?
[name="와이후"]   그래서, 당신들입니까?

[name="甘比诺"]   我并不想滥杀无辜，但是——
[name="ガンビーノ"]   俺も誰彼なしに罪もねぇ奴を殺そうと思ってねえよ。だがな——。
[name="Gambino"]   I don't like to go around pickin' on weak little ladies, but...
[name="감비노"]   난 무고한 사람까지 죽이고 싶진 않아. 근데 넌……

[name="甘比诺"]   你一路穿过我的队伍，走到我的面前，衣服都没沾染上一点灰尘。
[name="ガンビーノ"]   お前は俺のチームを突っ切って俺の目の前に来た、服にホコリひとつ付けずにな。
[name="Gambino"]   You tore through my boys, walked right up to me, and you don't got a speck of dust on those pretty clothes of yours.
[name="감비노"]   내 애들을 쓰러뜨리고 내 앞까지 오면서, 옷에 먼지 하나 묻지 않았군.

[name="甘比诺"]   你是鼠王的人？
[name="ガンビーノ"]   鼠王の一派か？
[name="Gambino"]   You the Rat King's people?
[name="감비노"]   래트킹이 보낸 거냐?

[name="孑"]   ......你们，刚才在贫民窟？
[name="ジェイ"]   ……アンタら、さっきスラムにいたか？
[name="Jaye"]   ...Were you in the slums?
[name="제이"]   ……너희, 아까 슬럼가에 있던 놈들이지?

[name="卡彭"]   打断了西西里人的决斗，还胆敢发问？
[name="カポネ"]   ハッ、シチリア人のタイマン邪魔して、そのうえ質問までするとはいい度胸だな。
[name="Capone"]   You broke up a fight between Sicilians and you got the balls to ask questions?
[name="카포네"]   시실리안의 결투를 방해해놓고, 감히 질문을 해?

[name="孑"]   ......嗯，那看来就是你们了。
[name="ジェイ"]   ……そっか、やっぱアンタらみてぇだな。
[name="Jaye"]   ...Yeah. I'd say it was you two.
[name="제이"]   ……음, 너희 맞나 보네.

[name="卡彭"]   ——！？
[name="カポネ"]   ——！？
[name="Capone"]   ——?!
[name="카포네"]   ……?!

[name="卡彭"]   这个家伙，呃，怎么回事——！
[name="カポネ"]   この野郎、うっ、どういうことだ——！
[name="Capone"]   This mook, argh——!
[name="카포네"]   이 새끼가, 윽, 이게 무슨……!

[name="槐琥"]   你就这么看着吗？
[name="ワイフー"]   そうやって見てるだけですか？
[name="Waai Fu"]   Are you just going to watch?
[name="와이후"]   보고만 계실 겁니까?

[name="甘比诺"]   别误会，借刀杀人也未尝不可，但我必须亲自送他上路。
[name="ガンビーノ"]   勘違いするなよ。人の手を借りるのも悪くねぇけど、アイツだけは必ずこの手で地獄に送ってやるからよ。
[name="Gambino"]   Don't get me wrong. It's always a good idea to borrow a knife to off somebody, but I gotta deal with this cazzo myself.
[name="감비노"]   착각하지 마라. 남의 칼로 보내버리는 것도 안 될 건 없지만, 그 녀석은 반드시 내가 직접 보내버릴 테니까.

[name="甘比诺"]   可是依我看......你也不像是盏省油的灯。
[name="ガンビーノ"]   だが俺の見立てだと、お前も融通が利く人間じゃなさそうだな。
[name="Gambino"]   On the other hand... You look like you're a handful.
[name="감비노"]   근데…… 너도 그렇게 만만한 상대는 아닌 것 같군.

[name="槐琥"]   我认真建议你投降。
[name="ワイフー"]   投降をオススメしますよ。
[name="Waai Fu"]   I think you should surrender. Really.
[name="와이후"]   투항하시죠. 농담하는 거 아니에요.

[name="甘比诺"]   笑话！
[name="ガンビーノ"]   馬鹿言うんじゃねぇ！
[name="Gambino"]   Hah!
[name="감비노"]   투항? 웃기는 소리를.

[name="甘比诺"]   你和那只狼的身手相当，没想到鼠王还藏着你这样的底牌！
[name="ガンビーノ"]   お前とあの狼の腕は同等だ。あの鼠王がお前のような隠し玉を持っていたとはな！
[name="Gambino"]   You're about as good as that wolf. Who knew the Rat King had cards like you up his sleeve!
[name="감비노"]   너와 저 늑대, 실력이 나쁘지 않구나. 래트킹이 이런 비장의 카드를 숨기고 있었을 줄이야!

[name="槐琥"]   什么底牌，完全不知道你在说什么。乖乖趴下和我去见警员吧——！
[name="ワイフー"]   何が隠し玉なのか、あなたが何のことを言ってるのか、全く分かりませんが。大人しく降伏して私と警察に同行なさい——！
[name="Waai Fu"]   What cards? What are you talking about? Just get down on the floor and turn yourself in!
[name="와이후"]   비장의 카드라니, 아까부터 무슨 소리에요? 그냥 얌전히 엎드려서 저랑 경찰서나 같이 가시죠!

[name="甘比诺"]   唔！
[name="ガンビーノ"]   ぐっ！
[name="Gambino"]   Nng!
[name="감비노"]   큭!

[name="卡彭"]   啧，我想起来了，我见过你，你是那个伪装成生鲜贩子的打手。
[name="カポネ"]   チッ、思い出したぞ。お前ぇのツラは見たことがある。あの食いもん屋に偽装してた手先か。
[name="Capone"]   Hey, I remember you. I met you before. You dressed up like a seafood salesman. Played like you were making finballs.
[name="카포네"]   생각났다. 너 이 자식, 어디서 봤나 했더니… 생선장수로 위장했던 싸움꾼이잖아.

[name="卡彭"]   真奇怪，我本以为你不是需要特别关注的对象。
[name="カポネ"]   しくじったぜ。お前ぇのことは、気に掛けておく必要はないと思ってたのによ。
[name="Capone"]   Funny. I never thought I'd have to give you a second look.
[name="카포네"]   내가 실수했군. 특별히 신경 써야 할 놈으론 안 보였었는데……

[name="孑"]   不，那其实是个误会......算了。
[name="ジェイ"]   いや、そいつは誤解なんじゃあ……まぁいいか。
[name="Jaye"]   No, I really am a... never mind.
[name="제이"]   아니 그니까 그건 진짜 오해…… 됐다.

[name="孑"]   今天，现在，就当我是吧。
[name="ジェイ"]   今はそういうことにしといてやらぁ。
[name="Jaye"]   Right now, just for tonight, I am what you think I am.
[name="제이"]   아 이제 귀찮아, 오늘은 그냥 나인 셈 치자.

[name="槐琥"]   喝啊！
[name="ワイフー"]   はぁあっ！
[name="Waai Fu"]   Hai-yah!
[name="와이후"]   하아아앗!

[name="甘比诺"]   哼！
[name="ガンビーノ"]   フン！
[name="Gambino"]   Hmph!
[name="감비노"]   흥!

[name="卡彭"]   看来你被一个小姑娘欺负得够呛，甘比诺。
[name="カポネ"]   小娘ひとりにひどいやられようだな、ガンビーノ。
[name="Capone"]   You gettin' beat by a girl over there, Gambino.
[name="카포네"]   아가씨 한 명에게 당하고 있는 거냐, 감비노.

[name="甘比诺"]   杀你的事情稍后再提，不要高兴得太早。
[name="ガンビーノ"]   お前を殺すのは後回しだ。だが喜ぶのはまだ早い。
[name="Gambino"]   Oh I'm still gonna kill you. Wipe that smile off your face.
[name="감비노"]   넌 나중에 죽여주마, 아직 기뻐하지 말라고.

[name="孑"]   ......你有好几次想要乘机偷袭，卑劣的家伙。
[name="ジェイ"]   ……アンタ、隙を狙って不意打ちしようとしてやがったな。ゲス野郎が。
[name="Jaye"]   ...You've been looking for chances to take a low blow, dirty fighter.
[name="제이"]   ……어이, 아까부터 틈만 나면 기습할라 그러네? 비겁하게시리.

[name="槐琥"]   拳峰不正，如何取胜？
[name="ワイフー"]   不義の拳を振るう者に勝機なし！
[name="Waai Fu"]   How can you hope to win if you strike with the wrong part of your fist?
[name="와이후"]   의롭지 않은 주먹을 휘두르는 자에게 질 수는 없습니다!

[name="槐琥"]   你们会为自己肆意妄为的暴行付出代价。
[name="ワイフー"]   あなた方が傍若無人に暴行を働いた代償、払ってもらいます。
[name="Waai Fu"]   You will pay for the harm you have done.
[name="와이후"]   당신들은 지금까지 제멋대로 휘두른 폭력에 대한 대가를 치르게 될 거예요!

[name="董阿伯"]   ......你让我等这么久，就为了把我带到这儿来？
[name="董"]   ……おい、俺をこんなに待たせやがって、わざわざここに連れてくるためか？
[name="Uncle Tung"]   ...You had me wait so long just to bring me here?
[name="동씨 아저씨"]   ……날 그렇게 오래 기다리게 한 게, 고작 여기 데려올라 그런 거야?

[name="董阿伯"]   什么意思？开始为我物色墓地了？还是想和我死了之后当邻居？
[name="董"]   どういうつもりだ？　俺の墓を選ぼうとしてんのか？　それともなんだ、死んだらご近所さんにでもなってくれるつもりか？
[name="Uncle Tung"]   What is this about? Are we looking at grave plots? You want to be my neighbor even in death?
[name="동씨 아저씨"]   지금 뭐 하잔 거야? 내 묫자리라도 알아봐 주실라고? 아님 나랑 묫자리 이웃이라도 되 줄라는 거야 뭐야?

[name="鼠王"]   你做了这么多年生意，怎么嘴巴还是这么毒。
[name="鼠王"]   お主は長年商売しとるくせに、どうしてそう口が悪いのかの。
[name="Rat King"]   After so many years in business, how do you keep such a sharp tongue?
[name="래트킹"]   자넨 장사를 그렇게 오래 했는데, 어째 말본새가 아직도 그 모양인가.

[name="董阿伯"]   我可不会对客人这个态度，你又不是客人。
[name="董"]   客にはこんな態度取らねぇよ。でもアンタは客じゃねぇんだ。
[name="Uncle Tung"]   I don't talk to my customers like this. But you're not a customer.
[name="동씨 아저씨"]   손님한테는 말 곱게 하거든? 자넨 내 손님도 아니잖아.

[name="鼠王"]   真伤感情啊。
[name="鼠王"]   そう言うな。傷つくじゃろ。
