3:21 A.M.    天气/晴
[name="モスティマ"]   それにこれで、君のお父さんが私の報酬をピンハネできなくなるからね。
[name="Mostima"]   Especially since it means your father won't have any grounds to dock my pay.
[name="모스티마"]   게다가 이러면 네 아버지도 내 월급을 깎을 핑계는 못 대겠지.

[name="拜松"]   老、老爹吗！我都忘了这件事了，也许我该和他好好聊聊，他到底在折腾些什么......
[name="バイソン"]   と、父さんか！　すっかり忘れてたよ。今回の件について父さんと一回ちゃんと話をしないと。何をやってるんだか……。
[name="Bison"]   D- dad! I totally forgot about that. I need to talk to him. But what is he even doing right now...?
[name="바이슨"]   아, 아버지! 완전히 잊고 있었어요. 아버지와 얘기해 봐야겠어요. 대체 무슨 속셈이신지……

[name="能天使"]   莫斯提马！干杯！
[name="エクシア"]   モスティマ！　チアーズ！
[name="Exusiai"]   Mostima! Drink up!
[name="엑시아"]   모스티마! 건배!

[name="莫斯提马"]   干杯。
[name="モスティマ"]   乾杯。
[name="Mostima"]   Cheers.
[name="모스티마"]   건배.

[name="莫斯提马"]   干嘛要突然冲过来，都洒到身上了不是吗。
[name="モスティマ"]   って、いきなり走ってくるんじゃない。全部服にこぼれてるじゃないか。
[name="Mostima"]   What's with you suddenly flitting over here? You spilled all over yourself.
[name="모스티마"]   갑자기 들이대면 어떡해? 몸에 다 쏟았잖아.

[name="能天使"]   一不留神你就会跑掉嘛，我可是有很——多事情想要问你呢。
[name="エクシア"]   気をつけないとまたどっかに行っちゃうでしょ。あたしはね、キミに聞きたいことがまだたーくさんあるんだからね。
[name="Exusiai"]   If I take my eyes off you for one second, you could vanish. And I got a lottttt of questions to ask you.
[name="엑시아"]   조금만 한눈팔면 도망가버릴 거잖아. 난 너한테 물어보고 싶은 게 아~주 많거든.

[name="莫斯提马"]   很多事，很多事呢......比如拉特兰的那件事？
[name="モスティマ"]   たくさんか、たくさんねぇ……ラテラーノのあのこととか？
[name="Mostima"]   A lot, huh...? Like about that incident back in Laterano?
[name="모스티마"]   아주 많다, 아주 많다라…… 예를 들면, 라테라노에서의 그 일?

[name="莫斯提马"]   你姐姐的事？或者是......我的角？
[name="モスティマ"]   君のお姉さんのこと？　それとも……私の角のこと？
[name="Mostima"]   With your sister? Or maybe... my horns?
[name="모스티마"]   네 언니 일? 아니면…… 내 뿔에 대해서?

[name="能天使"]   ——
[name="エクシア"]   ——。
[name="Exusiai"]   ——
[name="엑시아"]   ……

[name="莫斯提马"]   哈哈哈，笑容僵住了喔？你还是老样子，想什么都会放在脸上呢。
[name="モスティマ"]   ははは、笑顔が凍り付いたね？　君はやっぱり昔のまま、考えてることすぐ顔に出るね。
[name="Mostima"]   Hahaha, you're dumbstruck? Oh, Exusiai, you never change. You're always so easy to read.
[name="모스티마"]   하하하 정색하긴… 넌 여전하구나, 생각이 얼굴에 다 쓰여 있다고.

[name="能天使"]   莫！斯！提！马！
[name="エクシア"]   モ！　ス！　ティ！　マ！
[name="Exusiai"]   MOS! TI! MA!
[name="엑시아"]   모! 스! 티! 마!

[name="莫斯提马"]   好了好了，我会告诉你的。
[name="モスティマ"]   わかったわかった、言うから。
[name="Mostima"]   All right, all right. I'll tell you.
[name="모스티마"]   알겠어 알겠어, 알려줄게.

[name="莫斯提马"]   ......但不是现在，你私底下调查了很长时间了吧，你应该能理解。
[name="モスティマ"]   ……でも今じゃないよ。君はずっと自分で調査してたんでしょ？　ならわかってくれるよね。
[name="Mostima"]   ...But right not now. You've been digging into it on your own for a while now, so you must understand.
[name="모스티마"]   ……하지만 지금은 아니야. 너도 오랫동안 몰래 조사해왔으니, 이해할 수 있겠지.

[name="能天使"]   嗯，虽然不知道为什么，那已经算得上国家机密了，但也没所谓吧？
[name="エクシア"]   うん、わかってるよ、どうしてかはわからないけど。もう国家機密レベルのことなんだもん。でもそんなのどうだっていいんだ。
[name="Exusiai"]   Um, I don't know why, but it's classified as a state secret now. Does that matter?
[name="엑시아"]   응, 왜인지는 몰라도 거의 국가 기밀이던데. 하지만 그래도 상관없잖아?

[name="能天使"]   和你们有关的事情，我总得弄清楚啊。
[name="エクシア"]   キミたちに関係することは、全部ハッキリさせておきたいから。
[name="Exusiai"]   I have to get closure on everything about you.
[name="엑시아"]   너희랑 관계된 일이라면, 나도 똑똑히 알아야겠어.

[name="莫斯提马"]   你还真的这么做了吗......
[name="モスティマ"]   君、本当にそんなことをしてたんだ……。
[name="Mostima"]   You really do, huh...?
[name="모스티마"]   너, 정말 그럴 생각이구나……

[name="莫斯提马"]   说不定会被超级麻烦又阴险，而且无处不在的坏孩子盯上，没收你的守护铳，然后尾随你直到天涯海角喔？
[name="モスティマ"]   もしかすると、ものすごく面倒くさくて、どこにでも現れてくる陰湿な子に目をつけられて、守護銃も取り上げられて、世界の果てまで追いかけられて……みたいな目に遭うかもよ？
[name="Mostima"]   It could be a long and treacherous path, with your precious guns confiscated, the wicked watching you, hounding you to the mouth of hell?
[name="모스티마"]   아주 성가시고 위험한 일이 될 수도 있어. 게다가 여기저기에 있는 나쁜 놈들에게 찍혀서, 수호총도 뺏기고 세상 끝까지 쫓겨 다닐 수도 있는데?

[name="能天使"]   呃，为什么这么具体？
[name="エクシア"]   うぇ、どうしてそんなに具体的なわけ？
[name="Exusiai"]   Hm, that's weirdly specific.
[name="엑시아"]   윽, 왜 그렇게 구체적이야?

[name="能天使"]   但是没关系，我跑的够快嘛，他们从来追不上我！
[name="エクシア"]   でも大丈夫、あたし逃げ足速いから、そんな奴らだってきっとあたしには追いつけないよ！
[name="Exusiai"]   But no big deal. I run pretty fast. They'll never catch me!
[name="엑시아"]   그래도 괜찮아. 난 달리기가 빠르니까 못 따라잡을걸!

[name="莫斯提马"]   好吧。
[name="モスティマ"]   やれやれ。確かにそうだ。
[name="Mostima"]   Fine.
[name="모스티마"]   그래라 그럼.

[name="能天使"]   放弃了？
[name="エクシア"]   諦めた？
[name="Exusiai"]   You give up?
[name="엑시아"]   포기한 거야?

[name="莫斯提马"]   投降了，反正从来没有人能管得住你。
[name="モスティマ"]   参ったよ。どうせ君の手綱は誰にも握れないしね。
[name="Mostima"]   I give up. Not that anyone could ever tell you what to do.
[name="모스티마"]   그래, 항복이야. 어차피 널 막을 수 있는 사람은 없으니까.

[name="能天使"]   其实还是有的啊，比如老板和老板什么的。德克萨斯说的话我也会听啦，听一半。
[name="エクシア"]   いるっちゃいるよ。例えばボスとかボスとか。テキサスの話は私も聞くけどさ。半分ぐらいね。
[name="Exusiai"]   That's not true. There's the boss. And Texas, I'll listen to Texas. Sometimes. Kinda.
[name="엑시아"]   사실 있기는 해. 보스라든가, 보스라든가… 텍사스의 말도 꽤 잘 들어, 절반 정도는.

[name="德克萨斯"]   ......
[name="テキサス"]   ……。
[name="Texas"]   ......
[name="텍사스"]   ……

[name="可颂"]   你也在意她们的悄悄话吗？
[name="クロワッサン"]   テキサスはんもあの二人の内緒話、気になるん？
[name="Croissant"]   Ya hear what they're whisperin' about?
[name="크루아상"]   텍사스 언니야도 쟈들이 하는 얘기가 궁금하나?

[name="可颂"]   虽然我听说过个大概啦，但说真的，我现在超好奇的。
[name="クロワッサン"]   ウチもな、ざっくりとは聞いたことあんねんけど、ホンマ言うと、今ウチめっちゃ気になっててん。
[name="Croissant"]   I think I heard most of the story already, but to tell the truth, I'm all kinds of curious right now.
[name="크루아상"]   내도 살짝 듣기는 했지만, 솔직히 궁금해 죽겠다.

[name="可颂"]   拉特兰到底是个什么样的地方？
[name="クロワッサン"]   ラテラーノって、いったいどんなとこなんやろな？
[name="Croissant"]   What kinda place is Laterano anyway?
[name="크루아상"]   라테라노는 대체 어떻게 생기 묵은 곳일라나?

[name="德克萨斯"]   ......没必要深究，那是她的自由。
[name="テキサス"]   ……深入りする必要はない、彼女の自由だ。
[name="Texas"]   ...Don't go digging too deep. It's her choice.
[name="텍사스"]   ……깊이 알 필요 없어. 그건 걔 자유니까.

[name="空"]   可是拜松好像状态不太对？
[name="ソラ"]   でも、バイソン君は少し落ち込んでいるみたいですよ。
[name="Sora"]   But what about Bison?
[name="소라"]   근데, 바이슨 상태가 좀 이상한 거 같지 않아요?

[name="德克萨斯"]   他今晚生气的次数不少了，会习惯的。
[name="テキサス"]   彼は今夜だいぶ怒ってたから。じき慣れるだろう。
[name="Texas"]   He lost his temper quite a few times tonight. He'll get used to it.
[name="텍사스"]   오늘 여러 번 화내더라. 조만간 익숙해지겠지.

[name="空"]   怎么说也是难得的后辈——难得的新人，这样会不会不太好？
[name="ソラ"]   仮にも貴重な後輩で——貴重な新人ですよ。これじゃあんまり良くないんじゃないですか？
[name="Sora"]   He's an excellent new-comer to this industry. Is it okay to leave him like that?
[name="소라"]   어찌 됐든 모처럼 생긴 후배...... 모처럼의 신입인데, 이렇게 놔두면 안 좋지 않을까요?

[name="可颂"]   拜松~我送你一刊百大民间美食攻略怎么样？是我实地考察亲手编写的喔~！
[name="クロワッサン"]   バイソンは～ん、元気出しぃや。ウチがな、この『B級グルメベスト100ガイドブック』プレゼントしたるさかい。ウチがぜ～んぶ実地調査して書いたんやで～！
[name="Croissant"]   Bison~ Lemme give ya a copy of the Great Foodie Guide. I did it up myself after real, in-person, on-site investigations!
[name="크루아상"]   바이슨~ 민간미식백과, 주까? 내가 직접 조사하면서 쓴 책이데이~!

[name="拜松"]   原来是你写的吗！
[name="バイソン"]   ええ！　これあなたが書いたんですか！？
[name="Bison"]   You wrote the Foodie Guide!
[name="바이슨"]   네?!! 이거 크루아상 씨가 쓴 거였나요?!!!!

[name="可颂"]   嘿嘿，广告费也是重要收入来源喔！
[name="クロワッサン"]   へへっ、広告費も重要な収入源なんやで！
[name="Croissant"]   Hehe. Advertisin's a real important revenue stream!
[name="크루아상"]   헤헤, 광고비도 중요한 수입원아이가!

[name="莫斯提马"]   ......原来如此，嗯，请务必私底下给我推更多的店。
[name="モスティマ"]   ……なるほど。ふむ、是非ともプライベートでオススメの店をもっとたくさん教えてもらおうかな。
[name="Mostima"]   ...Wow. Okay, you'll have to give me some secret recommendations.
[name="모스티마"]   ……그랬군. 음…… 나한테도 나중에 따로 가게 몇 개 더 추천해줘.

[name="能天使"]   说起来，刚才开始就有个一眼看上去就是有钱人家的仆从那类的角色站在门外？
[name="エクシア"]   そういえば、さっきから明らかにお金持ちの家の従者みたいな人が表に立ってるんだけど？
[name="Exusiai"]   By the way, there's some fancy rich guy butler-looking dude standing outside the door?
[name="엑시아"]   그나저나, 아까부터 딱 봐도 부잣집 하인 같은 사람이 문밖에 서 있는데?

[name="管家"]   ......
[name="執事"]   ……。
[name="Butler"]   ......
[name="집사"]   ……

[name="可颂"]   说是门外，但墙壁基本给破坏干净了呢。唉，这个月好像还有小型推进器的尾款......
[name="クロワッサン"]   まぁ、アレやね。表っちゅーても、壁なんて綺麗さっぱり壊されてもうたけどな。はぁ、そういや今月は小型ブースターの未払金まであるんやった……。
[name="Croissant"]   Can ya really say he's outside the door when the walls are crumbled like so? *Sigh* And we have to pay the retainage for the small thruster this month...
[name="크루아상"]   문 밖이라 케도, 벽이 깔끔하게 뿌사져 있는데. 에휴, 이번 달엔 환풍기 잔금도 내야 하는데……

[name="拜松"]   ......我出去一下。
[name="バイソン"]   ……ちょっと出てきます。
[name="Bison"]   ...I'm going to get some air.
[name="바이슨"]   ……잠깐 나갔다 올게요.

[name="管家"]   少爷。
[name="執事"]   バイソン様！
[name="Butler"]   Young Master.
[name="집사"]   도련님.

[name="拜松"]   来龙去脉我都知道了。
[name="バイソン"]   うん。一部始終は全部わかったよ。
[name="Bison"]   I know everything.
[name="바이슨"]   어떻게 된 건지는 대충 감이 와.

[name="拜松"]   父亲和大帝早就串通好了，而恰巧有一批叙拉古的黑帮撞到鼠王的枪口上来，没错吧？
[name="バイソン"]   父さんとエンペラーさんは最初からグルだった。そしてちょうど良いタイミングにシラクーザのマフィアたちが鼠王の罠にハマった。そういうことでしょう？
[name="Bison"]   Father and Emperor had a deal at the same time a Siracusan gang came up against the Rat King, is that right?
[name="바이슨"]   아버지와 엠퍼러 씨가 서로 입을 맞췄었고, 우연히 시라쿠사의 마피아들이 래트킹을 끌어들인 거지?

[name="管家"]   各有各的原因。少爷，您在事件中途的表现非常出色，老爷非常欣慰。
[name="執事"]   それぞれに理由があってのことです。バイソン様、今回の事件での立ち回りですが、実にお見事でございました。旦那様は非常にお喜びです。
[name="Butler"]   Everything has a purpose, Young Master. You performed spectacularly well, given the circumstances. The Master of the House is most pleased.
[name="집사"]   여러 원인이 있었습니다. 도련님, 도련님은 오늘 아주 훌륭히 활약하셨습니다. 주인님도 안심하고 계십니다.

[name="管家"]   但无论如何，我......
[name="執事"]   ですが、この私めはバイソン様に……。
[name="Butler"]   And yet, I...
[name="집사"]   하지만 어찌 됐든, 전……

[name="拜松"]   你只是听从安排在我的盾上虚晃了两下。
[name="バイソン"]   お前はただ指示通りに行動しただけだ。
[name="Bison"]   Twice. That's how many times you followed my dad's order and did the trick with my shield.
[name="바이슨"]   그저 정해진 명령대로 행동한 것뿐이잖아.

[name="管家"]   少爷......谢谢。
[name="執事"]   バイソン様……ありがとうございます。
[name="Butler"]   Thank you... Young Master.
[name="집사"]   도련님... 감사합니다.

[name="拜松"]   唉，经历了这么多事情，为什么还能心平气和地踩着玻璃渣和凳子腿开派对呢？
[name="バイソン"]   はぁ、こんなにたくさんのことがあったのに、どうしてあんな風にガラス片やスツールの脚を踏んだまま、平気な顔でパーティーをできるんだろうね？
[name="Bison"]   *Sigh* Having been through so much, how can we still relax and enjoy a party over broken glass and splintered barstools?
[name="바이슨"]   하아, 이렇게 많은 일을 겪었는데, 어쩜 이렇게 아무 일 없었다는 듯이 유리 조각이랑 부러진 의자 다리 위에서 파티를 할 수 있지?

[name="管家"]   这种无厘头的豁达来源于无数次出生入死的经验，少爷。
[name="執事"]   こういった訳の分からない闊達さは、生死の境を無数に切り抜けて来た経験から来るものでございます、バイソン様。
[name="Butler"]   This kind of boundless optimism is born from the innumerable life-or-death experiences of a life well lived, Young Master.
[name="집사"]   이런 황당한 활발함은 수없이 많은 생사의 고비를 겪어야 생길 수 있답니다, 도련님.

[name="拜松"]   我知道，但他们明明是信使，为什么总是要出生入死？
[name="バイソン"]   分かってるよ。でもあの人たち、ただのトランスポーターなのに、どうしていつも生死の境を切り抜けなきゃいけないのさ？
[name="Bison"]   I know. But they're Messengers. Why do they always risk their lives?
[name="바이슨"]   나도 알아. 하지만 저 사람들은 전달자면서, 왜 늘 생사의 고비에 서야 하는 거야?

[name="管家"]   信使就是如此。如果少爷想离开老爷的身边，离开龙门的话，您迟早会明白的。
[name="執事"]   トランスポーターとはかくあるものでございます。もしバイソン様が旦那様の元を離れ、龍門の外に出る日が来れば、遅かれ早かれお分かりになるでしょう。
[name="Butler"]   That's what a Messenger does. Should you leave home, leave the Master of the House, and leave Lungmen, you too will come to understand.
[name="집사"]   전달자란 원래 그렇습니다. 도련님께서 주인님이나 용문을 떠나신다면, 언젠간 깨닫게 되실 겁니다.

[name="拜松"]   ......但愿吧。
[name="バイソン"]   ……だといいけど。
[name="Bison"]   ...I hope so.
[name="바이슨"]   ……그랬으면 좋겠네.

[name="管家"]   要回去见一面老爷吗？
[name="執事"]   一度、旦那様のところにお戻りになりますか？
[name="Butler"]   Shall we head back and see the Master of the House?
[name="집사"]   일단, 돌아가서 주인님을 만나시겠습니까?

[name="拜松"]   父亲应该在和魏长官谋划些什么吧。想必是至关重要，而我无法插手的事情。
[name="バイソン"]   父さんはウェイ長官と、なんかの計画を企ててるんでしょ。かなり重要なことみたいだし、ぼくが邪魔するわけにはいかないさ。
[name="Bison"]   Father's probably plotting something with Chief Wei right now. I'm sure it's something very important that I can't concern myself with.
[name="바이슨"]   아버지는 웨이 장관과 무슨 일을 꾸미고 계시겠지. 분명 아주 중요하지만, 내가 함부로 개입할 수 없는 일일 테고.

[name="管家"]   少爷很聪明，但老爷并不完全是为了把少爷您支开才这么做的。您会变得更坚韧，更强大。
[name="執事"]   バイソン様は聡明でいらっしゃいます。ですが旦那様は決して貴方様を除け者にするためにそうしたのではありません。貴方様は更に強靭に、そして強くおなりになられるでしょう。
[name="Butler"]   You are very clever, but the Master of the House did not make these choices to be rid of you. You will grow stronger, and more tenacious.
[name="집사"]   도련님께선 정말 총명하십니다. 하지만 주인님께서 정말 도련님을 떠나게 하려 하신 건 아닙니다. 도련님은 더 강인해지고, 더 강대해지실 겁니다.

[name="拜松"]   ......也许，说不定，如果我真的能坚持到那一天。
[name="バイソン"]   ……そうだね。もしかしたら本当にそんな日が来るかもしれない。ぼくが努力し続ければ。
[name="Bison"]   ...Maybe. I'm not sure if I really will see that day.
[name="바이슨"]   ……그럴지도 모르지, 그때까지 내가 버틸 수만 있다면.

[name="拜松"]   你先去父亲那里吧，我稍微......散散心。
[name="バイソン"]   先に父さんのところに戻って。ぼくはちょっと……気晴らしに行ってくるよ。
[name="Bison"]   You go to my father. I need to... cut loose a bit.
[name="바이슨"]   먼저 아버지한테 가 있어. 난…… 잠깐 바람 좀 쐬고 올게.

[name="管家"]   明白了，好好休息一下吧，少爷。
[name="執事"]   承知致しました。どうかごゆっくりお休みください、バイソン様。
[name="Butler"]   I understand. Do enjoy yourself, Young Master.
[name="집사"]   알겠습니다. 푹 쉬십시오, 도련님.

[name="拜松"]   对了，其实回头想想。
[name="バイソン"]   そういえば今日のこと、思い返してみたんだけど。
[name="Bison"]   Oh, there was one more thing.
[name="바이슨"]   아 참, 사실 다시 생각해 보니 말이야.

[name="管家"]   嗯？
[name="執事"]   いかがなさいましたか？
[name="Butler"]   Hm?
[name="집사"]   예?

[name="拜松"]   今晚其实蛮有趣的。
[name="バイソン"]   ちょっとは楽しかったかもなって。
[name="Bison"]   I did have a very good time tonight.
[name="바이슨"]   오늘 밤은 꽤 재미있었던 것 같아.

[name="能天使"]   ......唔......
[name="エクシア"]   ……うーん……。
[name="Exusiai"]   ...Nnng...
