古米是宿舍里第二个醒来的人，她有个习惯。
グムは、ズィマー、イースチナとの三人が暮らす宿舎で二番目に目覚める。彼女には習慣がある。
Gummy is the second one in her dorm to wake up every morning. And she has a habit.
숙소에서 두 번째로 빨리 일어나는 굼에게는 습관이 하나 있다.

一旦被真理叫醒，她就会握握真理的手，然后用同样的方法到隔壁去叫醒凛冬。
イースチナに起こされると、彼女の手を握り、同じ方法で隣のベッドのズィマーを起こすのだ。
As soon as Istina wakes her, they share a handshake. Gummy then goes next door to wake Zima in the same fashion.
이스티나가 굼을 깨우면, 굼은 이스티나의 손을 꼭 잡고 같은 방식으로 옆방의 지마를 깨운다.

至于凛冬握不握她的手，纯看“冬将军”醒来时的心情。
ただし、ズィマーが彼女の手を握るかどうかは、「冬将軍」が目覚めた時の機嫌次第ではあるが。
Whether "The General" decides to shake her hand or not depends entirely on her mood.
지마가 그녀의 손을 잡느냐 잡지 않느냐로, '동장군'이 깨어났을 때의 컨디션을 확인할 수 있다.

6:30 a.m.
6:30 a.m.
6:30 a.m.
6:30 a.m.

罗德岛宿舍区  真理与古米的宿舍
[name="Gummy"]  I’m perfectly fine! See you later, Gitano!
[name="굼"]  이 정도쯤이야! 그럼 먼저 갈게 기타노 언니!

[name="远山"]  ......
[name="ギターノ"]  ……
[name="Gitano"]  ......
[name="기타노"]  ……

[name="斑点"]  别看了，拿不动的。
[name="スポット"]  こっちを見るなよ、俺には持てないって。
[name="Spot"]  Forget it. You couldn’t lift it anyway.
[name="스팟"]  뭘 봐, 난 못들어 저거.

[name="远山"]  我知道。
[name="ギターノ"]  わかっておる。
[name="Gitano"]  Yes, I know.
[name="기타노"]  알고 있다네.

[name="讯使"]  欢迎，今天想来点什么？
[name="クーリエ"]  いらっしゃいませ、今日は何を召し上がりますか？
[name="Courier"]  Welcome, what can I get for you?
[name="쿠리어"]  어서오세요. 오늘은 뭘로 주문하시겠어요?

[name="讯使"]  野菜扣肉，好的，清炒时蔬再加个炖蛋，没问题。
[name="クーリエ"]  野菜肉煮込みと、野菜炒め、茶碗蒸しですね。わかりました。
[name="Courier"]  Braised pork and vegetables? Coming right up. And a steamed egg with your stir-fried vegetables? No problem.
[name="쿠리어"]  고기찜에 제철 채소 볶음… 그리고 계란찜, 네 주문 받았습니다.

[name="讯使"]  来，请您拿好。
[name="クーリエ"]  どうぞ、ごゆっくり。
[name="Courier"]  All right, here you go.
[name="쿠리어"]  주문하신 요리 나왔습니다.

[name="讯使"]  小心烫。
[name="クーリエ"]  やけどには気をつけてくださいね。
[name="Courier"]  Please be careful. It’s hot.
[name="쿠리어"]  뜨거우니까 조심하세요.

[name="讯使"]  嗯，再见~
[name="クーリエ"]  はい、ではまたどうぞー。
[name="Courier"]  Mhm, see you~
[name="쿠리어"]  감사합니다, 안녕히 가세요~

[name="古米"]  讯使哥哥，菜来了。
[name="グム"]  クーリエお兄ちゃん、料理ができたよ。
[name="Gummy"]  Courier, I got the food!
[name="굼"]  쿠리어 오빠, 요리 가져왔어.

[name="讯使"]  哦好，谢谢你古米。
[name="クーリエ"]  おっと、ありがとうグムさん。
[name="Courier"]  Great! Thank you, Gummy.
[name="쿠리어"]  아! 고마워요, 굼 씨.

[name="古米"]  不客气~
[name="グム"]  どういたしましてー。
[name="Gummy"]  You’re welcome~
[name="굼"]  천만에~

[name="讯使"]  嘿！
[name="クーリエ"]  それっ！
[name="Courier"]  Huff!
[name="쿠리어"]  흡!

[name="讯使"]  喝！好，完工。
[name="クーリエ"]  よっと！　よし、これでオッケーっと。
[name="Courier"]  Phew! That’s all for now.
[name="쿠리어"]  하앗! 이걸로 끝!

[name="讯使"]  不好意思古米，能麻烦你把锅带回去吗。
[name="クーリエ"]  グムさん、お手数ですがこの鍋を持っていってもらえますか。
[name="Courier"]  Sorry to bother you, Gummy, but would you mind taking this pot back to the kitchen?
[name="쿠리어"]  미안한데 굼 씨, 냄비는 다시 가져가 줄 수 있을까요?

[name="古米"]  好的讯使哥哥。
[name="グム"]  わかった！
[name="Gummy"]  Okay, Courier!
[name="굼"]  알았어, 쿠리어 오빠.

咕噜————
ぐるる――――
*Rumble~~~*
꼬르륵……

[name="古米"]  唔唔......
[name="グム"]  うう……
[name="Gummy"]  Ughh...
[name="굼"]  으으……

[name="讯使"]  真是辛苦你了，来，哥哥这里有块饼干，拿去垫垫肚子吧。
[name="クーリエ"]  おや……本当にお疲れ様です。よかったらクッキーをどうぞ、小腹の足しにしてください。
[name="Courier"]  You’ve really outdone yourself, Gummy. C’mere, I have a cookie for you. You must be hungry, right?
[name="쿠리어"]  정말 고생 많았어요. 여기, 쿠키 좀 줄 테니까 배고프면 간단하게 요기라도 해둬요.

[name="古米"]  谢谢讯使哥哥！
[name="グム"]  わあ、ありがとう、クーリエお兄ちゃん！
[name="Gummy"]  Thank you very much, Courier!
[name="굼"]  쿠리어 오빠, 고마워!

[name="讯使"]  不客气，记得忙完了以后好好吃饭哦。
[name="クーリエ"]  いえいえ、落ち着いたらしっかりご飯を食べてくださいね。
[name="Courier"]  It’s my pleasure. Make sure to have a proper meal after this, all right?
[name="쿠리어"]  별 거 아닌걸요, 일 다 끝나면 끼니 챙겨 먹는 거 잊지 말고요.

[name="古米"]  好的！
[name="グム"]  うん！
[name="Gummy"]  Will do!
[name="굼"]  알았어!

[name="古米"]  再见远山姐姐，我回去干活了。
[name="グム"]  じゃあキッチンの仕事に戻るよ。またねギターノお姉ちゃん。
[name="Gummy"]  See you later, Gitano. I need to head back and get some stuff done.
[name="굼"]  그럼 난 다시 일하러 돌아가 볼게 기타노 언니.

[name="远山"]  路上当心。
[name="ギターノ"]  気をつけるのじゃぞ。
[name="Gitano"]  Stay safe.
[name="기타노"]  조심히 가시게나.

[name="古米"]  好的！
[name="グム"]  わかった！
[name="Gummy"]  Will do!
[name="굼"]  알았어!

咕噜噜————
ぐるるる――――
*Rumble~~~~*
꼬르르륵……

[name="古米"]  （马上就能吃饭了，再忍一小会。）
[name="グム"]  （もう少しでご飯だよ、グム。あとちょっとだけ我慢して。）
[name="Gummy"]  (Just hold out a bit longer... It’s almost time to eat!)
[name="굼"]  (금방 밥 먹을 수 있어. 조금만 더 참자.)

[name="刻俄柏"]  好吃的我来啦！
[name="ケオベ"]  おいしいごはん！
[name="Ceobe"]  Yummy goodies, here I come!
[name="케오베"]  음식들아, 내가 왔다!

[name="古米"]  呜啊啊小刻你不能进去！！
[name="グム"]  わああケーちゃんここに入ってきたらダメだよ！！
[name="Gummy"]  Wooaahh! Kay, you can’t go in there!
[name="굼"]  으아아아아 케오! 여기 들어오면 안 돼!!

[name="刻俄柏"]  不行吗？
[name="ケオベ"]  ダメなの？
[name="Ceobe"]  I can’t?
[name="케오베"]  안 돼?

[name="古米"]  不行！你看到门上那个贴纸了吗？
[name="グム"]  ダメ！　扉に張ってある紙は見た？
[name="Gummy"]  You can’t! Don’t you see the sign on the door?
[name="굼"]  안 돼! 문에 붙어있는 메모 못 봤어?

[name="刻俄柏"]  看到了。
[name="ケオベ"]  見たよ。
[name="Ceobe"]  I see it.
[name="케오베"]  봤어.

[name="刻俄柏"]  一个红的圆圈里有根斜着的红线。
[name="ケオベ"]  赤いまん丸に斜めの線が描いてあった。
[name="Ceobe"]  I see a red circle with a tilty red line going through it.
[name="케오베"]  빨간 동그라미 안에 빨간 대각선이 그어져 있었어.

[name="刻俄柏"]  还有小刻。
[name="ケオベ"]  あとケーちゃんの顔も！
[name="Ceobe"]  I also see Kay.
[name="케오베"]  그리고 케오 얼굴도!

[name="古米"]  这是“小刻禁止入内”的意思，明白吗？
[name="グム"]  それは「ケーちゃん進入禁止」って意味だよ、わかる？
[name="Gummy"]  That means "Kay is not allowed in here." Got it?
[name="굼"]  그건 '케오 출입금지'라는 뜻이야. 알겠어?

[name="刻俄柏"]  明白。
[name="ケオベ"]  わかるよ。
[name="Ceobe"]  Got it.
[name="케오베"]  알았어.

[name="古米"]  明白为什么还要往里面走！
[name="グム"]  わかるならなんで入ってくるの！
[name="Gummy"]  If you get it, why are you still going in?!
[name="굼"]  알았는데 왜 계속 들어오는 거야!

[name="刻俄柏"]  饿了。
[name="ケオベ"]  お腹空いた。
[name="Ceobe"]  Hungry.
[name="케오베"]  배고파.

[name="古米"]  饿了可以去那边排队买东西吃。
[name="グム"]  それならあそこに並んで注文してから食べて。
[name="Gummy"]  If you’re hungry, you can just get in line and order something to eat.
[name="굼"]  배고프면 줄 서서 주문을 하라구!

[name="刻俄柏"]  饿了。
[name="ケオベ"]  お腹空いた。
[name="Ceobe"]  Hungry.
[name="케오베"]  배고프다고.

[name="古米"]  总，总之，小刻不能进去！
[name="グム"]  と、とにかく、ケーちゃんは入ってきちゃダメなの！　あそこに並んで！
[name="Gummy"]  Y- You’re not allowed in there!
[name="굼"]  어, 어쨌든 케오는 출입금지야!

[name="刻俄柏"]  饿了！
[name="ケオベ"]  お腹空いた！
[name="Ceobe"]  But I’m hungry!
[name="케오베"]  배고파아!

[name="古米"]  好好好古米想想办法！！
[name="グム"]  えーっと、うーんと……わかった、グムがどうにかするから！！
[name="Gummy"]  Fine, fine! I’ll think of something!!
[name="굼"]  알았어 알았어 알았다구! 굼이 뭔가 방법을 생각해 볼 테니까!

[name="古米"]  嗯......
[name="グム"]  でもどうしたら……うーん……あっ！
[name="Gummy"]  Hmm...
[name="굼"]  음……

[name="古米"]  如果......
[name="グム"]  ねえケーちゃん。もし……
[name="Gummy"]  What if I...
[name="굼"]  만약……

[name="古米"]  如果古米把这块饼干给你，你能答应古米不进去吗？
[name="グム"]  グムがこのクッキーをあげたら、出ていくって約束してくれる？
[name="Gummy"]  If I give you this cookie, will you promise not to go inside?
[name="굼"]  만약 굼이 케오한테 이 쿠키 주면, 안 들어가겠다고 약속할 수 있어?

[name="刻俄柏"]  （嗅嗅）
[name="ケオベ"]  （くんくん）
[name="Ceobe"]  *sniff* *sniff*
[name="케오베"]  (킁킁)

[name="刻俄柏"]  嗯！
[name="ケオベ"]  うん！
[name="Ceobe"]  Mm!
[name="케오베"]  응!

[name="刻俄柏"]  好的好的！
[name="ケオベ"]  いいよ！
[name="Ceobe"]  Okay, okay!
[name="케오베"]  좋아 좋아!

[name="古米"]  给......
[name="グム"]  じゃあ、はい……
[name="Gummy"]  Here...
[name="굼"]  자, 여기……

[name="刻俄柏"]  谢谢！
[name="ケオベ"]  ありがとう！
[name="Ceobe"]  Thanks!
[name="케오베"]  고마워!

[name="古米"]  不客气......
[name="グム"]  どういたしまして……
[name="Gummy"]  You’re welcome...
[name="굼"]  고맙긴……

[name="古米"]  哈......终于走了......
[name="グム"]  はぁ……やっと出ていった……
[name="Gummy"]  *sigh*... She finally left...
[name="굼"]  하…… 드디어 갔네……

咕噜噜噜————
ぐるるるる――――
*Grrrrrrrrrrrrr~~~~*
꼬르르륵……

[name="古米"]  还有，还有活要干，只剩一个菜了......
[name="グム"]  まだ、まだ仕事が残ってるよ、あと一品……
[name="Gummy"]  There’s... there’s still... one more to go...
[name="굼"]  이제 요리 하나만 더 끝내면……

[name="古米"]  再熬一下，一下就好。
[name="グム"]  もう少しだけ、少しだけだから。
[name="Gummy"]  Just hold on... just a little longer!
[name="굼"]  조금만 더 끓이면 이제 끝이야.

咕噜噜噜噜————
ぐるるるるる――――
*Grrrrrrrrrrrrr~~~~*
꼬르르르르르륵……

[name="古米"]  饭勺好重......
[name="グム"]  うう、おたまが重いよ……
[name="Gummy"]  Why’s the ladle so heavy......
[name="굼"]  주걱이 너무 무거워……

[name="古米"]  铲不动菜......
[name="グム"]  フライパンももう振れない……
[name="Gummy"]  I can’t even scoop up the food......
[name="굼"]  음식을 못 뜨겠어……

[name="古米"]  ......
[name="グム"]  ……
[name="Gummy"]  ......
[name="굼"]  ……

[name="古米"]  不行了，古米也要吃东西。
[name="グム"]  もうダメ！　グムも食べる！
[name="Gummy"]  I can’t do this anymore. I have to eat something!
[name="굼"]  더는 안 되겠어. 뭔가 먹어야지.

古米有个习惯，如果饿坏了
グムには習慣がある。彼女は飢餓状態になると――
Gummy has a habit. When she’s famished, something takes hold of her,
굼에게는 습관이 있다. 그건 바로 배가 많이 고프면……

会不受控制地找东西吃
制御不能で食べる。
And she can’t resist her urge to eat...
자제심을 잃고 음식을 찾아 헤매는 것이다.

什么都吃
なんでも食べる。
...anything and everything.
그게 어떤 것이라 할지라도.

[name="古米"]  ......
[name="グム"]  ……
[name="Gummy"]  ......
[name="굼"]  ……

[name="古米"]  这是什么？
[name="グム"]  これはなにかな？
[name="Gummy"]  What’s this?
[name="굼"]  이게 뭐지?

[name="？？？"]  钴眯妮撍嚒惹？
[name="？？？"]  ウム、ろうしあの？
[name="???"]  The hell ya doin’, Gummy?
[name="???"]  굼…… 왜…… 그래?

[name="古米"]  软软的，呼呼，一定很好吃。
[name="グム"]  わあ、柔らかぁい！　えへへ、これ、絶対美味しいよ。
[name="Gummy"]  So soft... Mmmhh.... It must be delicious.
[name="굼"]  야들야들한 게…… 에헤헤, 분명 맛있을 거야.

[name="古米"]  啊，啊啊。
[name="グム"]  あーん。
[name="Gummy"]  Ah, mm....
[name="굼"]  아, 아~앙……

[name="古米"]  啊呜。
[name="グム"]  あむ。
[name="Gummy"]  *chomp*
[name="굼"]  냠냠……

[name="坚雷"]  唔啊啊啊啊！！！
[name="ジュナー"]  うわああああ！！！
[name="Dur-nar"]  Gyahhhhhhh!!!
[name="듀나"]  으아아아아!!!

[name="古米"]  唉？
[name="グム"]  あれ？
[name="Gummy"]  Eh?
