[name="米莎"]   呜唔......
[name="雷蛇"]   大概意思是，性格和你很合得来吧？
[name="リスカム"]   アーミヤさんのこと気に入っているなら、ちゃんと言えばいい。
[name="Liskarm"]   She probably thinks that she can get along well with you.

[name="芙兰卡"]   你为什么那么懂我呢？
[name="フランカ"]   なんでいちいち突っかかってくるのよ？
[name="Franka"]   How do you know me so well?

[name="雷蛇"]   大概是因为，你可真烦人吧？
[name="リスカム"]   フランカが素直じゃないから。
[name="Liskarm"]   Probably because you're so annoying?

[name="阿米娅"]   唔......
[name="アーミヤ"]   ふふっ、嬉しいですよ。
[name="Amiya"]   Ugh...

[name="芙兰卡"]   该教训一下这帮为非作歹的家伙了。
[name="フランカ"]   さ、さて……そろそろこの極悪非道な悪者たちを教育してあげないとね。
[name="Franka"]   It's time to teach these thugs a lesson.

[name="阿米娅"]   嗯。
[name="アーミヤ"]   ええ。
[name="Amiya"]   Yes.

[name="阿米娅"]   小心那些会在各个建筑物间跳来跳去的整合运动感染者。
[name="アーミヤ"]   建物の間を飛び回っている敵に気をつけてください。
[name="Amiya"]   Be careful of the enemies who can jump between buildings.

[name="阿米娅"]   除此之外，还要记得保全龙门本地的感染者！
[name="アーミヤ"]   あと、龍門の一般の感染者はできるだけ保護してください。
[name="Amiya"]   In addition, make sure to protect Lungmen's Infected civilians!

[name="德克萨斯"]   难度不小。
[name="テキサス"]   この任務、言うほど簡単ではないが――
[name="Texas"]   That's asking for a lot.

[name="德克萨斯"]   ——但，没问题。
[name="テキサス"]   ――しかし、問題ない。
[name="Texas"]   --But, I'll handle it.

[name="能天使"]   那就，上吧！
[name="エクシア"]   オッケー！　じゃあ、いくよ！
[name="Exusiai"]   All right, let's go!

[name="能天使"]   Dr.{@nickname}，要好好指挥我和德克萨斯哦！
[name="エクシア"]   Dr.{@nickname}、私とテキサスの指揮もお願いね！
[name="Exusiai"]   Dr {@nickname}, make sure to lead me and Texas well!

