AM10：21 罗德岛训练场
a.m. 10:21 ロドス訓練場
10:21 AM Rhodes Island Training Ground
10:21 a.m.  로도스 아일랜드 훈련장
[name="비글"]     하지만 도베르만 선생님이 실망하실까 걱정이에요……

[name="芬"]     米格鲁，克洛丝......
[name="フェン"]     ビーグル、クルース……
[name="Fang"]     Beagle, Kroos.....
[name="팽"]     비글, 크루스……

[name="格瑞斯教官"]     好啦，认真地说，你们也不用太灰心，原本设置这样的测试，就不是为了让你们通过，而是让你们知道该往什么方向努力。
[name="グレース教官"]     真面目な話、本当にそこまで落ち込まなくていいぞ。この手のテストは君たちに合格してもらうためのものではなく、どの方面に努力すればいいか、理解させるためのものだからな。
[name="Instructor Grace"]     Okay, seriously, don't be too hard on yourselves. We didn't make these tests so you could pass them. They're there to tell us what to work on.
[name="그레이스 교관"]     자, 진지하게 하는 말인데, 이거 떨어졌다고 너무 실망하진 않아도 돼. 원래 이건, 너희를 통과시키기보다는 어떤 방향으로 노력할지 알려주기 위한 테스트니까.

[name="克洛丝"]     哇，好不爽，这个人一脸正经地在说自己比我强，偏偏我还没法反驳！
[name="クルース"]     でも不合格って言われるのはやっぱり嫌だよぉ。いったいいつになれば、グレースおじさんたちみたいになれるの？
[name="Kroos"]     Wow. It feels awful when a guy tells you straight to your face that he's better than you. And you can't even do anything about it!
[name="크루스"]     와~ 짜증 나~! 코앞에서 자기가 나보다 강하다고 말하는데, 반박을 못 하겠어!

[name="格瑞斯教官"]     认真地说，你们也好，其他预备组也好，现在距离我们这一批教官确实还有不小的差距。
[name="グレース教官"]     客観的な事実として、君たちも他の予備隊も、俺たち教官と比べると実力にはまだまだ大きな差がある。
[name="Instructor Grace"]     It's the truth. There's a huge skill gap between you trainees and us instructors.
[name="그레이스 교관"]     솔직히 너희나 다른 예비작전팀은 우리 교관들과 아직 실력 차이가 크지만,

[name="格瑞斯教官"]     我们的存在意义之一，就是为你们提供一个背影。
[name="グレース教官"]     だが、今はそれでいいんだ。君たちに追いかけるべき背中を見せてやることは、俺たち教官の存在意義の一つでもあるからな。
[name="Instructor Grace"]     That's why we're your teachers. That's what we're here for.
[name="그레이스 교관"]     우리의 목표는 너희가 뒤쫓아 갈 목표를 만들어 주는 거다.

[name="格瑞斯教官"]     而你们可能自己没有发现，现在的你们，和刚进入罗德岛时的你们相比，已经有了非常大的进步了。
[name="グレース教官"]     とはいえ君たちは、ロドスに加入した時と比べると、大きく進歩しているぞ。自分ではなかなか気づかないものかもしれないが。
[name="Instructor Grace"]     And even if you haven't noticed it yourselves, you've made huge strides since you came to Rhodes Island.
[name="그레이스 교관"]     그리고 너희가 잘 모를 수도 있는데, 로도스 아일랜드에 막 왔을 때랑 비교하면 지금이 훨씬 낫다고.

[name="芬"]     ......确实。
[name="フェン"]     ……確かに。
[name="Fang"]     ...He's right.
[name="팽"]     ……하긴 그러네요.

[name="米格鲁"]     嗯......这么说的话，确实呢。
[name="ビーグル"]     はい……そう言われると、その通りだと思います。
[name="Beagle"]     Yeah... I guess he is.
[name="비글"]     음…… 그렇게 말씀하시니 맞는 것 같아요.

[name="格瑞斯教官"]     而且啊，说真的，你们算好了，负责你们的教官都是你们各自擅长领域的。
[name="グレース教官"]     それにな、君たちはまだ良いほうさ。担当の教官はそれぞれ君たちが得意な領域に特化した人たちだからな。
[name="Instructor Grace"]     And really, you girls are doing great. The instructors you went up against are all experts in your respective fields.
[name="그레이스 교관"]     그리고, 너희를 책임지는 교관들은 모두 각 분야의 실력자들이란 말이지.

[name="格瑞斯教官"]     你们知道我们这批教官当时是怎么过来的吗？
[name="グレース教官"]     だが俺も含めてその教官たちは、どうやって教官にまで成長したと思う？
[name="Instructor Grace"]     Do you have any idea how we got where we are? What we've been through?
[name="그레이스 교관"]     교관들이 어쩌다 여기까지 오게 됐는지 알아?

[name="克洛丝"]     难道说......
[name="クルース"]     まさか……
[name="Kroos"]     No way...
[name="크루스"]     설마……

[name="格瑞斯教官"]     没错，我们是被杜宾一个人调教过来的。
[name="グレース教官"]     そうさ、俺たちはみんな、ドーベルマン教官一人にシゴかれてきたのさ。
[name="Instructor Grace"]     Yes. Dobermann alone trained us.
[name="그레이스 교관"]     맞아. 우리는 도베르만 교관님 한 사람에게 배웠거든.

[name="格瑞斯教官"]     你们可能无法想象，现在的杜宾，已经比过去的她温柔一百倍了。
[name="グレース教官"]     想像できないかもしれないが、今のドーベルマン教官は、昔の百倍は優しいぜ。
[name="Instructor Grace"]     Hard to believe as it may be, Dobermann today is a hundred times softer than she used to be.
[name="그레이스 교관"]     상상이 안 되겠지만, 지금의 도베르만 교관님은 예전보다 백 배는 상냥해진 거야.

[name="克洛丝"]     什么？现在的杜宾老师？温柔？
[name="クルース"]     ええぇ？　今の教官が？　優しい？
[name="Kroos"]     Huh? Are we talking about the same Dobermann? She's soft?
[name="크루스"]     뭐? 도베르만 선생님이? 상냥하다고?

[name="克洛丝"]     你在说什么笑话吗，格瑞斯大叔。
[name="クルース"]     何冗談言ってるの、グレースおじさん。
[name="Kroos"]     That's not funny, Uncle Grace.
[name="크루스"]     그레이스 아저씨도 참, 농담도 잘하셔~

[name="格瑞斯教官"]     我可没在开玩笑。
[name="グレース教官"]     冗談なんかじゃない。
[name="Instructor Grace"]     I'm not kidding.
[name="그레이스 교관"]     농담 아닌데.

[name="杜宾"]     格瑞斯，你是不是饭没吃饱！这点负重就让你跑不动了吗？
[name="ドーベルマン"]     グレース、この程度の負荷でもう動けなくなるとは、食事が足りていないのか？
[name="Dobermann"]     Grace! My abuela runs up a mountain with a pack twice that size! You really can't handle some light jogging?
[name="도베르만"]     그레이스, 밥 안 먹었나! 이 정도 무게로 벌써 못 뛰는 거냐!

[name="杜宾"]     法伦，好好想想，如果你的敌人看到你刚才那拙劣又耿直的攻击会怎么想！
[name="ドーベルマン"]     ファロン、その頭でしっかり考えろ。もし敵がお前の稚拙で何の捻りもない攻撃を見たらどう思うかを！
[name="Dobermann"]     Fallon, you want the enemy to die laughing? Is that what you're going for with these clumsy slapstick attacks?
[name="도베르만"]     펠른, 생각해 봐라. 적이 방금 네 서툴고 정직한 공격을 보면 어떻게 생각하겠나!

[name="杜宾"]     苔丝，你是不是睡着了？扶正你的枪把！别让我离开你的准心！
[name="ドーベルマン"]     テス、寝ぼけているのか？　グリップを真っ直ぐに握れ！　私を照準の中心部から少しも逸らすな！
[name="Dobermann"]     Tess, you falling asleep on me? Hold your gun straight! Don't let me out of your sights!
[name="도베르만"]     테스, 아직 잠이 덜 깼나? 총 똑바로 안 들어?! 조준 흐트러뜨리지 마!

[name="杜宾"]     维克多，敌人不会给你施法完喝口水的空挡！
[name="ドーベルマン"]     ヴィクター、お前がアーツを放った後、敵は水を飲む暇なんて与えないぞ！
[name="Dobermann"]     Viktor, the enemy doesn't give water breaks!
[name="도베르만"]     빅토르, 적은 물 마실 시간을 주지 않는다!

[name="杜宾"]     丽雅，我建议你在尝试练习治疗法术前，先学会急救的手法，你包扎的手法很配你手忙脚乱的样子！
[name="ドーベルマン"]     リア、治療アーツを練習する前に応急手当を学んだ方がいいぞ。その包帯の巻き方は慌て者のお前にはよく似合ってるがな！
[name="Dobermann"]     Leah, let's have you learn some basic first aid before you try healing Arts. This bandage work is as much of a mess as you are.
[name="도베르만"]     레아, 힐링 아츠보다 응급처치나 제대로 배우고 와라! 붕대 감는 게 엉망진창이야!

[name="杜宾"]     所有人在完成今天的练习后，绕着训练室再跑十圈！听清楚了吗？
[name="ドーベルマン"]     全員今日の練習を終えた後、訓練室の周りを十周走り込むように！　いいか？
[name="Dobermann"]     We're done for the day. Give me ten laps around the training room! You hear me?
[name="도베르만"]     전원, 오늘 훈련 끝나고 훈련실 10바퀴 더 뛴다! 알아들었나?

[name="所有人"]     是！
[name="全員"]     はい！
[name="Everyone"]     Sir, yes, sir!
[name="전원"]     네!

[name="杜宾"]     大声一点！
[name="ドーベルマン"]     声が小さい！
[name="Dobermann"]     I can't hear you!
[name="도베르만"]     더 크게!

[name="所有人"]     是！！！！
[name="全員"]     はい！！！！
[name="Everyone"]     SIR, YES, SIR!
[name="전원"]     네!!!!

[name="克洛丝"]     这么恐怖啊？
[name="クルース"]     ドーベルマン教官、そんなに怖かったの？
[name="Kroos"]     That bad, huh?
[name="크루스"]     그렇게 무서웠다고요?

[name="格瑞斯教官"]     关键还是，杜宾虽然可能本身战斗力并不是出类拔萃的强，啊，这里我要自夸一下，我现在已经能和她五五开了。
[name="グレース教官"]     そりゃあもう。本人の戦闘力はそこまで抜きん出たものではないかもしれないが……あ、ここは俺も自分を褒めてやらないとな。今の俺なら、ドーベルマン教官と五分五分で戦えるはずさ。
[name="Instructor Grace"]     The point is still that Dobermann may not be the strongest fighter herself.... Hey, I'll toot my own horn and say I've got a 50/50 shot against her at this point.
[name="그레이스 교관"]     중요한 건, 도베르만 교관님 본인의 전투력은 그렇게 강한 게 아닐지도 모른다는 사실이야. 아, 자랑 좀 하면… 전투력만 놓고 봤을 때 지금의 난 아마 도베르만 교관님과 비슷할지도.

[name="克洛丝"]     哎呀你就别废话了。
[name="クルース"]     もう～そんなことは聞いてないよぉ。
[name="Kroos"]     Come on, cut the crap.
[name="크루스"]     아 쫌~ 그런 말 좀 하지 말라고요~

[name="格瑞斯教官"]     哎，你也让我自夸一下好走出心理阴影。
[name="グレース教官"]     いや、少しは自画自賛でトラウマを忘れさせてくれよ。
[name="Instructor Grace"]     Hey, a little self-confidence is a good for the soul.
[name="그레이스 교관"]     거 참, 트라우마에서 벗어나려고 자랑 한번 해본 거다.

[name="格瑞斯教官"]     虽然杜宾自身战斗力并不强，但玻利瓦尔军队出身的她对各种战术技巧以及战场的了解实在是太恐怖了。
[name="グレース教官"]     ドーベルマン教官本人の戦闘力はそこまで抜きん出たものではないとは言え、ボリバル軍隊出身ゆえの様々な戦術、技巧、そして戦場に対する理解は恐ろしいんだ。
[name="Instructor Grace"]     Anyway, Dobermann may not be the strongest fighter around, but the tactics and strategies she pulled out of her time with the Bolivarian army are overpowering.
[name="그레이스 교관"]     도베르만 교관 본인의 전투력은 강하지 않을진 몰라도, 볼리바르군 출신이니 여러 전술이나 전장에 대한 이해도는 어마무시하지.

[name="芬"]     玻利瓦尔......
[name="フェン"]     ボリバル……
[name="Fang"]     Bolivar....?
[name="팽"]     볼리바르……

[name="格瑞斯教官"]     嗯，就是那个现在在内战的国家，我们都很好奇杜宾究竟是怎么变得这么厉害的，不过她从来没有详细说过她在玻利瓦尔的过去。
[name="グレース教官"]     ああ、今は内戦状態にあるあの国さ。俺たちはみんなドーベルマン教官のすごさについて疑問に思ってるんだが、ボリバル時代のことを詳しく語ってもらえたことは、一度もない。
[name="Instructor Grace"]     Yeah. Like the "Bolivarian Civil War" you see on the news. That Bolivar. We all wonder exactly how Dobermann got to be as great as she is, but she never talks that much about her time in Bolivar.
[name="그레이스 교관"]     맞아. 지금 내전 중인 그 나라다. 도베르만 교관님이 대체 왜 그렇게 강해졌을까 궁금하긴 하지만, 볼리바르 시절에 대해서는 영 이야기를 안 해준단 말이지.

[name="格瑞斯教官"]     反正当时因为罗德岛还在发展初期，急缺人才，而且，当时，怎么说呢......
[name="グレース教官"]     とにかく当時のロドスは発展初期で、人材不足にあって、それにあの頃は、なんと言うか……
[name="Instructor Grace"]     Anyway, at the time, Rhodes Island was just getting going, and they really needed some talent. Then, how do I put this...
[name="그레이스 교관"]     어쨌든, 그때는 로도스 아일랜드도 초창기라 인재가 부족했어. 그리고 뭐랄까……

[name="格瑞斯教官"]     那时的杜宾，是真正的军人。
[name="グレース教官"]     とにかく、当時のドーベルマン教官は、本物の軍人だった。
[name="Instructor Grace"]     Dobermann was a real soldier back then.
[name="그레이스 교관"]     그때의 도베르만 교관님은, 진짜 군인이었거든.

[name="米格鲁"]     什么叫真正的军人？
[name="ビーグル"]     本物の軍人……どういうことですか？
[name="Beagle"]     What does that mean?
[name="비글"]     진짜 군인… 이라뇨?

[name="格瑞斯教官"]     你看，虽然我们罗德岛也蛮厉害了，但整体氛围还是很放松的吧？大家也都能有自己的生活。
[name="グレース教官"]     ほら、今のロドスはそこそこすごい団体だが、全体の雰囲気は割と緩いだろ？　みんなある程度自由に自分の生活を送れてる。
[name="Instructor Grace"]     Like, we're all pretty awesome here at Rhodes Island, but our overall atmosphere is still really relaxed, right? We get to have our own lives.
[name="그레이스 교관"]     봐봐. 로도스 아일랜드가 대단하기는 하지만, 전체적인 분위기는 자유로운 편이지? 다들 자기 생활도 있고.

[name="格瑞斯教官"]     啊，我这么说吧，要是克洛丝你当时是我们这一批，你现在保证别说找地方偷懒，走神都不敢。
[name="グレース教官"]     うーん、わからないか？　それなら言い方を変えよう。もし当時、クルースが俺たちと同期だったら、サボるどころか、気を緩めることすらできなかったはずさ。
[name="Instructor Grace"]     Okay, let me put it this way. If you were with us back then, Kroos, you'd never end up napping in a utility closet. The thought wouldn't even cross your mind.
[name="그레이스 교관"]     흐음… 이렇게 말하는 편이 더 빠르겠군. 만약 우리 때 크루스가 있었다면, 농땡이 피우는 건 상상도 못 했을 거야.

[name="克洛丝"]     啊？光是想想感觉就受不了。
[name="クルース"]     ええっ？　想像しただけで嫌になるよぉ。
[name="Kroos"]     Huh? That sounds like hell.
[name="크루스"]     에에~? 상상만 해도 싫다아…

[name="格瑞斯教官"]     啊，当然，这些你们听听就算了，杜宾现在也早就不是那个样子了。
[name="グレース教官"]     ハハ、そんな時期があったってだけさ。ドーベルマン教官はとうの昔に、あの頃とは違っているからな。
[name="Instructor Grace"]     You get what I'm saying? Dobermann's way different now.
[name="그레이스 교관"]     아, 그냥 듣고 넘겨. 도베르만 교관님도 지금은 그렇지 않으니까.

[name="芬"]     确实，感觉很难把格瑞斯老师你说的形象和现在的杜宾老师联系起来呢。
[name="フェン"]     確かに、グレース先生が言うようなイメージは今のドーベルマン教官とは結びつきませんね。
[name="Fang"]     Really. It's hard to imagine the person Instructor Grace is talking about is our Instructor Dobermann.
[name="팽"]     확실히 그레이스 선생님이 말한 거랑, 지금의 도베르만 선생님은 매치가 잘 안 되네요.

[name="米格鲁"]     嗯......现在的杜宾老师，虽然一开始觉得很可怕，但是相处久了，能感觉到是在真心关心我们的。
[name="ビーグル"]     はい……今の教官は、最初こそ怖いと思いましたが、こうして長くお世話になっていると、本当にわたしたちのことを考えてくださってるんだって伝わってきます。
[name="Beagle"]     Yeah... Dobermann works us hard, and she's kind of scary, but once you get to know her, you can tell she really cares about us.
[name="비글"]     음…… 지금의 도베르만 선생님은 처음에는 무섭지만, 지내다 보면 정말 우리를 생각해주시는 것 같거든요.

[name="格瑞斯教官"]     她一直都是真心关心别人的，在那时候也是。
[name="グレース教官"]     仲間のことを気遣うのは、あの頃から変わっていないさ。
[name="Instructor Grace"]     She always really cared about people. Even back then.
[name="그레이스 교관"]     도베르만 교관님은 항상 다른 사람을 생각해줬어. 그때도 그랬지.

[name="格瑞斯教官"]     只不过嘛，有的时候，比起怎么想，怎么做更加重要。
[name="グレース教官"]     ただ、時にはどう考えるかより、どう行動するかが重要になることもある。
[name="Instructor Grace"]     It's just, sometimes, what you do means more than why you do it.
[name="그레이스 교관"]     그래도 말이야, 가끔은 어떻게 생각하느냐 보다, 어떻게 하는지가 더 중요할 때도 있는 법이거든.

