9:50 A.M.  天气/晴
[name="グム"]     物資かぁ……そのへんのこと、クロージャお姉ちゃんが何か言ってた気がする。
[name="Gummy"]     Supplies.... I think I heard Closure say something about that.
[name="굼"]     물자라…… 클로저 언니한테 들은 적 있는 거 같은데 그거.

[name="古米"]     好像是说，罗德岛有专门的采购渠道，定期会有采购人员向舰内运送物资什么的。
[name="グム"]     たしか、ロドス専用の仕入れルートがあって、仕入れ担当者が定期的に送ってくるとかなんとか。
[name="Gummy"]     I guess Rhodes Island has like a special procurement channel that brings supplies and stuff to the ship.
[name="굼"]     로도스 아일랜드에는 전용 구매 루트가 있다나 봐. 정기적으로 구매 담당이 함 내에 물자를 공급해준다나 뭐라나.

[name="古米"]     因为在很多地方都有据点，所以就经常能尝到各地各种不同的食材啦。
[name="グム"]     ロドスはたーくさんの場所に拠点があるから、色んな場所の食材が手に入るんだってー。
[name="Gummy"]     They have bases all over the place, so we can get all kinds of different ingredients from different places.
[name="굼"]     여기저기 거점이 많아서, 각지의 다양한 식재료를 맛볼 수 있는 거라고……

[name="角峰"]     怪不得。不过，在很多地方都有据点？
[name="マッターホルン"]     なるほど。ですが、たくさんの拠点とは？
[name="Matterhorn"]     That explains it. But they really have bases all over?
[name="마터호른"]     그렇군요… 근데, 여기저기 많다는 거점이란 건 대체…?

[name="古米"]     嗯......好像是类似什么、办事处一类的地方。这个我不懂啦！
[name="グム"]     うん……たしか、なんだっけ？　事務所みたいなのがあるって言ってた気がする。詳しくはグムも知らない！
[name="Gummy"]     Um... I guess they're like offices or something? I don't really get this stuff.
[name="굼"]     음…… 뭐 사무소 같은 거라던데. 굼도 잘은 몰라!

[name="古米"]     对了，食堂外面的告示板上不是还贴了心愿单吗？如果有什么特别想吃的东西，都可以写在那上面哦！
[name="グム"]     そうだ、食堂の外のボードに欲しい食材リストが貼ってあるから、もし食べたいものがあったら書いてね！
[name="Gummy"]     That reminds me, wasn't there a wishlist on the bulletin board outside the cafeteria? If there's anything special you like to eat, you can write it up there!
[name="굼"]     아 참. 식당 밖 게시판에 위시리스트를 붙여뒀다고 하니까, 먹고 싶은 게 생겼을 땐 거기 적으면 돼!

[name="古米"]     据说负责采购的哥哥姐姐们会参考那个！
[name="グム"]     仕入れ担当のお兄ちゃんもお姉ちゃんも、参考にしてくれてるみたいだから！
[name="Gummy"]     I heard those pretty girls in procurement check it every day!
[name="굼"]     구매 담당 언니 오빠들도 그거 참고한다고 하니까!

[name="路过的采购员A"]     小古米的嘴真甜，再叫一声姐姐，姐姐给你带糖回来。
[name="仕入れ担当A"]     グムちゃんは口が上手いわねえ。もう一回お姉ちゃんって言ってくれたら、今度キャンディ持ってきてあげる。
[name="Procurement Agent A"]     You're too sweet, Gummy! Call me pretty again and I'll bring you back some candy next time.
[name="지나가던 구매 담당A"]     굼은 어쩜 그렇게 말을 이쁘게 할까~ 언니라고 한 번 더 불러주면 사탕 줄게.

[name="古米"]     采购姐姐！
[name="グム"]     あ、仕入れのお姉ちゃん！
[name="Gummy"]     You're gorgeous!
[name="굼"]     구매 담당 언니!

[name="路过的采购员A"]     哎，乖。
[name="仕入れ担当A"]     あら、いい子いい子。
[name="Procurement Agent A"]     Atta-girl.
[name="지나가던 구매 담당A"]     옳지 옳지~ 아유 이뻐라~

[name="路过的采购员B"]     你正经点......
[name="仕入れ担当B"]     こら、ふざけるな……
[name="Procurement Agent B"]     Seriously...?
[name="지나가던 구매 담당B"]     좋단다……

[name="路过的采购员B"]     角峰先生是吧，有什么想要的食材可以尝试写在告示板上，如果有机会的话，我们会进行采购。
[name="仕入れ担当B"]     マッターホルンさんですね。お話の通りですが、何か欲しい食材があれば、ボードに記載しておいてください。機会があれば仕入れますから。
[name="Procurement Agent B"]     Matterhorn, right? Just make a note of whatever you need on that bulletin board there and we'll procure it for you, if we get the chance.
[name="지나가던 구매 담당B"]     마터호른 씨 맞으시죠? 필요한 식재료가 있으면 게시판에 따로 적어주세요. 기회가 되면 구해 드릴 테니.

[name="角峰"]     明白了，有需要的话我会尝试，届时就辛苦各位了。
[name="マッターホルン"]     分かりました。必要なものがあれば書いておきます。その時はよろしくお願いします。
[name="Matterhorn"]     I understand. I'll make use of it if I find myself in need. Your efforts humble me.
[name="마터호른"]     알겠습니다. 필요하면 그렇게 하겠습니다. 항상 수고가 많으십니다.

[name="路过的采购员B"]     不必这样客气，这是我们的职责。
[name="仕入れ担当B"]     どうかご遠慮なさらず、これは私たちの業務の一つですから。
[name="Procurement Agent B"]     No need to go that far. This is our job, after all.
[name="지나가던 구매 담당B"]     너무 그러지 않으셔도 돼요. 다 일인데요 뭐.

[name="路过的采购员A"]     你们说话怎么那么死板？大家都是一条船上的人了，放轻松点、自由点说话行不？
[name="仕入れ担当A"]     二人共そんなかしこまっちゃってどうしたのよ？　同じ船にいる仲間なんだから、リラックスしてフランクに話したらどう？
[name="Procurement Agent A"]     What's with the stiffness? We're all friends here. Loosen up and talk like human beings already.
[name="지나가던 구매 담당A"]     어휴 숨 막혀… 다들 한배 탄 사람들인데, 좀 더 살갑게 대하면 어디 덧나?

[name="路过的采购员B"]     你那是自由过头了！
[name="仕入れ担当B"]     お前はフランクすぎるだろ！
[name="Procurement Agent B"]     You need to take our work more seriously!
[name="지나가던 구매 담당B"]     네가 너무 편하게 대하는 거라고!

[name="路过的采购员B"]     两位别理这家伙，我们接下来还有任务，就不打扰两位了。
[name="仕入れ担当B"]     マッターホルンさん、こいつには構わないでください。では私たちはまだ任務がありますので、失礼します。
[name="Procurement Agent B"]     Don't mind her. We have things to do, so we'll get out of your hair for now.
[name="지나가던 구매 담당B"]     신경 쓰지 마세요. 저희는 임무가 아직 남아서, 그럼.

[name="古米"]     嘿嘿，大家都是很好的人呢，之前停靠在城市边的时候，可露希尔姐姐还带我一起去采购了哦！
[name="グム"]     へへーん、ロドスの人ってみんないい人だよね～。前に都市の近くに停泊した時はね、クロージャお姉ちゃんが仕入れに連れてってくれたんだよ！
[name="Gummy"]     Hehe. Everybody's so nice. Last time we moored by a city, Closure even took me shopping with her!
[name="굼"]     헤헤, 모두 좋은 사람들이야. 지난번에 도시 근처에 머물렀을 땐, 클로저 언니가 쇼핑도 데려가 줬는걸!

[name="古米"]     虽然她会买些怪怪的东西......不过还是很有意思的！
[name="グム"]     お姉ちゃんは変なものも買ってたけど……でも面白かったよ！
[name="Gummy"]     The stuff she bought was kinda weird.... But I still had fun!
[name="굼"]     언니는 뭔가 이상한 물건을 샀었지만…… 그래도 재미있었어!

[name="角峰"]     哈哈，这我也有所耳闻。之前是不是还因为买了巨大陶土面具，惹那位凯尔希医生生气了？
[name="マッターホルン"]     ハハ、噂には聞いています。たしか巨大な陶土の仮面を買ってきたとかで、あのケルシー先生を怒らせたんでしたっけ？
[name="Matterhorn"]     Haha, I heard about that. Dr. Kal'tsit was very upset when she bought a big stone mask?
[name="마터호른"]     하하, 그건 저도 들은 얘기가 있습니다. 거대한 도자기 가면을 사서, 켈시 선생님께서 화가 잔뜩 났었다면서요?

[name="古米"]     啊哈哈哈，没错没错，我试过一次，那个面具太怪了！
[name="グム"]     アハハハ、そうだよ！　グムもつけてみたけど、今まで見たことないすごく変な仮面だった！
[name="Gummy"]     Ahahahaha. Yeah! That mask was so creepy! I tried it on once.
[name="굼"]     아하하하~ 맞아! 나도 한번 써봤는데 그 가면, 진짜 이상했어!

[name="角峰"]     那种一看就很奇怪的东西，就不要去尝试了吧。
[name="マッターホルン"]     ひと目で怪しいと分かるものは、安易に試さないほうがいいと思いますよ。
[name="Matterhorn"]     Next time you see something so strange, perhaps you shouldn't touch it.
[name="마터호른"]     딱 봐도 이상한 건, 시도하지 않는 게 좋습니다.

[name="角峰"]     嗯，菜凉下来了，温度正好。
[name="マッターホルン"]     よし、粗熱がとれて丁度良くなった。味見を……
[name="Matterhorn"]     Ah, the food has cooled down and the temperature is perfect.
[name="마터호른"]     음식이 식었군요. 딱 좋은 온도입니다.

[name="角峰"]     唔，好像有一点咸了，这个口味，可能会有一点刺激......
[name="マッターホルン"]     うっ、少ししょっぱいな。ちょっとクドすぎるかも……
[name="Matterhorn"]     Mm. It's salty. This flavor may be a little bit much...
[name="마터호른"]     음, 살짝 짜게 됐을 터라, 이 맛은 조금 자극적일지도……

[name="古米"]     不会啦，我觉得一定很好吃。
[name="グム"]     大丈夫だよ、絶対美味しいと思うよ。
[name="Gummy"]     Don't worry, I'm sure it's great.
[name="굼"]     아니야. 분명 맛있을 거야.

[name="古米"]     啊，要不然让我试吃看看吧？可以吗，让我吃吃看吧，角峰大叔！
[name="グム"]     グムが確認してあげる。　ねえねえ、一口食べていい？　マッターホルンおじさん！
[name="Gummy"]     Do you think I could try some? Can I? Please let me have some, Uncle Matterhorn!
[name="굼"]     아, 아니면 굼이 먼저 먹어볼까? 괜찮아? 마터호른 아저씨, 굼이 먼저 먹어볼래!

[name="角峰"]     大、大叔......
[name="マッターホルン"]     お、おじさん……
[name="Matterhorn"]     U- uncle...?
[name="마터호른"]     아, 아저씨……

[name="角峰"]     （在这个年纪的孩子眼里，我已经是大叔了吗......）
[name="マッターホルン"]     （このくらいの歳の子からすれば、俺はもうおじさんなのか……）
[name="Matterhorn"]     (Am I that old now...?)
[name="마터호른"]     (저 나이 대 아이에겐 벌써 아저씨로 보이는 건가……)

[name="角峰"]     当然没问题，如果你愿意尝尝看的话，算是帮了我大忙了。
[name="マッターホルン"]     もちろん構いません。試食していただければ大助かりです。
[name="Matterhorn"]     Of course you can. In fact, it would be a big help to me if you were my taste tester.
[name="마터호른"]     물론 괜찮습니다. 맛을 봐준다면 분명 큰 도움이 될 겁니다.

[name="古米"]     好耶！
[name="グム"]     やったー！
[name="Gummy"]     Hooray!
[name="굼"]     아싸~!

[name="古米"]     嘿嘿嘿，让我尝一尝......咦？
[name="グム"]     へへへ、じゃあ一口……あれ？
[name="Gummy"]     Hehehe, c'mon, lemme try... Oh?
[name="굼"]     에헤헤. 어디 한번 먹어볼까… 어?

[name="角峰"]     嗯？怎么了吗？
[name="マッターホルン"]     うん？　どうされましたか？
[name="Matterhorn"]     Huh? What's wrong?
[name="마터호른"]     음? 왜 그러십니까?

[name="古米"]     欸......怎么回事，这盘菜，怎么感觉好像、好像比之前要少了一点？
[name="グム"]     この料理、なんかさっきよりちょっと減ってない？
[name="Gummy"]     Um.... Hm. I kinda feel like there's less food on this plate than there was a second ago?
[name="굼"]     어라…… 뭐지, 이 요리 말이야. 조금 전보다 양이 적어진 거 같지 않아?

[name="古米"]     好奇怪啊，是我的错觉吗......
[name="グム"]     変だなぁ、気のせいかな？
[name="Gummy"]     So weird. Am I going crazy...?
[name="굼"]     이상하네. 착각인가……?

[name="角峰"]     ......
[name="マッターホルン"]     ……
[name="Matterhorn"]     .......
[name="마터호른"]     ……

[name="古米"]     算啦，让我来尝尝看！
[name="グム"]     まぁいいや、いただきまーす！
[name="Gummy"]     Oh well. Gimme a bite!
[name="굼"]     뭐 어때, 그럼 잘 먹겠습니다~!

[name="古米"]     啊——唔。啊呜啊呜啊呜。
[name="グム"]     あーん、あむあむあむ。
[name="Gummy"]     Ommmm——nom.
[name="굼"]     냐~암~ 암냠냠냠……

[name="古米"]     （咀嚼咀嚼）
[name="グム"]     （むぐむぐ）
[name="Gummy"]     (chewing and munching)
[name="굼"]     (우물우물)

[name="角峰"]     怎、怎么样？
[name="マッターホルン"]     どうでしょうか？
[name="Matterhorn"]     How... how is it?
[name="마터호른"]     어, 어떻습니까?

[name="古米"]     唔姆唔姆。咕噜。
[name="グム"]     もぐもぐ、ゴクン。
[name="Gummy"]     Omnom nomnom. Gulp.
[name="굼"]     (우물우물…… 꿀꺽)

[name="古米"]     好吃！！
[name="グム"]     美味しい！！
[name="Gummy"]     It's great!!
[name="굼"]     맛있어!!

[name="古米"]     蔬菜又脆又多汁而且非常爽口，调味也很清爽，完全不会让人感觉味道很重！哇啊总之就是好好吃！
[name="グム"]     野菜がシャキシャキでみずみずしいし、味付けもスッキリしてて全然濃く感じないよ！　とにかくすっごく美味しい！
[name="Gummy"]     The veggies are crunchy and juicy and super refreshing and seasoned juuust right. It's really, really good!
[name="굼"]     채소가 아삭하고 수분도 많아서 상큼해. 간도 딱 맞아. 부담스러운 느낌이 전혀 없어! 진짜 맛있다!

[name="角峰"]     是、是吗，多谢夸奖，这样我就放心了。
[name="マッターホルン"]     そ、そうですか？　褒めていただきありがとうございます、これで安心しました。
[name="Matterhorn"]     O- oh? I appreciate the compliment.
[name="마터호른"]     그, 그렇습니까. 칭찬해주셔서 감사합니다. 이제 안심이 되는군요.

[name="角峰"]     不过没有你说的这么夸张，这种料理方法步骤简单，很适合家庭制作，之后我会把菜谱留一份挂在小厨房，大家都可以试试看。
[name="マッターホルン"]     ですが、そこまでのものではありませんよ。作り方も簡単ですし、ご家庭で手軽に作れる一品です。後ほどレシピをキッチンに貼っておくので、よかったら試してみてください。
[name="Matterhorn"]     But I think you're exaggerating a bit. This is a simple recipe designed for home cooking. I can put a copy up in the kitchen for everyone to try.
[name="마터호른"]     하지만, 그렇게 칭찬할 만큼 대단한 건 아닙니다. 요리법이 간단하니 집에서도 쉽게 만들 수 있을 겁니다. 레시피를 주방에 적어두면, 다른 분들도 만들 수 있겠죠.

[name="古米"]     好耶！
[name="グム"]     わーい！
[name="Gummy"]     Hooray!
[name="굼"]     와아~!

[name="古米"]     角峰大叔也可以看古米的营养满分乌萨斯秘制蔬菜冻汤！我们交换~
[name="グム"]     じゃあマッターホルンおじさんもグムの栄養満点ウルサス特製野菜冷製スープのレシピを見てね！　交換だよ！
[name="Gummy"]     I'll also let you try my secret recipe for Ursus frozen vegetable soup, Uncle Matterhorn. It's super healthy! Ooh, it'll be like a trade~
[name="굼"]     마터호른 아저씨한테도 굼의 영양만점 우르수스 스페셜 야채수프 레시피를 알려줄게! 교환하자~

[name="角峰"]     听起来很美味，那么下次给小姐们做宵夜的时候，就让我来试试看吧。
[name="マッターホルン"]     名前だけでも美味しそうな料理ですね。では今度お嬢様たちに夜食を作る時に試してみます。
[name="Matterhorn"]     Sounds delicious. I'll give it a try the next time I'm preparing a midnight snack for the Ladies.
[name="마터호른"]     맛있을 것 같군요. 그럼 다음에 아가씨들 야식을 만들어 드릴 때 한번 시도해보도록 하겠습니다.

[name="古米"]     嘿嘿。初雪小姐和崖心小姐一定会喜欢的~
[name="グム"]     えへへ。プラマニクスお姉ちゃんもクリフハートお姉ちゃんも絶対好きになるよ～。
[name="Gummy"]     Hehehe. I'm sure Pramanix and Cliffheart will love it~
[name="굼"]     헤헷~ 프라마닉스 언니랑 클리프하트 언니도 분명 좋아할 거야!

[name="角峰"]     （大小姐和二小姐吗......）
[name="マッターホルン"]     （エンヤお嬢様とエンシアお嬢様か……）
[name="Matterhorn"]     (The Lady and the Young Lady, hm...?)
[name="마터호른"]     (엔야 아가씨랑 엔시아 아가씨인가……)

[name="角峰"]     对了，古米小小姐，你做好的蛋炖肉排，不快点送过去可以吗？
[name="マッターホルン"]     そうだ、グムお嬢さん。あのカツの卵とじ、早く持って行かなくていいんですか？
[name="Matterhorn"]     By the way, Gummy, shouldn't you send along that stew you've been preparing?
[name="마터호른"]     그러고 보니 굼 아가씨, 만드신 오믈렛 스테이크는 안 가져가셔도 되겠습니까?

[name="角峰"]     是给博士做的吧？再放下去就快要凉透了，会很影响口感......不要紧吗。
[name="マッターホルン"]     ドクターに作ったものですよね？　このままだと冷たくなって口当たりが悪くなってしまいますよ……大丈夫ですか？
[name="Matterhorn"]     It's for the Doctor, isn't it? It will get cold if we leave it any longer, and that will affect the taste.... won't it?
[name="마터호른"]     박사님께 드린다고 하셨던 것 같은데, 이대로 놔두면 식어버려 맛이 떨어질 텐데…… 괜찮겠습니까?

[name="古米"]     哇！差点忘记了！！
[name="グム"]     あっ！　忘れてた！！
[name="Gummy"]     Oooh! I almost forgot!!
[name="굼"]     아! 깜빡했다!!

[name="古米"]     那我先走啦！角峰大叔！炒绿英菜超好吃的，一定要记得留菜谱呀！
[name="グム"]     じゃあグムは行くね！　マッターホルンおじさん！　ガーデンクレス炒め美味しかったよ、レシピ忘れないでね！
[name="Gummy"]     I better get going! Uncle Matterhorn! The stir-fried greens are mega delicious! Save me the recipe!
[name="굼"]     그럼 먼저 가볼게! 마터호른 아저씨! 녹영채 볶음 진짜 맛있었어! 다음에 레시피 꼭 알려줘!

[name="角峰"]     真是个有活力的小姑娘。
[name="マッターホルン"]     本当に元気なお嬢さんだ。
[name="Matterhorn"]     What a vivacious little girl.
[name="마터호른"]     정말 활기찬 아가씨군.

[name="角峰"]     ......
[name="マッターホルン"]     ……
[name="Matterhorn"]     ........
[name="마터호른"]     ……

[name="角峰"]     ......
[name="マッターホルン"]     ……
[name="Matterhorn"]     ........
[name="마터호른"]     ……

[name="角峰"]     出来吧。
[name="マッターホルン"]     出てくるんだ。
[name="Matterhorn"]     Show yourself.
[name="마터호른"]     나오십시오.

[name="角峰"]     ......不出来吗。
[name="マッターホルン"]     ……出てこないつもりか。
[name="Matterhorn"]     ........No?
[name="마터호른"]     ……안 나올 셈입니까.

[name="角峰"]     呼。
[name="マッターホルン"]     ふぅ。
[name="Matterhorn"]     Hmph.
[name="마터호른"]     후우…

[name="角峰"]     那么，别怪我不客气——
[name="マッターホルン"]     では、恨むなよ――
[name="Matterhorn"]     Then, you'll have to pardon me——
[name="마터호른"]     그렇다면 사양 않고……

[name="？？？"]     哦！
[name="？？？"]     わぁ！
[name="???"]     Oof!
[name="???"]     우왓!

[name="？？？"]     可怕可怕。
[name="？？？"]     おー怖ぇ怖ぇ。
[name="???"]     Come on, man.
[name="???"]     오~ 무섭구먼~

[name="？？？"]     也没必要上来就动刀动枪吧？说来，你那武器是从哪掏出来的？怎么来厨房还带着武器，真危险。
[name="？？？"]     そんないきなり物騒なもんを振りかざすなって。というか、そいつはどこから取り出したんだよ？　キッチンにまで武器を持ってくるなんて危ねーったらねぇぜ。
[name="???"]     Are we really up to blades and guns now? Where did you pull that out of anyway? And what's it doing in the kitchen? You could hurt somebody.
[name="???"]     그렇게 무기까지 휘두를 필요는 없잖아? 아니 그 무기는 또 어디서 튀어나온 거야? 대체 왜 위험하게 주방에 무기를 갖고 오는 거냐고.

[name="？？？"]     唉，你是怎么发现我的？奇怪了，我觉得自己藏得挺好的啊。
[name="？？？"]     それより、どうして俺に気付いたんだ？　完璧に隠れてたつもりなんだけど、おかしいな。
[name="???"]     *Sigh* How'd you know I was here? I thought I was pretty well hidden.
[name="???"]     어떻게 알아챘지? 이상하네… 분명 잘 숨었는데.

[name="伊桑"]     （咬苹果）
[name="イーサン"]     （リンゴをかじる）
[name="Ethan"]     (biting apple)
[name="에단"]     (사과를 먹는다.)

[name="角峰"]     ......是你。
[name="マッターホルン"]     ……君か。
[name="Matterhorn"]     ....You.
[name="마터호른"]     ……당신이었군요.

[name="角峰"]     又来厨房偷吃东西吗，其实你完全不必这样，如果饿了，直接去食堂就好。
[name="マッターホルン"]     またキッチンでつまみ食いですか。そんなことしなくても、小腹が空いたのなら直接食堂に行けばいいでしょう？
[name="Matterhorn"]     Stealing food from the kitchen again? There's no need for that. If you're hungry, just go to the cafeteria.
[name="마터호른"]     또 주방에서 음식을 훔쳐먹는 겁니까? 배가 고프다면 그냥 식당으로 오면 되지 않습니까.

[name="角峰"]     上次的教训还不够？我记得之前后勤处的人员应该有和你强调过，如果再被发现利用特殊能力擅自取用料理或食材，会有相对的处罚吧。
[name="マッターホルン"]     前回のことをもうお忘れですか？　支援部の方に何度も言われているでしょう。もし特殊能力を使って料理や食材を盗めば、それなりの罰が課せられると。
[name="Matterhorn"]     Did you not learn your lesson last time? I recall a logistics operator telling you if you were caught using your powers to take food or ingredients without permission again, you would be face an appropriate punishment.
[name="마터호른"]     혹시 지난번에 혼이 덜 난 겁니까? 지원팀에서 분명, 한 번만 더 특수 능력을 써서 식재료를 훔치면 그땐 합당한 처벌을 내린다고 했었던 것 같습니다만.

[name="伊桑"]     处罚？哦，你是说他们定的那个，‘被抓一次就在脸上画一只乌龟’的那个？
[name="イーサン"]     罰？　そういえばなんか言ってたな。……ああ、「捕まえるたびに顔に亀の絵を描く」ていうあれか？
[name="Ethan"]     Punishment? Oh, you mean the one  where they make me wear a sign that says "I took food from the kitchen"?
[name="에단"]     처벌? 아, '잡히면 얼굴에 거북이 그림 그리기'?

[name="伊桑"]     这算什么处罚，我还以为是在开玩笑来着。
[name="イーサン"]     それが何の罰になるんだよ、冗談で言ってるのかと思ったぜ。
[name="Ethan"]     What kind of punishment is that? I thought they were joking.
[name="에단"]     그게 무슨 처벌이야? 농담인 줄 알았는데.

[name="伊桑"]     哎，不对，你还没说是怎么发现我的。
[name="イーサン"]     いや、そうじゃねぇ。あんたがなんで俺に気付いたか、まだ教えてもらってねえぞ。
[name="Ethan"]     Hey, wait a minute, you still didn't tell me how you found me.
[name="에단"]     아니 그것보다, 날 대체 어떻게 봤냐니까?

[name="角峰"]     如果不是你动了我刚做的菜，总量少了一点，我也不会察觉到你的存在。
[name="マッターホルン"]     もし君が俺の料理をつまみ食いしてなければ、気付くことはなかったでしょうね。
[name="Matterhorn"]     If you hadn't swiped some of the dish I just made, I wouldn't have noticed your presence.
[name="마터호른"]     방금 제가 만든 음식을 건드리지 않았더라면, 저도 눈치채지 못했을 겁니다.

[name="伊桑"]     啊呀，失算了。
[name="イーサン"]     あー、あれかぁ。ミスったな。
[name="Ethan"]     Ahhh, I blew it.
[name="에단"]     아차~ 실수했네.

[name="伊桑"]     我本来只是想来找找有没有什么早饭剩下的东西可以吃，但是你做的那个，闻起来太香了，一时没忍住。
[name="イーサン"]     ホントは朝飯の残りでもねーかなって来てみたんだけどさ。あんたの作ったやつがとんでもなくいい香りだったもんで、どーしても我慢できなくてな。
[name="Ethan"]     I was just going to see if there were any breakfast leftovers I could eat, but that stuff you made smelled so good I couldn't resist.
[name="에단"]     아침 먹고 남은 거 좀 없나 찾아보러 온 것뿐이야. 근데 너무 맛있는 냄새가 나서 못 참겠더라고.

[name="伊桑"]     对不住，真是对不住，我道歉，本人伊桑真诚道歉。啊，还是说道歉也没用？你很在意？
[name="イーサン"]     悪かった、マジで悪かったよ。心から謝るからさ。あー、それともあれか、謝っても無駄ってやつか？　そんな気にしてんのか？
[name="Ethan"]     Sorry, so sorry. Infinitely sorry. More sorry than sorry can be. You don't care that much, do you?
[name="에단"]     미안 미안, 진짜 미안해. 사과할게, 진심으로 사과드립니다요. 아, 사과해도 소용없나? 신경 쓰여?

[name="角峰"]     没错。
[name="マッターホルン"]     その通りです。
[name="Matterhorn"]     I care.
[name="마터호른"]     그렇습니다.

[name="伊桑"]     太好了，你原谅......嗯？
[name="イーサン"]     あーよかった、許してくれて……ん？
[name="Ethan"]     Phew, that's a relief, I th... Huh?
[name="에단"]     아~ 잘 됐네 뭐, 용서해줬으니…… 어?

[name="伊桑"]     等下，嗯？你说啥？
[name="イーサン"]     いや待て、なんだ？　なんて言った？
[name="Ethan"]     Wait a minute? What did you just say?
[name="에단"]     잠깐, 어? 뭐라고?

[name="伊桑"]     啊？
[name="イーサン"]     まさか……
[name="Ethan"]     Huh?
[name="에단"]     엥?

[name="角峰"]     我说，是的，我很在意。
[name="マッターホルン"]     気にしていると言ったつもりですが。
[name="Matterhorn"]     I said I care.
[name="마터호른"]     신경이 쓰인다고 말했습니다만.

[name="伊桑"]     ......
[name="イーサン"]     ……
[name="Ethan"]     .......
[name="에단"]     ……

[name="伊桑"]     喂喂喂。
[name="イーサン"]     おいおいおい。
[name="Ethan"]     Woah, woah, woah.
[name="에단"]     어이 어이 어이……

[name="伊桑"]     （不是吧，这家伙居然承认了？！）
[name="イーサン"]     （嘘だろ、こいつ認めたぞ！？）
[name="Ethan"]     (No way, this could be bad.)
[name="에단"]     (설마? 이 녀석이 이렇게 순순히 인정한다고?!)

[name="伊桑"]     （不得了，这胆量不得了，居然敢承认这么危险的事情！这可是可能会要吃传票的大问题啊！）
[name="イーサン"]     （なんて奴だ、こんなヤバイことを認めるなんて！　肝が座ってやがる！　裁判沙汰も辞さねぇってわけか！）
[name="Ethan"]     (If he's gonna get stuck in on this thing, this is a problem that could go places!)
[name="에단"]     (뭐야 얘… 진짜 찌를 셈인가… 돌아버리겠네, 이러다 진짜 소환장 날아오는 거 아니야?!)

[name="角峰"]     你......
[name="マッターホルン"]     君は……
[name="Matterhorn"]     You....
[name="마터호른"]     당신……

[name="伊桑"]     啊，啊？什么？
[name="イーサン"]     あ、あぁ？　なんだよ？
[name="Ethan"]     Ah, huh? What?
[name="에단"]     어, 어? 왜?

[name="角峰"]     ——刚刚没用餐具，直接用手抓菜了吧！而且也没洗手！
[name="マッターホルン"]     ――食器を使わずに直接手づかみで食べたでしょう！　しかも手も洗わずに！
[name="Matterhorn"]     ——You didn't use a fork. You grabbed the food with your hands. And you didn't even wash them!
[name="마터호른"]     ……방금, 식기를 사용하지 않고 손으로 음식을 먹지 않았습니까! 게다가 손도 씻지 않고!

[name="角峰"]     太不卫生了！这样怎么能行！
[name="マッターホルン"]     あまりにも不衛生です！　そんなことは許されません！
[name="Matterhorn"]     That's unsanitary! It's unacceptable!
