PM9：39 罗德岛舰内
p.m. 09:39 ロドス艦内
9:39 PM Inside the Rhodes Island Landship
9:39 p.m  로도스 아일랜드 함선 내부
[name="지원 오퍼레이터"]     그럼 오키드 씨, 저희 지원부로 오시겠습니까?

[name="梓兰"]     欸？
[name="オーキッド"]     えっ？
[name="Orchid"]     Huh?
[name="오키드"]     어?

[name="后勤干员"]     其实像梓兰小姐你这样的民间人士，加入罗德岛后会选择成为干员的反倒是少数呢，大部分都是像我们一样加入后勤部门。
[name="支援オペレーター"]     オーキッドさんのような民間人出身の方が、ロドスに加入後、戦闘オペレーターになった例は多くありません。ほとんどは私たちと同じ後方支援部で働いています。
[name="Logistics Operator"]     You know, people like you who come out of the, uh, more normal world usually end up working in logistics. It's kind of unusual to become a combat operator.
[name="지원 오퍼레이터"]     사실 오키드 씨처럼 로도스 아일랜드에 들어온 민간인이 오퍼레이터가 되는 일은 드물어서요. 대부분은 저희같이 후방 지원부에 들어오거든요.

[name="后勤干员"]     不如说，我们其实一直都挺好奇为什么你会选择上前线呢。
[name="支援オペレーター"]     むしろ、オーキッドさんはなぜ前線を選ばれたんですか？　私たちみんな、気になってるんですよ。
[name="Logistics Operator"]     We've all been wondering why you decided to go to the front lines, actually.
[name="지원 오퍼레이터"]     사실, 왜 그렇게 최전선에 나가시는지 궁금했었어요.

[name="梓兰"]     你问为什么，嗯......
[name="オーキッド"]     なぜかと言われれば、うーん……
[name="Orchid"]     You wonder why, huh...?
[name="오키드"]     왜냐고 물어도, 음……

[name="后勤干员"]     梓兰小姐，既然你想要加入罗德岛，那么你想做什么样的工作呢？
[name="支援オペレーター"]     オーキッドさん、ロドスに加入した後は、どのような仕事に従事したいですか？
[name="Logistics Operator"]     What kind of work would you like to do for Rhodes Island, Orchid?
[name="지원 오퍼레이터"]     오키드 씨, 로도스 아일랜드에서 어떤 일을 하고 싶으신가요?

[name="后勤干员"]     根据测验的结果，你是拥有相当的源石技艺适应性的，只要你愿意，经过训练就可以加入前线的行列。
[name="支援オペレーター"]     テストの結果では相当なアーツ適性が認められますので、もしご希望であれば、訓練後に前線のオペレーターになっていただくこともできますよ。
[name="Logistics Operator"]     The assessments show you have an aptitude for Originium Arts. If you're interested, we could put you on the front lines.
[name="지원 오퍼레이터"]     테스트 결과만 놓고 보면 오리지늄 아츠 적응성이 높으신 편인데, 원하신다면 훈련을 받은 뒤 전투에 투입될 수도 있습니다.

[name="后勤干员"]     不过，因为你是民间人士，没有相关的战斗经验，我们还是建议你加入后勤相关的部门。
[name="支援オペレーター"]     前線に加入する場合は、各々の実力に応じた適切な任務が振り分けられます。突然危険な任務を押し付けられたりはしませんので、ご安心ください。
[name="Logistics Operator"]     But since you are a civilian with no relevant combat experience, we still recommend that you join a logistics-related section.
[name="지원 오퍼레이터"]     하지만 민간인 신분이니만큼 전투 경험이 없으시니, 후방 지원 쪽으로 가시는 편이 더 좋지 않을까 싶어요.

[name="后勤干员"]     当然，请放心，即使你加入前线，我们不会给你安排危险的任务，会根据实力的评估。
[name="支援オペレーター"]     とはいえ、あなたは民間人で戦闘の経験もないと思いますので、後方支援関連の部署に加入されることをおすすめしますが。
[name="Logistics Operator"]     Of course, rest assured that even if you go into a combat role, we won't put you in danger. No more than you can handle, anyway.
[name="지원 오퍼레이터"]     안심하세요. 전투에 투입되더라도 실력에 맞게, 위험한 임무를 드리지는 않을 겁니다.

[name="梓兰"]     后勤是做什么的？
[name="オーキッド"]     後方支援と言うと何をするの？
[name="Orchid"]     What does logistics do?
[name="오키드"]     후방 지원은 무슨 일을 하는 거지?

[name="后勤干员"]     嗯......后勤部门细分下来也有许多呢，不过总的来说，是为了维持罗德岛运转的各种工作吧。
[name="支援オペレーター"]     うーん……細かく分類するとかなりの種類になりますが、ざっくりまとめるとロドスを運営していく上で発生する様々な業務をこなしていただくことになります。
[name="Logistics Operator"]     Well... It's a pretty broad department with a lot of functions. But, in general, you can think of it as the jobs that keep Rhodes Island running.
[name="지원 오퍼레이터"]     음… 후방 지원부도 여러 가지라서요. 전체적으로 로도스 아일랜드를 유지하는 일을 한다고 보시면 됩니다.

[name="后勤干员"]     因为文职比较多，所以比较适合你这样习惯了都市生活的人呢。
[name="支援オペレーター"]     基本はデスクワークですので、あなたのように都市暮らしに慣れている方には最適だと思いますよ。
[name="Logistics Operator"]     Since there are more clerical jobs, it's well suited to people like you. Folks used to city life.
[name="지원 오퍼레이터"]     문서 작업이 많은 편이라, 도시 생활에 익숙하신 분께 잘 맞을 겁니다.

[name="梓兰"]     （也就是说，坐办公室吗......）
[name="オーキッド"]     （つまりオフィスに缶詰ってことね……）
[name="Orchid"]     (He means sitting in an office...?)
[name="오키드"]     (그렇다는 건, 사무실에 앉아 있어야 한다는 말인데……)

[name="梓兰"]     （原本就是想要转换心情才想着试试在这边工作，我可不想再在这里过办公室生活。）
[name="オーキッド"]     （心機一転と思ってロドスに来たのに、またデスクワークの日々はさすがに嫌よ。）
[name="Orchid"]     (I came here for a change. I don't want to spend my life in a cubicle.)
[name="오키드"]     (기분 전환할 겸 지원한 건데 말이지. 또 사무실에서 일하고 싶지는 않아.)

[name="梓兰"]     我......还是申请加入前线吧。
[name="オーキッド"]     ……やっぱり前線への加入を申請するわ。
[name="Orchid"]     I... I want to go into a combat role.
[name="오키드"]     역시…… 전투원으로 신청하도록 하지.

[name="后勤干员"]     真的吗？前线干员可是很辛苦的哦？
[name="支援オペレーター"]     本気ですか？　前線のオペレーターは大変ですよ？
[name="Logistics Operator."]     Are you sure? It can be tough being a front line operator.
[name="지원 오퍼레이터"]     정말이세요? 전투원은 굉장히 힘들 텐데요?

[name="梓兰"]     嗯，我想试一试。
[name="オーキッド"]     ええ、やってみたいの。
[name="Orchid"]     Yes. I want to give it a try.
[name="오키드"]     한번 시험해보고 싶어서.

[name="后勤干员"]     好的，我知道了。
[name="支援オペレーター"]     そうですか、わかりました。
[name="Logistics Operator"]     Okay then.
[name="지원 오퍼레이터"]     그렇군요, 알겠습니다.

[name="梓兰"]     （事到如今，我就是不想坐办公室才会那么选的这种话实在是说不出口啊。）
[name="オーキッド"]     （今さらデスクワークが嫌だったから前線を選んだなんて、口が裂けても言えないわね。）
[name="Orchid"]     (I probably shouldn't tell him I wasn't interested in office work.)
[name="오키드"]     (이렇게 된 이상, 사무실에 앉아있기 싫어서 전투원으로 신청했다곤 말 못 하지……)

[name="梓兰"]     ......这么一说，好像我稀里糊涂地就变成干员了。
[name="オーキッド"]     ……振り返ってみれば、なんとなくで前線のオペレーターになったわね。
[name="Orchid"]     ........Let's just say I sort of fell into it.
[name="오키드"]     ……어쩌다 보니 오퍼레이터가 되었네.

[name="后勤干员"]     啊，确实，对我们不了解的话，是会出现这种情况呢。
[name="支援オペレーター"]     ああ……私たちのことをあまり知らない方だと、そういった状況になることもあるかと思います。
[name="Logistics Operator"]     Ah, yeah. That'll happen if you don't know what you're getting yourself into.
[name="지원 오퍼레이터"]     아, 저희에 대해 잘 모른다면, 이런 일이 생길 수 있죠.

[name="梓兰"]     是，是吗......
[name="オーキッド"]     そ、そうなの……
[name="Orchid"]     Oh, oh yeah...?
[name="오키드"]     그, 그래……?

[name="后勤干员"]     不过，我记得针对这样的情况，我们是有应对措施的，我看看条例......
[name="支援オペレーター"]     ですが、あなたのような場合の救済措置があったはずです。規定を見てみますね……
[name="Logistics Operator"]     But I seem to remember we have a way to deal with these sorts of things. Let me take a look here....
[name="지원 오퍼레이터"]     하지만, 이런 상황에 대한 조치가 있었을 텐데요. 조항을 보면……

[name="后勤干员"]     啊，没错，这一条写了，
[name="支援オペレーター"]     あ、やっぱり。こちらの項に書いてあります。
[name="Logistics Operator"]     Ah, yep. Here we go.
[name="지원 오퍼레이터"]     아, 역시. 여기 있네요.

[name="后勤干员"]     “民间出身的战斗干员，在作为战斗干员工作的一年内，若不适应前线生活并申请转为后勤干员，应予以无条件通过。”
[name="支援オペレーター"]     「民間出身の戦闘オペレーターは、本人が前線業務の継続が困難だと判断した場合、戦闘オペレーターに従事してから一年以内に後方支援部への異動を申請することで、無条件に異動が認められる。」
[name="Logistics Operator"]     'Combat operators of civilian origin who, within one year of working as a combat operator, find themselves unsuited to the role, may apply for reclassification as a logistics operator. It will be unconditionally approved.'
[name="지원 오퍼레이터"]     "민간인 출신의 전투 오퍼레이터가 1년 이내에 전선에 적응하지 못할 경우엔, 후방 지원부 지원 시 무조건 승인한다."

[name="后勤干员"]     梓兰小姐还加入我们没多久，适用于这一条哦，不如说，其实你们A6的所有人，除了萨尔贡军人出身的斑点，都适用这一条呢。
[name="支援オペレーター"]     オーキッドさんには、こちらの条項が適用されます。と言うより、元サルゴン軍人のスポットさんを除いて、A6の皆さんには全員適用されるはずです。
[name="Logistics Operator"]     You haven't been here that long, so you should be good to go. Actually, everyone in A6 should be good. Except Spot, since he was a Sargon soldier.
[name="지원 오퍼레이터"]     오키드 씨는 들어온 지 얼마 안 되었으니 아직 여기 해당됩니다. 사실 사르곤 군 출신인 스팟 씨 빼고는, A6팀 모두가 해당되거든요.

[name="后勤干员"]     即使是斑点，也只是需要稍微过个审查而已，我们在这方面还是相当自由的。
[name="支援オペレーター"]     そのスポットさんであっても、少しの審査を行うだけで異動が認められるはずですよ。ロドスはその方面に関してはかなり融通が利きますから。
[name="Logistics Operator"]     And even with Spot, I bet we can find a little wiggle room.
[name="지원 오퍼레이터"]     그리고 스팟 씨 같은 경우라 해도 심사만 거치면 바꿀 수 있어요. 저희는 이런 쪽에서는 자유로운 편이다 보니.

[name="梓兰"]     这样啊，我都没想过这方面的事。
[name="オーキッド"]     そうなの、そんなことは考えたことなかったわ。
[name="Orchid"]     Oh yeah? I never thought about it before.
[name="오키드"]     그렇구나. 생각해본 적이 없었네.

[name="后勤干员"]     而且你也知道，我们的工作其实一点也不比要战斗的干员们轻松，罗德岛的方方面面还是靠我们维持的呢。
[name="支援オペレーター"]     それにご存知かと思いますが、私たち後方支援部は様々な面からロドス全体を支える大切な役割を担っています。やりがいは十分ですよ。
[name="Logistics Operator"]     It's not like our work is any easier than that of a combat operator. Rhodes Island depends on us to keep moving.
[name="지원 오퍼레이터"]     아시다시피, 사실 저희 일도 전투 오퍼레이터들 못지않게 쉬운 편은 아니죠. 로도스 아일랜드의 많은 일이 저희의 손에서 이루어지니까요.

[name="梓兰"]     嗯，我知道，谢谢，我会考虑的。
[name="オーキッド"]     ええ、知ってるわ。ありがとう、考えておくわね。
[name="Orchid"]     Yeah, right. Thanks. I'll think about it.
[name="오키드"]     응, 알겠어. 고마워. 생각해 볼게.

[name="泡普卡"]     梓兰姐姐，还没好吗？
[name="ポプカル"]     オーキッドお姉さん、まだ？
[name="Popukar"]     Orchid, are you done yet?
[name="포푸카"]     오키드 언니, 아직이야?

[name="梓兰"]     这就好。
[name="オーキッド"]     もうすぐよ。
[name="Orchid"]     I just finished.
[name="오키드"]     금방 끝나.

[name="泡普卡"]     好~
[name="ポプカル"]     わかった～。
[name="Popukar"]     Okay~
[name="포푸카"]     응~

[name="后勤干员"]     咦，这不是小泡普卡吗，她在等你吗？
[name="支援オペレーター"]     あれ、ポプカルちゃんですね、あなたを待ってるんですか？
[name="Logistics Operator"]     Well, if it isn't little Popukar. Is she waiting for you?
[name="지원 오퍼레이터"]     아, 포푸카 양 아닙니까? 기다리고 있는 건가요?

[name="梓兰"]     嗯，在路上遇到的，她就跟过来了。
[name="オーキッド"]     ええ。通路でばったり会って、付いてきたの。
[name="Orchid"]     Yes. I bumped into her on the way and she came along.
[name="오키드"]     어, 지나가다 마주쳤는데, 계속 따라오더라고.

[name="后勤干员"]     这么说起来，我记得上个月你说过，申请和她搬进一间二人宿舍了吧？
[name="支援オペレーター"]     そういえば、たしか先月仰ってましたね。あの子との二人部屋を申請されたんですって？
[name="Logistics Operator"]     Now that you mention it, I think I remember you applied for a double room to share with her?
[name="지원 오퍼레이터"]     그러고 보니, 지난달에도 같은 숙소를 쓰겠다고 신청하셨죠?

[name="梓兰"]     是啊，唉，这丫头也是个不让人省心的，也不知道是谁让这么小的孩子也出来战斗的。
[name="オーキッド"]     ええ。安心できない手のかかる子だから……。一体誰があんなに小さな子供を戦わせようなんて考えたのかしらね。
[name="Orchid"]     Yes. *Sigh* That girl is a handful. And who sends a child that small out to war anyway?
[name="오키드"]     맞아. 아무래도 걱정이 되어서 말이지. 대체 누가 저렇게 작은 애를 전장으로 내몬 건지 원……

[name="梓兰"]     队里其他人要么靠不住要么比她还不让人省心，可不就只能这么办了。
[name="オーキッド"]     チームの他の人たちは、頼りないか、あの子よりも心配なのしかいないから、こうするしかないのよ。
[name="Orchid"]     But the rest of the team is either unreliable or even more trouble than she is. So here we are.
[name="오키드"]     게다가 다른 팀원들은 마음이 안 놓여서 말이야. 포푸카보다 더 걱정된다니까? 그러니 어쩔 수 없지.

[name="泡普卡"]     梓兰姐姐，还没好吗？
[name="ポプカル"]     オーキッドお姉さん、まだ？
[name="Popukar"]     Orchid, are you done yet?
[name="포푸카"]     오키드 언니, 아직이야?

[name="梓兰"]     来了来了。那我先走了。
[name="オーキッド"]     今行くわ。じゃあ私はこれで。
[name="Orchid"]     Coming. All right, I'd better go.
[name="오키드"]     아냐 지금 끝났어. 그럼 먼저 가볼게.

[name="后勤干员"]     别忘了我刚才说的事，期待你的答复~
[name="支援オペレーター"]     先程お話したことは忘れないでくださいね。良いお返事を期待してます。
[name="Logistics Operator"]     Don't forget what we talked about. I'll be waiting for your answer.
[name="지원 오퍼레이터"]     방금 드린 말씀 잊지 마세요. 답변 기다릴게요.

[name="梓兰"]     嗯。
[name="オーキッド"]     ええ。
[name="Orchid"]     Right.
[name="오키드"]     응.

[name="梓兰"]     哈......其实现在想想也挺好笑的，原本是为了逃离办公室生活才选择试试战斗的，结果最后还是变成刚才那样。
[name="オーキッド"]     はぁ……なんだか笑えてくるわね。オフィスでのデスクワーク生活に嫌気が差して戦うことを選んだのに、そこへの逆戻りを考えてるなんて。
[name="Orchid"]     Ha.... Isn't it ironic? I became a combat operator to ditch the office. And now look at me.
[name="오키드"]     하…… 생각해보니까 웃기네. 사무실에 틀어박힌 생활이 싫어서 전투를 선택한 건데, 또 이렇게 되다니.

[name="梓兰"]     难道我这辈子就注定是个上班族吗......
[name="オーキッド"]     まさか私の一生は社畜で終わるのかしら……
[name="Orchid"]     Am I doomed to the rat race, no matter what path I take...?
[name="오키드"]     설마 평생 직장인으로 살아야 하는 건 아니겠지……

[name="泡普卡"]     梓兰姐姐，什么是上班族？
[name="ポプカル"]     オーキッドお姉さん、社畜ってなあに？
[name="Popukar"]     Orchid, what's a rat race?
[name="포푸카"]     오키드 언니, 직장인이 뭐야?

[name="梓兰"]     上班族就是天天坐在办公室里发霉8小时，做的事完全就是重复机械劳动，下班了还不一定能走的悲惨职业哦。
[name="オーキッド"]     社畜ってのは毎日オフィスで八時間缶詰にされて、ずっと機械みたいな単純労働を課せられて、終業時間になっても帰れるとは限らない悲惨な職業よ。
[name="Orchid"]     It's a miserable life, sitting in an office for 8 hours a day, growing fat and sick, doing tedious, menial labor and sometimes putting in overtime.
[name="오키드"]     직장인은 매일매일 곰팡이처럼 사무실에 여덟 시간씩 박혀있는 사람들을 말하는 거야. 하는 일이라고는 반복 작업밖에 없고, 퇴근도 제때 못 하는 비참한 사람들이지.

[name="泡普卡"]     哦......不懂。
[name="ポプカル"]     うーん……わかんない。
[name="Popukar"]     Oh... don't get it.
[name="포푸카"]     음…… 모르겠어.

[name="梓兰"]     这么说起来，泡普卡，你是怎么来到罗德岛的？
[name="オーキッド"]     そういえばポプカル、あなたはどうしてロドスに来たの？
[name="Orchid"]     Anyway, Popukar, how did you end up at Rhodes Island?
[name="오키드"]     근데 포푸카 너는, 어쩌다 로도스 아일랜드로 온 거야?

[name="泡普卡"]     唔，是凯尔希医生和安赛尔医生把我买回来的。
[name="ポプカル"]     えっと、ケルシー先生とアンセル先生に買われてきたの。
[name="Popukar"]     Um, Dr. Kal'tsit and Dr. Ansel bought me.
[name="포푸카"]     음, 켈시 선생님이랑 안셀 선생님이 나를 사 왔어.

[name="梓兰"]     啊？买？
[name="オーキッド"]     えっ？　買われて？
[name="Orchid"]     What? Bought?
[name="오키드"]     뭐? 샀다고?

[name="泡普卡"]     嗯，以前泡普卡是在一家伐木场做事的。
[name="ポプカル"]     うん、ポプカルは昔、伐採場で働いてたの。
[name="Popukar"]     Yeah. I used to work in a lumberyard.
[name="포푸카"]     응. 그전까지 포푸카는 벌목장에서 일했거든.

[name="泡普卡"]     有一天，安赛尔医生和凯尔希医生路过那里，看到泡普卡，就陪泡普卡玩了半天。
[name="ポプカル"]     でもある日、アンセル先生とケルシー先生が通りがかって、ポプカルとたくさん遊んでくれたの。
[name="Popukar"]     One day, Dr. Ansel and Dr. Kal'tsit were passing by there and saw me. They played with me all day.
[name="포푸카"]     어느 날, 안셀 선생님이랑 켈시 선생님이 지나가다, 포푸카를 보고 한참 동안 놀아줬어.

[name="泡普卡"]     到第二天，不知道怎么的，泡普卡就被凯尔希医生买下来了。
[name="ポプカル"]     次の日、よくわからないけど、ポプカルはケルシー先生に買われることになったんだ。
[name="Popukar"]     The next day, I don't know how or why, but Dr. Kal'tsit bought me.
[name="포푸카"]     왠지는 모르지만, 그다음 날 켈시 선생님이 나를 사 갔어.

[name="梓兰"]     伐木场？！
[name="オーキッド"]     伐採場！？
[name="Orchid"]     A lumberyard?!
[name="오키드"]     벌목장?!

[name="泡普卡"]     嗯，泡普卡很小的时候就被爸爸妈妈送到了伐木场工作，场主叔叔虽然有时候对泡普卡很凶，不过会给泡普卡饭吃......
[name="ポプカル"]     うん。ポプカルはすごく小さい頃に、パパとママに連れられて伐採場に行ったの。あそこのおじさんは時々すごく怖かったけど、ご飯を食べさせてくれたよ……
[name="Popukar"]     Yes. My mom and dad sent me to work in the lumberyard when I was very young. The boss was sometimes very mean to me. But at least he fed me...
[name="포푸카"]     응. 엄마 아빠가 어릴 때부터 포푸카를 벌목장에 보내서 일을 시켰거든. 주인아저씨는 가끔 무서웠지만, 그래도 먹을 걸 줬어……

[name="梓兰"]     你还有见过你的爸爸妈妈吗？
[name="オーキッド"]     それからパパとママに会ったことはある？
[name="Orchid"]     Did you ever see your parents again?
[name="오키드"]     엄마 아빠를 본 적은 없어?

[name="泡普卡"]     唔，没有......场主叔叔说，爸爸妈妈去了很远的地方，不能来看泡普卡，要泡普卡忍耐。
[name="ポプカル"]     ううん、ないよ……伐採場のおじさんは、パパもママもすごい遠いところに行っちゃったから、もうポプカルに会いに来れないけど、我慢しなさいって言ってた。
[name="Popukar"]     Oh, no.... The boss said my mom and dad went very far away and couldn't come to see me. So I just had to wait.
[name="포푸카"]     음…… 없어. 엄마 아빠는 먼 곳으로 가서 포푸카를 보러 올 수 없으니까 참아야 한다고, 주인아저씨가 그랬어.

[name="泡普卡"]     安赛尔医生也说，泡普卡要是做个好孩子的话，罗德岛会帮我找爸爸妈妈，说不定有一天就能再见到他们了！
[name="ポプカル"]     アンセル先生は、ポプカルがお利口にしてたらロドスがパパとママを探してくれて、いつかまた会えるかもしれないって言ってたよ！
[name="Popukar"]     Then Dr. Ansel said that if I was good, Rhodes Island would help me find my mom and dad, and I might see them again someday!
[name="포푸카"]     포푸카가 착한 아이가 되면 로도스 아일랜드가 엄마 아빠를 찾아줄 거라고 안셀 선생님이 그랬어. 그러니까 언젠가는 만날 수 있을지도 몰라!

[name="泡普卡"]     咦，梓兰姐姐，你怎么忽然抱住我，怎么啦？
[name="ポプカル"]     ええっ、オーキッドお姉さん、どうして急にポプカルをぎゅーってするの？
[name="Popukar"]     Hey, Orchid, why are you hugging me all of a sudden? What's wrong?
[name="포푸카"]     에에…… 오키드 언니, 갑자기 왜 안아주는 거야?

[name="梓兰"]     ......不，没什么，只是突然想抱抱你。
[name="オーキッド"]     ……ううん、何でもないわ。ただ急にこうしたくなっただけ。
[name="Orchid"]     ...Nothing. Sometimes a girl needs hugs is all.
[name="오키드"]     ……아무것도 아니야. 갑자기 안아주고 싶었어.

[name="梓兰"]     你想不想像刚才那些哥哥姐姐一样，做一些可以坐着完成的事，不用到处跑？
[name="オーキッド"]     ポプカル、あなたはさっきのお兄さんやお姉さんたちみたいに、動き回らずに、座りながらできる仕事がしたいって思う？
[name="Orchid"]     How would you like to be like those boys and girls back there? Doing things in a chair, not needing to run around all the time?
[name="오키드"]     아까 그 언니 오빠들처럼, 앉아서 하는 일을 하고 싶다는 생각은 안 했어?

[name="泡普卡"]     唔，安赛尔医生也问过这样的问题，但是那些泡普卡都不懂，泡普卡只有力气比较大。
[name="ポプカル"]     うーん、アンセル先生にも聞かれたよ。でもそういうのはポプカルにはわかんない。ポプカルはちょっと力が強いだけだから。
[name="Popukar"]     Um, Dr. Ansel asked me the same question, but I don't really understand that kind of stuff. I just know I'm pretty strong.
[name="포푸카"]     음, 안셀 선생님도 물어봤는데, 포푸카는 잘 모르겠어. 포푸카는 힘만 세거든.

[name="泡普卡"]     不过不过，泡普卡现在也有好好上课学习识字，以后就可以像梓兰姐姐一样，帮那些哥哥姐姐们的忙了！
[name="ポプカル"]     でもでも、ポプカルはちゃんと授業に行って字の勉強をしてるよ。全部覚えたら、オーキッドお姉さんみたいにあのお兄さんやお姉さんたちのお手伝いができるよ！
[name="Popukar"]     But I've been trying really hard to learn to read. Then I can help you, and all those boys and girls in the office!
[name="포푸카"]     하지만 포푸카도 지금처럼 열심히 공부하면, 오키드 언니처럼 언니 오빠들을 도와줄 수 있을지도 몰라!

[name="梓兰"]     ......这样啊。
[name="オーキッド"]     ……そう。
[name="Orchid"]     ...Of course.
[name="오키드"]     ……그렇구나.

[name="泡普卡"]     嗯！......梓兰姐姐，你怎么啦，表情好难过，是泡普卡说了什么不好的话吗？
[name="ポプカル"]     うん！　……オーキッドお姉さん、どうしたの。すごく悲しい顔してるよ。ポプカル、何か悪いこと言った？
[name="Popukar"]     Yeah...! Orchid, what happened? You look really sad. Did I say something bad?
[name="포푸카"]     응! ……오키드 언니, 왜 그래? 표정이 안 좋아. 포푸카가 뭐 잘못 말한 거야?

[name="梓兰"]     没事，不是你的错，是我的错，我不该问这些的。
[name="オーキッド"]     違うわ、あなたが悪いんじゃないの。私が悪かった、こんなこと聞くべきじゃなかったわ。
[name="Orchid"]     Not at all. It's my fault. I shouldn't have asked about that.
[name="오키드"]     네 잘못이 아니야. 내 잘못이지. 그런 걸 물어봐서는 안 됐어.

[name="泡普卡"]     梓兰姐姐对泡普卡这么好，问什么都没关系哦。
[name="ポプカル"]     オーキッドお姉さんはいつもポプカルに優しいから、どんなことを聞いてもいいよ。
[name="Popukar"]     You're always so nice to me, Orchid. You can ask me anything.
[name="포푸카"]     오키드 언니는 포푸카한테 잘해주니까, 뭐든지 다 물어봐도 괜찮아.

[name="梓兰"]     嗯，嗯。
[name="オーキッド"]     うん、うん。
[name="Orchid"]     Okay.
[name="오키드"]     그래, 그래.

[name="空爆"]     梓兰姐，你干嘛在路中央抱着泡普卡，感觉好怪哦。
[name="カタパルト"]     オーキッドの姉さん、通路のど真ん中でポプカルを抱きしめちゃってどうしたの？　変なの。
[name="Catapult"]     Orchid, why are you hugging Popukar in the middle of the corridor? People might get the wrong idea.
[name="캐터펄트"]     어 뭐야, 오키드 언니네? 왜 길 한복판에서 포푸카를 껴안고 있어? 지금 되게 이상하게 보이는 거 알지?

[name="梓兰"]     ......咳咳，没什么。
[name="オーキッド"]     ……コホン、なんでもないわ。
[name="Orchid"]     ...Ahem. Don't worry about it.
[name="오키드"]     ……크흠. 아무것도 아니야.

[name="泡普卡"]     空爆姐姐，晚上好！
[name="ポプカル"]     カタパルトお姉さん、こんばんは！
[name="Popukar"]     Hi, Catapult!
[name="포푸카"]     캐터펄트 언니, 안녕!

[name="空爆"]     噢，晚上好呀，泡普卡。
[name="カタパルト"]     おっ、こんばんは、ポプカル。
[name="Catapult"]     Oh, hi Popukar.
[name="캐터펄트"]     오, 포푸카! 안녕.

[name="空爆"]     你们这是要回宿舍吗？
[name="カタパルト"]     部屋に戻るのかい？
[name="Catapult"]     Are you guys going home?
[name="캐터펄트"]     숙소로 돌아가는 거야?

[name="梓兰"]     嗯，你呢，看你一身汗，别又去哪儿给我惹事了在逃跑吧？
[name="オーキッド"]     ええ……それよりあなたは全身汗まみれだけどどうしたの。また何かやらかして逃げてるわけじゃないでしょうね？
[name="Orchid"]     Yes. Now why are you all sweaty? You better not be running off to get yourself, and by extension me, into trouble.
[name="오키드"]     응. 너는? 세상에 땀 흘린 것 좀 봐, 또 어디 사고 치고 도망가는 건 아니지?

[name="空爆"]     唉，别提了，梓兰姐，我哪有这样的功夫，我刚被月见夜放出来呢。
[name="カタパルト"]     あー、そんな人聞きの悪いこと言わないでよ姉さん。あたしにそんな暇があるわけないじゃないか。今やっとミッドナイトに解放されたんだから。
[name="Catapult"]     Come on, Orchid, give me a little credit. I just finished a session with Midnight.
[name="캐터펄트"]     에이 그럴 리가. 언니도 참, 내가 언제 그랬다고 그래~ 미드나이트한테서 막 빠져나온 참인걸.

[name="梓兰"]     ......？
[name="オーキッド"]     ……？
[name="Orchid"]     ......A what with Midnight?
[name="오키드"]     ……?

[name="空爆"]     咦，梓兰姐你不知道吗，除非有任务，月见夜每天这个时候都会在训练场锻炼的。
[name="カタパルト"]     あれ、姉さんは知らないの？　任務がある時以外、ミッドナイトはいつもこの時間に訓練場でトレーニングしてるんだよ。
[name="Catapult"]     Huh? Don't tell me you don't know. Unless there's a mission, Midnight works out in the training room every day about this time.
[name="캐터펄트"]     어? 언니 모르는구나? 미드나이트는 임무 없으면 항상 이 시간에 훈련장에 있거든.

